Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB004745,"Damastown IBM, stop 4745",53.42046909,-6.419423162,15061.2.60-38A-b12-1.197.I,15:45:00,15:45:00,1, Burlington Road,0.0,60-38A-b12-1,38A,b12
1,8240DB004989,"IBM Campus, stop 4989",53.41910966,-6.417893831,15061.2.60-38A-b12-1.197.I,15:45:24,15:45:24,2, Burlington Road,238.57,60-38A-b12-1,38A,b12
2,8240DB004990,"Damastown Road, stop 4990",53.41172607,-6.42298156,15061.2.60-38A-b12-1.197.I,15:47:13,15:47:13,3, Burlington Road,1331.14,60-38A-b12-1,38A,b12
3,8240DB004991,"Damastown Green, stop 4991",53.41108542,-6.420071985,15061.2.60-38A-b12-1.197.I,15:47:34,15:47:34,4, Burlington Road,1537.99,60-38A-b12-1,38A,b12
4,8240DB004992,"Damastown Ind Park, stop 4992",53.41067546,-6.417620242,15061.2.60-38A-b12-1.197.I,15:47:51,15:47:51,5, Burlington Road,1707.11,60-38A-b12-1,38A,b12
5,8240DB001719,"Damastown Close, stop 1719",53.40887925,-6.408255782,15061.2.60-38A-b12-1.197.I,15:48:58,15:48:58,6, Burlington Road,2374.91,60-38A-b12-1,38A,b12
6,8240DB001828,"Lady's Well Road, stop 1828",53.4070255,-6.398006837,15061.2.60-38A-b12-1.197.I,15:50:09,15:50:09,7, Burlington Road,3097.72,60-38A-b12-1,38A,b12
7,8240DB001829,"Parslickstown Ave, stop 1829",53.40619883,-6.395345602,15061.2.60-38A-b12-1.197.I,15:50:41,15:50:41,8, Burlington Road,3294.96,60-38A-b12-1,38A,b12
8,8240DB004997,"Castlecurragh Vale, stop 4997",53.40454591,-6.39206889,15061.2.60-38A-b12-1.197.I,15:51:30,15:51:30,9, Burlington Road,3592.05,60-38A-b12-1,38A,b12
9,8240DB004998,"Castlecurragh Heath, stop 4998",53.4031354,-6.389445016,15061.2.60-38A-b12-1.197.I,15:52:09,15:52:09,10, Burlington Road,3826.26,60-38A-b12-1,38A,b12
10,8240DB004999,"Warrenstown Green, stop 4999",53.40093171,-6.385994102,15061.2.60-38A-b12-1.197.I,15:53:08,15:53:08,11, Burlington Road,4180.57,60-38A-b12-1,38A,b12
11,8240DB001833,"Blackcourt Road, stop 1833",53.39917703,-6.383849882,15061.2.60-38A-b12-1.197.I,15:53:50,15:53:50,12, Burlington Road,4439.71,60-38A-b12-1,38A,b12
12,8240DB001834,"Corduff Park, stop 1834",53.39942521,-6.378952991,15061.2.60-38A-b12-1.197.I,15:54:56,15:54:56,13, Burlington Road,4839.66,60-38A-b12-1,38A,b12
13,8240DB001835,"Corduff, stop 1835",53.40001235,-6.37520109,15061.2.60-38A-b12-1.197.I,15:55:44,15:55:44,14, Burlington Road,5126.47,60-38A-b12-1,38A,b12
14,8240DB001836,"Aquatic Centre, stop 1836",53.398012,-6.37153286,15061.2.60-38A-b12-1.197.I,15:56:32,15:56:32,15, Burlington Road,5482.16,60-38A-b12-1,38A,b12
15,8240DB001837,"Corduff Crescent, stop 1837",53.39584106,-6.375134453,15061.2.60-38A-b12-1.197.I,15:57:19,15:57:19,16, Burlington Road,5825.05,60-38A-b12-1,38A,b12
16,8240DB002338,"Waterville Row, stop 2338",53.39308467,-6.377991082,15061.2.60-38A-b12-1.197.I,15:58:35,15:58:35,17, Burlington Road,6252.59,60-38A-b12-1,38A,b12
17,8240DB001840,"Blanchardstown Vlge, stop 1840",53.38796115,-6.379283399,15061.2.60-38A-b12-1.197.I,16:00:58,16:00:58,18, Burlington Road,7054.27,60-38A-b12-1,38A,b12
18,8240DB001841,"Church Road, stop 1841",53.3861214,-6.375519687,15061.2.60-38A-b12-1.197.I,16:01:56,16:01:56,19, Burlington Road,7380.46,60-38A-b12-1,38A,b12
19,8240DB001842,"Old Navan Road, stop 1842",53.3849679,-6.37133924,15061.2.60-38A-b12-1.197.I,16:02:51,16:02:51,20, Burlington Road,7688.1,60-38A-b12-1,38A,b12
20,8240DB007374,"Connolly Hospital, stop 7374",53.38398578,-6.365243265,15061.2.60-38A-b12-1.197.I,16:04:27,16:04:27,21, Burlington Road,8175.07,60-38A-b12-1,38A,b12
21,8240DB001845,"Morgan Place, stop 1845",53.37902299,-6.352716929,15061.2.60-38A-b12-1.197.I,16:07:33,16:07:33,22, Burlington Road,9216.73,60-38A-b12-1,38A,b12
22,8240DB007166,"Parkway Station, stop 7166",53.3770936,-6.345787136,15061.2.60-38A-b12-1.197.I,16:09:04,16:09:04,23, Burlington Road,9727.78,60-38A-b12-1,38A,b12
23,8220DB001847,"Old Racecourse, stop 1847",53.37290201,-6.333926261,15061.2.60-38A-b12-1.197.I,16:10:23,16:10:23,24, Burlington Road,10641.56,60-38A-b12-1,38A,b12
24,8220DB001696,"Ashtown Roundabout, stop 1696",53.37154152,-6.329831443,15061.2.60-38A-b12-1.197.I,16:11:32,16:11:32,25, Burlington Road,10964.3,60-38A-b12-1,38A,b12
25,8220DB001697,"Kempton, stop 1697",53.37080115,-6.327666259,15061.2.60-38A-b12-1.197.I,16:11:51,16:11:51,26, Burlington Road,11129.39,60-38A-b12-1,38A,b12
26,8220DB001698,"Ashtown Grove, stop 1698",53.3695773,-6.323716751,15061.2.60-38A-b12-1.197.I,16:12:25,16:12:25,27, Burlington Road,11425.13,60-38A-b12-1,38A,b12
27,8220DB001699,"Baggot Road, stop 1699",53.36874361,-6.321314995,15061.2.60-38A-b12-1.197.I,16:12:55,16:12:55,28, Burlington Road,11609.36,60-38A-b12-1,38A,b12
28,8220DB001700,"Baggot Road, stop 1700",53.36770883,-6.317403485,15061.2.60-38A-b12-1.197.I,16:13:40,16:13:40,29, Burlington Road,11894.88,60-38A-b12-1,38A,b12
29,8220DB001701,"Our Lady's Church, stop 1701",53.36656726,-6.312940383,15061.2.60-38A-b12-1.197.I,16:14:25,16:14:25,30, Burlington Road,12215.47,60-38A-b12-1,38A,b12
30,8220DB001702,"Navan Road Church, stop 1702",53.36561083,-6.310138139,15061.2.60-38A-b12-1.197.I,16:14:56,16:14:56,31, Burlington Road,12430.48,60-38A-b12-1,38A,b12
31,8220DB001703,"Cabra Garda Station, stop 1703",53.3647354,-6.307347834,15061.2.60-38A-b12-1.197.I,16:15:23,16:15:23,32, Burlington Road,12640.69,60-38A-b12-1,38A,b12
32,8220DB001905,"Skreen Road, stop 1905",53.36331755,-6.303076594,15061.2.60-38A-b12-1.197.I,16:16:05,16:16:05,33, Burlington Road,12964.1,60-38A-b12-1,38A,b12
33,8220DB001804,"Rosecourt, stop 1804",53.36169739,-6.297236037,15061.2.60-38A-b12-1.197.I,16:17:19,16:17:19,34, Burlington Road,13401.56,60-38A-b12-1,38A,b12
34,8220DB001803,"Cabra Road, stop 1803",53.3615636,-6.294161194,15061.2.60-38A-b12-1.197.I,16:17:56,16:17:56,35, Burlington Road,13607.13,60-38A-b12-1,38A,b12
35,8220DB000077,"Quarry Road, stop 77",53.36130918,-6.289573652,15061.2.60-38A-b12-1.197.I,16:18:49,16:18:49,36, Burlington Road,13912.33,60-38A-b12-1,38A,b12
36,8220DB000078,"Annamoe Terrace, stop 78",53.36114922,-6.284065835,15061.2.60-38A-b12-1.197.I,16:19:54,16:19:54,37, Burlington Road,14283.12,60-38A-b12-1,38A,b12
37,8220DB000079,"Churchview Home, stop 79",53.36102125,-6.280795506,15061.2.60-38A-b12-1.197.I,16:20:37,16:20:37,38, Burlington Road,14512.82,60-38A-b12-1,38A,b12
38,8220DB000080,"Phibsborough PO, stop 80",53.36086296,-6.276053962,15061.2.60-38A-b12-1.197.I,16:21:40,16:21:40,39, Burlington Road,14828.04,60-38A-b12-1,38A,b12
39,8220DB000082,"Phibsborough, stop 82",53.3607978,-6.27154908,15061.2.60-38A-b12-1.197.I,16:23:07,16:23:07,40, Burlington Road,15126.35,60-38A-b12-1,38A,b12
40,8220DB000817,"Mater Hospital, stop 817",53.35964622,-6.269612438,15061.2.60-38A-b12-1.197.I,16:24:16,16:24:16,41, Burlington Road,15358.63,60-38A-b12-1,38A,b12
41,8220DB000818,"O'Connell Avenue, stop 818",53.35848112,-6.269223945,15061.2.60-38A-b12-1.197.I,16:24:57,16:24:57,42, Burlington Road,15500.91,60-38A-b12-1,38A,b12
42,8220DB000819,"Blessington Street, stop 819",53.35630402,-6.265991986,15061.2.60-38A-b12-1.197.I,16:26:25,16:26:25,43, Burlington Road,15851.97,60-38A-b12-1,38A,b12
43,8220DB000265,"Parnell Square East, stop 265",53.35336157,-6.262055381,15061.2.60-38A-b12-1.197.I,16:28:20,16:28:20,44, Burlington Road,16394.12,60-38A-b12-1,38A,b12
44,8220DB006059,"The Spire of Dublin, stop 6059",53.35022443,-6.260185175,15061.2.60-38A-b12-1.197.I,16:30:27,16:30:27,45, Burlington Road,16766.08,60-38A-b12-1,38A,b12
45,8220DB000404,"Nassau Street, stop 404",53.34266333,-6.256347892,15061.2.60-38A-b12-1.197.I,16:35:04,16:35:04,47, Burlington Road,17858.28,60-38A-b12-1,38A,b12
46,8220DB000747,"Kildare Street, stop 747",53.3399308,-6.255723519,15061.2.60-38A-b12-1.197.I,16:36:44,16:36:44,48, Burlington Road,18248.41,60-38A-b12-1,38A,b12
47,8220DB000748,"Huguenot Cemetery, stop 748",53.33850953,-6.255030666,15061.2.60-38A-b12-1.197.I,16:38:07,16:38:07,49, Burlington Road,18492.24,60-38A-b12-1,38A,b12
