Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
550,8220DB007333,"Mespil Hotel, stop 7333",53.33298967,-6.246982573,15070.2.60-38A-b12-1.195.O,21:30:00,21:30:00,1, Damastown,0.0,60-38A-b12-1,38A,b12
551,8220DB000783,"Baggot St Lower, stop 783",53.33530854,-6.246977564,15070.2.60-38A-b12-1.195.O,21:31:37,21:31:37,2, Damastown,406.54,60-38A-b12-1,38A,b12
552,8220DB000784,"Fitzwilliam Street, stop 784",53.33645673,-6.248657371,15070.2.60-38A-b12-1.195.O,21:32:02,21:32:02,3, Damastown,576.78,60-38A-b12-1,38A,b12
553,8220DB000785,"Pembroke St Lower, stop 785",53.3371059,-6.251859373,15070.2.60-38A-b12-1.195.O,21:32:45,21:32:45,4, Damastown,855.05,60-38A-b12-1,38A,b12
554,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,15070.2.60-38A-b12-1.195.O,21:34:10,21:34:10,5, Damastown,1342.87,60-38A-b12-1,38A,b12
555,8220DB000793,"Dawson Street, stop 793",53.34085979,-6.258403869,15070.2.60-38A-b12-1.195.O,21:36:27,21:36:27,6, Damastown,2146.7,60-38A-b12-1,38A,b12
556,8220DB000274,"O'Connell St Upper, stop 274",53.35034908,-6.260720869,15070.2.60-38A-b12-1.195.O,21:42:02,21:42:02,9, Damastown,3297.08,60-38A-b12-1,38A,b12
557,8220DB000002,"Parnell Square West, stop 2",53.35224436,-6.263723219,15070.2.60-38A-b12-1.195.O,21:44:16,21:44:16,10, Damastown,3713.15,60-38A-b12-1,38A,b12
558,8220DB000192,"Mountjoy Street, stop 192",53.35639721,-6.26807647,15070.2.60-38A-b12-1.195.O,21:46:04,21:46:04,11, Damastown,4324.35,60-38A-b12-1,38A,b12
559,8220DB000795,"Berkeley Road, stop 795",53.35874004,-6.269724278,15070.2.60-38A-b12-1.195.O,21:46:54,21:46:54,12, Damastown,4616.0,60-38A-b12-1,38A,b12
560,8220DB000796,"Berkeley Road, stop 796",53.36001821,-6.269852786,15070.2.60-38A-b12-1.195.O,21:47:26,21:47:26,13, Damastown,4755.88,60-38A-b12-1,38A,b12
561,8220DB000057,"Dalymount, stop 57",53.36081622,-6.276551675,15070.2.60-38A-b12-1.195.O,21:49:32,21:49:32,14, Damastown,5280.3,60-38A-b12-1,38A,b12
