Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
3520,8240DB004745,"Damastown IBM, stop 4745",53.42046909,-6.419423162,16014.2.60-38A-b12-1.196.I,23:15:00,23:15:00,1, Parnell Sq,0.0,60-38A-b12-1,38A,b12
3521,8240DB004989,"IBM Campus, stop 4989",53.41910966,-6.417893831,16014.2.60-38A-b12-1.196.I,23:15:19,23:15:19,2, Parnell Sq,238.57,60-38A-b12-1,38A,b12
3522,8240DB004990,"Damastown Road, stop 4990",53.41172607,-6.42298156,16014.2.60-38A-b12-1.196.I,23:16:48,23:16:48,3, Parnell Sq,1331.14,60-38A-b12-1,38A,b12
3523,8240DB004991,"Damastown Green, stop 4991",53.41108542,-6.420071985,16014.2.60-38A-b12-1.196.I,23:17:05,23:17:05,4, Parnell Sq,1537.99,60-38A-b12-1,38A,b12
3524,8240DB004992,"Damastown Ind Park, stop 4992",53.41067546,-6.417620242,16014.2.60-38A-b12-1.196.I,23:17:19,23:17:19,5, Parnell Sq,1707.11,60-38A-b12-1,38A,b12
3525,8240DB001719,"Damastown Close, stop 1719",53.40887925,-6.408255782,16014.2.60-38A-b12-1.196.I,23:18:14,23:18:14,6, Parnell Sq,2374.91,60-38A-b12-1,38A,b12
3526,8240DB001828,"Lady's Well Road, stop 1828",53.4070255,-6.398006837,16014.2.60-38A-b12-1.196.I,23:19:12,23:19:12,7, Parnell Sq,3097.72,60-38A-b12-1,38A,b12
3527,8240DB001829,"Parslickstown Ave, stop 1829",53.40619883,-6.395345602,16014.2.60-38A-b12-1.196.I,23:19:33,23:19:33,8, Parnell Sq,3294.96,60-38A-b12-1,38A,b12
3528,8240DB004997,"Castlecurragh Vale, stop 4997",53.40454591,-6.39206889,16014.2.60-38A-b12-1.196.I,23:20:04,23:20:04,9, Parnell Sq,3592.05,60-38A-b12-1,38A,b12
3529,8240DB004998,"Castlecurragh Heath, stop 4998",53.4031354,-6.389445016,16014.2.60-38A-b12-1.196.I,23:20:29,23:20:29,10, Parnell Sq,3826.26,60-38A-b12-1,38A,b12
3530,8240DB004999,"Warrenstown Green, stop 4999",53.40093171,-6.385994102,16014.2.60-38A-b12-1.196.I,23:21:06,23:21:06,11, Parnell Sq,4180.57,60-38A-b12-1,38A,b12
3531,8240DB001833,"Blackcourt Road, stop 1833",53.39917703,-6.383849882,16014.2.60-38A-b12-1.196.I,23:21:33,23:21:33,12, Parnell Sq,4439.71,60-38A-b12-1,38A,b12
3532,8240DB001834,"Corduff Park, stop 1834",53.39942521,-6.378952991,16014.2.60-38A-b12-1.196.I,23:22:15,23:22:15,13, Parnell Sq,4839.66,60-38A-b12-1,38A,b12
3533,8240DB001835,"Corduff, stop 1835",53.40001235,-6.37520109,16014.2.60-38A-b12-1.196.I,23:22:44,23:22:44,14, Parnell Sq,5126.47,60-38A-b12-1,38A,b12
3534,8240DB001836,"Aquatic Centre, stop 1836",53.398012,-6.37153286,16014.2.60-38A-b12-1.196.I,23:23:14,23:23:14,15, Parnell Sq,5482.16,60-38A-b12-1,38A,b12
3535,8240DB001837,"Corduff Crescent, stop 1837",53.39584106,-6.375134453,16014.2.60-38A-b12-1.196.I,23:23:43,23:23:43,16, Parnell Sq,5825.05,60-38A-b12-1,38A,b12
3536,8240DB002338,"Waterville Row, stop 2338",53.39308467,-6.377991082,16014.2.60-38A-b12-1.196.I,23:24:29,23:24:29,17, Parnell Sq,6252.59,60-38A-b12-1,38A,b12
3537,8240DB001840,"Blanchardstown Vlge, stop 1840",53.38796115,-6.379283399,16014.2.60-38A-b12-1.196.I,23:25:54,23:25:54,18, Parnell Sq,7054.27,60-38A-b12-1,38A,b12
3538,8240DB001841,"Church Road, stop 1841",53.3861214,-6.375519687,16014.2.60-38A-b12-1.196.I,23:26:29,23:26:29,19, Parnell Sq,7380.46,60-38A-b12-1,38A,b12
3539,8240DB001842,"Old Navan Road, stop 1842",53.3849679,-6.37133924,16014.2.60-38A-b12-1.196.I,23:27:02,23:27:02,20, Parnell Sq,7688.1,60-38A-b12-1,38A,b12
3540,8240DB007374,"Connolly Hospital, stop 7374",53.38398578,-6.365243265,16014.2.60-38A-b12-1.196.I,23:27:59,23:27:59,21, Parnell Sq,8175.07,60-38A-b12-1,38A,b12
3541,8240DB001845,"Morgan Place, stop 1845",53.37902299,-6.352716929,16014.2.60-38A-b12-1.196.I,23:29:50,23:29:50,22, Parnell Sq,9216.73,60-38A-b12-1,38A,b12
3542,8240DB007166,"Parkway Station, stop 7166",53.3770936,-6.345787136,16014.2.60-38A-b12-1.196.I,23:30:44,23:30:44,23, Parnell Sq,9727.78,60-38A-b12-1,38A,b12
3543,8220DB001847,"Old Racecourse, stop 1847",53.37290201,-6.333926261,16014.2.60-38A-b12-1.196.I,23:31:46,23:31:46,24, Parnell Sq,10641.56,60-38A-b12-1,38A,b12
3544,8220DB001696,"Ashtown Roundabout, stop 1696",53.37154152,-6.329831443,16014.2.60-38A-b12-1.196.I,23:32:21,23:32:21,25, Parnell Sq,10964.3,60-38A-b12-1,38A,b12
3545,8220DB001697,"Kempton, stop 1697",53.37080115,-6.327666259,16014.2.60-38A-b12-1.196.I,23:32:35,23:32:35,26, Parnell Sq,11129.39,60-38A-b12-1,38A,b12
3546,8220DB001698,"Ashtown Grove, stop 1698",53.3695773,-6.323716751,16014.2.60-38A-b12-1.196.I,23:33:00,23:33:00,27, Parnell Sq,11425.13,60-38A-b12-1,38A,b12
3547,8220DB001699,"Baggot Road, stop 1699",53.36874361,-6.321314995,16014.2.60-38A-b12-1.196.I,23:33:26,23:33:26,28, Parnell Sq,11609.36,60-38A-b12-1,38A,b12
3548,8220DB001700,"Baggot Road, stop 1700",53.36770883,-6.317403485,16014.2.60-38A-b12-1.196.I,23:34:06,23:34:06,29, Parnell Sq,11894.88,60-38A-b12-1,38A,b12
3549,8220DB001701,"Our Lady's Church, stop 1701",53.36656726,-6.312940383,16014.2.60-38A-b12-1.196.I,23:34:28,23:34:28,30, Parnell Sq,12215.47,60-38A-b12-1,38A,b12
3550,8220DB001702,"Navan Road Church, stop 1702",53.36561083,-6.310138139,16014.2.60-38A-b12-1.196.I,23:34:43,23:34:43,31, Parnell Sq,12430.48,60-38A-b12-1,38A,b12
3551,8220DB001703,"Cabra Garda Station, stop 1703",53.3647354,-6.307347834,16014.2.60-38A-b12-1.196.I,23:35:05,23:35:05,32, Parnell Sq,12640.69,60-38A-b12-1,38A,b12
3552,8220DB001905,"Skreen Road, stop 1905",53.36331755,-6.303076594,16014.2.60-38A-b12-1.196.I,23:35:38,23:35:38,33, Parnell Sq,12964.1,60-38A-b12-1,38A,b12
3553,8220DB001804,"Rosecourt, stop 1804",53.36169739,-6.297236037,16014.2.60-38A-b12-1.196.I,23:36:15,23:36:15,34, Parnell Sq,13401.56,60-38A-b12-1,38A,b12
3554,8220DB001803,"Cabra Road, stop 1803",53.3615636,-6.294161194,16014.2.60-38A-b12-1.196.I,23:36:33,23:36:33,35, Parnell Sq,13607.13,60-38A-b12-1,38A,b12
3555,8220DB000077,"Quarry Road, stop 77",53.36130918,-6.289573652,16014.2.60-38A-b12-1.196.I,23:36:59,23:36:59,36, Parnell Sq,13912.33,60-38A-b12-1,38A,b12
3556,8220DB000078,"Annamoe Terrace, stop 78",53.36114922,-6.284065835,16014.2.60-38A-b12-1.196.I,23:37:31,23:37:31,37, Parnell Sq,14283.12,60-38A-b12-1,38A,b12
3557,8220DB000079,"Churchview Home, stop 79",53.36102125,-6.280795506,16014.2.60-38A-b12-1.196.I,23:37:52,23:37:52,38, Parnell Sq,14512.82,60-38A-b12-1,38A,b12
3558,8220DB000080,"Phibsborough PO, stop 80",53.36086296,-6.276053962,16014.2.60-38A-b12-1.196.I,23:38:24,23:38:24,39, Parnell Sq,14828.04,60-38A-b12-1,38A,b12
3559,8220DB000082,"Phibsborough, stop 82",53.3607978,-6.27154908,16014.2.60-38A-b12-1.196.I,23:39:09,23:39:09,40, Parnell Sq,15126.35,60-38A-b12-1,38A,b12
3560,8220DB000817,"Mater Hospital, stop 817",53.35964622,-6.269612438,16014.2.60-38A-b12-1.196.I,23:39:45,23:39:45,41, Parnell Sq,15358.63,60-38A-b12-1,38A,b12
3561,8220DB000818,"O'Connell Avenue, stop 818",53.35848112,-6.269223945,16014.2.60-38A-b12-1.196.I,23:40:06,23:40:06,42, Parnell Sq,15500.91,60-38A-b12-1,38A,b12
3562,8220DB000819,"Blessington Street, stop 819",53.35630402,-6.265991986,16014.2.60-38A-b12-1.196.I,23:41:04,23:41:04,43, Parnell Sq,15851.97,60-38A-b12-1,38A,b12
3563,8220DB000265,"Parnell Square East, stop 265",53.35336157,-6.262055381,16014.2.60-38A-b12-1.196.I,23:42:12,23:42:12,44, Parnell Sq,16394.12,60-38A-b12-1,38A,b12
