Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
96,8240DB004745,"Damastown IBM, stop 4745",53.42046909,-6.419423162,2975.1.60-38B-b12-1.200.I,07:36:00,07:36:00,1, Burlington Road,0.0,60-38B-b12-1,38B,b12
97,8240DB004989,"IBM Campus, stop 4989",53.41910966,-6.417893831,2975.1.60-38B-b12-1.200.I,07:36:33,07:36:33,2, Burlington Road,238.57,60-38B-b12-1,38B,b12
98,8240DB004990,"Damastown Road, stop 4990",53.41172607,-6.42298156,2975.1.60-38B-b12-1.200.I,07:39:04,07:39:04,3, Burlington Road,1331.14,60-38B-b12-1,38B,b12
99,8240DB004991,"Damastown Green, stop 4991",53.41108542,-6.420071985,2975.1.60-38B-b12-1.200.I,07:39:33,07:39:33,4, Burlington Road,1537.99,60-38B-b12-1,38B,b12
100,8240DB004992,"Damastown Ind Park, stop 4992",53.41067546,-6.417620242,2975.1.60-38B-b12-1.200.I,07:39:56,07:39:56,5, Burlington Road,1707.11,60-38B-b12-1,38B,b12
101,8240DB001719,"Damastown Close, stop 1719",53.40887925,-6.408255782,2975.1.60-38B-b12-1.200.I,07:41:29,07:41:29,6, Burlington Road,2374.91,60-38B-b12-1,38B,b12
102,8240DB001828,"Lady's Well Road, stop 1828",53.4070255,-6.398006837,2975.1.60-38B-b12-1.200.I,07:43:08,07:43:08,7, Burlington Road,3097.72,60-38B-b12-1,38B,b12
103,8240DB001829,"Parslickstown Ave, stop 1829",53.40619883,-6.395345602,2975.1.60-38B-b12-1.200.I,07:44:27,07:44:27,8, Burlington Road,3294.96,60-38B-b12-1,38B,b12
104,8240DB004997,"Castlecurragh Vale, stop 4997",53.40454591,-6.39206889,2975.1.60-38B-b12-1.200.I,07:46:26,07:46:26,9, Burlington Road,3592.05,60-38B-b12-1,38B,b12
105,8240DB004998,"Castlecurragh Heath, stop 4998",53.4031354,-6.389445016,2975.1.60-38B-b12-1.200.I,07:48:00,07:48:00,10, Burlington Road,3826.26,60-38B-b12-1,38B,b12
