Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007333,"Mespil Hotel, stop 7333",53.33298967,-6.246982573,1999.1.60-38B-b12-1.199.O,07:00:00,07:00:00,1, Damastown,0.0,60-38B-b12-1,38B,b12
1,8220DB000783,"Baggot St Lower, stop 783",53.33530854,-6.246977564,1999.1.60-38B-b12-1.199.O,07:02:03,07:02:03,2, Damastown,406.54,60-38B-b12-1,38B,b12
2,8220DB000784,"Fitzwilliam Street, stop 784",53.33645673,-6.248657371,1999.1.60-38B-b12-1.199.O,07:02:32,07:02:32,3, Damastown,576.78,60-38B-b12-1,38B,b12
3,8220DB000785,"Pembroke St Lower, stop 785",53.3371059,-6.251859373,1999.1.60-38B-b12-1.199.O,07:03:21,07:03:21,4, Damastown,855.05,60-38B-b12-1,38B,b12
4,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,1999.1.60-38B-b12-1.199.O,07:05:09,07:05:09,5, Damastown,1342.87,60-38B-b12-1,38B,b12
5,8220DB000793,"Dawson Street, stop 793",53.34085979,-6.258403869,1999.1.60-38B-b12-1.199.O,07:08:03,07:08:03,6, Damastown,2146.7,60-38B-b12-1,38B,b12
6,8220DB000274,"O'Connell St Upper, stop 274",53.35034908,-6.260720869,1999.1.60-38B-b12-1.199.O,07:13:30,07:13:30,9, Damastown,3297.08,60-38B-b12-1,38B,b12
7,8220DB000002,"Parnell Square West, stop 2",53.35224436,-6.263723219,1999.1.60-38B-b12-1.199.O,07:16:26,07:16:26,10, Damastown,3713.15,60-38B-b12-1,38B,b12
8,8220DB000192,"Mountjoy Street, stop 192",53.35639721,-6.26807647,1999.1.60-38B-b12-1.199.O,07:18:29,07:18:29,11, Damastown,4324.35,60-38B-b12-1,38B,b12
9,8220DB000795,"Berkeley Road, stop 795",53.35874004,-6.269724278,1999.1.60-38B-b12-1.199.O,07:19:25,07:19:25,12, Damastown,4616.0,60-38B-b12-1,38B,b12
10,8220DB000796,"Berkeley Road, stop 796",53.36001821,-6.269852786,1999.1.60-38B-b12-1.199.O,07:20:08,07:20:08,13, Damastown,4755.88,60-38B-b12-1,38B,b12
11,8220DB000057,"Dalymount, stop 57",53.36081622,-6.276551675,1999.1.60-38B-b12-1.199.O,07:22:56,07:22:56,14, Damastown,5280.3,60-38B-b12-1,38B,b12
12,8220DB000058,"Churchview Home, stop 58",53.36094625,-6.281204202,1999.1.60-38B-b12-1.199.O,07:23:53,07:23:53,15, Damastown,5589.54,60-38B-b12-1,38B,b12
13,8220DB000059,"Annamoe Terrace, stop 59",53.36101801,-6.284942563,1999.1.60-38B-b12-1.199.O,07:24:38,07:24:38,16, Damastown,5837.93,60-38B-b12-1,38B,b12
14,8220DB000060,"Quarry Road, stop 60",53.36127922,-6.2893645,1999.1.60-38B-b12-1.199.O,07:25:32,07:25:32,17, Damastown,6132.14,60-38B-b12-1,38B,b12
15,8220DB001802,"Cabra Road, stop 1802",53.36138032,-6.294544145,1999.1.60-38B-b12-1.199.O,07:26:37,07:26:37,18, Damastown,6476.27,60-38B-b12-1,38B,b12
16,8220DB001795,"Rosecourt, stop 1795",53.3615034,-6.296868142,1999.1.60-38B-b12-1.199.O,07:27:06,07:27:06,19, Damastown,6630.91,60-38B-b12-1,38B,b12
17,8220DB001806,"Navan Road, stop 1806",53.36290691,-6.302642142,1999.1.60-38B-b12-1.199.O,07:28:23,07:28:23,20, Damastown,7052.15,60-38B-b12-1,38B,b12
18,8220DB001660,"Cabra Garda Station, stop 1660",53.36518655,-6.309373553,1999.1.60-38B-b12-1.199.O,07:29:58,07:29:58,21, Damastown,7567.05,60-38B-b12-1,38B,b12
19,8220DB001661,"Our Lady's Church, stop 1661",53.36644362,-6.313095538,1999.1.60-38B-b12-1.199.O,07:30:51,07:30:51,22, Damastown,7850.76,60-38B-b12-1,38B,b12
20,8220DB001662,"Baggot Road, stop 1662",53.36760294,-6.317542905,1999.1.60-38B-b12-1.199.O,07:31:51,07:31:51,23, Damastown,8173.23,60-38B-b12-1,38B,b12
21,8220DB001664,"Ashtown Grove, stop 1664",53.36940852,-6.32385863,1999.1.60-38B-b12-1.199.O,07:32:56,07:32:56,24, Damastown,8638.86,60-38B-b12-1,38B,b12
22,8220DB001665,"Kempton, stop 1665",53.37065784,-6.32770193,1999.1.60-38B-b12-1.199.O,07:33:36,07:33:36,25, Damastown,8929.25,60-38B-b12-1,38B,b12
23,8220DB001666,"Ashtown Roundabout, stop 1666",53.37159715,-6.330595731,1999.1.60-38B-b12-1.199.O,07:34:21,07:34:21,26, Damastown,9147.43,60-38B-b12-1,38B,b12
24,8220DB001807,"Phoenix Park Avenue, stop 1807",53.37441446,-6.339262883,1999.1.60-38B-b12-1.199.O,07:35:52,07:35:52,27, Damastown,9814.74,60-38B-b12-1,38B,b12
25,8240DB007167,"Parkway Station, stop 7167",53.3758663,-6.344782592,1999.1.60-38B-b12-1.199.O,07:36:44,07:36:44,28, Damastown,10216.27,60-38B-b12-1,38B,b12
26,8240DB001808,"Morgan Place, stop 1808",53.37924155,-6.354226659,1999.1.60-38B-b12-1.199.O,07:38:37,07:38:37,29, Damastown,10947.64,60-38B-b12-1,38B,b12
27,8240DB001816,"Waterville Row, stop 1816",53.39308998,-6.378381821,1999.1.60-38B-b12-1.199.O,07:45:27,07:45:27,30, Damastown,13594.96,60-38B-b12-1,38B,b12
28,8240DB006171,"Waterville Road, stop 6171",53.39601518,-6.374060176,1999.1.60-38B-b12-1.199.O,07:46:26,07:46:26,31, Damastown,14031.59,60-38B-b12-1,38B,b12
29,8240DB004974,"Aquatic Centre, stop 4974",53.39899879,-6.369419893,1999.1.60-38B-b12-1.199.O,07:47:46,07:47:46,32, Damastown,14482.97,60-38B-b12-1,38B,b12
30,8240DB004976,"Indoor Arena, stop 4976",53.40198373,-6.36226733,1999.1.60-38B-b12-1.199.O,07:49:15,07:49:15,33, Damastown,15062.57,60-38B-b12-1,38B,b12
31,8240DB007126,"IDA Ireland, stop 7126",53.40587682,-6.356477504,1999.1.60-38B-b12-1.199.O,07:50:49,07:50:49,34, Damastown,15673.26,60-38B-b12-1,38B,b12
32,8240DB007124,"Ballycoolin  Bus Pk, stop 7124",53.40843447,-6.358153812,1999.1.60-38B-b12-1.199.O,07:51:49,07:51:49,35, Damastown,16059.37,60-38B-b12-1,38B,b12
33,8240DB007343,"Corporate Park 2, stop 7343",53.41284468,-6.361218217,1999.1.60-38B-b12-1.199.O,07:53:13,07:53:13,36, Damastown,16605.19,60-38B-b12-1,38B,b12
34,8240DB007318,"Corporate Park, stop 7318",53.40991475,-6.368445799,1999.1.60-38B-b12-1.199.O,07:55:21,07:55:21,37, Damastown,17428.17,60-38B-b12-1,38B,b12
35,8240DB004980,"Blanchardstown Rd N, stop 4980",53.40421561,-6.372995456,1999.1.60-38B-b12-1.199.O,07:57:17,07:57:17,38, Damastown,18173.8,60-38B-b12-1,38B,b12
36,8240DB002289,"Blackcourt Road, stop 2289",53.401123,-6.374918145,1999.1.60-38B-b12-1.199.O,07:58:20,07:58:20,39, Damastown,18586.57,60-38B-b12-1,38B,b12
37,8240DB001822,"St Patrick's Church, stop 1822",53.39965265,-6.377831496,1999.1.60-38B-b12-1.199.O,07:59:00,07:59:00,40, Damastown,18847.47,60-38B-b12-1,38B,b12
38,8240DB004994,"Warrenstown Green, stop 4994",53.40093801,-6.38646007,1999.1.60-38B-b12-1.199.O,08:00:57,08:00:57,41, Damastown,19603.79,60-38B-b12-1,38B,b12
39,8240DB004995,"Castlecurragh Heath, stop 4995",53.40251744,-6.388941975,1999.1.60-38B-b12-1.199.O,08:01:36,08:01:36,42, Damastown,19863.08,60-38B-b12-1,38B,b12
40,8240DB004996,"Castlecurragh Vale, stop 4996",53.40383881,-6.39095252,1999.1.60-38B-b12-1.199.O,08:02:08,08:02:08,43, Damastown,20066.63,60-38B-b12-1,38B,b12
41,8240DB001826,"Lady's Well Road, stop 1826",53.40590772,-6.395085827,1999.1.60-38B-b12-1.199.O,08:03:05,08:03:05,44, Damastown,20432.59,60-38B-b12-1,38B,b12
42,8240DB001827,"Parslickstown Ave, stop 1827",53.40704194,-6.398562738,1999.1.60-38B-b12-1.199.O,08:03:47,08:03:47,45, Damastown,20696.94,60-38B-b12-1,38B,b12
43,8240DB007382,"Damastown Close, stop 7382",53.40883216,-6.408768957,1999.1.60-38B-b12-1.199.O,08:05:05,08:05:05,46, Damastown,21418.27,60-38B-b12-1,38B,b12
44,8240DB007381,"Damastown Ind Park, stop 7381",53.4103481,-6.415977753,1999.1.60-38B-b12-1.199.O,08:06:02,08:06:02,47, Damastown,21941.66,60-38B-b12-1,38B,b12
45,8240DB004742,"Damastown Green, stop 4742",53.41097861,-6.420151156,1999.1.60-38B-b12-1.199.O,08:06:33,08:06:33,48, Damastown,22226.13,60-38B-b12-1,38B,b12
46,8240DB004743,"Damastown Drive, stop 4743",53.4116474,-6.423149939,1999.1.60-38B-b12-1.199.O,08:06:56,08:06:56,49, Damastown,22439.29,60-38B-b12-1,38B,b12
47,8240DB004745,"Damastown IBM, stop 4745",53.42046909,-6.419423162,1999.1.60-38B-b12-1.199.O,08:09:40,08:09:40,50, Damastown,23808.42,60-38B-b12-1,38B,b12
