Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
1092,8240DB004745,"Damastown IBM, stop 4745",53.42046909,-6.419423162,6452.1.60-38B-b12-1.201.I,06:00:00,06:00:00,1, O'Connell Street,0.0,60-38B-b12-1,38B,b12
1093,8240DB004989,"IBM Campus, stop 4989",53.41910966,-6.417893831,6452.1.60-38B-b12-1.201.I,06:00:26,06:00:26,2, O'Connell Street,238.57,60-38B-b12-1,38B,b12
1094,8240DB004990,"Damastown Road, stop 4990",53.41172607,-6.42298156,6452.1.60-38B-b12-1.201.I,06:02:25,06:02:25,3, O'Connell Street,1331.14,60-38B-b12-1,38B,b12
1095,8240DB004991,"Damastown Green, stop 4991",53.41108542,-6.420071985,6452.1.60-38B-b12-1.201.I,06:02:48,06:02:48,4, O'Connell Street,1537.99,60-38B-b12-1,38B,b12
1096,8240DB004992,"Damastown Ind Park, stop 4992",53.41067546,-6.417620242,6452.1.60-38B-b12-1.201.I,06:03:06,06:03:06,5, O'Connell Street,1707.11,60-38B-b12-1,38B,b12
1097,8240DB001719,"Damastown Close, stop 1719",53.40887925,-6.408255782,6452.1.60-38B-b12-1.201.I,06:04:19,06:04:19,6, O'Connell Street,2374.91,60-38B-b12-1,38B,b12
1098,8240DB001828,"Lady's Well Road, stop 1828",53.4070255,-6.398006837,6452.1.60-38B-b12-1.201.I,06:05:37,06:05:37,7, O'Connell Street,3097.72,60-38B-b12-1,38B,b12
1099,8240DB001829,"Parslickstown Ave, stop 1829",53.40619883,-6.395345602,6452.1.60-38B-b12-1.201.I,06:06:22,06:06:22,8, O'Connell Street,3294.96,60-38B-b12-1,38B,b12
1100,8240DB004997,"Castlecurragh Vale, stop 4997",53.40454591,-6.39206889,6452.1.60-38B-b12-1.201.I,06:07:29,06:07:29,9, O'Connell Street,3592.05,60-38B-b12-1,38B,b12
1101,8240DB004998,"Castlecurragh Heath, stop 4998",53.4031354,-6.389445016,6452.1.60-38B-b12-1.201.I,06:08:22,06:08:22,10, O'Connell Street,3826.26,60-38B-b12-1,38B,b12
1102,8240DB004999,"Warrenstown Green, stop 4999",53.40093171,-6.385994102,6452.1.60-38B-b12-1.201.I,06:09:44,06:09:44,11, O'Connell Street,4180.57,60-38B-b12-1,38B,b12
1103,8240DB001833,"Blackcourt Road, stop 1833",53.39917703,-6.383849882,6452.1.60-38B-b12-1.201.I,06:10:42,06:10:42,12, O'Connell Street,4439.71,60-38B-b12-1,38B,b12
1104,8240DB001834,"Corduff Park, stop 1834",53.39942521,-6.378952991,6452.1.60-38B-b12-1.201.I,06:12:13,06:12:13,13, O'Connell Street,4839.66,60-38B-b12-1,38B,b12
1105,8240DB001835,"Corduff, stop 1835",53.40001235,-6.37520109,6452.1.60-38B-b12-1.201.I,06:13:19,06:13:19,14, O'Connell Street,5126.47,60-38B-b12-1,38B,b12
1106,8240DB001836,"Aquatic Centre, stop 1836",53.398012,-6.37153286,6452.1.60-38B-b12-1.201.I,06:14:29,06:14:29,15, O'Connell Street,5482.16,60-38B-b12-1,38B,b12
1107,8240DB001837,"Corduff Crescent, stop 1837",53.39584106,-6.375134453,6452.1.60-38B-b12-1.201.I,06:15:38,06:15:38,16, O'Connell Street,5825.05,60-38B-b12-1,38B,b12
1108,8240DB002338,"Waterville Row, stop 2338",53.39308467,-6.377991082,6452.1.60-38B-b12-1.201.I,06:16:26,06:16:26,17, O'Connell Street,6252.59,60-38B-b12-1,38B,b12
1109,8240DB001845,"Morgan Place, stop 1845",53.37902299,-6.352716929,6452.1.60-38B-b12-1.201.I,06:21:09,06:21:09,18, O'Connell Street,8817.57,60-38B-b12-1,38B,b12
1110,8240DB007166,"Parkway Station, stop 7166",53.3770936,-6.345787136,6452.1.60-38B-b12-1.201.I,06:22:07,06:22:07,19, O'Connell Street,9328.62,60-38B-b12-1,38B,b12
