Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB004745,"Damastown IBM, stop 4745",53.42046909,-6.419423162,1604.1.60-38D-b12-1.202.I,17:16:00,17:16:00,1, Burlington Road,0.0,60-38D-b12-1,38D,b12
1,8240DB004989,"IBM Campus, stop 4989",53.41910966,-6.417893831,1604.1.60-38D-b12-1.202.I,17:16:21,17:16:21,2, Burlington Road,238.57,60-38D-b12-1,38D,b12
2,8240DB001845,"Morgan Place, stop 1845",53.37902299,-6.352716929,1604.1.60-38D-b12-1.202.I,17:26:34,17:26:34,3, Burlington Road,7714.14,60-38D-b12-1,38D,b12
3,8240DB007166,"Parkway Station, stop 7166",53.3770936,-6.345787136,1604.1.60-38D-b12-1.202.I,17:27:18,17:27:18,4, Burlington Road,8225.19,60-38D-b12-1,38D,b12
4,8220DB001847,"Old Racecourse, stop 1847",53.37290201,-6.333926261,1604.1.60-38D-b12-1.202.I,17:28:54,17:28:54,5, Burlington Road,9138.98,60-38D-b12-1,38D,b12
5,8220DB001696,"Ashtown Roundabout, stop 1696",53.37154152,-6.329831443,1604.1.60-38D-b12-1.202.I,17:30:05,17:30:05,6, Burlington Road,9461.72,60-38D-b12-1,38D,b12
6,8220DB001697,"Kempton, stop 1697",53.37080115,-6.327666259,1604.1.60-38D-b12-1.202.I,17:30:32,17:30:32,7, Burlington Road,9626.81,60-38D-b12-1,38D,b12
7,8220DB001698,"Ashtown Grove, stop 1698",53.3695773,-6.323716751,1604.1.60-38D-b12-1.202.I,17:31:22,17:31:22,8, Burlington Road,9922.55,60-38D-b12-1,38D,b12
8,8220DB001699,"Baggot Road, stop 1699",53.36874361,-6.321314995,1604.1.60-38D-b12-1.202.I,17:32:02,17:32:02,9, Burlington Road,10106.77,60-38D-b12-1,38D,b12
9,8220DB001700,"Baggot Road, stop 1700",53.36770883,-6.317403485,1604.1.60-38D-b12-1.202.I,17:33:02,17:33:02,10, Burlington Road,10392.29,60-38D-b12-1,38D,b12
10,8220DB001701,"Our Lady's Church, stop 1701",53.36656726,-6.312940383,1604.1.60-38D-b12-1.202.I,17:33:36,17:33:36,11, Burlington Road,10712.88,60-38D-b12-1,38D,b12
11,8220DB001702,"Navan Road Church, stop 1702",53.36561083,-6.310138139,1604.1.60-38D-b12-1.202.I,17:34:00,17:34:00,12, Burlington Road,10927.9,60-38D-b12-1,38D,b12
12,8220DB001703,"Cabra Garda Station, stop 1703",53.3647354,-6.307347834,1604.1.60-38D-b12-1.202.I,17:34:37,17:34:37,13, Burlington Road,11138.11,60-38D-b12-1,38D,b12
13,8220DB001905,"Skreen Road, stop 1905",53.36331755,-6.303076594,1604.1.60-38D-b12-1.202.I,17:35:32,17:35:32,14, Burlington Road,11461.51,60-38D-b12-1,38D,b12
14,8220DB001804,"Rosecourt, stop 1804",53.36169739,-6.297236037,1604.1.60-38D-b12-1.202.I,17:36:55,17:36:55,15, Burlington Road,11898.98,60-38D-b12-1,38D,b12
15,8220DB001803,"Cabra Road, stop 1803",53.3615636,-6.294161194,1604.1.60-38D-b12-1.202.I,17:37:36,17:37:36,16, Burlington Road,12104.55,60-38D-b12-1,38D,b12
16,8220DB000077,"Quarry Road, stop 77",53.36130918,-6.289573652,1604.1.60-38D-b12-1.202.I,17:38:36,17:38:36,17, Burlington Road,12409.75,60-38D-b12-1,38D,b12
17,8220DB000078,"Annamoe Terrace, stop 78",53.36114922,-6.284065835,1604.1.60-38D-b12-1.202.I,17:39:48,17:39:48,18, Burlington Road,12780.53,60-38D-b12-1,38D,b12
18,8220DB000079,"Churchview Home, stop 79",53.36102125,-6.280795506,1604.1.60-38D-b12-1.202.I,17:40:33,17:40:33,19, Burlington Road,13010.24,60-38D-b12-1,38D,b12
19,8220DB000080,"Phibsborough PO, stop 80",53.36086296,-6.276053962,1604.1.60-38D-b12-1.202.I,17:41:39,17:41:39,20, Burlington Road,13325.45,60-38D-b12-1,38D,b12
20,8220DB000082,"Phibsborough, stop 82",53.3607978,-6.27154908,1604.1.60-38D-b12-1.202.I,17:42:54,17:42:54,21, Burlington Road,13623.76,60-38D-b12-1,38D,b12
21,8220DB000817,"Mater Hospital, stop 817",53.35964622,-6.269612438,1604.1.60-38D-b12-1.202.I,17:43:53,17:43:53,22, Burlington Road,13856.05,60-38D-b12-1,38D,b12
22,8220DB000818,"O'Connell Avenue, stop 818",53.35848112,-6.269223945,1604.1.60-38D-b12-1.202.I,17:44:29,17:44:29,23, Burlington Road,13998.32,60-38D-b12-1,38D,b12
23,8220DB000819,"Blessington Street, stop 819",53.35630402,-6.265991986,1604.1.60-38D-b12-1.202.I,17:46:13,17:46:13,24, Burlington Road,14349.38,60-38D-b12-1,38D,b12
24,8220DB000265,"Parnell Square East, stop 265",53.35336157,-6.262055381,1604.1.60-38D-b12-1.202.I,17:48:50,17:48:50,25, Burlington Road,14891.53,60-38D-b12-1,38D,b12
25,8220DB006059,"The Spire of Dublin, stop 6059",53.35022443,-6.260185175,1604.1.60-38D-b12-1.202.I,17:51:13,17:51:13,26, Burlington Road,15263.5,60-38D-b12-1,38D,b12
26,8220DB000404,"Nassau Street, stop 404",53.34266333,-6.256347892,1604.1.60-38D-b12-1.202.I,17:58:16,17:58:16,28, Burlington Road,16355.7,60-38D-b12-1,38D,b12
27,8220DB000747,"Kildare Street, stop 747",53.3399308,-6.255723519,1604.1.60-38D-b12-1.202.I,18:00:48,18:00:48,29, Burlington Road,16745.83,60-38D-b12-1,38D,b12
28,8220DB000748,"Huguenot Cemetery, stop 748",53.33850953,-6.255030666,1604.1.60-38D-b12-1.202.I,18:02:14,18:02:14,30, Burlington Road,16989.66,60-38D-b12-1,38D,b12
29,8220DB000749,"Baggot St Lower, stop 749",53.3376207,-6.250802147,1604.1.60-38D-b12-1.202.I,18:03:59,18:03:59,31, Burlington Road,17287.64,60-38D-b12-1,38D,b12
30,8220DB000750,"Fitzwilliam Street, stop 750",53.33657108,-6.248487503,1604.1.60-38D-b12-1.202.I,18:04:59,18:04:59,32, Burlington Road,17478.95,60-38D-b12-1,38D,b12
31,8220DB000751,"Herbert Street, stop 751",53.33532055,-6.246571636,1604.1.60-38D-b12-1.202.I,18:05:59,18:05:59,33, Burlington Road,17666.03,60-38D-b12-1,38D,b12
32,8220DB000752,"Baggot St Upper, stop 752",53.33367165,-6.24446202,1604.1.60-38D-b12-1.202.I,18:07:13,18:07:13,34, Burlington Road,17900.3,60-38D-b12-1,38D,b12
33,8220DB000753,"Waterloo Road, stop 753",53.33245339,-6.243521055,1604.1.60-38D-b12-1.202.I,18:07:49,18:07:49,35, Burlington Road,18079.04,60-38D-b12-1,38D,b12
34,8220DB007370,"Burlington Road, stop 7370",53.33162307,-6.245732326,1604.1.60-38D-b12-1.202.I,18:08:41,18:08:41,36, Burlington Road,18321.0,60-38D-b12-1,38D,b12
35,8220DB007339,"Burlington Road, stop 7339",53.33240794,-6.246540962,1604.1.60-38D-b12-1.202.I,18:09:06,18:09:06,37, Burlington Road,18439.97,60-38D-b12-1,38D,b12
