Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
72,8220DB007333,"Mespil Hotel, stop 7333",53.33298967,-6.246982573,3197.1.60-38D-b12-1.203.O,07:40:00,07:40:00,1, Damastown,0.0,60-38D-b12-1,38D,b12
73,8220DB000783,"Baggot St Lower, stop 783",53.33530854,-6.246977564,3197.1.60-38D-b12-1.203.O,07:42:14,07:42:14,2, Damastown,406.54,60-38D-b12-1,38D,b12
74,8220DB000784,"Fitzwilliam Street, stop 784",53.33645673,-6.248657371,3197.1.60-38D-b12-1.203.O,07:42:44,07:42:44,3, Damastown,576.78,60-38D-b12-1,38D,b12
75,8220DB000785,"Pembroke St Lower, stop 785",53.3371059,-6.251859373,3197.1.60-38D-b12-1.203.O,07:43:36,07:43:36,4, Damastown,855.05,60-38D-b12-1,38D,b12
76,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,3197.1.60-38D-b12-1.203.O,07:45:37,07:45:37,5, Damastown,1342.87,60-38D-b12-1,38D,b12
77,8220DB000793,"Dawson Street, stop 793",53.34085979,-6.258403869,3197.1.60-38D-b12-1.203.O,07:48:52,07:48:52,6, Damastown,2146.7,60-38D-b12-1,38D,b12
78,8220DB000274,"O'Connell St Upper, stop 274",53.35034908,-6.260720869,3197.1.60-38D-b12-1.203.O,07:55:28,07:55:28,9, Damastown,3297.08,60-38D-b12-1,38D,b12
79,8220DB000002,"Parnell Square West, stop 2",53.35224436,-6.263723219,3197.1.60-38D-b12-1.203.O,07:58:46,07:58:46,10, Damastown,3713.15,60-38D-b12-1,38D,b12
80,8220DB000192,"Mountjoy Street, stop 192",53.35639721,-6.26807647,3197.1.60-38D-b12-1.203.O,08:00:50,08:00:50,11, Damastown,4324.35,60-38D-b12-1,38D,b12
81,8220DB000795,"Berkeley Road, stop 795",53.35874004,-6.269724278,3197.1.60-38D-b12-1.203.O,08:01:46,08:01:46,12, Damastown,4616.0,60-38D-b12-1,38D,b12
82,8220DB000796,"Berkeley Road, stop 796",53.36001821,-6.269852786,3197.1.60-38D-b12-1.203.O,08:02:28,08:02:28,13, Damastown,4755.88,60-38D-b12-1,38D,b12
83,8220DB000057,"Dalymount, stop 57",53.36081622,-6.276551675,3197.1.60-38D-b12-1.203.O,08:05:11,08:05:11,14, Damastown,5280.3,60-38D-b12-1,38D,b12
84,8220DB000058,"Churchview Home, stop 58",53.36094625,-6.281204202,3197.1.60-38D-b12-1.203.O,08:06:23,08:06:23,15, Damastown,5589.54,60-38D-b12-1,38D,b12
85,8220DB000059,"Annamoe Terrace, stop 59",53.36101801,-6.284942563,3197.1.60-38D-b12-1.203.O,08:07:20,08:07:20,16, Damastown,5837.93,60-38D-b12-1,38D,b12
86,8220DB000060,"Quarry Road, stop 60",53.36127922,-6.2893645,3197.1.60-38D-b12-1.203.O,08:08:28,08:08:28,17, Damastown,6132.14,60-38D-b12-1,38D,b12
87,8220DB001802,"Cabra Road, stop 1802",53.36138032,-6.294544145,3197.1.60-38D-b12-1.203.O,08:09:50,08:09:50,18, Damastown,6476.27,60-38D-b12-1,38D,b12
88,8220DB001795,"Rosecourt, stop 1795",53.3615034,-6.296868142,3197.1.60-38D-b12-1.203.O,08:10:27,08:10:27,19, Damastown,6630.91,60-38D-b12-1,38D,b12
89,8220DB001806,"Navan Road, stop 1806",53.36290691,-6.302642142,3197.1.60-38D-b12-1.203.O,08:12:05,08:12:05,20, Damastown,7052.15,60-38D-b12-1,38D,b12
90,8220DB001660,"Cabra Garda Station, stop 1660",53.36518655,-6.309373553,3197.1.60-38D-b12-1.203.O,08:14:05,08:14:05,21, Damastown,7567.05,60-38D-b12-1,38D,b12
91,8220DB001661,"Our Lady's Church, stop 1661",53.36644362,-6.313095538,3197.1.60-38D-b12-1.203.O,08:15:13,08:15:13,22, Damastown,7850.76,60-38D-b12-1,38D,b12
92,8220DB001662,"Baggot Road, stop 1662",53.36760294,-6.317542905,3197.1.60-38D-b12-1.203.O,08:16:28,08:16:28,23, Damastown,8173.23,60-38D-b12-1,38D,b12
93,8220DB001664,"Ashtown Grove, stop 1664",53.36940852,-6.32385863,3197.1.60-38D-b12-1.203.O,08:17:40,08:17:40,24, Damastown,8638.86,60-38D-b12-1,38D,b12
