Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB007158,"Delhurst, stop 7158",53.39191955,-6.43822334,11075.3.60-39-b12-1.211.I,06:17:00,06:17:00,1, Burlington Road,0.0,60-39-b12-1,39,b12
1,8240DB007048,"Barnwell Green, stop 7048",53.39301156,-6.442694165,11075.3.60-39-b12-1.211.I,06:17:35,06:17:35,2, Burlington Road,346.06,60-39-b12-1,39,b12
2,8240DB007699,"Blackwood Park, stop 7699",53.39497415,-6.444321655,11075.3.60-39-b12-1.211.I,06:18:11,06:18:11,3, Burlington Road,708.05,60-39-b12-1,39,b12
3,8240DB007159,"Ongar Square, stop 7159",53.39659834,-6.442743644,11075.3.60-39-b12-1.211.I,06:18:33,06:18:33,4, Burlington Road,922.96,60-39-b12-1,39,b12
4,8240DB007388,"Linnetfields, stop 7388",53.39795854,-6.442287956,11075.3.60-39-b12-1.211.I,06:18:48,06:18:48,5, Burlington Road,1078.33,60-39-b12-1,39,b12
5,8240DB007017,"Phibblestown Road, stop 7017",53.40187634,-6.435347136,11075.3.60-39-b12-1.211.I,06:20:34,06:20:34,6, Burlington Road,1872.21,60-39-b12-1,39,b12
6,8240DB007018,"Castlegrange Row, stop 7018",53.3988068,-6.431564896,11075.3.60-39-b12-1.211.I,06:21:33,06:21:33,7, Burlington Road,2309.29,60-39-b12-1,39,b12
7,8240DB007030,"Ravenwood Road, stop 7030",53.39589929,-6.42917567,11075.3.60-39-b12-1.211.I,06:22:29,06:22:29,8, Burlington Road,2735.14,60-39-b12-1,39,b12
8,8240DB007021,"Manorfields Drive, stop 7021",53.39405503,-6.431093071,11075.3.60-39-b12-1.211.I,06:23:02,06:23:02,9, Burlington Road,2979.11,60-39-b12-1,39,b12
9,8240DB007163,"Allendale Square, stop 7163",53.3890226,-6.430466285,11075.3.60-39-b12-1.211.I,06:24:34,06:24:34,10, Burlington Road,3664.7,60-39-b12-1,39,b12
10,8240DB001893,"St Joseph's Hospital, stop 1893",53.38694047,-6.428648612,11075.3.60-39-b12-1.211.I,06:25:10,06:25:10,11, Burlington Road,3945.57,60-39-b12-1,39,b12
11,8240DB001894,"Clonsilla Train Stn, stop 1894",53.38359077,-6.423405287,11075.3.60-39-b12-1.211.I,06:26:31,06:26:31,12, Burlington Road,4560.22,60-39-b12-1,39,b12
12,8240DB001912,"Clonsilla Station, stop 1912",53.38366981,-6.42054614,11075.3.60-39-b12-1.211.I,06:26:57,06:26:57,13, Burlington Road,4763.29,60-39-b12-1,39,b12
13,8240DB001895,"Clonsilla Road, stop 1895",53.38352601,-6.417154066,11075.3.60-39-b12-1.211.I,06:27:30,06:27:30,14, Burlington Road,4988.94,60-39-b12-1,39,b12
14,8240DB001896,"Lambourn, stop 1896",53.38335556,-6.413793069,11075.3.60-39-b12-1.211.I,06:28:03,06:28:03,15, Burlington Road,5212.54,60-39-b12-1,39,b12
15,8240DB001897,"Castlefield Woods, stop 1897",53.38311196,-6.410344628,11075.3.60-39-b12-1.211.I,06:28:37,06:28:37,16, Burlington Road,5442.35,60-39-b12-1,39,b12
16,8240DB006088,"Shelerin Road, stop 6088",53.38363955,-6.409468102,11075.3.60-39-b12-1.211.I,06:28:57,06:28:57,17, Burlington Road,5578.4,60-39-b12-1,39,b12
17,8240DB001898,"Lohunda Crescent, stop 1898",53.38759805,-6.409756516,11075.3.60-39-b12-1.211.I,06:30:02,06:30:02,18, Burlington Road,6024.64,60-39-b12-1,39,b12
18,8240DB001858,"Hartstown Road, stop 1858",53.39088162,-6.41065651,11075.3.60-39-b12-1.211.I,06:31:22,06:31:22,19, Burlington Road,6569.22,60-39-b12-1,39,b12
19,8240DB001859,"Willow Wood, stop 1859",53.39103578,-6.415492162,11075.3.60-39-b12-1.211.I,06:32:14,06:32:14,20, Burlington Road,6893.28,60-39-b12-1,39,b12
20,8240DB001860,"St Ciaran's Church, stop 1860",53.39329913,-6.41876115,11075.3.60-39-b12-1.211.I,06:33:14,06:33:14,21, Burlington Road,7260.07,60-39-b12-1,39,b12
21,8240DB004492,"Cherryfield Park, stop 4492",53.39499841,-6.418126754,11075.3.60-39-b12-1.211.I,06:33:45,06:33:45,22, Burlington Road,7451.52,60-39-b12-1,39,b12
22,8240DB001861,"Hartstown Comm School, stop 1861",53.39674962,-6.416663322,11075.3.60-39-b12-1.211.I,06:34:18,06:34:18,23, Burlington Road,7669.26,60-39-b12-1,39,b12
23,8240DB001862,"Pinebrook Vale, stop 1862",53.39861599,-6.415075183,11075.3.60-39-b12-1.211.I,06:34:58,06:34:58,24, Burlington Road,7919.76,60-39-b12-1,39,b12
24,8240DB001863,"Huntstown Green, stop 1863",53.40061529,-6.413346609,11075.3.60-39-b12-1.211.I,06:35:37,06:35:37,25, Burlington Road,8169.13,60-39-b12-1,39,b12
25,8240DB001864,"Sacred Heart Church, stop 1864",53.40181601,-6.410369287,11075.3.60-39-b12-1.211.I,06:36:13,06:36:13,26, Burlington Road,8408.55,60-39-b12-1,39,b12
26,8240DB001865,"Ashfield Gardens, stop 1865",53.40104463,-6.406442806,11075.3.60-39-b12-1.211.I,06:36:58,06:36:58,27, Burlington Road,8697.66,60-39-b12-1,39,b12
