Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
140,8250DB000767,"UCD, stop 767",53.30529725,-6.216680531,11057.3.60-39A-b12-1.212.O,07:15:00,07:15:00,1, Ongar,0.0,60-39A-b12-1,39A,b12
141,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,11057.3.60-39A-b12-1.212.O,07:17:07,07:17:07,2, Ongar,632.37,60-39A-b12-1,39A,b12
142,8220DB000769,"Belfield Court, stop 769",53.31190109,-6.221327857,11057.3.60-39A-b12-1.212.O,07:17:30,07:17:30,3, Ongar,959.93,60-39A-b12-1,39A,b12
143,8220DB000770,"RTE, stop 770",53.31463619,-6.225731811,11057.3.60-39A-b12-1.212.O,07:18:06,07:18:06,4, Ongar,1402.96,60-39A-b12-1,39A,b12
144,8220DB000771,"Teresian School, stop 771",53.31588007,-6.227781522,11057.3.60-39A-b12-1.212.O,07:18:21,07:18:21,5, Ongar,1593.76,60-39A-b12-1,39A,b12
145,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,11057.3.60-39A-b12-1.212.O,07:18:51,07:18:51,6, Ongar,1967.32,60-39A-b12-1,39A,b12
146,8220DB000773,"Donnybrook Road, stop 773",53.31991635,-6.233273319,11057.3.60-39A-b12-1.212.O,07:19:17,07:19:17,7, Ongar,2170.64,60-39A-b12-1,39A,b12
147,8220DB000774,"Donnybrook Garda Stn, stop 774",53.32161212,-6.235499996,11057.3.60-39A-b12-1.212.O,07:19:48,07:19:48,8, Ongar,2412.52,60-39A-b12-1,39A,b12
148,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,11057.3.60-39A-b12-1.212.O,07:20:29,07:20:29,9, Ongar,2736.37,60-39A-b12-1,39A,b12
149,8220DB000776,"Morehampton Terrace, stop 776",53.32547924,-6.241735821,11057.3.60-39A-b12-1.212.O,07:21:14,07:21:14,10, Ongar,3019.25,60-39A-b12-1,39A,b12
150,8220DB000777,"Royal Hospital, stop 777",53.32697216,-6.243626144,11057.3.60-39A-b12-1.212.O,07:21:41,07:21:41,11, Ongar,3227.57,60-39A-b12-1,39A,b12
151,8220DB000779,"Waterloo Road, stop 779",53.32868874,-6.245447363,11057.3.60-39A-b12-1.212.O,07:22:14,07:22:14,12, Ongar,3473.78,60-39A-b12-1,39A,b12
152,8220DB000780,"Burlington Road, stop 780",53.33106335,-6.244343918,11057.3.60-39A-b12-1.212.O,07:22:58,07:22:58,13, Ongar,3748.14,60-39A-b12-1,39A,b12
153,8220DB000781,"Baggot Street, stop 781",53.33262627,-6.243664103,11057.3.60-39A-b12-1.212.O,07:23:28,07:23:28,14, Ongar,3926.5,60-39A-b12-1,39A,b12
154,8220DB000782,"Baggot St Upper, stop 782",53.33358381,-6.244600768,11057.3.60-39A-b12-1.212.O,07:23:54,07:23:54,15, Ongar,4089.61,60-39A-b12-1,39A,b12
155,8220DB000783,"Baggot St Lower, stop 783",53.33530854,-6.246977564,11057.3.60-39A-b12-1.212.O,07:24:35,07:24:35,16, Ongar,4338.12,60-39A-b12-1,39A,b12
156,8220DB000784,"Fitzwilliam Street, stop 784",53.33645673,-6.248657371,11057.3.60-39A-b12-1.212.O,07:24:53,07:24:53,17, Ongar,4508.36,60-39A-b12-1,39A,b12
157,8220DB000785,"Pembroke St Lower, stop 785",53.3371059,-6.251859373,11057.3.60-39A-b12-1.212.O,07:25:25,07:25:25,18, Ongar,4786.63,60-39A-b12-1,39A,b12
158,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,11057.3.60-39A-b12-1.212.O,07:26:40,07:26:40,19, Ongar,5274.44,60-39A-b12-1,39A,b12
159,8220DB000793,"Dawson Street, stop 793",53.34085979,-6.258403869,11057.3.60-39A-b12-1.212.O,07:28:41,07:28:41,20, Ongar,6078.27,60-39A-b12-1,39A,b12
160,8220DB007586,"National Gallery, stop 7586",53.34197047,-6.253222288,11057.3.60-39A-b12-1.212.O,07:30:38,07:30:38,22, Ongar,6573.78,60-39A-b12-1,39A,b12
161,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,11057.3.60-39A-b12-1.212.O,07:32:49,07:32:49,23, Ongar,7130.61,60-39A-b12-1,39A,b12
