Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB007158,"Delhurst, stop 7158",53.39191955,-6.43822334,5526.1.60-39X-b12-1.215.I,07:00:00,07:00:00,1, Burlington Road,0.0,60-39X-b12-1,39X,b12
1,8240DB007048,"Barnwell Green, stop 7048",53.39301156,-6.442694165,5526.1.60-39X-b12-1.215.I,07:00:54,07:00:54,2, Burlington Road,346.06,60-39X-b12-1,39X,b12
2,8240DB007699,"Blackwood Park, stop 7699",53.39497415,-6.444321655,5526.1.60-39X-b12-1.215.I,07:01:51,07:01:51,3, Burlington Road,708.05,60-39X-b12-1,39X,b12
3,8240DB007159,"Ongar Square, stop 7159",53.39659834,-6.442743644,5526.1.60-39X-b12-1.215.I,07:02:25,07:02:25,4, Burlington Road,922.96,60-39X-b12-1,39X,b12
4,8240DB007017,"Phibblestown Road, stop 7017",53.40187634,-6.435347136,5526.1.60-39X-b12-1.215.I,07:04:55,07:04:55,5, Burlington Road,1872.43,60-39X-b12-1,39X,b12
5,8240DB007018,"Castlegrange Row, stop 7018",53.3988068,-6.431564896,5526.1.60-39X-b12-1.215.I,07:06:05,07:06:05,6, Burlington Road,2309.51,60-39X-b12-1,39X,b12
6,8240DB007030,"Ravenwood Road, stop 7030",53.39589929,-6.42917567,5526.1.60-39X-b12-1.215.I,07:07:07,07:07:07,7, Burlington Road,2735.36,60-39X-b12-1,39X,b12
7,8240DB006111,"Allendale Close, stop 6111",53.39081119,-6.42978403,5526.1.60-39X-b12-1.215.I,07:08:52,07:08:52,8, Burlington Road,3434.55,60-39X-b12-1,39X,b12
8,8240DB006112,"Stonebridge Road, stop 6112",53.38926086,-6.421271295,5526.1.60-39X-b12-1.215.I,07:10:21,07:10:21,9, Burlington Road,4024.24,60-39X-b12-1,39X,b12
9,8240DB006113,"Lohunda Park, stop 6113",53.38752246,-6.412179833,5526.1.60-39X-b12-1.215.I,07:11:56,07:11:56,10, Burlington Road,4656.44,60-39X-b12-1,39X,b12
10,8240DB004323,"Whitestown Grove, stop 4323",53.39632886,-6.393912513,5526.1.60-39X-b12-1.215.I,07:16:20,07:16:20,11, Burlington Road,6653.86,60-39X-b12-1,39X,b12
11,8240DB001845,"Morgan Place, stop 1845",53.37902299,-6.352716929,5526.1.60-39X-b12-1.215.I,07:23:45,07:23:45,12, Burlington Road,10366.26,60-39X-b12-1,39X,b12
12,8220DB001696,"Ashtown Roundabout, stop 1696",53.37154152,-6.329831443,5526.1.60-39X-b12-1.215.I,07:27:06,07:27:06,13, Burlington Road,12109.73,60-39X-b12-1,39X,b12
13,8220DB001700,"Baggot Road, stop 1700",53.36770883,-6.317403485,5526.1.60-39X-b12-1.215.I,07:29:24,07:29:24,14, Burlington Road,13040.28,60-39X-b12-1,39X,b12
14,8220DB001906,"Old Cabra Road, stop 1906",53.36120076,-6.297075539,5526.1.60-39X-b12-1.215.I,07:33:22,07:33:22,15, Burlington Road,14580.01,60-39X-b12-1,39X,b12
15,8220DB001909,"Prussia Street, stop 1909",53.35696026,-6.288410723,5526.1.60-39X-b12-1.215.I,07:36:31,07:36:31,16, Burlington Road,15325.08,60-39X-b12-1,39X,b12
16,8220DB001713,"Manor Street, stop 1713",53.35190782,-6.283325473,5526.1.60-39X-b12-1.215.I,07:39:06,07:39:06,17, Burlington Road,15989.24,60-39X-b12-1,39X,b12
17,8220DB001715,"Blackhall Place, stop 1715",53.34771198,-6.2821873,5526.1.60-39X-b12-1.215.I,07:41:52,07:41:52,18, Burlington Road,16486.12,60-39X-b12-1,39X,b12
18,8220DB001478,"Four Courts, stop 1478",53.3456082,-6.272809481,5526.1.60-39X-b12-1.215.I,07:46:03,07:46:03,19, Burlington Road,17246.16,60-39X-b12-1,39X,b12
19,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,5526.1.60-39X-b12-1.215.I,07:50:23,07:50:23,20, Burlington Road,18009.79,60-39X-b12-1,39X,b12
20,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,5526.1.60-39X-b12-1.215.I,07:54:21,07:54:21,21, Burlington Road,18480.22,60-39X-b12-1,39X,b12
21,8220DB002809,"Pearse Station, stop 2809",53.34288455,-6.2499709,5526.1.60-39X-b12-1.215.I,08:00:16,08:00:16,22, Burlington Road,19416.83,60-39X-b12-1,39X,b12
22,8220DB002810,"Merrion Square West, stop 2810",53.34079491,-6.250897489,5526.1.60-39X-b12-1.215.I,08:01:52,08:01:52,23, Burlington Road,19656.85,60-39X-b12-1,39X,b12
23,8220DB000749,"Baggot St Lower, stop 749",53.3376207,-6.250802147,5526.1.60-39X-b12-1.215.I,08:05:20,08:05:20,24, Burlington Road,20019.7,60-39X-b12-1,39X,b12
24,8220DB000751,"Herbert Street, stop 751",53.33532055,-6.246571636,5526.1.60-39X-b12-1.215.I,08:07:23,08:07:23,25, Burlington Road,20398.17,60-39X-b12-1,39X,b12
25,8220DB000752,"Baggot St Upper, stop 752",53.33367165,-6.24446202,5526.1.60-39X-b12-1.215.I,08:08:39,08:08:39,26, Burlington Road,20632.43,60-39X-b12-1,39X,b12
26,8220DB007339,"Burlington Road, stop 7339",53.33240794,-6.246540962,5526.1.60-39X-b12-1.215.I,08:09:59,08:09:59,27, Burlington Road,20989.07,60-39X-b12-1,39X,b12
