Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
54,8220DB007333,"Mespil Hotel, stop 7333",53.33298967,-6.246982573,5527.1.60-39X-b12-1.214.O,16:55:00,16:55:00,1, Ongar,0.0,60-39X-b12-1,39X,b12
55,8220DB000783,"Baggot St Lower, stop 783",53.33530854,-6.246977564,5527.1.60-39X-b12-1.214.O,16:56:41,16:56:41,2, Ongar,406.54,60-39X-b12-1,39X,b12
56,8220DB000785,"Pembroke St Lower, stop 785",53.3371059,-6.251859373,5527.1.60-39X-b12-1.214.O,16:58:23,16:58:23,3, Ongar,854.86,60-39X-b12-1,39X,b12
57,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,5527.1.60-39X-b12-1.214.O,17:01:32,17:01:32,4, Ongar,1342.68,60-39X-b12-1,39X,b12
58,8220DB000793,"Dawson Street, stop 793",53.34085979,-6.258403869,5527.1.60-39X-b12-1.214.O,17:05:24,17:05:24,5, Ongar,2146.51,60-39X-b12-1,39X,b12
59,8220DB007586,"National Gallery, stop 7586",53.34197047,-6.253222288,5527.1.60-39X-b12-1.214.O,17:07:54,17:07:54,6, Ongar,2641.96,60-39X-b12-1,39X,b12
60,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,5527.1.60-39X-b12-1.214.O,17:10:37,17:10:37,7, Ongar,3198.8,60-39X-b12-1,39X,b12
61,8220DB000328,"Aston Quay, stop 328",53.34633289,-6.261440109,5527.1.60-39X-b12-1.214.O,17:15:00,17:15:00,8, Ongar,4062.89,60-39X-b12-1,39X,b12
62,8220DB001443,"Civic Offices, stop 1443",53.34512939,-6.269539559,5527.1.60-39X-b12-1.214.O,17:18:05,17:18:05,9, Ongar,4617.47,60-39X-b12-1,39X,b12
63,8220DB001647,"Blackhall Place, stop 1647",53.34835106,-6.282251726,5527.1.60-39X-b12-1.214.O,17:26:07,17:26:07,10, Ongar,5727.47,60-39X-b12-1,39X,b12
64,8220DB001649,"Manor Street, stop 1649",53.35257014,-6.284380448,5527.1.60-39X-b12-1.214.O,17:29:58,17:29:58,11, Ongar,6256.71,60-39X-b12-1,39X,b12
65,8220DB001911,"Prussia Street, stop 1911",53.35663451,-6.288258519,5527.1.60-39X-b12-1.214.O,17:33:45,17:33:45,12, Ongar,6782.09,60-39X-b12-1,39X,b12
66,8220DB001805,"Dunard, stop 1805",53.3611627,-6.297557861,5527.1.60-39X-b12-1.214.O,17:36:00,17:36:00,13, Ongar,7590.8,60-39X-b12-1,39X,b12
67,8220DB001662,"Baggot Road, stop 1662",53.36760294,-6.317542905,5527.1.60-39X-b12-1.214.O,17:43:27,17:43:27,14, Ongar,9101.76,60-39X-b12-1,39X,b12
68,8220DB001666,"Ashtown Roundabout, stop 1666",53.37159715,-6.330595731,5527.1.60-39X-b12-1.214.O,17:45:29,17:45:29,15, Ongar,10075.98,60-39X-b12-1,39X,b12
69,8240DB001808,"Morgan Place, stop 1808",53.37924155,-6.354226659,5527.1.60-39X-b12-1.214.O,17:48:08,17:48:08,16, Ongar,11871.51,60-39X-b12-1,39X,b12
70,8240DB007475,"Retail Park, stop 7475",53.39546547,-6.395208133,5527.1.60-39X-b12-1.214.O,17:57:31,17:57:31,17, Ongar,15419.86,60-39X-b12-1,39X,b12
71,8240DB006107,"Lohunda Park, stop 6107",53.38733001,-6.411901348,5527.1.60-39X-b12-1.214.O,18:02:35,18:02:35,18, Ongar,17339.37,60-39X-b12-1,39X,b12
72,8240DB006109,"Stonebridge Road, stop 6109",53.38914845,-6.421606218,5527.1.60-39X-b12-1.214.O,18:04:11,18:04:11,19, Ongar,18013.9,60-39X-b12-1,39X,b12
73,8240DB006110,"Allendale Close, stop 6110",53.39069797,-6.430058832,5527.1.60-39X-b12-1.214.O,18:05:34,18:05:34,20, Ongar,18600.46,60-39X-b12-1,39X,b12
74,8240DB007029,"Ravenwood Road, stop 7029",53.39566188,-6.429575375,5527.1.60-39X-b12-1.214.O,18:07:18,18:07:18,21, Ongar,19339.6,60-39X-b12-1,39X,b12
75,8240DB007038,"Latchfort Court, stop 7038",53.39827905,-6.431073018,5527.1.60-39X-b12-1.214.O,18:08:03,18:08:03,22, Ongar,19709.25,60-39X-b12-1,39X,b12
76,8240DB007011,"Phibblestown Road, stop 7011",53.40159647,-6.435252132,5527.1.60-39X-b12-1.214.O,18:09:03,18:09:03,23, Ongar,20191.6,60-39X-b12-1,39X,b12
77,8240DB007160,"Ongar Square, stop 7160",53.39657763,-6.442533878,5527.1.60-39X-b12-1.214.O,18:10:57,18:10:57,24, Ongar,21115.45,60-39X-b12-1,39X,b12
78,8240DB007700,"Willian’s Drive, stop 7700",53.39490911,-6.444158624,5527.1.60-39X-b12-1.214.O,18:11:25,18:11:25,25, Ongar,21340.05,60-39X-b12-1,39X,b12
79,8240DB007047,"Barnwell Green, stop 7047",53.39311838,-6.442615085,5527.1.60-39X-b12-1.214.O,18:12:01,18:12:01,26, Ongar,21632.26,60-39X-b12-1,39X,b12
80,8240DB007161,"Delhurst, stop 7161",53.3920627,-6.438172992,5527.1.60-39X-b12-1.214.O,18:12:42,18:12:42,27, Ongar,21966.57,60-39X-b12-1,39X,b12
81,8240DB007162,"Hansfield Road, stop 7162",53.3912812,-6.433405304,5527.1.60-39X-b12-1.214.O,18:13:23,18:13:23,28, Ongar,22298.59,60-39X-b12-1,39X,b12
