Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
122,8240DB000324,"Harristown, stop 324",53.41772268,-6.278644169,15121.2.60-4-b12-1.3.O,13:15:00,13:15:00,1, Monkstown Ave,0.0,60-4-b12-1,4,b12
123,8240DB000327,"Silloge Golf Club, stop 327",53.41319803,-6.265347926,15121.2.60-4-b12-1.3.O,13:17:05,13:17:05,6, Monkstown Ave,2181.47,60-4-b12-1,4,b12
124,8220DB007113,"Northwood Avenue, stop 7113",53.40254107,-6.264924264,15121.2.60-4-b12-1.3.O,13:20:01,13:20:01,7, Monkstown Ave,3387.92,60-4-b12-1,4,b12
125,8220DB000127,"Nursing Home, stop 127",53.39910753,-6.263680428,15121.2.60-4-b12-1.3.O,13:21:47,13:21:47,8, Monkstown Ave,3784.6,60-4-b12-1,4,b12
126,8220DB000112,"Civic Centre, stop 112",53.3961544,-6.26395104,15121.2.60-4-b12-1.3.O,13:23:16,13:23:16,9, Monkstown Ave,4113.6,60-4-b12-1,4,b12
127,8220DB000113,"Trinity Comp School, stop 113",53.39226796,-6.263703255,15121.2.60-4-b12-1.3.O,13:24:37,13:24:37,10, Monkstown Ave,4546.42,60-4-b12-1,4,b12
128,8220DB000114,"Ballymun Road, stop 114",53.39133332,-6.263711229,15121.2.60-4-b12-1.3.O,13:24:56,13:24:56,11, Monkstown Ave,4650.35,60-4-b12-1,4,b12
129,8220DB000115,"Ballymun Road Church, stop 115",53.38796409,-6.2650361,15121.2.60-4-b12-1.3.O,13:26:09,13:26:09,12, Monkstown Ave,5035.35,60-4-b12-1,4,b12
130,8220DB000037,"DCU Ballymun Road, stop 37",53.3853464,-6.264886981,15121.2.60-4-b12-1.3.O,13:27:03,13:27:03,13, Monkstown Ave,5328.22,60-4-b12-1,4,b12
131,8220DB000038,"Hampstead Avenue, stop 38",53.38223659,-6.265509521,15121.2.60-4-b12-1.3.O,13:28:08,13:28:08,14, Monkstown Ave,5676.46,60-4-b12-1,4,b12
132,8220DB000039,"The Rise, stop 39",53.38041419,-6.265658759,15121.2.60-4-b12-1.3.O,13:28:45,13:28:45,15, Monkstown Ave,5879.34,60-4-b12-1,4,b12
133,8220DB000040,"Stella Avenue, stop 40",53.37666077,-6.264668969,15121.2.60-4-b12-1.3.O,13:30:04,13:30:04,16, Monkstown Ave,6302.12,60-4-b12-1,4,b12
134,8220DB000146,"Na Fianna GAA Club, stop 146",53.37504013,-6.265095586,15121.2.60-4-b12-1.3.O,13:30:37,13:30:37,17, Monkstown Ave,6485.76,60-4-b12-1,4,b12
135,8220DB000147,"Tolka Bridge, stop 147",53.37248023,-6.265830862,15121.2.60-4-b12-1.3.O,13:31:32,13:31:32,18, Monkstown Ave,6775.56,60-4-b12-1,4,b12
