Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
3032,8250DB007330,"Bluepool Pitches, stop 7330",53.28851664,-6.153525172,15558.2.60-4-b12-1.6.I,23:30:00,23:30:00,1, O'Connell St,0.0,60-4-b12-1,4,b12
3033,8250DB002051,"Lanesville, stop 2051",53.28644899,-6.159899008,15558.2.60-4-b12-1.6.I,23:30:52,23:30:52,2, O'Connell St,481.92,60-4-b12-1,4,b12
3034,8250DB006086,"Grange Grove, stop 6086",53.28624448,-6.16529248,15558.2.60-4-b12-1.6.I,23:31:38,23:31:38,3, O'Connell St,896.11,60-4-b12-1,4,b12
3035,8250DB003161,"Deansgrange Park, stop 3161",53.28700456,-6.167959796,15558.2.60-4-b12-1.6.I,23:31:58,23:31:58,4, O'Connell St,1118.39,60-4-b12-1,4,b12
3036,8250DB003162,"Rowan Park, stop 3162",53.2897488,-6.167557356,15558.2.60-4-b12-1.6.I,23:32:27,23:32:27,5, O'Connell St,1442.06,60-4-b12-1,4,b12
3037,8250DB003163,"Stradbrook Road, stop 3163",53.29250686,-6.166884246,15558.2.60-4-b12-1.6.I,23:32:56,23:32:56,6, O'Connell St,1769.17,60-4-b12-1,4,b12
3038,8250DB003164,"Temple Hill, stop 3164",53.29560003,-6.169887273,15558.2.60-4-b12-1.6.I,23:33:31,23:33:31,7, O'Connell St,2174.72,60-4-b12-1,4,b12
3039,8250DB003084,"Frascati SC, stop 3084",53.30138125,-6.181163412,15558.2.60-4-b12-1.6.I,23:34:59,23:34:59,8, O'Connell St,3243.48,60-4-b12-1,4,b12
3040,8250DB000469,"Rock Road, stop 469",53.30284573,-6.184072133,15558.2.60-4-b12-1.6.I,23:35:22,23:35:22,9, O'Connell St,3531.02,60-4-b12-1,4,b12
3041,8250DB000470,"Blackrock Clinic, stop 470",53.30562585,-6.188981104,15558.2.60-4-b12-1.6.I,23:36:01,23:36:01,10, O'Connell St,3983.06,60-4-b12-1,4,b12
3042,8250DB000471,"Blackrock College, stop 471",53.30687081,-6.191059299,15558.2.60-4-b12-1.6.I,23:36:19,23:36:19,11, O'Connell St,4184.39,60-4-b12-1,4,b12
3043,8250DB000472,"Booterstown Station, stop 472",53.30788203,-6.194918267,15558.2.60-4-b12-1.6.I,23:36:37,23:36:37,12, O'Connell St,4463.36,60-4-b12-1,4,b12
3044,8250DB000473,"Grotto Avenue, stop 473",53.30924058,-6.197382139,15558.2.60-4-b12-1.6.I,23:36:53,23:36:53,13, O'Connell St,4686.43,60-4-b12-1,4,b12
3045,8250DB004705,"St Helen's Road, stop 4705",53.31081827,-6.200077066,15558.2.60-4-b12-1.6.I,23:37:09,23:37:09,14, O'Connell St,4937.07,60-4-b12-1,4,b12
3046,8250DB000475,"Bellevue Avenue, stop 475",53.31270616,-6.201888675,15558.2.60-4-b12-1.6.I,23:37:25,23:37:25,15, O'Connell St,5176.16,60-4-b12-1,4,b12
3047,8220DB000476,"Merrion Gates, stop 476",53.31575153,-6.204762523,15558.2.60-4-b12-1.6.I,23:37:52,23:37:52,16, O'Connell St,5572.62,60-4-b12-1,4,b12
3048,8220DB000477,"Herbert Avenue, stop 477",53.31686305,-6.20695232,15558.2.60-4-b12-1.6.I,23:38:06,23:38:06,17, O'Connell St,5768.42,60-4-b12-1,4,b12
3049,8220DB000478,"St Vincent's Hosp, stop 478",53.3181143,-6.211267825,15558.2.60-4-b12-1.6.I,23:38:28,23:38:28,18, O'Connell St,6087.07,60-4-b12-1,4,b12
3050,8220DB000479,"Merrion Centre, stop 479",53.31914397,-6.213401287,15558.2.60-4-b12-1.6.I,23:38:41,23:38:41,19, O'Connell St,6268.87,60-4-b12-1,4,b12
3051,8220DB000480,"Netherlands Embassy, stop 480",53.32084998,-6.216287205,15558.2.60-4-b12-1.6.I,23:39:00,23:39:00,20, O'Connell St,6537.95,60-4-b12-1,4,b12
3052,8220DB000481,"Wanderers FC, stop 481",53.32234464,-6.218266443,15558.2.60-4-b12-1.6.I,23:39:15,23:39:15,21, O'Connell St,6749.66,60-4-b12-1,4,b12
3053,8220DB000482,"Shrewsbury Road, stop 482",53.32472778,-6.221965295,15558.2.60-4-b12-1.6.I,23:39:42,23:39:42,22, O'Connell St,7111.57,60-4-b12-1,4,b12
3054,8220DB000483,"British Embassy, stop 483",53.32594411,-6.223971481,15558.2.60-4-b12-1.6.I,23:40:10,23:40:10,23, O'Connell St,7300.37,60-4-b12-1,4,b12
3055,8220DB000485,"RDS Ballsbridge, stop 485",53.32825151,-6.228634971,15558.2.60-4-b12-1.6.I,23:41:12,23:41:12,24, O'Connell St,7722.07,60-4-b12-1,4,b12
3056,8220DB000487,"American Embassy, stop 487",53.33085529,-6.233902308,15558.2.60-4-b12-1.6.I,23:42:19,23:42:19,25, O'Connell St,8185.05,60-4-b12-1,4,b12
3057,8220DB000488,"Lansdowne Park, stop 488",53.33309855,-6.236076947,15558.2.60-4-b12-1.6.I,23:43:00,23:43:00,26, O'Connell St,8474.02,60-4-b12-1,4,b12
3058,8220DB000489,"St Mary's Rd South, stop 489",53.334942,-6.237352313,15558.2.60-4-b12-1.6.I,23:43:25,23:43:25,27, O'Connell St,8694.49,60-4-b12-1,4,b12
3059,8220DB000490,"Haddington Road, stop 490",53.33657384,-6.238906806,15558.2.60-4-b12-1.6.I,23:43:49,23:43:49,28, O'Connell St,8908.5,60-4-b12-1,4,b12
3060,8220DB000491,"Mount Street Bridge, stop 491",53.33781405,-6.241333511,15558.2.60-4-b12-1.6.I,23:44:13,23:44:13,29, O'Connell St,9124.96,60-4-b12-1,4,b12
