Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
88,8240DB007132,"Charlestown SC, stop 7132",53.40308897,-6.30430656,12645.3.60-40-b12-1.217.O,07:40:00,07:40:00,1, Earlsfort Terrance,0.0,60-40-b12-1,40,b12
89,8220DB001558,"McKelvey Avenue, stop 1558",53.39981751,-6.303053095,12645.3.60-40-b12-1.217.O,07:41:16,07:41:16,2, Earlsfort Terrance,451.88,60-40-b12-1,40,b12
90,8220DB002957,"McKee Avenue, stop 2957",53.39623377,-6.302594199,12645.3.60-40-b12-1.217.O,07:42:11,07:42:11,3, Earlsfort Terrance,898.68,60-40-b12-1,40,b12
91,8220DB002958,"McKee Avenue Est, stop 2958",53.39440576,-6.301088086,12645.3.60-40-b12-1.217.O,07:42:39,07:42:39,4, Earlsfort Terrance,1125.04,60-40-b12-1,40,b12
92,8220DB004938,"Finglas Village, stop 4938",53.39086154,-6.298357457,12645.3.60-40-b12-1.217.O,07:43:34,07:43:34,5, Earlsfort Terrance,1570.98,60-40-b12-1,40,b12
93,8220DB007845,"Finglas, stop 7845",53.39011406,-6.299514924,12645.3.60-40-b12-1.217.O,07:43:56,07:43:56,6, Earlsfort Terrance,1748.56,60-40-b12-1,40,b12
94,8220DB001549,"Plunkett Road, stop 1549",53.39743266,-6.306636783,12645.3.60-40-b12-1.217.O,07:46:12,07:46:12,7, Earlsfort Terrance,2867.22,60-40-b12-1,40,b12
95,8220DB001523,"Plunkett Avenue, stop 1523",53.39787885,-6.309581557,12645.3.60-40-b12-1.217.O,07:47:10,07:47:10,8, Earlsfort Terrance,3174.01,60-40-b12-1,40,b12
96,8220DB001524,"Barry Road, stop 1524",53.39555626,-6.310590887,12645.3.60-40-b12-1.217.O,07:48:17,07:48:17,9, Earlsfort Terrance,3525.15,60-40-b12-1,40,b12
97,8220DB001525,"Casement Drive, stop 1525",53.3940693,-6.311582062,12645.3.60-40-b12-1.217.O,07:48:51,07:48:51,10, Earlsfort Terrance,3703.08,60-40-b12-1,40,b12
98,8220DB001526,"Kildonan Park, stop 1526",53.39230694,-6.311531537,12645.3.60-40-b12-1.217.O,07:49:32,07:49:32,11, Earlsfort Terrance,3920.52,60-40-b12-1,40,b12
99,8220DB006080,"Kildonan Road, stop 6080",53.39046267,-6.31140908,12645.3.60-40-b12-1.217.O,07:50:11,07:50:11,12, Earlsfort Terrance,4125.54,60-40-b12-1,40,b12
100,8220DB001585,"Cardiffsbridge Road, stop 1585",53.38876802,-6.312333145,12645.3.60-40-b12-1.217.O,07:50:54,07:50:54,13, Earlsfort Terrance,4347.72,60-40-b12-1,40,b12
101,8220DB001586,"Coláiste Íde, stop 1586",53.38652504,-6.312617318,12645.3.60-40-b12-1.217.O,07:51:37,07:51:37,14, Earlsfort Terrance,4597.68,60-40-b12-1,40,b12
102,8220DB001587,"Wellmount Drive, stop 1587",53.38346643,-6.311791207,12645.3.60-40-b12-1.217.O,07:52:38,07:52:38,15, Earlsfort Terrance,4951.68,60-40-b12-1,40,b12
103,8220DB004539,"Glenties Park, stop 4539",53.38167335,-6.310839953,12645.3.60-40-b12-1.217.O,07:53:12,07:53:12,16, Earlsfort Terrance,5161.46,60-40-b12-1,40,b12
104,8220DB001606,"St Helena's Road, stop 1606",53.38037068,-6.30644209,12645.3.60-40-b12-1.217.O,07:54:25,07:54:25,17, Earlsfort Terrance,5588.57,60-40-b12-1,40,b12
105,8220DB001607,"Dunsink Drive, stop 1607",53.38216138,-6.303424648,12645.3.60-40-b12-1.217.O,07:55:22,07:55:22,18, Earlsfort Terrance,5928.38,60-40-b12-1,40,b12
106,8220DB001608,"St Malachy's NS, stop 1608",53.38304986,-6.299540919,12645.3.60-40-b12-1.217.O,07:56:13,07:56:13,19, Earlsfort Terrance,6227.58,60-40-b12-1,40,b12
107,8220DB001609,"Cloonlara, stop 1609",53.38038424,-6.29728714,12645.3.60-40-b12-1.217.O,07:57:11,07:57:11,20, Earlsfort Terrance,6566.39,60-40-b12-1,40,b12
108,8220DB001610,"Tolka Valley Park, stop 1610",53.37880771,-6.296403071,12645.3.60-40-b12-1.217.O,07:57:46,07:57:46,21, Earlsfort Terrance,6787.79,60-40-b12-1,40,b12
109,8220DB007471,"Tolka Valley Green, stop 7471",53.37925691,-6.293243555,12645.3.60-40-b12-1.217.O,07:58:21,07:58:21,22, Earlsfort Terrance,7004.51,60-40-b12-1,40,b12
110,8220DB001533,"Tolka Vale, stop 1533",53.37896788,-6.287498088,12645.3.60-40-b12-1.217.O,07:59:32,07:59:32,23, Earlsfort Terrance,7444.32,60-40-b12-1,40,b12
111,8220DB001534,"Ballyboggan Road, stop 1534",53.37533284,-6.285975603,12645.3.60-40-b12-1.217.O,08:00:40,08:00:40,24, Earlsfort Terrance,7865.59,60-40-b12-1,40,b12
112,8220DB001535,"The Willows, stop 1535",53.37230596,-6.282369944,12645.3.60-40-b12-1.217.O,08:01:30,08:01:30,25, Earlsfort Terrance,8296.84,60-40-b12-1,40,b12
113,8220DB001536,"Glasnevin Cemetery, stop 1536",53.3695034,-6.276877233,12645.3.60-40-b12-1.217.O,08:02:11,08:02:11,26, Earlsfort Terrance,8782.72,60-40-b12-1,40,b12
114,8220DB001537,"St Vincent's School, stop 1537",53.3680662,-6.273208399,12645.3.60-40-b12-1.217.O,08:02:59,08:02:59,27, Earlsfort Terrance,9072.34,60-40-b12-1,40,b12
115,8220DB000186,"Lindsay Grove, stop 186",53.36535534,-6.271589978,12645.3.60-40-b12-1.217.O,08:04:06,08:04:06,28, Earlsfort Terrance,9477.13,60-40-b12-1,40,b12
116,8220DB000838,"Whitworth Road, stop 838",53.3643194,-6.270189391,12645.3.60-40-b12-1.217.O,08:04:30,08:04:30,29, Earlsfort Terrance,9667.49,60-40-b12-1,40,b12
117,8220DB000839,"David Road, stop 839",53.36374492,-6.267763413,12645.3.60-40-b12-1.217.O,08:04:51,08:04:51,30, Earlsfort Terrance,9841.26,60-40-b12-1,40,b12
118,8220DB000840,"Claude Road, stop 840",53.36324335,-6.265409666,12645.3.60-40-b12-1.217.O,08:05:35,08:05:35,31, Earlsfort Terrance,10006.19,60-40-b12-1,40,b12
119,8220DB000841,"St Patrick's Road, stop 841",53.3621222,-6.260632015,12645.3.60-40-b12-1.217.O,08:07:05,08:07:05,32, Earlsfort Terrance,10347.18,60-40-b12-1,40,b12
120,8220DB000049,"Dorset Street Lower, stop 49",53.36000424,-6.260853508,12645.3.60-40-b12-1.217.O,08:08:26,08:08:26,33, Earlsfort Terrance,10653.05,60-40-b12-1,40,b12
121,8220DB000051,"Temple Street, stop 51",53.35781041,-6.263271572,12645.3.60-40-b12-1.217.O,08:10:07,08:10:07,34, Earlsfort Terrance,10943.28,60-40-b12-1,40,b12
122,8220DB000052,"Dorset Street Upper, stop 52",53.35666078,-6.264565282,12645.3.60-40-b12-1.217.O,08:11:02,08:11:02,35, Earlsfort Terrance,11100.04,60-40-b12-1,40,b12
123,8220DB000261,"Parnell Square East, stop 261",53.35405628,-6.262853361,12645.3.60-40-b12-1.217.O,08:17:03,08:17:03,36, Earlsfort Terrance,11574.35,60-40-b12-1,40,b12
124,8220DB000270,"O'Connell St Upper, stop 270",53.35062339,-6.260424292,12645.3.60-40-b12-1.217.O,08:19:04,08:19:04,37, Earlsfort Terrance,11994.73,60-40-b12-1,40,b12
125,8220DB000273,"O'Connell Bridge, stop 273",53.34724742,-6.258819402,12645.3.60-40-b12-1.217.O,08:20:55,08:20:55,38, Earlsfort Terrance,12385.67,60-40-b12-1,40,b12
126,8220DB000403,"Nassau Street, stop 403",53.34271351,-6.256706294,12645.3.60-40-b12-1.217.O,08:24:21,08:24:21,39, Earlsfort Terrance,13107.39,60-40-b12-1,40,b12
127,8220DB000746,"Kildare Street, stop 746",53.34015362,-6.255594282,12645.3.60-40-b12-1.217.O,08:26:13,08:26:13,40, Earlsfort Terrance,13396.8,60-40-b12-1,40,b12
128,8220DB000843,"Stephen's Green East, stop 843",53.33700243,-6.256458721,12645.3.60-40-b12-1.217.O,08:28:12,08:28:12,41, Earlsfort Terrance,13748.48,60-40-b12-1,40,b12
129,8220DB007978,"Earlsfort Terrace, stop 7978",53.33548151,-6.257556881,12645.3.60-40-b12-1.217.O,08:29:09,08:29:09,42, Earlsfort Terrance,13940.98,60-40-b12-1,40,b12
