Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
78,8240DB004316,"Rivermeade Close, stop 4316",53.45331541,-6.288678809,12702.3.60-40B-b12-1.221.I,07:45:00,07:45:00,1, O'Connell St,0.0,60-40B-b12-1,40B,b12
79,8240DB004317,"River Meade Drive, stop 4317",53.45301871,-6.292440071,12702.3.60-40B-b12-1.221.I,07:45:29,07:45:29,2, O'Connell St,272.63,60-40B-b12-1,40B,b12
80,8240DB007013,"Kilreesk Lane, stop 7013",53.44065527,-6.29838519,12702.3.60-40B-b12-1.221.I,07:48:46,07:48:46,3, O'Connell St,2160.43,60-40B-b12-1,40B,b12
81,8240DB006162,"St Margaret's, stop 6162",53.43220588,-6.299595694,12702.3.60-40B-b12-1.221.I,07:50:44,07:50:44,4, O'Connell St,3287.35,60-40B-b12-1,40B,b12
82,8240DB007022,"St Margaret's NS, stop 7022",53.43003291,-6.30100679,12702.3.60-40B-b12-1.221.I,07:51:14,07:51:14,5, O'Connell St,3570.72,60-40B-b12-1,40B,b12
83,8240DB001554,"Newtown Cottages, stop 1554",53.42484376,-6.305216393,12702.3.60-40B-b12-1.221.I,07:52:31,07:52:31,6, O'Connell St,4263.26,60-40B-b12-1,40B,b12
84,8240DB001555,"Harristown Lane, stop 1555",53.41825199,-6.306862732,12702.3.60-40B-b12-1.221.I,07:53:28,07:53:28,7, O'Connell St,5023.11,60-40B-b12-1,40B,b12
85,8240DB001556,"Rockmount, stop 1556",53.40952778,-6.303915052,12702.3.60-40B-b12-1.221.I,07:54:49,07:54:49,8, O'Connell St,6099.51,60-40B-b12-1,40B,b12
86,8240DB001557,"M50 Flyover, stop 1557",53.40772054,-6.300707908,12702.3.60-40B-b12-1.221.I,07:55:13,07:55:13,9, O'Connell St,6393.25,60-40B-b12-1,40B,b12
87,8240DB001181,"Charlestown, stop 1181",53.40570645,-6.300652822,12702.3.60-40B-b12-1.221.I,07:55:43,07:55:43,10, O'Connell St,6676.26,60-40B-b12-1,40B,b12
88,8240DB007350,"Lanesborough Park, stop 7350",53.40392506,-6.301791678,12702.3.60-40B-b12-1.221.I,07:56:24,07:56:24,11, O'Connell St,6889.26,60-40B-b12-1,40B,b12
89,8220DB001558,"McKelvey Avenue, stop 1558",53.39981751,-6.303053095,12702.3.60-40B-b12-1.221.I,07:57:55,07:57:55,12, O'Connell St,7358.01,60-40B-b12-1,40B,b12
90,8220DB001549,"Plunkett Road, stop 1549",53.39743266,-6.306636783,12702.3.60-40B-b12-1.221.I,07:59:33,07:59:33,13, O'Connell St,8017.36,60-40B-b12-1,40B,b12
91,8220DB001523,"Plunkett Avenue, stop 1523",53.39787885,-6.309581557,12702.3.60-40B-b12-1.221.I,08:00:19,08:00:19,14, O'Connell St,8324.14,60-40B-b12-1,40B,b12
92,8220DB001524,"Barry Road, stop 1524",53.39555626,-6.310590887,12702.3.60-40B-b12-1.221.I,08:01:12,08:01:12,15, O'Connell St,8675.29,60-40B-b12-1,40B,b12
93,8220DB001525,"Casement Drive, stop 1525",53.3940693,-6.311582062,12702.3.60-40B-b12-1.221.I,08:01:39,08:01:39,16, O'Connell St,8853.21,60-40B-b12-1,40B,b12
94,8220DB001526,"Kildonan Park, stop 1526",53.39230694,-6.311531537,12702.3.60-40B-b12-1.221.I,08:02:12,08:02:12,17, O'Connell St,9070.65,60-40B-b12-1,40B,b12
95,8220DB006080,"Kildonan Road, stop 6080",53.39046267,-6.31140908,12702.3.60-40B-b12-1.221.I,08:02:43,08:02:43,18, O'Connell St,9275.67,60-40B-b12-1,40B,b12
96,8220DB000983,"Mellowes Road, stop 983",53.39014167,-6.310955692,12702.3.60-40B-b12-1.221.I,08:02:55,08:02:55,19, O'Connell St,9354.64,60-40B-b12-1,40B,b12
97,8220DB000984,"Finglas Garda Stn, stop 984",53.38991139,-6.30675495,12702.3.60-40B-b12-1.221.I,08:03:42,08:03:42,20, O'Connell St,9650.99,60-40B-b12-1,40B,b12
98,8220DB000985,"Finglas Sports Centre, stop 985",53.38992475,-6.303897725,12702.3.60-40B-b12-1.221.I,08:04:12,08:04:12,21, O'Connell St,9839.59,60-40B-b12-1,40B,b12
99,8220DB001529,"Finglas Village, stop 1529",53.38845883,-6.298152607,12702.3.60-40B-b12-1.221.I,08:05:30,08:05:30,22, O'Connell St,10335.4,60-40B-b12-1,40B,b12
100,8220DB004542,"Finglas Road, stop 4542",53.38666414,-6.297096643,12702.3.60-40B-b12-1.221.I,08:06:08,08:06:08,23, O'Connell St,10574.95,60-40B-b12-1,40B,b12
101,8220DB001531,"Clearwater SC, stop 1531",53.38374366,-6.293364741,12702.3.60-40B-b12-1.221.I,08:07:13,08:07:13,24, O'Connell St,10981.92,60-40B-b12-1,40B,b12
102,8220DB001532,"Prospect Hill, stop 1532",53.38174412,-6.290558501,12702.3.60-40B-b12-1.221.I,08:08:00,08:08:00,25, O'Connell St,11274.07,60-40B-b12-1,40B,b12
103,8220DB001533,"Tolka Vale, stop 1533",53.37896788,-6.287498088,12702.3.60-40B-b12-1.221.I,08:09:01,08:09:01,26, O'Connell St,11645.1,60-40B-b12-1,40B,b12
104,8220DB001534,"Ballyboggan Road, stop 1534",53.37533284,-6.285975603,12702.3.60-40B-b12-1.221.I,08:10:13,08:10:13,27, O'Connell St,12066.37,60-40B-b12-1,40B,b12
105,8220DB001535,"The Willows, stop 1535",53.37230596,-6.282369944,12702.3.60-40B-b12-1.221.I,08:10:49,08:10:49,28, O'Connell St,12497.62,60-40B-b12-1,40B,b12
106,8220DB001536,"Glasnevin Cemetery, stop 1536",53.3695034,-6.276877233,12702.3.60-40B-b12-1.221.I,08:11:28,08:11:28,29, O'Connell St,12983.5,60-40B-b12-1,40B,b12
107,8220DB001537,"St Vincent's School, stop 1537",53.3680662,-6.273208399,12702.3.60-40B-b12-1.221.I,08:12:31,08:12:31,30, O'Connell St,13273.12,60-40B-b12-1,40B,b12
108,8220DB000186,"Lindsay Grove, stop 186",53.36535534,-6.271589978,12702.3.60-40B-b12-1.221.I,08:13:59,08:13:59,31, O'Connell St,13677.91,60-40B-b12-1,40B,b12
109,8220DB000838,"Whitworth Road, stop 838",53.3643194,-6.270189391,12702.3.60-40B-b12-1.221.I,08:14:24,08:14:24,32, O'Connell St,13868.27,60-40B-b12-1,40B,b12
110,8220DB000839,"David Road, stop 839",53.36374492,-6.267763413,12702.3.60-40B-b12-1.221.I,08:14:46,08:14:46,33, O'Connell St,14042.04,60-40B-b12-1,40B,b12
111,8220DB000840,"Claude Road, stop 840",53.36324335,-6.265409666,12702.3.60-40B-b12-1.221.I,08:15:19,08:15:19,34, O'Connell St,14206.97,60-40B-b12-1,40B,b12
112,8220DB000841,"St Patrick's Road, stop 841",53.3621222,-6.260632015,12702.3.60-40B-b12-1.221.I,08:16:27,08:16:27,35, O'Connell St,14547.96,60-40B-b12-1,40B,b12
113,8220DB000049,"Dorset Street Lower, stop 49",53.36000424,-6.260853508,12702.3.60-40B-b12-1.221.I,08:17:28,08:17:28,36, O'Connell St,14853.83,60-40B-b12-1,40B,b12
114,8220DB000051,"Temple Street, stop 51",53.35781041,-6.263271572,12702.3.60-40B-b12-1.221.I,08:18:41,08:18:41,37, O'Connell St,15144.06,60-40B-b12-1,40B,b12
115,8220DB000052,"Dorset Street Upper, stop 52",53.35666078,-6.264565282,12702.3.60-40B-b12-1.221.I,08:19:20,08:19:20,38, O'Connell St,15300.82,60-40B-b12-1,40B,b12
116,8220DB004725,"O'Connell St Upper, stop 4725",53.35211562,-6.261054534,12702.3.60-40B-b12-1.221.I,08:21:38,08:21:38,39, O'Connell St,16225.77,60-40B-b12-1,40B,b12
117,8220DB006071,"Parnell Street, stop 6071",53.35309059,-6.2601135,12702.3.60-40B-b12-1.221.I,08:22:51,08:22:51,40, O'Connell St,16544.34,60-40B-b12-1,40B,b12
