Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB006004,"Parnell Street, stop 6004",53.35290764,-6.260511532,12701.3.60-40B-b12-1.222.O,06:55:00,06:55:00,1, Toberburr,0.0,60-40B-b12-1,40B,b12
1,8220DB000007,"Parnell Square West, stop 7",53.35284091,-6.264570261,12701.3.60-40B-b12-1.222.O,06:56:02,06:56:02,2, Toberburr,346.05,60-40B-b12-1,40B,b12
2,8220DB000011,"St Joseph's Parade, stop 11",53.35681523,-6.264679195,12701.3.60-40B-b12-1.222.O,06:57:39,06:57:39,3, Toberburr,895.05,60-40B-b12-1,40B,b12
3,8220DB000014,"Dorset Street Lower, stop 14",53.35853124,-6.262776506,12701.3.60-40B-b12-1.222.O,06:58:32,06:58:32,4, Toberburr,1123.12,60-40B-b12-1,40B,b12
4,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,12701.3.60-40B-b12-1.222.O,06:59:23,06:59:23,5, Toberburr,1352.39,60-40B-b12-1,40B,b12
5,8220DB000834,"Binns Bridge, stop 834",53.36197541,-6.260427638,12701.3.60-40B-b12-1.222.O,07:00:03,07:00:03,6, Toberburr,1608.34,60-40B-b12-1,40B,b12
6,8220DB000835,"St Brigid's Rd Lower, stop 835",53.36262802,-6.263270962,12701.3.60-40B-b12-1.222.O,07:00:34,07:00:34,7, Toberburr,1810.58,60-40B-b12-1,40B,b12
7,8220DB000836,"Claude Road, stop 836",53.3632915,-6.266249162,12701.3.60-40B-b12-1.222.O,07:01:08,07:01:08,8, Toberburr,2021.24,60-40B-b12-1,40B,b12
8,8220DB000837,"David Road, stop 837",53.36377841,-6.268212837,12701.3.60-40B-b12-1.222.O,07:01:25,07:01:25,9, Toberburr,2163.16,60-40B-b12-1,40B,b12
9,8220DB001506,"Finglas Road, stop 1506",53.36677782,-6.272373909,12701.3.60-40B-b12-1.222.O,07:02:28,07:02:28,10, Toberburr,2665.17,60-40B-b12-1,40B,b12
10,8220DB001507,"St Vincent's School, stop 1507",53.36839052,-6.274502692,12701.3.60-40B-b12-1.222.O,07:02:50,07:02:50,11, Toberburr,2904.32,60-40B-b12-1,40B,b12
11,8220DB001508,"Glasnevin Cemetery, stop 1508",53.3699109,-6.278333551,12701.3.60-40B-b12-1.222.O,07:03:18,07:03:18,12, Toberburr,3208.51,60-40B-b12-1,40B,b12
12,8220DB001509,"Slaney Road, stop 1509",53.37292583,-6.28422366,12701.3.60-40B-b12-1.222.O,07:04:05,07:04:05,13, Toberburr,3727.26,60-40B-b12-1,40B,b12
13,8220DB001510,"Ballyboggan Road, stop 1510",53.37690693,-6.287310237,12701.3.60-40B-b12-1.222.O,07:04:43,07:04:43,14, Toberburr,4220.47,60-40B-b12-1,40B,b12
