Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
11208,8220DB006004,"Parnell Street, stop 6004",53.35290764,-6.260511532,6166.1.60-40D-b12-1.227.O,13:00:00,13:00:00,1, Hollystown,0.0,60-40D-b12-1,40D,b12
11209,8220DB000007,"Parnell Square West, stop 7",53.35284091,-6.264570261,6166.1.60-40D-b12-1.227.O,13:01:54,13:01:54,2, Hollystown,346.05,60-40D-b12-1,40D,b12
11210,8220DB000011,"St Joseph's Parade, stop 11",53.35681523,-6.264679195,6166.1.60-40D-b12-1.227.O,13:04:53,13:04:53,3, Hollystown,895.05,60-40D-b12-1,40D,b12
11211,8220DB000014,"Dorset Street Lower, stop 14",53.35853124,-6.262776506,6166.1.60-40D-b12-1.227.O,13:06:20,13:06:20,4, Hollystown,1123.12,60-40D-b12-1,40D,b12
11212,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,6166.1.60-40D-b12-1.227.O,13:07:45,13:07:45,5, Hollystown,1352.39,60-40D-b12-1,40D,b12
11213,8220DB000834,"Binns Bridge, stop 834",53.36197541,-6.260427638,6166.1.60-40D-b12-1.227.O,13:08:33,13:08:33,6, Hollystown,1608.34,60-40D-b12-1,40D,b12
11214,8220DB000835,"St Brigid's Rd Lower, stop 835",53.36262802,-6.263270962,6166.1.60-40D-b12-1.227.O,13:09:10,13:09:10,7, Hollystown,1810.58,60-40D-b12-1,40D,b12
11215,8220DB000836,"Claude Road, stop 836",53.3632915,-6.266249162,6166.1.60-40D-b12-1.227.O,13:09:53,13:09:53,8, Hollystown,2021.24,60-40D-b12-1,40D,b12
11216,8220DB000837,"David Road, stop 837",53.36377841,-6.268212837,6166.1.60-40D-b12-1.227.O,13:10:27,13:10:27,9, Hollystown,2163.16,60-40D-b12-1,40D,b12
11217,8220DB001506,"Finglas Road, stop 1506",53.36677782,-6.272373909,6166.1.60-40D-b12-1.227.O,13:12:28,13:12:28,10, Hollystown,2665.17,60-40D-b12-1,40D,b12
11218,8220DB001507,"St Vincent's School, stop 1507",53.36839052,-6.274502692,6166.1.60-40D-b12-1.227.O,13:13:05,13:13:05,11, Hollystown,2904.32,60-40D-b12-1,40D,b12
11219,8220DB001508,"Glasnevin Cemetery, stop 1508",53.3699109,-6.278333551,6166.1.60-40D-b12-1.227.O,13:13:53,13:13:53,12, Hollystown,3208.51,60-40D-b12-1,40D,b12
11220,8220DB001509,"Slaney Road, stop 1509",53.37292583,-6.28422366,6166.1.60-40D-b12-1.227.O,13:15:07,13:15:07,13, Hollystown,3727.26,60-40D-b12-1,40D,b12
11221,8220DB001510,"Ballyboggan Road, stop 1510",53.37690693,-6.287310237,6166.1.60-40D-b12-1.227.O,13:16:11,13:16:11,14, Hollystown,4220.47,60-40D-b12-1,40D,b12
11222,8220DB001511,"Tolka Vale, stop 1511",53.37823452,-6.287752985,6166.1.60-40D-b12-1.227.O,13:16:30,13:16:30,15, Hollystown,4370.26,60-40D-b12-1,40D,b12
11223,8220DB001512,"Prospect Hill, stop 1512",53.38217432,-6.291728835,6166.1.60-40D-b12-1.227.O,13:17:40,13:17:40,16, Hollystown,4901.11,60-40D-b12-1,40D,b12
11224,8220DB001538,"Clearwater SC, stop 1538",53.38447414,-6.294793755,6166.1.60-40D-b12-1.227.O,13:19:05,13:19:05,17, Hollystown,5227.92,60-40D-b12-1,40D,b12
11225,8220DB004548,"Finglas Place, stop 4548",53.38623592,-6.29606136,6166.1.60-40D-b12-1.227.O,13:20:09,13:20:09,18, Hollystown,5480.61,60-40D-b12-1,40D,b12
11226,8220DB001514,"Drogheda Mall, stop 1514",53.38946516,-6.300021914,6166.1.60-40D-b12-1.227.O,13:22:07,13:22:07,19, Hollystown,5933.42,60-40D-b12-1,40D,b12
11227,8220DB000980,"Finglas Sports Centre, stop 980",53.38980457,-6.303030463,6166.1.60-40D-b12-1.227.O,13:23:18,13:23:18,20, Hollystown,6203.3,60-40D-b12-1,40D,b12
11228,8220DB000981,"Finglas Garda Stn, stop 981",53.38978091,-6.307060832,6166.1.60-40D-b12-1.227.O,13:24:09,13:24:09,21, Hollystown,6470.8,60-40D-b12-1,40D,b12
11229,8220DB001576,"Cappagh Road, stop 1576",53.38931741,-6.313048125,6166.1.60-40D-b12-1.227.O,13:25:39,13:25:39,22, Hollystown,6947.42,60-40D-b12-1,40D,b12
11230,8220DB001577,"Abbottstown Road, stop 1577",53.38988581,-6.315747017,6166.1.60-40D-b12-1.227.O,13:26:15,13:26:15,23, Hollystown,7137.62,60-40D-b12-1,40D,b12
11231,8220DB001578,"Ratoath Drive, stop 1578",53.39038513,-6.318012677,6166.1.60-40D-b12-1.227.O,13:26:46,13:26:46,24, Hollystown,7299.4,60-40D-b12-1,40D,b12
11232,8220DB004364,"Cappagh Hospital, stop 4364",53.39291139,-6.322529185,6166.1.60-40D-b12-1.227.O,13:28:13,13:28:13,25, Hollystown,7762.29,60-40D-b12-1,40D,b12
11233,8240DB001579,"Heathfield Avenue, stop 1579",53.39476368,-6.326426073,6166.1.60-40D-b12-1.227.O,13:29:19,13:29:19,26, Hollystown,8110.81,60-40D-b12-1,40D,b12
11234,8240DB001580,"Cappagh Cross, stop 1580",53.39790321,-6.334333152,6166.1.60-40D-b12-1.227.O,13:30:20,13:30:20,27, Hollystown,8805.11,60-40D-b12-1,40D,b12
11235,8240DB007237,"Stadium Business Pk, stop 7237",53.39714127,-6.341581009,6166.1.60-40D-b12-1.227.O,13:31:12,13:31:12,28, Hollystown,9298.51,60-40D-b12-1,40D,b12
11236,8240DB007241,"Barnlodge, stop 7241",53.39774486,-6.346865916,6166.1.60-40D-b12-1.227.O,13:31:51,13:31:51,29, Hollystown,9666.93,60-40D-b12-1,40D,b12
11237,8240DB007247,"Ballycoolin Road, stop 7247",53.3987924,-6.351772895,6166.1.60-40D-b12-1.227.O,13:32:28,13:32:28,30, Hollystown,10014.92,60-40D-b12-1,40D,b12
11238,8240DB007243,"Rosemount Bus. Park, stop 7243",53.40335258,-6.357883275,6166.1.60-40D-b12-1.227.O,13:33:36,13:33:36,31, Hollystown,10671.65,60-40D-b12-1,40D,b12
11239,8240DB007126,"IDA Ireland, stop 7126",53.40587682,-6.356477504,6166.1.60-40D-b12-1.227.O,13:35:16,13:35:16,32, Hollystown,11114.52,60-40D-b12-1,40D,b12
11240,8240DB007124,"Ballycoolin  Bus Pk, stop 7124",53.40843447,-6.358153812,6166.1.60-40D-b12-1.227.O,13:35:35,13:35:35,33, Hollystown,11500.63,60-40D-b12-1,40D,b12
11241,8240DB007343,"Corporate Park 2, stop 7343",53.41284468,-6.361218217,6166.1.60-40D-b12-1.227.O,13:37:13,13:37:13,34, Hollystown,12046.45,60-40D-b12-1,40D,b12
11242,8240DB004978,"Corporate Park, stop 4978",53.40925753,-6.370997995,6166.1.60-40D-b12-1.227.O,13:40:46,13:40:46,35, Hollystown,13252.46,60-40D-b12-1,40D,b12
11243,8240DB004979,"Alexion, stop 4979",53.41133678,-6.377823101,6166.1.60-40D-b12-1.227.O,13:41:25,13:41:25,36, Hollystown,13762.53,60-40D-b12-1,40D,b12
11244,8240DB004986,"Curragh Hall, stop 4986",53.41520327,-6.385243058,6166.1.60-40D-b12-1.227.O,13:42:39,13:42:39,37, Hollystown,14745.29,60-40D-b12-1,40D,b12
11245,8240DB007107,"Ballentree Avenue, stop 7107",53.41704744,-6.386030725,6166.1.60-40D-b12-1.227.O,13:42:58,13:42:58,38, Hollystown,15002.68,60-40D-b12-1,40D,b12
11246,8240DB007102,"Bealing Walk, stop 7102",53.41815047,-6.387177505,6166.1.60-40D-b12-1.227.O,13:43:10,13:43:10,39, Hollystown,15161.86,60-40D-b12-1,40D,b12
11247,8240DB007103,"Cruise Park, stop 7103",53.41983038,-6.393117116,6166.1.60-40D-b12-1.227.O,13:43:48,13:43:48,40, Hollystown,15662.97,60-40D-b12-1,40D,b12
11248,8240DB007104,"Mount Garrett, stop 7104",53.42191654,-6.391187743,6166.1.60-40D-b12-1.227.O,13:44:12,13:44:12,41, Hollystown,15982.44,60-40D-b12-1,40D,b12
11249,8240DB007105,"Mount Eustace, stop 7105",53.42135069,-6.387883912,6166.1.60-40D-b12-1.227.O,13:44:32,13:44:32,42, Hollystown,16239.49,60-40D-b12-1,40D,b12
11250,8240DB007106,"Bellgree Avenue, stop 7106",53.42098865,-6.385700891,6166.1.60-40D-b12-1.227.O,13:44:44,13:44:44,43, Hollystown,16401.14,60-40D-b12-1,40D,b12
11251,8240DB006005,"Plaza Apartments, stop 6005",53.41994262,-6.383453581,6166.1.60-40D-b12-1.227.O,13:45:04,13:45:04,44, Hollystown,16663.45,60-40D-b12-1,40D,b12
