Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB007073,"Carlton Hotel, stop 7073",53.41908134,-6.378265517,12593.3.60-40D-b12-1.225.I,07:00:00,07:00:00,1, Parnell St,0.0,60-40D-b12-1,40D,b12
1,8240DB007097,"Belgree Boulevard, stop 7097",53.420141,-6.384830261,12593.3.60-40D-b12-1.225.I,07:00:51,07:00:51,2, Parnell St,534.61,60-40D-b12-1,40D,b12
2,8240DB007098,"Mount Eustace, stop 7098",53.42133658,-6.388170322,12593.3.60-40D-b12-1.225.I,07:01:20,07:01:20,3, Parnell St,839.25,60-40D-b12-1,40D,b12
3,8240DB007099,"Mount Garrett, stop 7099",53.4217822,-6.391222908,12593.3.60-40D-b12-1.225.I,07:01:46,07:01:46,4, Parnell St,1096.1,60-40D-b12-1,40D,b12
4,8240DB007100,"Rathmore Crescent, stop 7100",53.41975887,-6.391810848,12593.3.60-40D-b12-1.225.I,07:02:23,07:02:23,5, Parnell St,1406.11,60-40D-b12-1,40D,b12
5,8240DB007101,"Bealing Walk, stop 7101",53.41825847,-6.387188463,12593.3.60-40D-b12-1.225.I,07:03:02,07:03:02,6, Parnell St,1810.79,60-40D-b12-1,40D,b12
6,8240DB007505,"Ballentree Avenue, stop 7505",53.41757908,-6.386130949,12593.3.60-40D-b12-1.225.I,07:03:12,07:03:12,7, Parnell St,1915.78,60-40D-b12-1,40D,b12
7,8240DB005071,"Alexion, stop 5071",53.4109617,-6.376017233,12593.3.60-40D-b12-1.225.I,07:05:25,07:05:25,8, Parnell St,3308.31,60-40D-b12-1,40D,b12
8,8240DB005072,"Corporate Park, stop 5072",53.40930938,-6.370845594,12593.3.60-40D-b12-1.225.I,07:06:01,07:06:01,9, Parnell St,3696.64,60-40D-b12-1,40D,b12
9,8240DB004321,"Cold Stores, stop 4321",53.41154492,-6.370008014,12593.3.60-40D-b12-1.225.I,07:06:52,07:06:52,10, Parnell St,4135.47,60-40D-b12-1,40D,b12
10,8240DB007342,"Corporate Park 2, stop 7342",53.41276683,-6.360784958,12593.3.60-40D-b12-1.225.I,07:08:35,07:08:35,11, Parnell St,5038.83,60-40D-b12-1,40D,b12
11,8240DB007125,"Ballycoolin Bus Pk, stop 7125",53.4082421,-6.357890472,12593.3.60-40D-b12-1.225.I,07:09:38,07:09:38,12, Parnell St,5582.02,60-40D-b12-1,40D,b12
12,8240DB007344,"IDA Ireland, stop 7344",53.40468921,-6.357696431,12593.3.60-40D-b12-1.225.I,07:11:02,07:11:02,13, Parnell St,6097.28,60-40D-b12-1,40D,b12
13,8240DB002510,"Rosemount Park, stop 2510",53.40218843,-6.355581957,12593.3.60-40D-b12-1.225.I,07:12:08,07:12:08,14, Parnell St,6508.7,60-40D-b12-1,40D,b12
14,8240DB007242,"Ballycoolin Road, stop 7242",53.39840857,-6.350013232,12593.3.60-40D-b12-1.225.I,07:12:47,07:12:47,15, Parnell St,7086.29,60-40D-b12-1,40D,b12
15,8240DB007238,"Barnlodge, stop 7238",53.39718341,-6.344616988,12593.3.60-40D-b12-1.225.I,07:13:13,07:13:13,16, Parnell St,7473.09,60-40D-b12-1,40D,b12
16,8240DB007224,"Stadium Business Pk, stop 7224",53.39781666,-6.338441892,12593.3.60-40D-b12-1.225.I,07:13:54,07:13:54,17, Parnell St,7901.72,60-40D-b12-1,40D,b12
17,8240DB001581,"Cappagh Cross, stop 1581",53.39806801,-6.33390565,12593.3.60-40D-b12-1.225.I,07:14:22,07:14:22,18, Parnell St,8206.15,60-40D-b12-1,40D,b12
18,8240DB001582,"Heathfield Avenue, stop 1582",53.39513353,-6.327163411,12593.3.60-40D-b12-1.225.I,07:15:30,07:15:30,19, Parnell St,8886.37,60-40D-b12-1,40D,b12
19,8220DB004793,"Avila Park, stop 4793",53.39226726,-6.320825375,12593.3.60-40D-b12-1.225.I,07:16:24,07:16:24,20, Parnell St,9429.35,60-40D-b12-1,40D,b12
20,8220DB006068,"Ratoath Drive, stop 6068",53.39028238,-6.317099574,12593.3.60-40D-b12-1.225.I,07:17:27,07:17:27,21, Parnell St,9820.07,60-40D-b12-1,40D,b12
21,8220DB001584,"Abbottstown Road, stop 1584",53.38988546,-6.315085482,12593.3.60-40D-b12-1.225.I,07:17:50,07:17:50,22, Parnell St,9961.03,60-40D-b12-1,40D,b12
22,8220DB000983,"Mellowes Road, stop 983",53.39014167,-6.310955692,12593.3.60-40D-b12-1.225.I,07:18:50,07:18:50,23, Parnell St,10321.26,60-40D-b12-1,40D,b12
23,8220DB000984,"Finglas Garda Stn, stop 984",53.38991139,-6.30675495,12593.3.60-40D-b12-1.225.I,07:19:37,07:19:37,24, Parnell St,10617.6,60-40D-b12-1,40D,b12
24,8220DB000985,"Finglas Sports Centre, stop 985",53.38992475,-6.303897725,12593.3.60-40D-b12-1.225.I,07:20:07,07:20:07,25, Parnell St,10806.2,60-40D-b12-1,40D,b12
25,8220DB001529,"Finglas Village, stop 1529",53.38845883,-6.298152607,12593.3.60-40D-b12-1.225.I,07:21:25,07:21:25,26, Parnell St,11302.02,60-40D-b12-1,40D,b12
26,8220DB004542,"Finglas Road, stop 4542",53.38666414,-6.297096643,12593.3.60-40D-b12-1.225.I,07:22:03,07:22:03,27, Parnell St,11541.57,60-40D-b12-1,40D,b12
27,8220DB001531,"Clearwater SC, stop 1531",53.38374366,-6.293364741,12593.3.60-40D-b12-1.225.I,07:23:08,07:23:08,28, Parnell St,11948.54,60-40D-b12-1,40D,b12
28,8220DB001532,"Prospect Hill, stop 1532",53.38174412,-6.290558501,12593.3.60-40D-b12-1.225.I,07:23:55,07:23:55,29, Parnell St,12240.69,60-40D-b12-1,40D,b12
29,8220DB001533,"Tolka Vale, stop 1533",53.37896788,-6.287498088,12593.3.60-40D-b12-1.225.I,07:24:41,07:24:41,30, Parnell St,12611.72,60-40D-b12-1,40D,b12
30,8220DB001534,"Ballyboggan Road, stop 1534",53.37533284,-6.285975603,12593.3.60-40D-b12-1.225.I,07:25:36,07:25:36,31, Parnell St,13032.99,60-40D-b12-1,40D,b12
31,8220DB001535,"The Willows, stop 1535",53.37230596,-6.282369944,12593.3.60-40D-b12-1.225.I,07:26:12,07:26:12,32, Parnell St,13464.24,60-40D-b12-1,40D,b12
32,8220DB001536,"Glasnevin Cemetery, stop 1536",53.3695034,-6.276877233,12593.3.60-40D-b12-1.225.I,07:26:49,07:26:49,33, Parnell St,13950.12,60-40D-b12-1,40D,b12
33,8220DB001537,"St Vincent's School, stop 1537",53.3680662,-6.273208399,12593.3.60-40D-b12-1.225.I,07:27:34,07:27:34,34, Parnell St,14239.74,60-40D-b12-1,40D,b12
34,8220DB000186,"Lindsay Grove, stop 186",53.36535534,-6.271589978,12593.3.60-40D-b12-1.225.I,07:28:37,07:28:37,35, Parnell St,14644.53,60-40D-b12-1,40D,b12
