Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
88,8220DB006004,"Parnell Street, stop 6004",53.35290764,-6.260511532,12594.3.60-40D-b12-1.223.O,08:00:00,08:00:00,1, Tyrrelstown,0.0,60-40D-b12-1,40D,b12
89,8220DB000007,"Parnell Square West, stop 7",53.35284091,-6.264570261,12594.3.60-40D-b12-1.223.O,08:01:15,08:01:15,2, Tyrrelstown,346.05,60-40D-b12-1,40D,b12
90,8220DB000011,"St Joseph's Parade, stop 11",53.35681523,-6.264679195,12594.3.60-40D-b12-1.223.O,08:03:14,08:03:14,3, Tyrrelstown,895.05,60-40D-b12-1,40D,b12
91,8220DB000014,"Dorset Street Lower, stop 14",53.35853124,-6.262776506,12594.3.60-40D-b12-1.223.O,08:04:28,08:04:28,4, Tyrrelstown,1123.12,60-40D-b12-1,40D,b12
92,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,12594.3.60-40D-b12-1.223.O,08:05:39,08:05:39,5, Tyrrelstown,1352.39,60-40D-b12-1,40D,b12
93,8220DB000834,"Binns Bridge, stop 834",53.36197541,-6.260427638,12594.3.60-40D-b12-1.223.O,08:06:19,08:06:19,6, Tyrrelstown,1608.34,60-40D-b12-1,40D,b12
94,8220DB000835,"St Brigid's Rd Lower, stop 835",53.36262802,-6.263270962,12594.3.60-40D-b12-1.223.O,08:06:50,08:06:50,7, Tyrrelstown,1810.58,60-40D-b12-1,40D,b12
95,8220DB000836,"Claude Road, stop 836",53.3632915,-6.266249162,12594.3.60-40D-b12-1.223.O,08:07:26,08:07:26,8, Tyrrelstown,2021.24,60-40D-b12-1,40D,b12
96,8220DB000837,"David Road, stop 837",53.36377841,-6.268212837,12594.3.60-40D-b12-1.223.O,08:07:46,08:07:46,9, Tyrrelstown,2163.16,60-40D-b12-1,40D,b12
97,8220DB001506,"Finglas Road, stop 1506",53.36677782,-6.272373909,12594.3.60-40D-b12-1.223.O,08:08:58,08:08:58,10, Tyrrelstown,2665.17,60-40D-b12-1,40D,b12
98,8220DB001507,"St Vincent's School, stop 1507",53.36839052,-6.274502692,12594.3.60-40D-b12-1.223.O,08:09:22,08:09:22,11, Tyrrelstown,2904.32,60-40D-b12-1,40D,b12
99,8220DB001508,"Glasnevin Cemetery, stop 1508",53.3699109,-6.278333551,12594.3.60-40D-b12-1.223.O,08:09:53,08:09:53,12, Tyrrelstown,3208.51,60-40D-b12-1,40D,b12
100,8220DB001509,"Slaney Road, stop 1509",53.37292583,-6.28422366,12594.3.60-40D-b12-1.223.O,08:10:51,08:10:51,13, Tyrrelstown,3727.26,60-40D-b12-1,40D,b12
