Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB007073,"Carlton Hotel, stop 7073",53.41908134,-6.378265517,15487.2.60-40E-b12-1.230.I,07:15:00,07:15:00,1, Broombridge Luas,0.0,60-40E-b12-1,40E,b12
1,8240DB007097,"Belgree Boulevard, stop 7097",53.420141,-6.384830261,15487.2.60-40E-b12-1.230.I,07:16:24,07:16:24,2, Broombridge Luas,534.61,60-40E-b12-1,40E,b12
2,8240DB007098,"Mount Eustace, stop 7098",53.42133658,-6.388170322,15487.2.60-40E-b12-1.230.I,07:17:12,07:17:12,3, Broombridge Luas,839.25,60-40E-b12-1,40E,b12
3,8240DB007099,"Mount Garrett, stop 7099",53.4217822,-6.391222908,15487.2.60-40E-b12-1.230.I,07:17:54,07:17:54,4, Broombridge Luas,1096.1,60-40E-b12-1,40E,b12
4,8240DB007100,"Rathmore Crescent, stop 7100",53.41975887,-6.391810848,15487.2.60-40E-b12-1.230.I,07:18:55,07:18:55,5, Broombridge Luas,1406.11,60-40E-b12-1,40E,b12
5,8240DB007101,"Bealing Walk, stop 7101",53.41825847,-6.387188463,15487.2.60-40E-b12-1.230.I,07:20:00,07:20:00,6, Broombridge Luas,1810.79,60-40E-b12-1,40E,b12
6,8240DB007505,"Ballentree Avenue, stop 7505",53.41757908,-6.386130949,15487.2.60-40E-b12-1.230.I,07:20:16,07:20:16,7, Broombridge Luas,1915.78,60-40E-b12-1,40E,b12
7,8240DB007678,"The Green, stop 7678",53.42431202,-6.378246984,15487.2.60-40E-b12-1.230.I,07:23:36,07:23:36,8, Broombridge Luas,3183.71,60-40E-b12-1,40E,b12
8,8240DB007560,"The Oaks, stop 7560",53.42676062,-6.369952565,15487.2.60-40E-b12-1.230.I,07:25:15,07:25:15,9, Broombridge Luas,3912.34,60-40E-b12-1,40E,b12
9,8240DB007679,"Mitchelstown Rd, stop 7679",53.41445192,-6.354567246,15487.2.60-40E-b12-1.230.I,07:28:36,07:28:36,10, Broombridge Luas,5945.31,60-40E-b12-1,40E,b12
