Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
56,8220DB007672,"Broombridge Station, stop 7672",53.37242562,-6.298882106,15488.2.60-40E-b12-1.229.O,07:50:00,07:50:00,1, Tyrrelstown,0.0,60-40E-b12-1,40E,b12
57,8220DB000826,"Carnlough Road, stop 826",53.37121785,-6.301169508,15488.2.60-40E-b12-1.229.O,07:50:43,07:50:43,2, Tyrrelstown,178.37,60-40E-b12-1,40E,b12
58,8220DB000827,"Ventry Park, stop 827",53.37129395,-6.303991869,15488.2.60-40E-b12-1.229.O,07:51:13,07:51:13,3, Tyrrelstown,364.76,60-40E-b12-1,40E,b12
59,8220DB000071,"Ventry Park, stop 71",53.37025769,-6.304438805,15488.2.60-40E-b12-1.229.O,07:51:38,07:51:38,4, Tyrrelstown,526.02,60-40E-b12-1,40E,b12
60,8220DB000072,"Ventry Drive, stop 72",53.36896993,-6.304264536,15488.2.60-40E-b12-1.229.O,07:52:03,07:52:03,5, Tyrrelstown,686.52,60-40E-b12-1,40E,b12
61,8220DB005144,"Marian School, stop 5144",53.37270953,-6.306205026,15488.2.60-40E-b12-1.229.O,07:53:27,07:53:27,6, Tyrrelstown,1234.23,60-40E-b12-1,40E,b12
62,8220DB007702,"River Road, stop 7702",53.37725553,-6.30987248,15488.2.60-40E-b12-1.229.O,07:54:36,07:54:36,7, Tyrrelstown,1871.49,60-40E-b12-1,40E,b12
63,8220DB007009,"Rathvilly Drive, stop 7009",53.38092808,-6.315980349,15488.2.60-40E-b12-1.229.O,07:55:48,07:55:48,8, Tyrrelstown,2471.29,60-40E-b12-1,40E,b12
64,8220DB001604,"Rathvilly Road, stop 1604",53.38374548,-6.316275042,15488.2.60-40E-b12-1.229.O,07:56:34,07:56:34,9, Tyrrelstown,2849.28,60-40E-b12-1,40E,b12
65,8220DB001573,"Wellmount Drive, stop 1573",53.38402416,-6.312460662,15488.2.60-40E-b12-1.229.O,07:57:15,07:57:15,10, Tyrrelstown,3195.56,60-40E-b12-1,40E,b12
66,8220DB001574,"Cardiffsbridge SC, stop 1574",53.385594,-6.312879647,15488.2.60-40E-b12-1.229.O,07:57:36,07:57:36,11, Tyrrelstown,3370.97,60-40E-b12-1,40E,b12
67,8220DB001575,"Coláiste Íde, stop 1575",53.38706614,-6.312746258,15488.2.60-40E-b12-1.229.O,07:57:56,07:57:56,12, Tyrrelstown,3534.84,60-40E-b12-1,40E,b12
68,8220DB004583,"Finglas West Church, stop 4583",53.38852909,-6.312598188,15488.2.60-40E-b12-1.229.O,07:58:16,07:58:16,13, Tyrrelstown,3697.85,60-40E-b12-1,40E,b12
69,8220DB001576,"Cappagh Road, stop 1576",53.38931741,-6.313048125,15488.2.60-40E-b12-1.229.O,07:58:30,07:58:30,14, Tyrrelstown,3816.16,60-40E-b12-1,40E,b12
70,8220DB001577,"Abbottstown Road, stop 1577",53.38988581,-6.315747017,15488.2.60-40E-b12-1.229.O,07:58:53,07:58:53,15, Tyrrelstown,4006.36,60-40E-b12-1,40E,b12
71,8220DB001578,"Ratoath Drive, stop 1578",53.39038513,-6.318012677,15488.2.60-40E-b12-1.229.O,07:59:13,07:59:13,16, Tyrrelstown,4168.14,60-40E-b12-1,40E,b12
72,8220DB004364,"Cappagh Hospital, stop 4364",53.39291139,-6.322529185,15488.2.60-40E-b12-1.229.O,08:00:08,08:00:08,17, Tyrrelstown,4631.03,60-40E-b12-1,40E,b12
73,8240DB001579,"Heathfield Avenue, stop 1579",53.39476368,-6.326426073,15488.2.60-40E-b12-1.229.O,08:00:47,08:00:47,18, Tyrrelstown,4979.55,60-40E-b12-1,40E,b12
