Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000288,"Irish Life, stop 288",53.34916881,-6.255601703,1016.1.60-41-b12-1.232.O,05:00:00,05:00:00,1, Swords Manor,0.0,60-41-b12-1,41,b12
1,8220DB001171,"Gardiner Street Lwr, stop 1171",53.35031769,-6.254262949,1016.1.60-41-b12-1.232.O,05:00:53,05:00:53,2, Swords Manor,222.25,60-41-b12-1,41,b12
2,8220DB001172,Railway Street,53.35174335,-6.255256217,1016.1.60-41-b12-1.232.O,05:01:34,05:01:34,3, Swords Manor,394.03,60-41-b12-1,41,b12
3,8220DB001173,"Gardiner Street Lwr, stop 1173",53.35370557,-6.256678323,1016.1.60-41-b12-1.232.O,05:02:32,05:02:32,4, Swords Manor,633.57,60-41-b12-1,41,b12
4,8220DB001174,"Mountjoy Sq West, stop 1174",53.35618658,-6.258545125,1016.1.60-41-b12-1.232.O,05:03:43,05:03:43,5, Swords Manor,935.48,60-41-b12-1,41,b12
5,8220DB001175,"Gardiner Street Upr, stop 1175",53.35841319,-6.260843182,1016.1.60-41-b12-1.232.O,05:05:01,05:05:01,6, Swords Manor,1227.19,60-41-b12-1,41,b12
6,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,1016.1.60-41-b12-1.232.O,05:06:11,05:06:11,7, Swords Manor,1490.21,60-41-b12-1,41,b12
7,8220DB000017,"Drumcondra Rail Stn, stop 17",53.36307832,-6.258399288,1016.1.60-41-b12-1.232.O,05:07:27,05:07:27,8, Swords Manor,1845.8,60-41-b12-1,41,b12
8,8220DB000018,"Dargle Road, stop 18",53.36585593,-6.255956821,1016.1.60-41-b12-1.232.O,05:08:10,05:08:10,9, Swords Manor,2196.84,60-41-b12-1,41,b12
9,8220DB000019,"Botanic Avenue, stop 19",53.36723488,-6.255599941,1016.1.60-41-b12-1.232.O,05:08:29,05:08:29,10, Swords Manor,2354.24,60-41-b12-1,41,b12
10,8220DB000021,"DCU St Patrick's, stop 21",53.3701012,-6.254310599,1016.1.60-41-b12-1.232.O,05:09:09,05:09:09,11, Swords Manor,2681.55,60-41-b12-1,41,b12
11,8220DB007602,"DCU St Patrick’s, stop 7602",53.37155351,-6.253439645,1016.1.60-41-b12-1.232.O,05:09:32,05:09:32,12, Swords Manor,2856.23,60-41-b12-1,41,b12
12,8220DB000085,"Wellpark Avenue, stop 85",53.37395795,-6.25191343,1016.1.60-41-b12-1.232.O,05:10:10,05:10:10,13, Swords Manor,3141.05,60-41-b12-1,41,b12
13,8220DB000203,"Whitehall College, stop 203",53.37639279,-6.250010028,1016.1.60-41-b12-1.232.O,05:10:52,05:10:52,14, Swords Manor,3436.59,60-41-b12-1,41,b12
14,8220DB000204,"Highfield Hospital, stop 204",53.37958836,-6.246662193,1016.1.60-41-b12-1.232.O,05:11:37,05:11:37,15, Swords Manor,3859.22,60-41-b12-1,41,b12
15,8220DB000205,"Iveragh Road, stop 205",53.38137533,-6.245326047,1016.1.60-41-b12-1.232.O,05:12:01,05:12:01,16, Swords Manor,4076.92,60-41-b12-1,41,b12
16,8220DB001620,"Whitehall Church, stop 1620",53.38326286,-6.244105913,1016.1.60-41-b12-1.232.O,05:12:36,05:12:36,17, Swords Manor,4302.14,60-41-b12-1,41,b12
17,8220DB000220,"Swords Road, stop 220",53.38794054,-6.244980841,1016.1.60-41-b12-1.232.O,05:14:08,05:14:08,18, Swords Manor,4882.32,60-41-b12-1,41,b12
18,8240DB001622,"Shanowen Road, stop 1622",53.39003784,-6.246413128,1016.1.60-41-b12-1.232.O,05:14:56,05:14:56,19, Swords Manor,5138.0,60-41-b12-1,41,b12
19,8240DB001623,"Omni Park SC, stop 1623",53.39193207,-6.24626007,1016.1.60-41-b12-1.232.O,05:15:36,05:15:36,20, Swords Manor,5348.25,60-41-b12-1,41,b12
20,8240DB001624,"Schoolhouse Lane, stop 1624",53.39608198,-6.24547288,1016.1.60-41-b12-1.232.O,05:16:41,05:16:41,21, Swords Manor,5813.12,60-41-b12-1,41,b12
21,8240DB001625,"Morton Stadium, stop 1625",53.40109228,-6.243296569,1016.1.60-41-b12-1.232.O,05:17:42,05:17:42,22, Swords Manor,6396.12,60-41-b12-1,41,b12
22,8240DB001626,"Santry Close, stop 1626",53.40416762,-6.240342257,1016.1.60-41-b12-1.232.O,05:18:36,05:18:36,23, Swords Manor,6795.7,60-41-b12-1,41,b12
23,8240DB001627,"Santry Retail Park, stop 1627",53.40824795,-6.237887465,1016.1.60-41-b12-1.232.O,05:19:44,05:19:44,24, Swords Manor,7293.21,60-41-b12-1,41,b12
24,8240DB001628,"Collinstown Park, stop 1628",53.41371224,-6.239075661,1016.1.60-41-b12-1.232.O,05:20:33,05:20:33,25, Swords Manor,7909.17,60-41-b12-1,41,b12
