Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB007144,"Oakhill, stop 7144",53.48740745,-6.29377142,10665.3.60-41B-b12-1.234.I,07:00:00,07:00:00,1, Abbey St,0.0,60-41B-b12-1,41B,b12
1,8240DB003881,"New Dairy Lane, stop 3881",53.47333089,-6.256930393,10665.3.60-41B-b12-1.234.I,07:03:35,07:03:35,2, Abbey St,3066.47,60-41B-b12-1,41B,b12
2,8240DB005096,"Rathbeale Road, stop 5096",53.47263446,-6.253554343,10665.3.60-41B-b12-1.234.I,07:03:54,07:03:54,3, Abbey St,3302.95,60-41B-b12-1,41B,b12
3,8240DB007145,"Rathbeale Cottages, stop 7145",53.47217312,-6.251509462,10665.3.60-41B-b12-1.234.I,07:04:05,07:04:05,4, Abbey St,3447.36,60-41B-b12-1,41B,b12
4,8240DB003884,"Pine Grove Park, stop 3884",53.46460154,-6.234755712,10665.3.60-41B-b12-1.234.I,07:05:58,07:05:58,5, Abbey St,4861.32,60-41B-b12-1,41B,b12
5,8240DB003686,"Rathbeale Crescent, stop 3686",53.46191838,-6.230183125,10665.3.60-41B-b12-1.234.I,07:06:53,07:06:53,6, Abbey St,5297.89,60-41B-b12-1,41B,b12
6,8240DB005077,"Brackenstown Ave, stop 5077",53.4610752,-6.227266333,10665.3.60-41B-b12-1.234.I,07:07:21,07:07:21,7, Abbey St,5512.96,60-41B-b12-1,41B,b12
7,8240DB005078,"Watery Lane, stop 5078",53.45985337,-6.223672692,10665.3.60-41B-b12-1.234.I,07:07:55,07:07:55,8, Abbey St,5785.28,60-41B-b12-1,41B,b12
8,8240DB003689,"Fingal Co Co, stop 3689",53.45893595,-6.220006281,10665.3.60-41B-b12-1.234.I,07:08:35,07:08:35,9, Abbey St,6100.45,60-41B-b12-1,41B,b12
9,8240DB003690,"Swords Main Street, stop 3690",53.45695642,-6.221067932,10665.3.60-41B-b12-1.234.I,07:09:07,07:09:07,11, Abbey St,6332.39,60-41B-b12-1,41B,b12
10,8240DB005079,"Swords Pavilions, stop 5079",53.45301901,-6.215600936,10665.3.60-41B-b12-1.234.I,07:10:56,07:10:56,12, Abbey St,7198.12,60-41B-b12-1,41B,b12
11,8240DB003694,"Pinnock Hill, stop 3694",53.44899635,-6.226730563,10665.3.60-41B-b12-1.234.I,07:12:48,07:12:48,13, Abbey St,8074.42,60-41B-b12-1,41B,b12
12,8240DB003695,"Airside, stop 3695",53.44705603,-6.228015843,10665.3.60-41B-b12-1.234.I,07:13:19,07:13:19,14, Abbey St,8313.64,60-41B-b12-1,41B,b12
13,8240DB003696,"N1 Business Park, stop 3696",53.44318191,-6.227996447,10665.3.60-41B-b12-1.234.I,07:14:24,07:14:24,15, Abbey St,8749.32,60-41B-b12-1,41B,b12
14,8240DB003697,"Equestrian Centre, stop 3697",53.44068572,-6.227558418,10665.3.60-41B-b12-1.234.I,07:15:07,07:15:07,16, Abbey St,9027.39,60-41B-b12-1,41B,b12
15,8240DB003698,"Kettles Lane, stop 3698",53.43681812,-6.227373211,10665.3.60-41B-b12-1.234.I,07:15:38,07:15:38,17, Abbey St,9457.57,60-41B-b12-1,41B,b12
16,8240DB003699,"Stockhole Lane, stop 3699",53.43505505,-6.22788309,10665.3.60-41B-b12-1.234.I,07:15:50,07:15:50,18, Abbey St,9653.1,60-41B-b12-1,41B,b12
17,8240DB003885,"Airport Parking, stop 3885",53.42596849,-6.229118852,10665.3.60-41B-b12-1.234.I,07:18:00,07:18:00,20, Abbey St,10732.19,60-41B-b12-1,41B,b12
18,8240DB001631,"ALSAA Sports Club, stop 1631",53.42240565,-6.230696398,10665.3.60-41B-b12-1.234.I,07:18:45,07:18:45,21, Abbey St,11141.56,60-41B-b12-1,41B,b12
19,8240DB001632,"Toberbunny Lodge, stop 1632",53.42050015,-6.23312273,10665.3.60-41B-b12-1.234.I,07:19:14,07:19:14,22, Abbey St,11405.74,60-41B-b12-1,41B,b12
20,8240DB005053,"Swords Road, stop 5053",53.41964188,-6.234647863,10665.3.60-41B-b12-1.234.I,07:19:29,07:19:29,23, Abbey St,11543.42,60-41B-b12-1,41B,b12
21,8240DB001633,"Dardistown Cemetery, stop 1633",53.41813287,-6.237147726,10665.3.60-41B-b12-1.234.I,07:19:55,07:19:55,24, Abbey St,11781.64,60-41B-b12-1,41B,b12
22,8240DB001634,"Collinstown Park, stop 1634",53.41345696,-6.238830466,10665.3.60-41B-b12-1.234.I,07:20:56,07:20:56,25, Abbey St,12351.88,60-41B-b12-1,41B,b12
23,8240DB001635,"Woodland Ind Est, stop 1635",53.41170491,-6.238872777,10665.3.60-41B-b12-1.234.I,07:21:14,07:21:14,26, Abbey St,12547.13,60-41B-b12-1,41B,b12
24,8240DB001636,"Turnapin Lane, stop 1636",53.40825271,-6.237601473,10665.3.60-41B-b12-1.234.I,07:21:43,07:21:43,27, Abbey St,12943.01,60-41B-b12-1,41B,b12
25,8240DB001637,"Santry Close, stop 1637",53.40403965,-6.240197136,10665.3.60-41B-b12-1.234.I,07:23:40,07:23:40,28, Abbey St,13445.01,60-41B-b12-1,41B,b12
26,8240DB001638,"Morton Stadium, stop 1638",53.40174938,-6.24214153,10665.3.60-41B-b12-1.234.I,07:24:10,07:24:10,29, Abbey St,13731.43,60-41B-b12-1,41B,b12
27,8240DB001639,"Schoolhouse Lane, stop 1639",53.39650939,-6.245199655,10665.3.60-41B-b12-1.234.I,07:25:19,07:25:19,30, Abbey St,14371.92,60-41B-b12-1,41B,b12
28,8240DB001640,"Omni Park SC, stop 1640",53.3923505,-6.24598725,10665.3.60-41B-b12-1.234.I,07:26:12,07:26:12,31, Abbey St,14836.64,60-41B-b12-1,41B,b12
