Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
94,8220DB000288,"Irish Life, stop 288",53.34916881,-6.255601703,10666.3.60-41B-b12-1.233.O,08:20:00,08:20:00,1, Rolestown,0.0,60-41B-b12-1,41B,b12
95,8220DB001171,"Gardiner Street Lwr, stop 1171",53.35031769,-6.254262949,10666.3.60-41B-b12-1.233.O,08:20:42,08:20:42,2, Rolestown,222.25,60-41B-b12-1,41B,b12
96,8220DB001172,Railway Street,53.35174335,-6.255256217,10666.3.60-41B-b12-1.233.O,08:21:14,08:21:14,3, Rolestown,394.03,60-41B-b12-1,41B,b12
97,8220DB001173,"Gardiner Street Lwr, stop 1173",53.35370557,-6.256678323,10666.3.60-41B-b12-1.233.O,08:22:00,08:22:00,4, Rolestown,633.57,60-41B-b12-1,41B,b12
98,8220DB001174,"Mountjoy Sq West, stop 1174",53.35618658,-6.258545125,10666.3.60-41B-b12-1.233.O,08:22:57,08:22:57,5, Rolestown,935.48,60-41B-b12-1,41B,b12
99,8220DB001175,"Gardiner Street Upr, stop 1175",53.35841319,-6.260843182,10666.3.60-41B-b12-1.233.O,08:24:24,08:24:24,6, Rolestown,1227.19,60-41B-b12-1,41B,b12
100,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,10666.3.60-41B-b12-1.233.O,08:25:42,08:25:42,7, Rolestown,1490.21,60-41B-b12-1,41B,b12
101,8220DB000017,"Drumcondra Rail Stn, stop 17",53.36307832,-6.258399288,10666.3.60-41B-b12-1.233.O,08:27:21,08:27:21,8, Rolestown,1845.8,60-41B-b12-1,41B,b12
102,8220DB000018,"Dargle Road, stop 18",53.36585593,-6.255956821,10666.3.60-41B-b12-1.233.O,08:28:16,08:28:16,9, Rolestown,2196.84,60-41B-b12-1,41B,b12
103,8220DB000019,"Botanic Avenue, stop 19",53.36723488,-6.255599941,10666.3.60-41B-b12-1.233.O,08:28:41,08:28:41,10, Rolestown,2354.24,60-41B-b12-1,41B,b12
104,8220DB000021,"DCU St Patrick's, stop 21",53.3701012,-6.254310599,10666.3.60-41B-b12-1.233.O,08:29:32,08:29:32,11, Rolestown,2681.55,60-41B-b12-1,41B,b12
105,8220DB007602,"DCU St Patrick’s, stop 7602",53.37155351,-6.253439645,10666.3.60-41B-b12-1.233.O,08:29:51,08:29:51,12, Rolestown,2856.23,60-41B-b12-1,41B,b12
106,8220DB000085,"Wellpark Avenue, stop 85",53.37395795,-6.25191343,10666.3.60-41B-b12-1.233.O,08:30:22,08:30:22,13, Rolestown,3141.05,60-41B-b12-1,41B,b12
107,8220DB000203,"Whitehall College, stop 203",53.37639279,-6.250010028,10666.3.60-41B-b12-1.233.O,08:30:57,08:30:57,14, Rolestown,3436.59,60-41B-b12-1,41B,b12
108,8220DB000204,"Highfield Hospital, stop 204",53.37958836,-6.246662193,10666.3.60-41B-b12-1.233.O,08:31:40,08:31:40,15, Rolestown,3859.22,60-41B-b12-1,41B,b12
109,8220DB000205,"Iveragh Road, stop 205",53.38137533,-6.245326047,10666.3.60-41B-b12-1.233.O,08:32:02,08:32:02,16, Rolestown,4076.92,60-41B-b12-1,41B,b12
110,8220DB001620,"Whitehall Church, stop 1620",53.38326286,-6.244105913,10666.3.60-41B-b12-1.233.O,08:32:38,08:32:38,17, Rolestown,4302.14,60-41B-b12-1,41B,b12
111,8220DB000220,"Swords Road, stop 220",53.38794054,-6.244980841,10666.3.60-41B-b12-1.233.O,08:34:13,08:34:13,18, Rolestown,4882.32,60-41B-b12-1,41B,b12
112,8240DB001622,"Shanowen Road, stop 1622",53.39003784,-6.246413128,10666.3.60-41B-b12-1.233.O,08:34:46,08:34:46,19, Rolestown,5138.0,60-41B-b12-1,41B,b12
113,8240DB001623,"Omni Park SC, stop 1623",53.39193207,-6.24626007,10666.3.60-41B-b12-1.233.O,08:35:13,08:35:13,20, Rolestown,5348.25,60-41B-b12-1,41B,b12
114,8240DB001624,"Schoolhouse Lane, stop 1624",53.39608198,-6.24547288,10666.3.60-41B-b12-1.233.O,08:36:10,08:36:10,21, Rolestown,5813.12,60-41B-b12-1,41B,b12
115,8240DB001625,"Morton Stadium, stop 1625",53.40109228,-6.243296569,10666.3.60-41B-b12-1.233.O,08:37:33,08:37:33,22, Rolestown,6396.12,60-41B-b12-1,41B,b12
116,8240DB001626,"Santry Close, stop 1626",53.40416762,-6.240342257,10666.3.60-41B-b12-1.233.O,08:38:31,08:38:31,23, Rolestown,6795.7,60-41B-b12-1,41B,b12
117,8240DB001627,"Santry Retail Park, stop 1627",53.40824795,-6.237887465,10666.3.60-41B-b12-1.233.O,08:39:43,08:39:43,24, Rolestown,7293.21,60-41B-b12-1,41B,b12
118,8240DB001628,"Collinstown Park, stop 1628",53.41371224,-6.239075661,10666.3.60-41B-b12-1.233.O,08:40:42,08:40:42,25, Rolestown,7909.17,60-41B-b12-1,41B,b12
119,8240DB001629,"Dardistown Cemetery, stop 1629",53.41694663,-6.238987144,10666.3.60-41B-b12-1.233.O,08:41:14,08:41:14,26, Rolestown,8272.65,60-41B-b12-1,41B,b12
120,8240DB001630,"ALSAA Sports Club, stop 1630",53.4218661,-6.231892444,10666.3.60-41B-b12-1.233.O,08:42:57,08:42:57,27, Rolestown,8997.58,60-41B-b12-1,41B,b12
121,8240DB003670,"Airport Parking, stop 3670",53.42457725,-6.229853828,10666.3.60-41B-b12-1.233.O,08:43:45,08:43:45,28, Rolestown,9335.32,60-41B-b12-1,41B,b12
122,8240DB003671,"Airport Roundabout, stop 3671",53.42939946,-6.230165108,10666.3.60-41B-b12-1.233.O,08:45:03,08:45:03,29, Rolestown,9884.33,60-41B-b12-1,41B,b12
123,8240DB003672,"Stockhole Lane, stop 3672",53.4321755,-6.230079851,10666.3.60-41B-b12-1.233.O,08:45:29,08:45:29,30, Rolestown,10192.36,60-41B-b12-1,41B,b12
124,8240DB003674,"Equestrian Centre, stop 3674",53.44105016,-6.227889477,10666.3.60-41B-b12-1.233.O,08:46:36,08:46:36,31, Rolestown,11216.84,60-41B-b12-1,41B,b12
125,8240DB003675,"N1 Business Park, stop 3675",53.44333974,-6.228336126,10666.3.60-41B-b12-1.233.O,08:46:53,08:46:53,32, Rolestown,11476.4,60-41B-b12-1,41B,b12
126,8240DB003676,"Airside, stop 3676",53.44678249,-6.228358451,10666.3.60-41B-b12-1.233.O,08:47:30,08:47:30,33, Rolestown,11856.34,60-41B-b12-1,41B,b12
127,8240DB005073,"Pinnockhill, stop 5073",53.45063876,-6.223545364,10666.3.60-41B-b12-1.233.O,08:48:13,08:48:13,34, Rolestown,12421.45,60-41B-b12-1,41B,b12
128,8240DB005074,"Swords Pavilions, stop 5074",53.45315039,-6.215971872,10666.3.60-41B-b12-1.233.O,08:49:46,08:49:46,35, Rolestown,13000.07,60-41B-b12-1,41B,b12
129,8240DB006054,"Malahide Road, stop 6054",53.45423681,-6.21589621,10666.3.60-41B-b12-1.233.O,08:50:19,08:50:19,36, Rolestown,13209.03,60-41B-b12-1,41B,b12
130,8240DB004330,"Swords Pavilions SC, stop 4330",53.45478587,-6.218357818,10666.3.60-41B-b12-1.233.O,08:50:54,08:50:54,37, Rolestown,13429.39,60-41B-b12-1,41B,b12
131,8240DB003679,"Fingal Co Co, stop 3679",53.45908168,-6.220135723,10666.3.60-41B-b12-1.233.O,08:52:30,08:52:30,38, Rolestown,14029.09,60-41B-b12-1,41B,b12
132,8240DB005075,"Rathbeale Road, stop 5075",53.4596634,-6.223590263,10666.3.60-41B-b12-1.233.O,08:53:08,08:53:08,39, Rolestown,14313.1,60-41B-b12-1,41B,b12
133,8240DB005076,"Brackenstown Ave, stop 5076",53.46125341,-6.228373393,10666.3.60-41B-b12-1.233.O,08:53:56,08:53:56,40, Rolestown,14679.15,60-41B-b12-1,41B,b12
134,8240DB003682,"Glasmore Park, stop 3682",53.46202403,-6.231248052,10666.3.60-41B-b12-1.233.O,08:54:24,08:54:24,41, Rolestown,14890.16,60-41B-b12-1,41B,b12
135,8240DB003864,"Abbylea Close, stop 3864",53.46399913,-6.234133062,10666.3.60-41B-b12-1.233.O,08:54:46,08:54:46,42, Rolestown,15177.38,60-41B-b12-1,41B,b12
136,8240DB003865,"Daleview Road, stop 3865",53.46609106,-6.237631049,10666.3.60-41B-b12-1.233.O,08:55:11,08:55:11,43, Rolestown,15508.14,60-41B-b12-1,41B,b12
137,8240DB007133,"Bunbury Gate Avenue, stop 7133",53.46798883,-6.240158312,10666.3.60-41B-b12-1.233.O,08:55:32,08:55:32,44, Rolestown,15780.33,60-41B-b12-1,41B,b12
138,8240DB007134,"Rathbeale Cottages, stop 7134",53.47215146,-6.251871898,10666.3.60-41B-b12-1.233.O,08:56:41,08:56:41,45, Rolestown,16692.46,60-41B-b12-1,41B,b12
139,8240DB003867,"New Dairy Lane, stop 3867",53.47318497,-6.256785726,10666.3.60-41B-b12-1.233.O,08:57:07,08:57:07,46, Rolestown,17036.77,60-41B-b12-1,41B,b12
140,8240DB007135,"Lispopple, stop 7135",53.48281477,-6.288124397,10666.3.60-41B-b12-1.233.O,09:00:06,09:00:06,47, Rolestown,19399.83,60-41B-b12-1,41B,b12
141,8240DB007136,"Oakhill, stop 7136",53.48743926,-6.296000464,10666.3.60-41B-b12-1.233.O,09:01:24,09:01:24,48, Rolestown,20262.17,60-41B-b12-1,41B,b12
142,8240DB003874,"Killossery, stop 3874",53.48864359,-6.304210625,10666.3.60-41B-b12-1.233.O,09:02:22,09:02:22,49, Rolestown,20896.12,60-41B-b12-1,41B,b12
