Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
240,8240DB004843,"Berwick Walk, stop 4843",53.45966357,-6.250397107,1025.1.60-41C-b12-1.238.I,17:00:00,17:00:00,1, Abbey St,0.0,60-41C-b12-1,41C,b12
241,8240DB004905,"Ormond Avenue, stop 4905",53.45996401,-6.245143835,1025.1.60-41C-b12-1.238.I,17:00:59,17:00:59,2, Abbey St,356.04,60-41C-b12-1,41C,b12
242,8240DB004906,"St Cronan's Avenue, stop 4906",53.46065355,-6.241305121,1025.1.60-41C-b12-1.238.I,17:01:56,17:01:56,4, Abbey St,705.37,60-41C-b12-1,41C,b12
243,8240DB004907,"St Cronan's Lawn, stop 4907",53.46253856,-6.239916886,1025.1.60-41C-b12-1.238.I,17:02:37,17:02:37,5, Abbey St,935.15,60-41C-b12-1,41C,b12
244,8240DB004908,"Ardcian Park, stop 4908",53.46394371,-6.239512334,1025.1.60-41C-b12-1.238.I,17:03:03,17:03:03,6, Abbey St,1099.37,60-41C-b12-1,41C,b12
245,8240DB004909,"Cianlea, stop 4909",53.46571903,-6.239830477,1025.1.60-41C-b12-1.238.I,17:03:37,17:03:37,7, Abbey St,1298.88,60-41C-b12-1,41C,b12
246,8240DB004921,"Laurelton, stop 4921",53.46825439,-6.236833449,1025.1.60-41C-b12-1.238.I,17:04:36,17:04:36,8, Abbey St,1649.3,60-41C-b12-1,41C,b12
247,8240DB004922,"Applewood, stop 4922",53.46940628,-6.230850684,1025.1.60-41C-b12-1.238.I,17:06:13,17:06:13,9, Abbey St,2224.18,60-41C-b12-1,41C,b12
248,8240DB004923,"Jugback Terrace, stop 4923",53.46869043,-6.228033507,1025.1.60-41C-b12-1.238.I,17:06:50,17:06:50,10, Abbey St,2444.55,60-41C-b12-1,41C,b12
249,8240DB004924,"St Colmcille GAA, stop 4924",53.46825585,-6.22056525,1025.1.60-41C-b12-1.238.I,17:08:13,17:08:13,11, Abbey St,2946.64,60-41C-b12-1,41C,b12
250,8240DB004958,"North Street Park, stop 4958",53.46499706,-6.217207196,1025.1.60-41C-b12-1.238.I,17:09:50,17:09:50,12, Abbey St,3517.86,60-41C-b12-1,41C,b12
251,8240DB003752,"Seatown Villas, stop 3752",53.4624135,-6.218143823,1025.1.60-41C-b12-1.238.I,17:10:59,17:10:59,13, Abbey St,3930.17,60-41C-b12-1,41C,b12
252,8240DB003751,"Carnegie Court, stop 3751",53.46089301,-6.21864426,1025.1.60-41C-b12-1.238.I,17:11:29,17:11:29,14, Abbey St,4102.33,60-41C-b12-1,41C,b12
253,8240DB003689,"Fingal Co Co, stop 3689",53.45893595,-6.220006281,1025.1.60-41C-b12-1.238.I,17:13:48,17:13:48,15, Abbey St,4350.9,60-41C-b12-1,41C,b12
254,8240DB003691,"Swords Main Street, stop 3691",53.45597709,-6.221696165,1025.1.60-41C-b12-1.238.I,17:15:30,17:15:30,16, Abbey St,4698.25,60-41C-b12-1,41C,b12
255,8240DB003572,"Forest Road, stop 3572",53.45432735,-6.224385227,1025.1.60-41C-b12-1.238.I,17:16:48,17:16:48,17, Abbey St,4972.34,60-41C-b12-1,41C,b12
256,8240DB003701,"Ballintrane Wood, stop 3701",53.4526169,-6.227227183,1025.1.60-41C-b12-1.238.I,17:18:10,17:18:10,18, Abbey St,5250.37,60-41C-b12-1,41C,b12
257,8240DB003702,"River Valley Drive, stop 3702",53.45197235,-6.232253063,1025.1.60-41C-b12-1.238.I,17:19:56,17:19:56,19, Abbey St,5618.31,60-41C-b12-1,41C,b12
258,8240DB003088,"River Valley Heights, stop 3088",53.45272708,-6.237100369,1025.1.60-41C-b12-1.238.I,17:21:31,17:21:31,20, Abbey St,5952.55,60-41C-b12-1,41C,b12
259,8240DB003704,"River Valley Road, stop 3704",53.4532573,-6.23953282,1025.1.60-41C-b12-1.238.I,17:22:07,17:22:07,21, Abbey St,6126.51,60-41C-b12-1,41C,b12
260,8240DB003705,"Brookdale Drive, stop 3705",53.45281307,-6.24415882,1025.1.60-41C-b12-1.238.I,17:23:32,17:23:32,22, Abbey St,6533.51,60-41C-b12-1,41C,b12
261,8240DB000733,"Forest View, stop 733",53.44943329,-6.240473923,1025.1.60-41C-b12-1.238.I,17:25:36,17:25:36,23, Abbey St,7132.98,60-41C-b12-1,41C,b12
262,8240DB006015,"Cherry Avenue, stop 6015",53.44833576,-6.238577067,1025.1.60-41C-b12-1.238.I,17:26:12,17:26:12,24, Abbey St,7305.97,60-41C-b12-1,41C,b12
263,8240DB005029,"Boroimhe Laurels, stop 5029",53.44507644,-6.234541733,1025.1.60-41C-b12-1.238.I,17:27:47,17:27:47,25, Abbey St,7760.83,60-41C-b12-1,41C,b12
264,8240DB005028,"Boroimhe Maples, stop 5028",53.44464753,-6.231066825,1025.1.60-41C-b12-1.238.I,17:28:41,17:28:41,26, Abbey St,8012.0,60-41C-b12-1,41C,b12
265,8240DB003696,"N1 Business Park, stop 3696",53.44318191,-6.227996447,1025.1.60-41C-b12-1.238.I,17:30:33,17:30:33,27, Abbey St,8380.25,60-41C-b12-1,41C,b12
266,8240DB003697,"Equestrian Centre, stop 3697",53.44068572,-6.227558418,1025.1.60-41C-b12-1.238.I,17:32:00,17:32:00,28, Abbey St,8658.32,60-41C-b12-1,41C,b12
267,8240DB003698,"Kettles Lane, stop 3698",53.43681812,-6.227373211,1025.1.60-41C-b12-1.238.I,17:32:44,17:32:44,29, Abbey St,9088.5,60-41C-b12-1,41C,b12
268,8240DB003699,"Stockhole Lane, stop 3699",53.43505505,-6.22788309,1025.1.60-41C-b12-1.238.I,17:33:05,17:33:05,30, Abbey St,9284.04,60-41C-b12-1,41C,b12
269,8240DB003885,"Airport Parking, stop 3885",53.42596849,-6.229118852,1025.1.60-41C-b12-1.238.I,17:35:59,17:35:59,32, Abbey St,10363.12,60-41C-b12-1,41C,b12
270,8240DB001631,"ALSAA Sports Club, stop 1631",53.42240565,-6.230696398,1025.1.60-41C-b12-1.238.I,17:36:52,17:36:52,33, Abbey St,10772.49,60-41C-b12-1,41C,b12
271,8240DB001632,"Toberbunny Lodge, stop 1632",53.42050015,-6.23312273,1025.1.60-41C-b12-1.238.I,17:37:26,17:37:26,34, Abbey St,11036.67,60-41C-b12-1,41C,b12
272,8240DB005053,"Swords Road, stop 5053",53.41964188,-6.234647863,1025.1.60-41C-b12-1.238.I,17:37:44,17:37:44,35, Abbey St,11174.35,60-41C-b12-1,41C,b12
273,8240DB001633,"Dardistown Cemetery, stop 1633",53.41813287,-6.237147726,1025.1.60-41C-b12-1.238.I,17:38:14,17:38:14,36, Abbey St,11412.57,60-41C-b12-1,41C,b12
274,8240DB001634,"Collinstown Park, stop 1634",53.41345696,-6.238830466,1025.1.60-41C-b12-1.238.I,17:39:26,17:39:26,37, Abbey St,11982.81,60-41C-b12-1,41C,b12
275,8240DB001635,"Woodland Ind Est, stop 1635",53.41170491,-6.238872777,1025.1.60-41C-b12-1.238.I,17:39:45,17:39:45,38, Abbey St,12178.06,60-41C-b12-1,41C,b12
276,8240DB001636,"Turnapin Lane, stop 1636",53.40825271,-6.237601473,1025.1.60-41C-b12-1.238.I,17:41:03,17:41:03,39, Abbey St,12573.94,60-41C-b12-1,41C,b12
277,8240DB001637,"Santry Close, stop 1637",53.40403965,-6.240197136,1025.1.60-41C-b12-1.238.I,17:42:31,17:42:31,40, Abbey St,13075.94,60-41C-b12-1,41C,b12
278,8240DB001638,"Morton Stadium, stop 1638",53.40174938,-6.24214153,1025.1.60-41C-b12-1.238.I,17:43:25,17:43:25,41, Abbey St,13362.36,60-41C-b12-1,41C,b12
279,8240DB001639,"Schoolhouse Lane, stop 1639",53.39650939,-6.245199655,1025.1.60-41C-b12-1.238.I,17:45:26,17:45:26,42, Abbey St,14002.85,60-41C-b12-1,41C,b12
280,8240DB001640,"Omni Park SC, stop 1640",53.3923505,-6.24598725,1025.1.60-41C-b12-1.238.I,17:47:00,17:47:00,43, Abbey St,14467.57,60-41C-b12-1,41C,b12
281,8240DB000231,"Shanvarna Road Est, stop 231",53.38924008,-6.245949764,1025.1.60-41C-b12-1.238.I,17:48:32,17:48:32,44, Abbey St,14820.33,60-41C-b12-1,41C,b12
282,8220DB001641,"Ellenfield Park, stop 1641",53.38652728,-6.242392966,1025.1.60-41C-b12-1.238.I,17:50:27,17:50:27,45, Abbey St,15288.23,60-41C-b12-1,41C,b12
283,8220DB001642,"Whitehall Church, stop 1642",53.38394789,-6.243626722,1025.1.60-41C-b12-1.238.I,17:51:39,17:51:39,46, Abbey St,15587.99,60-41C-b12-1,41C,b12
284,8220DB000213,"Iveragh Road, stop 213",53.38144954,-6.244872024,1025.1.60-41C-b12-1.238.I,17:52:53,17:52:53,47, Abbey St,15877.11,60-41C-b12-1,41C,b12
285,8220DB000214,"Highfield Hospital, stop 214",53.37940848,-6.246654552,1025.1.60-41C-b12-1.238.I,17:54:12,17:54:12,48, Abbey St,16131.52,60-41C-b12-1,41C,b12
286,8220DB004432,"Griffith Downs, stop 4432",53.37720747,-6.248563719,1025.1.60-41C-b12-1.238.I,17:55:33,17:55:33,49, Abbey St,16407.17,60-41C-b12-1,41C,b12
287,8220DB000119,"The Village, stop 119",53.37519048,-6.250765745,1025.1.60-41C-b12-1.238.I,17:56:58,17:56:58,50, Abbey St,16675.96,60-41C-b12-1,41C,b12
288,8220DB000044,"Skylon Hotel, stop 44",53.37301741,-6.252132303,1025.1.60-41C-b12-1.238.I,17:58:02,17:58:02,51, Abbey St,16935.32,60-41C-b12-1,41C,b12
289,8220DB007603,"St Patrick's College, stop 7603",53.37157673,-6.253183204,1025.1.60-41C-b12-1.238.I,17:58:46,17:58:46,52, Abbey St,17109.5,60-41C-b12-1,41C,b12
290,8220DB000045,"DCU St Patrick's, stop 45",53.36993643,-6.254106941,1025.1.60-41C-b12-1.238.I,17:59:38,17:59:38,53, Abbey St,17303.44,60-41C-b12-1,41C,b12
291,8220DB000046,"Botanic Avenue, stop 46",53.36713102,-6.255258557,1025.1.60-41C-b12-1.238.I,18:00:44,18:00:44,54, Abbey St,17630.05,60-41C-b12-1,41C,b12
292,8220DB000047,"Drumcondra Rail Stn, stop 47",53.36391612,-6.257298257,1025.1.60-41C-b12-1.238.I,18:02:04,18:02:04,55, Abbey St,18009.6,60-41C-b12-1,41C,b12
293,8220DB000048,"Fitzroy Avenue, stop 48",53.36225739,-6.258808412,1025.1.60-41C-b12-1.238.I,18:03:18,18:03:18,56, Abbey St,18219.83,60-41C-b12-1,41C,b12
294,8220DB000049,"Dorset Street Lower, stop 49",53.36000424,-6.260853508,1025.1.60-41C-b12-1.238.I,18:05:03,18:05:03,57, Abbey St,18506.22,60-41C-b12-1,41C,b12
295,8220DB000051,"Temple Street, stop 51",53.35781041,-6.263271572,1025.1.60-41C-b12-1.238.I,18:06:31,18:06:31,58, Abbey St,18796.45,60-41C-b12-1,41C,b12
296,8220DB000052,"Dorset Street Upper, stop 52",53.35666078,-6.264565282,1025.1.60-41C-b12-1.238.I,18:07:19,18:07:19,59, Abbey St,18953.21,60-41C-b12-1,41C,b12
297,8220DB000277,"O'Connell St Upper, stop 277",53.35082233,-6.26050632,1025.1.60-41C-b12-1.238.I,18:11:10,18:11:10,60, Abbey St,20026.08,60-41C-b12-1,41C,b12
