Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000288,"Irish Life, stop 288",53.34916881,-6.255601703,1020.1.60-41C-b12-1.237.O,10:00:00,10:00:00,1, Swords Manor,0.0,60-41C-b12-1,41C,b12
1,8220DB001171,"Gardiner Street Lwr, stop 1171",53.35031769,-6.254262949,1020.1.60-41C-b12-1.237.O,10:01:06,10:01:06,2, Swords Manor,222.25,60-41C-b12-1,41C,b12
2,8220DB001172,Railway Street,53.35174335,-6.255256217,1020.1.60-41C-b12-1.237.O,10:01:57,10:01:57,3, Swords Manor,394.03,60-41C-b12-1,41C,b12
3,8220DB001173,"Gardiner Street Lwr, stop 1173",53.35370557,-6.256678323,1020.1.60-41C-b12-1.237.O,10:03:10,10:03:10,4, Swords Manor,633.57,60-41C-b12-1,41C,b12
4,8220DB001174,"Mountjoy Sq West, stop 1174",53.35618658,-6.258545125,1020.1.60-41C-b12-1.237.O,10:04:40,10:04:40,5, Swords Manor,935.48,60-41C-b12-1,41C,b12
5,8220DB001175,"Gardiner Street Upr, stop 1175",53.35841319,-6.260843182,1020.1.60-41C-b12-1.237.O,10:06:12,10:06:12,6, Swords Manor,1227.19,60-41C-b12-1,41C,b12
6,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,1020.1.60-41C-b12-1.237.O,10:07:35,10:07:35,7, Swords Manor,1490.21,60-41C-b12-1,41C,b12
7,8220DB000017,"Drumcondra Rail Stn, stop 17",53.36307832,-6.258399288,1020.1.60-41C-b12-1.237.O,10:09:32,10:09:32,8, Swords Manor,1845.8,60-41C-b12-1,41C,b12
8,8220DB000018,"Dargle Road, stop 18",53.36585593,-6.255956821,1020.1.60-41C-b12-1.237.O,10:10:36,10:10:36,9, Swords Manor,2196.84,60-41C-b12-1,41C,b12
9,8220DB000019,"Botanic Avenue, stop 19",53.36723488,-6.255599941,1020.1.60-41C-b12-1.237.O,10:11:05,10:11:05,10, Swords Manor,2354.24,60-41C-b12-1,41C,b12
10,8220DB000021,"DCU St Patrick's, stop 21",53.3701012,-6.254310599,1020.1.60-41C-b12-1.237.O,10:12:05,10:12:05,11, Swords Manor,2681.55,60-41C-b12-1,41C,b12
11,8220DB007602,"DCU St Patrick’s, stop 7602",53.37155351,-6.253439645,1020.1.60-41C-b12-1.237.O,10:12:58,10:12:58,12, Swords Manor,2856.23,60-41C-b12-1,41C,b12
12,8220DB000085,"Wellpark Avenue, stop 85",53.37395795,-6.25191343,1020.1.60-41C-b12-1.237.O,10:14:23,10:14:23,13, Swords Manor,3141.05,60-41C-b12-1,41C,b12
13,8220DB000203,"Whitehall College, stop 203",53.37639279,-6.250010028,1020.1.60-41C-b12-1.237.O,10:15:57,10:15:57,14, Swords Manor,3436.59,60-41C-b12-1,41C,b12
14,8220DB000204,"Highfield Hospital, stop 204",53.37958836,-6.246662193,1020.1.60-41C-b12-1.237.O,10:17:06,10:17:06,15, Swords Manor,3859.22,60-41C-b12-1,41C,b12
15,8220DB000205,"Iveragh Road, stop 205",53.38137533,-6.245326047,1020.1.60-41C-b12-1.237.O,10:17:43,10:17:43,16, Swords Manor,4076.92,60-41C-b12-1,41C,b12
16,8220DB001620,"Whitehall Church, stop 1620",53.38326286,-6.244105913,1020.1.60-41C-b12-1.237.O,10:18:27,10:18:27,17, Swords Manor,4302.14,60-41C-b12-1,41C,b12
17,8220DB000220,"Swords Road, stop 220",53.38794054,-6.244980841,1020.1.60-41C-b12-1.237.O,10:20:25,10:20:25,18, Swords Manor,4882.32,60-41C-b12-1,41C,b12
18,8240DB001622,"Shanowen Road, stop 1622",53.39003784,-6.246413128,1020.1.60-41C-b12-1.237.O,10:21:35,10:21:35,19, Swords Manor,5138.0,60-41C-b12-1,41C,b12
