Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
144,8240DB005044,"Swords Park, stop 5044",53.46078765,-6.209793108,4904.1.60-41D-b12-1.240.I,09:00:00,09:00:00,1, Abbey St,0.0,60-41D-b12-1,41D,b12
145,8240DB007116,"Swords Park, stop 7116",53.45682791,-6.212459515,4904.1.60-41D-b12-1.240.I,09:01:19,09:01:19,2, Abbey St,591.27,60-41D-b12-1,41D,b12
146,8240DB005079,"Swords Pavilions, stop 5079",53.45301901,-6.215600936,4904.1.60-41D-b12-1.240.I,09:02:26,09:02:26,3, Abbey St,1084.36,60-41D-b12-1,41D,b12
147,8240DB003694,"Pinnock Hill, stop 3694",53.44899635,-6.226730563,4904.1.60-41D-b12-1.240.I,09:04:25,09:04:25,4, Abbey St,1960.66,60-41D-b12-1,41D,b12
148,8240DB003695,"Airside, stop 3695",53.44705603,-6.228015843,4904.1.60-41D-b12-1.240.I,09:04:57,09:04:57,5, Abbey St,2199.88,60-41D-b12-1,41D,b12
149,8240DB003696,"N1 Business Park, stop 3696",53.44318191,-6.227996447,4904.1.60-41D-b12-1.240.I,09:05:56,09:05:56,6, Abbey St,2635.56,60-41D-b12-1,41D,b12
150,8240DB003697,"Equestrian Centre, stop 3697",53.44068572,-6.227558418,4904.1.60-41D-b12-1.240.I,09:06:35,09:06:35,7, Abbey St,2913.63,60-41D-b12-1,41D,b12
151,8240DB003698,"Kettles Lane, stop 3698",53.43681812,-6.227373211,4904.1.60-41D-b12-1.240.I,09:07:04,09:07:04,8, Abbey St,3343.81,60-41D-b12-1,41D,b12
152,8240DB003699,"Stockhole Lane, stop 3699",53.43505505,-6.22788309,4904.1.60-41D-b12-1.240.I,09:07:18,09:07:18,9, Abbey St,3539.35,60-41D-b12-1,41D,b12
153,8240DB003885,"Airport Parking, stop 3885",53.42596849,-6.229118852,4904.1.60-41D-b12-1.240.I,09:09:34,09:09:34,10, Abbey St,4618.5,60-41D-b12-1,41D,b12
154,8240DB001631,"ALSAA Sports Club, stop 1631",53.42240565,-6.230696398,4904.1.60-41D-b12-1.240.I,09:10:23,09:10:23,11, Abbey St,5027.87,60-41D-b12-1,41D,b12
155,8240DB001632,"Toberbunny Lodge, stop 1632",53.42050015,-6.23312273,4904.1.60-41D-b12-1.240.I,09:10:54,09:10:54,12, Abbey St,5292.05,60-41D-b12-1,41D,b12
156,8240DB005053,"Swords Road, stop 5053",53.41964188,-6.234647863,4904.1.60-41D-b12-1.240.I,09:11:10,09:11:10,13, Abbey St,5429.73,60-41D-b12-1,41D,b12
157,8240DB001633,"Dardistown Cemetery, stop 1633",53.41813287,-6.237147726,4904.1.60-41D-b12-1.240.I,09:11:38,09:11:38,14, Abbey St,5667.95,60-41D-b12-1,41D,b12
158,8240DB001634,"Collinstown Park, stop 1634",53.41345696,-6.238830466,4904.1.60-41D-b12-1.240.I,09:12:45,09:12:45,15, Abbey St,6238.19,60-41D-b12-1,41D,b12
159,8240DB001635,"Woodland Ind Est, stop 1635",53.41170491,-6.238872777,4904.1.60-41D-b12-1.240.I,09:13:04,09:13:04,16, Abbey St,6433.44,60-41D-b12-1,41D,b12
160,8240DB001636,"Turnapin Lane, stop 1636",53.40825271,-6.237601473,4904.1.60-41D-b12-1.240.I,09:13:36,09:13:36,17, Abbey St,6829.32,60-41D-b12-1,41D,b12
161,8240DB001637,"Santry Close, stop 1637",53.40403965,-6.240197136,4904.1.60-41D-b12-1.240.I,09:15:25,09:15:25,18, Abbey St,7331.31,60-41D-b12-1,41D,b12
162,8240DB001638,"Morton Stadium, stop 1638",53.40174938,-6.24214153,4904.1.60-41D-b12-1.240.I,09:16:19,09:16:19,19, Abbey St,7617.74,60-41D-b12-1,41D,b12
163,8240DB001639,"Schoolhouse Lane, stop 1639",53.39650939,-6.245199655,4904.1.60-41D-b12-1.240.I,09:18:20,09:18:20,20, Abbey St,8258.22,60-41D-b12-1,41D,b12
164,8240DB001640,"Omni Park SC, stop 1640",53.3923505,-6.24598725,4904.1.60-41D-b12-1.240.I,09:19:56,09:19:56,21, Abbey St,8722.94,60-41D-b12-1,41D,b12
165,8240DB000231,"Shanvarna Road Est, stop 231",53.38924008,-6.245949764,4904.1.60-41D-b12-1.240.I,09:21:38,09:21:38,22, Abbey St,9075.7,60-41D-b12-1,41D,b12
166,8220DB001641,"Ellenfield Park, stop 1641",53.38652728,-6.242392966,4904.1.60-41D-b12-1.240.I,09:23:18,09:23:18,23, Abbey St,9543.6,60-41D-b12-1,41D,b12
