Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000288,"Irish Life, stop 288",53.34916881,-6.255601703,4900.1.60-41D-b12-1.239.O,07:30:00,07:30:00,1, Swords Bus.Pk,0.0,60-41D-b12-1,41D,b12
1,8220DB001171,"Gardiner Street Lwr, stop 1171",53.35031769,-6.254262949,4900.1.60-41D-b12-1.239.O,07:31:01,07:31:01,2, Swords Bus.Pk,222.25,60-41D-b12-1,41D,b12
2,8220DB001172,Railway Street,53.35174335,-6.255256217,4900.1.60-41D-b12-1.239.O,07:31:48,07:31:48,3, Swords Bus.Pk,394.03,60-41D-b12-1,41D,b12
3,8220DB001173,"Gardiner Street Lwr, stop 1173",53.35370557,-6.256678323,4900.1.60-41D-b12-1.239.O,07:32:55,07:32:55,4, Swords Bus.Pk,633.57,60-41D-b12-1,41D,b12
4,8220DB001174,"Mountjoy Sq West, stop 1174",53.35618658,-6.258545125,4900.1.60-41D-b12-1.239.O,07:34:15,07:34:15,5, Swords Bus.Pk,935.48,60-41D-b12-1,41D,b12
5,8220DB001175,"Gardiner Street Upr, stop 1175",53.35841319,-6.260843182,4900.1.60-41D-b12-1.239.O,07:35:47,07:35:47,6, Swords Bus.Pk,1227.19,60-41D-b12-1,41D,b12
6,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,4900.1.60-41D-b12-1.239.O,07:37:09,07:37:09,7, Swords Bus.Pk,1490.21,60-41D-b12-1,41D,b12
7,8220DB000017,"Drumcondra Rail Stn, stop 17",53.36307832,-6.258399288,4900.1.60-41D-b12-1.239.O,07:39:10,07:39:10,8, Swords Bus.Pk,1845.8,60-41D-b12-1,41D,b12
8,8220DB000018,"Dargle Road, stop 18",53.36585593,-6.255956821,4900.1.60-41D-b12-1.239.O,07:40:16,07:40:16,9, Swords Bus.Pk,2196.84,60-41D-b12-1,41D,b12
9,8220DB000019,"Botanic Avenue, stop 19",53.36723488,-6.255599941,4900.1.60-41D-b12-1.239.O,07:40:45,07:40:45,10, Swords Bus.Pk,2354.24,60-41D-b12-1,41D,b12
