Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
346,8250DB004953,"UCD, stop 4953",53.30496107,-6.21703967,5245.1.60-41X-b12-1.247.O,17:15:00,17:15:00,1, Knocksedan,0.0,60-41X-b12-1,41X,b12
347,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,5245.1.60-41X-b12-1.247.O,17:18:31,17:18:31,2, Knocksedan,672.84,60-41X-b12-1,41X,b12
348,8220DB000769,"Belfield Court, stop 769",53.31190109,-6.221327857,5245.1.60-41X-b12-1.247.O,17:20:09,17:20:09,3, Knocksedan,1000.39,60-41X-b12-1,41X,b12
349,8220DB000770,"RTE, stop 770",53.31463619,-6.225731811,5245.1.60-41X-b12-1.247.O,17:21:23,17:21:23,4, Knocksedan,1443.42,60-41X-b12-1,41X,b12
350,8220DB000771,"Teresian School, stop 771",53.31588007,-6.227781522,5245.1.60-41X-b12-1.247.O,17:21:53,17:21:53,5, Knocksedan,1634.22,60-41X-b12-1,41X,b12
351,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,5245.1.60-41X-b12-1.247.O,17:22:55,17:22:55,6, Knocksedan,2007.78,60-41X-b12-1,41X,b12
352,8220DB000773,"Donnybrook Road, stop 773",53.31991635,-6.233273319,5245.1.60-41X-b12-1.247.O,17:23:34,17:23:34,7, Knocksedan,2211.1,60-41X-b12-1,41X,b12
353,8220DB000774,"Donnybrook Garda Stn, stop 774",53.32161212,-6.235499996,5245.1.60-41X-b12-1.247.O,17:24:20,17:24:20,8, Knocksedan,2452.98,60-41X-b12-1,41X,b12
354,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,5245.1.60-41X-b12-1.247.O,17:25:22,17:25:22,9, Knocksedan,2776.83,60-41X-b12-1,41X,b12
355,8220DB000776,"Morehampton Terrace, stop 776",53.32547924,-6.241735821,5245.1.60-41X-b12-1.247.O,17:26:26,17:26:26,10, Knocksedan,3059.71,60-41X-b12-1,41X,b12
356,8220DB000777,"Royal Hospital, stop 777",53.32697216,-6.243626144,5245.1.60-41X-b12-1.247.O,17:27:12,17:27:12,11, Knocksedan,3268.04,60-41X-b12-1,41X,b12
357,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,5245.1.60-41X-b12-1.247.O,17:28:28,17:28:28,12, Knocksedan,3608.76,60-41X-b12-1,41X,b12
358,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,5245.1.60-41X-b12-1.247.O,17:31:18,17:31:18,13, Knocksedan,4289.35,60-41X-b12-1,41X,b12
359,8220DB000790,"Stephen's Green Nth, stop 790",53.33929437,-6.258302473,5245.1.60-41X-b12-1.247.O,17:35:51,17:35:51,15, Knocksedan,5165.85,60-41X-b12-1,41X,b12
360,8220DB007585,"National Gallery, stop 7585",53.34203708,-6.25347488,5245.1.60-41X-b12-1.247.O,17:39:42,17:39:42,17, Knocksedan,5830.65,60-41X-b12-1,41X,b12
361,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,5245.1.60-41X-b12-1.247.O,17:42:58,17:42:58,18, Knocksedan,6406.5,60-41X-b12-1,41X,b12
362,8220DB000407,"Custom House, stop 407",53.34833489,-6.253893353,5245.1.60-41X-b12-1.247.O,17:46:52,17:46:52,19, Knocksedan,7082.69,60-41X-b12-1,41X,b12
363,8220DB002498,"IFSC, stop 2498",53.34824354,-6.250111878,5245.1.60-41X-b12-1.247.O,17:47:18,17:47:18,20, Knocksedan,7334.16,60-41X-b12-1,41X,b12
364,8220DB002499,"CHQ, stop 2499",53.34812783,-6.24712751,5245.1.60-41X-b12-1.247.O,17:47:39,17:47:39,21, Knocksedan,7533.14,60-41X-b12-1,41X,b12
365,8220DB002500,"Beckett Bridge, stop 2500",53.34778834,-6.242379931,5245.1.60-41X-b12-1.247.O,17:48:13,17:48:13,22, Knocksedan,7850.09,60-41X-b12-1,41X,b12
366,8220DB002501,"Spencer Place, stop 2501",53.34737591,-6.236358699,5245.1.60-41X-b12-1.247.O,17:48:56,17:48:56,23, Knocksedan,8253.1,60-41X-b12-1,41X,b12
367,8220DB007623,"Br an Phoirt Thoir, stop 7623",53.34691411,-6.229453427,5245.1.60-41X-b12-1.247.O,17:49:45,17:49:45,24, Knocksedan,8713.62,60-41X-b12-1,41X,b12
368,8240DB003676,"Airside, stop 3676",53.44678249,-6.228358451,5245.1.60-41X-b12-1.247.O,18:11:35,18:11:35,25, Knocksedan,21540.95,60-41X-b12-1,41X,b12
369,8240DB005073,"Pinnockhill, stop 5073",53.45063876,-6.223545364,5245.1.60-41X-b12-1.247.O,18:12:47,18:12:47,26, Knocksedan,22106.07,60-41X-b12-1,41X,b12
370,8240DB003679,"Fingal Co Co, stop 3679",53.45908168,-6.220135723,5245.1.60-41X-b12-1.247.O,18:18:38,18:18:38,27, Knocksedan,23713.67,60-41X-b12-1,41X,b12
371,8240DB005075,"Rathbeale Road, stop 5075",53.4596634,-6.223590263,5245.1.60-41X-b12-1.247.O,18:19:31,18:19:31,28, Knocksedan,23997.68,60-41X-b12-1,41X,b12
372,8240DB005076,"Brackenstown Ave, stop 5076",53.46125341,-6.228373393,5245.1.60-41X-b12-1.247.O,18:20:39,18:20:39,29, Knocksedan,24363.74,60-41X-b12-1,41X,b12
373,8240DB003682,"Glasmore Park, stop 3682",53.46202403,-6.231248052,5245.1.60-41X-b12-1.247.O,18:21:18,18:21:18,30, Knocksedan,24574.75,60-41X-b12-1,41X,b12
374,8240DB003864,"Abbylea Close, stop 3864",53.46399913,-6.234133062,5245.1.60-41X-b12-1.247.O,18:21:44,18:21:44,31, Knocksedan,24861.97,60-41X-b12-1,41X,b12
375,8240DB003865,"Daleview Road, stop 3865",53.46609106,-6.237631049,5245.1.60-41X-b12-1.247.O,18:22:14,18:22:14,32, Knocksedan,25192.72,60-41X-b12-1,41X,b12
376,8240DB004910,"Ardcian Park, stop 4910",53.46663536,-6.23919006,5245.1.60-41X-b12-1.247.O,18:22:31,18:22:31,33, Knocksedan,25379.0,60-41X-b12-1,41X,b12
377,8240DB004911,"Cianlea, stop 4911",53.46560858,-6.239654302,5245.1.60-41X-b12-1.247.O,18:22:43,18:22:43,34, Knocksedan,25503.2,60-41X-b12-1,41X,b12
378,8240DB004912,"Lioscian, stop 4912",53.46413955,-6.239383737,5245.1.60-41X-b12-1.247.O,18:22:58,18:22:58,35, Knocksedan,25667.66,60-41X-b12-1,41X,b12
379,8240DB004913,"St Cronan's Avenue, stop 4913",53.46161913,-6.240346503,5245.1.60-41X-b12-1.247.O,18:23:25,18:23:25,36, Knocksedan,25959.32,60-41X-b12-1,41X,b12
380,8240DB004914,"Valley View, stop 4914",53.45985177,-6.241790066,5245.1.60-41X-b12-1.247.O,18:23:44,18:23:44,37, Knocksedan,26176.62,60-41X-b12-1,41X,b12
381,8240DB004915,"Ormond Avenue, stop 4915",53.45986299,-6.2449974,5245.1.60-41X-b12-1.247.O,18:24:07,18:24:07,38, Knocksedan,26420.9,60-41X-b12-1,41X,b12
382,8240DB007654,"Knocksedan Drive,stop 7654",53.45486007,-6.264297641,5245.1.60-41X-b12-1.247.O,18:27:23,18:27:23,39, Knocksedan,28582.69,60-41X-b12-1,41X,b12
