Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
54,8250DB004953,"UCD, stop 4953",53.30496107,-6.21703967,3929.1.60-41X-b12-1.246.O,17:30:00,17:30:00,1, Swords Manor,0.0,60-41X-b12-1,41X,b12
55,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,3929.1.60-41X-b12-1.246.O,17:32:08,17:32:08,2, Swords Manor,672.84,60-41X-b12-1,41X,b12
56,8220DB000769,"Belfield Court, stop 769",53.31190109,-6.221327857,3929.1.60-41X-b12-1.246.O,17:33:08,17:33:08,3, Swords Manor,1000.39,60-41X-b12-1,41X,b12
57,8220DB000770,"RTE, stop 770",53.31463619,-6.225731811,3929.1.60-41X-b12-1.246.O,17:34:08,17:34:08,4, Swords Manor,1443.42,60-41X-b12-1,41X,b12
58,8220DB000771,"Teresian School, stop 771",53.31588007,-6.227781522,3929.1.60-41X-b12-1.246.O,17:34:32,17:34:32,5, Swords Manor,1634.22,60-41X-b12-1,41X,b12
59,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,3929.1.60-41X-b12-1.246.O,17:35:22,17:35:22,6, Swords Manor,2007.78,60-41X-b12-1,41X,b12
60,8220DB000773,"Donnybrook Road, stop 773",53.31991635,-6.233273319,3929.1.60-41X-b12-1.246.O,17:36:00,17:36:00,7, Swords Manor,2211.1,60-41X-b12-1,41X,b12
61,8220DB000774,"Donnybrook Garda Stn, stop 774",53.32161212,-6.235499996,3929.1.60-41X-b12-1.246.O,17:36:45,17:36:45,8, Swords Manor,2452.98,60-41X-b12-1,41X,b12
62,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,3929.1.60-41X-b12-1.246.O,17:37:45,17:37:45,9, Swords Manor,2776.83,60-41X-b12-1,41X,b12
63,8220DB000776,"Morehampton Terrace, stop 776",53.32547924,-6.241735821,3929.1.60-41X-b12-1.246.O,17:39:13,17:39:13,10, Swords Manor,3059.71,60-41X-b12-1,41X,b12
64,8220DB000777,"Royal Hospital, stop 777",53.32697216,-6.243626144,3929.1.60-41X-b12-1.246.O,17:40:03,17:40:03,11, Swords Manor,3268.04,60-41X-b12-1,41X,b12
65,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,3929.1.60-41X-b12-1.246.O,17:41:27,17:41:27,12, Swords Manor,3608.76,60-41X-b12-1,41X,b12
66,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,3929.1.60-41X-b12-1.246.O,17:44:13,17:44:13,13, Swords Manor,4289.35,60-41X-b12-1,41X,b12
67,8220DB000790,"Stephen's Green Nth, stop 790",53.33929437,-6.258302473,3929.1.60-41X-b12-1.246.O,17:48:48,17:48:48,15, Swords Manor,5165.85,60-41X-b12-1,41X,b12
68,8220DB007585,"National Gallery, stop 7585",53.34203708,-6.25347488,3929.1.60-41X-b12-1.246.O,17:52:44,17:52:44,17, Swords Manor,5830.65,60-41X-b12-1,41X,b12
69,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,3929.1.60-41X-b12-1.246.O,17:56:04,17:56:04,18, Swords Manor,6406.5,60-41X-b12-1,41X,b12
70,8220DB000407,"Custom House, stop 407",53.34833489,-6.253893353,3929.1.60-41X-b12-1.246.O,18:00:04,18:00:04,19, Swords Manor,7082.69,60-41X-b12-1,41X,b12
71,8220DB002498,"IFSC, stop 2498",53.34824354,-6.250111878,3929.1.60-41X-b12-1.246.O,18:00:31,18:00:31,20, Swords Manor,7334.16,60-41X-b12-1,41X,b12
72,8220DB002499,"CHQ, stop 2499",53.34812783,-6.24712751,3929.1.60-41X-b12-1.246.O,18:00:53,18:00:53,21, Swords Manor,7533.14,60-41X-b12-1,41X,b12
73,8220DB002500,"Beckett Bridge, stop 2500",53.34778834,-6.242379931,3929.1.60-41X-b12-1.246.O,18:01:28,18:01:28,22, Swords Manor,7850.09,60-41X-b12-1,41X,b12
74,8220DB002501,"Spencer Place, stop 2501",53.34737591,-6.236358699,3929.1.60-41X-b12-1.246.O,18:02:12,18:02:12,23, Swords Manor,8253.1,60-41X-b12-1,41X,b12
