Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB001184,"Moland Street, stop 1184",53.35085992,-6.253850228,10205.3.60-42-b12-1.248.O,21:45:00,21:45:00,1, Portmarnock,0.0,60-42-b12-1,42,b12
1,8220DB000497,"Connolly, stop 497",53.35052608,-6.250694343,10205.3.60-42-b12-1.248.O,21:47:02,21:47:02,3, Portmarnock,462.77,60-42-b12-1,42,b12
2,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,10205.3.60-42-b12-1.248.O,21:48:27,21:48:27,4, Portmarnock,840.18,60-42-b12-1,42,b12
3,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,10205.3.60-42-b12-1.248.O,21:49:32,21:49:32,5, Portmarnock,1124.87,60-42-b12-1,42,b12
4,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,10205.3.60-42-b12-1.248.O,21:50:15,21:50:15,6, Portmarnock,1423.9,60-42-b12-1,42,b12
5,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,10205.3.60-42-b12-1.248.O,21:51:08,21:51:08,7, Portmarnock,1790.14,60-42-b12-1,42,b12
6,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,10205.3.60-42-b12-1.248.O,21:51:38,21:51:38,8, Portmarnock,1966.66,60-42-b12-1,42,b12
7,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,10205.3.60-42-b12-1.248.O,21:52:20,21:52:20,9, Portmarnock,2218.63,60-42-b12-1,42,b12
8,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,10205.3.60-42-b12-1.248.O,21:53:01,21:53:01,11, Portmarnock,2508.29,60-42-b12-1,42,b12
9,8220DB000669,"Malahide Road, stop 669",53.366317,-6.228678905,10205.3.60-42-b12-1.248.O,21:53:50,21:53:50,12, Portmarnock,2868.9,60-42-b12-1,42,b12
10,8220DB000670,"Mount Temple School, stop 670",53.36895611,-6.226029664,10205.3.60-42-b12-1.248.O,21:54:37,21:54:37,13, Portmarnock,3211.7,60-42-b12-1,42,b12
11,8220DB000671,"Nazareth House, stop 671",53.37071684,-6.224153053,10205.3.60-42-b12-1.248.O,21:55:03,21:55:03,14, Portmarnock,3444.29,60-42-b12-1,42,b12
12,8220DB000672,"Donnycarney Road, stop 672",53.37346635,-6.221077821,10205.3.60-42-b12-1.248.O,21:55:44,21:55:44,15, Portmarnock,3813.23,60-42-b12-1,42,b12
13,8220DB004382,"Donnycarney Church, stop 4382",53.37496447,-6.219677694,10205.3.60-42-b12-1.248.O,21:56:04,21:56:04,16, Portmarnock,4036.37,60-42-b12-1,42,b12
14,8220DB001196,"Elm Mount Road, stop 1196",53.37778751,-6.214915296,10205.3.60-42-b12-1.248.O,21:56:59,21:56:59,17, Portmarnock,4551.62,60-42-b12-1,42,b12
15,8220DB001197,"Killester Avenue, stop 1197",53.37923228,-6.211758333,10205.3.60-42-b12-1.248.O,21:57:32,21:57:32,18, Portmarnock,4815.75,60-42-b12-1,42,b12
16,8220DB001198,"Mornington Grove, stop 1198",53.3825122,-6.206915591,10205.3.60-42-b12-1.248.O,21:58:31,21:58:31,19, Portmarnock,5302.69,60-42-b12-1,42,b12
17,8220DB001199,"Mask Avenue, stop 1199",53.38498446,-6.202767614,10205.3.60-42-b12-1.248.O,21:59:17,21:59:17,20, Portmarnock,5720.41,60-42-b12-1,42,b12
18,8220DB001200,"Coolock Village, stop 1200",53.38696265,-6.201030489,10205.3.60-42-b12-1.248.O,21:59:44,21:59:44,21, Portmarnock,5966.66,60-42-b12-1,42,b12
19,8220DB004385,"Coolock Village, stop 4385",53.38853138,-6.19896468,10205.3.60-42-b12-1.248.O,22:00:16,22:00:16,22, Portmarnock,6189.61,60-42-b12-1,42,b12
20,8220DB001201,"Brookville Crescent, stop 1201",53.39078981,-6.196147843,10205.3.60-42-b12-1.248.O,22:01:03,22:01:03,23, Portmarnock,6503.91,60-42-b12-1,42,b12
21,8220DB001202,"Newtown Cottages, stop 1202",53.39250138,-6.19342905,10205.3.60-42-b12-1.248.O,22:01:39,22:01:39,24, Portmarnock,6763.57,60-42-b12-1,42,b12
22,8220DB001203,"Newtown Road, stop 1203",53.39672635,-6.18753567,10205.3.60-42-b12-1.248.O,22:02:46,22:02:46,25, Portmarnock,7391.24,60-42-b12-1,42,b12
23,8220DB006115,"Belcamp Lane, stop 6115",53.40012738,-6.184217854,10205.3.60-42-b12-1.248.O,22:03:40,22:03:40,26, Portmarnock,7834.95,60-42-b12-1,42,b12
24,8220DB001205,"Clare Hall, stop 1205",53.4015026,-6.181858229,10205.3.60-42-b12-1.248.O,22:04:10,22:04:10,28, Portmarnock,8053.08,60-42-b12-1,42,b12
25,8240DB001206,"Balgriffin Cottages, stop 1206",53.40810555,-6.17810192,10205.3.60-42-b12-1.248.O,22:06:14,22:06:14,29, Portmarnock,8875.2,60-42-b12-1,42,b12
26,8240DB001207,"Fingal Cemetery, stop 1207",53.41072601,-6.179012825,10205.3.60-42-b12-1.248.O,22:06:39,22:06:39,30, Portmarnock,9176.16,60-42-b12-1,42,b12
27,8240DB001208,"St Doulagh's Church, stop 1208",53.41429821,-6.178679662,10205.3.60-42-b12-1.248.O,22:07:13,22:07:13,31, Portmarnock,9586.44,60-42-b12-1,42,b12
28,8240DB001209,"St Doolagh's Park, stop 1209",53.416957,-6.177979266,10205.3.60-42-b12-1.248.O,22:07:35,22:07:35,32, Portmarnock,9888.59,60-42-b12-1,42,b12
29,8240DB001210,"Posey Row, stop 1210",53.41903285,-6.177363899,10205.3.60-42-b12-1.248.O,22:07:52,22:07:52,33, Portmarnock,10123.06,60-42-b12-1,42,b12
30,8240DB001211,"St Nicholas NS, stop 1211",53.42129526,-6.176605066,10205.3.60-42-b12-1.248.O,22:08:16,22:08:16,34, Portmarnock,10381.95,60-42-b12-1,42,b12
31,8240DB003575,"Chapel Road, stop 3575",53.42432206,-6.17646047,10205.3.60-42-b12-1.248.O,22:08:47,22:08:47,35, Portmarnock,10719.04,60-42-b12-1,42,b12
32,8240DB003576,"Copperbush, stop 3576",53.42931518,-6.177947294,10205.3.60-42-b12-1.248.O,22:09:30,22:09:30,36, Portmarnock,11291.28,60-42-b12-1,42,b12
33,8240DB003577,"Myra Manor, stop 3577",53.4321596,-6.177042982,10205.3.60-42-b12-1.248.O,22:09:58,22:09:58,37, Portmarnock,11612.84,60-42-b12-1,42,b12
34,8240DB003578,"Streamstown Lane, stop 3578",53.43781379,-6.177086918,10205.3.60-42-b12-1.248.O,22:10:52,22:10:52,38, Portmarnock,12245.73,60-42-b12-1,42,b12
35,8240DB003579,"Auburn House, stop 3579",53.44067017,-6.176377538,10205.3.60-42-b12-1.248.O,22:11:19,22:11:19,39, Portmarnock,12567.98,60-42-b12-1,42,b12
