Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB000943,"Portmarnock Bridge, stop 943",53.41824783,-6.142175806,6437.1.60-42D-b12-1.131.I,07:30:00,07:30:00,1, DCU,0.0,60-42D-b12-1,42D,b12
1,8240DB003599,"Portmarnock, stop 3599",53.42164641,-6.136475335,6437.1.60-42D-b12-1.131.I,07:31:00,07:31:00,2, DCU,535.74,60-42D-b12-1,42D,b12
2,8240DB003600,"The Dunes, stop 3600",53.42351919,-6.133805247,6437.1.60-42D-b12-1.131.I,07:31:33,07:31:33,3, DCU,810.03,60-42D-b12-1,42D,b12
3,8240DB003601,"Blackberry Rise, stop 3601",53.42610173,-6.13111883,6437.1.60-42D-b12-1.131.I,07:32:14,07:32:14,4, DCU,1148.85,60-42D-b12-1,42D,b12
4,8240DB003602,"Blackberry Lane, stop 3602",53.42838305,-6.128716204,6437.1.60-42D-b12-1.131.I,07:32:50,07:32:50,5, DCU,1447.98,60-42D-b12-1,42D,b12
5,8240DB003604,"Portmarnock Crescent, stop 3604",53.43242931,-6.124805855,6437.1.60-42D-b12-1.131.I,07:33:34,07:33:34,6, DCU,1969.08,60-42D-b12-1,42D,b12
6,8240DB003607,"Redfern Avenue, stop 3607",53.43490103,-6.136286688,6437.1.60-42D-b12-1.131.I,07:36:14,07:36:14,7, DCU,3036.0,60-42D-b12-1,42D,b12
7,8240DB006051,"PSLC, stop 6051",53.43475688,-6.137993811,6437.1.60-42D-b12-1.131.I,07:36:31,07:36:31,8, DCU,3149.53,60-42D-b12-1,42D,b12
8,8240DB006053,"Malahide Golf Club, stop 6053",53.43411912,-6.143214369,6437.1.60-42D-b12-1.131.I,07:37:24,07:37:24,9, DCU,3503.88,60-42D-b12-1,42D,b12
9,8240DB007327,"Blackwood Lane, stop 7327",53.43400824,-6.150549122,6437.1.60-42D-b12-1.131.I,07:38:37,07:38:37,10, DCU,3991.45,60-42D-b12-1,42D,b12
10,8240DB003629,"The Hill Malahide, stop 3629",53.43551469,-6.153223103,6437.1.60-42D-b12-1.131.I,07:39:26,07:39:26,11, DCU,4313.73,60-42D-b12-1,42D,b12
11,8240DB003630,"Community School, stop 3630",53.4384604,-6.151906175,6437.1.60-42D-b12-1.131.I,07:40:12,07:40:12,12, DCU,4656.66,60-42D-b12-1,42D,b12
12,8240DB003631,"Seamount Road, stop 3631",53.44196612,-6.151347539,6437.1.60-42D-b12-1.131.I,07:41:05,07:41:05,13, DCU,5048.45,60-42D-b12-1,42D,b12
13,8240DB003632,"Hill Drive, stop 3632",53.44441982,-6.152505591,6437.1.60-42D-b12-1.131.I,07:41:44,07:41:44,14, DCU,5337.68,60-42D-b12-1,42D,b12
