Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
64,8220DB007571,"DCU Helix, stop 7571",53.38677565,-6.258724958,6438.1.60-42D-b12-1.130.O,17:10:00,17:10:00,1, Strand Road,0.0,60-42D-b12-1,42D,b12
65,8220DB000092,"Ballymun Library, stop 92",53.38983733,-6.26467424,6438.1.60-42D-b12-1.130.O,17:18:00,17:18:00,2, Strand Road,1111.59,60-42D-b12-1,42D,b12
66,8220DB000093,"Gateway Avenue, stop 93",53.39230147,-6.264152976,6438.1.60-42D-b12-1.130.O,17:18:22,17:18:22,3, Strand Road,1390.55,60-42D-b12-1,42D,b12
67,8220DB000094,"Civic Centre, stop 94",53.39603476,-6.26437696,6438.1.60-42D-b12-1.130.O,17:18:57,17:18:57,4, Strand Road,1806.18,60-42D-b12-1,42D,b12
68,8220DB000126,"Nursing Home, stop 126",53.39909547,-6.264086961,6438.1.60-42D-b12-1.130.O,17:19:26,17:19:26,5, Strand Road,2146.16,60-42D-b12-1,42D,b12
69,8220DB006182,"Santry Cross, stop 6182",53.40225075,-6.265357189,6438.1.60-42D-b12-1.130.O,17:19:57,17:19:57,6, Strand Road,2514.64,60-42D-b12-1,42D,b12
70,8220DB000322,"Gulliver's Retail Pk, stop 322",53.40425499,-6.265350845,6438.1.60-42D-b12-1.130.O,17:20:16,17:20:16,7, Strand Road,2737.48,60-42D-b12-1,42D,b12
71,8240DB006312,"Holywell Crescent, stop 6312",53.44346495,-6.211409841,6438.1.60-42D-b12-1.130.O,17:30:18,17:30:18,8, Strand Road,10074.2,60-42D-b12-1,42D,b12
72,8240DB007197,"Holywell Drive, stop 7197",53.44501514,-6.212293169,6438.1.60-42D-b12-1.130.O,17:32:06,17:32:06,9, Strand Road,10621.82,60-42D-b12-1,42D,b12
73,8240DB007195,"Holywell View, stop 7195",53.44732155,-6.207860256,6438.1.60-42D-b12-1.130.O,17:34:05,17:34:05,10, Strand Road,11214.13,60-42D-b12-1,42D,b12
74,8240DB003653,"Feltrim Business Pk, stop 3653",53.44871776,-6.204474042,6438.1.60-42D-b12-1.130.O,17:35:08,17:35:08,11, Strand Road,11534.2,60-42D-b12-1,42D,b12
75,8240DB006055,"Waterside, stop 6055",53.45291455,-6.197867332,6438.1.60-42D-b12-1.130.O,17:38:22,17:38:22,12, Strand Road,12496.4,60-42D-b12-1,42D,b12
76,8240DB001073,"Chamley Park, stop 1073",53.45069251,-6.187045126,6438.1.60-42D-b12-1.130.O,17:40:21,17:40:21,13, Strand Road,13260.98,60-42D-b12-1,42D,b12
77,8240DB003641,"Estuary Road, stop 3641",53.45272518,-6.18358561,6438.1.60-42D-b12-1.130.O,17:41:43,17:41:43,14, Strand Road,13670.34,60-42D-b12-1,42D,b12
78,8240DB003642,"Sacred Heart Church, stop 3642",53.45512616,-6.181299634,6438.1.60-42D-b12-1.130.O,17:42:42,17:42:42,15, Strand Road,13976.74,60-42D-b12-1,42D,b12
79,8240DB003643,"Yellow Walls Rd, stop 3643",53.4512379,-6.169179127,6438.1.60-42D-b12-1.130.O,17:46:01,17:46:01,16, Strand Road,15003.07,60-42D-b12-1,42D,b12
80,8240DB003583,"St Sylvesters School, stop 3583",53.4493479,-6.163162525,6438.1.60-42D-b12-1.130.O,17:47:34,17:47:34,17, Strand Road,15468.22,60-42D-b12-1,42D,b12
81,8240DB003584,"Cricket Club, stop 3584",53.44985454,-6.159873348,6438.1.60-42D-b12-1.130.O,17:47:57,17:47:57,18, Strand Road,15692.24,60-42D-b12-1,42D,b12
82,8240DB003585,"Malahide Station, stop 3585",53.45063309,-6.154991325,6438.1.60-42D-b12-1.130.O,17:49:22,17:49:22,19, Strand Road,16027.45,60-42D-b12-1,42D,b12
83,8240DB003625,"Church Street, stop 3625",53.44757194,-6.152910792,6438.1.60-42D-b12-1.130.O,17:51:14,17:51:14,20, Strand Road,16471.4,60-42D-b12-1,42D,b12
84,8240DB003626,"The Hill Malahide, stop 3626",53.44424567,-6.152287327,6438.1.60-42D-b12-1.130.O,17:52:14,17:52:14,21, Strand Road,16847.44,60-42D-b12-1,42D,b12
