Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
58,8250DB003514,"Ballybrack Road, stop 3514",53.22391767,-6.240283212,2305.1.60-44B-b12-1.259.I,07:15:00,07:15:00,1, Dundrum Luas,0.0,60-44B-b12-1,44B,b12
59,8250DB003515,"Stars of Erin GAA, stop 3515",53.22027256,-6.229036021,2305.1.60-44B-b12-1.259.I,07:16:12,07:16:12,2, Dundrum Luas,864.75,60-44B-b12-1,44B,b12
60,8250DB003516,"Fiery Lane, stop 3516",53.22102148,-6.225605532,2305.1.60-44B-b12-1.259.I,07:16:51,07:16:51,3, Dundrum Luas,1116.99,60-44B-b12-1,44B,b12
61,8250DB003517,"Johnnie Fox's, stop 3517",53.2217514,-6.2197046,2305.1.60-44B-b12-1.259.I,07:17:59,07:17:59,4, Dundrum Luas,1553.82,60-44B-b12-1,44B,b12
62,8250DB003518,"Red House Road, stop 3518",53.22407857,-6.220252081,2305.1.60-44B-b12-1.259.I,07:18:33,07:18:33,5, Dundrum Luas,1817.74,60-44B-b12-1,44B,b12
63,8250DB003519,"Pinefield House, stop 3519",53.22871404,-6.221288079,2305.1.60-44B-b12-1.259.I,07:19:39,07:19:39,6, Dundrum Luas,2340.09,60-44B-b12-1,44B,b12
64,8250DB003521,"Taylor's Folly, stop 3521",53.23757073,-6.222104406,2305.1.60-44B-b12-1.259.I,07:21:23,07:21:23,7, Dundrum Luas,3351.48,60-44B-b12-1,44B,b12
65,8250DB003523,"Ballyedmonduff, stop 3523",53.24498002,-6.220493576,2305.1.60-44B-b12-1.259.I,07:23:11,07:23:11,8, Dundrum Luas,4254.36,60-44B-b12-1,44B,b12
66,8250DB003524,"Ballyedmonduff Road, stop 3524",53.24983326,-6.222270331,2305.1.60-44B-b12-1.259.I,07:24:21,07:24:21,9, Dundrum Luas,5123.88,60-44B-b12-1,44B,b12
67,8250DB003525,"The Paddocks, stop 3525",53.25232188,-6.225209517,2305.1.60-44B-b12-1.259.I,07:25:13,07:25:13,10, Dundrum Luas,5471.58,60-44B-b12-1,44B,b12
68,8250DB003527,"Barnaculla, stop 3527",53.25463235,-6.231288872,2305.1.60-44B-b12-1.259.I,07:26:30,07:26:30,11, Dundrum Luas,5987.35,60-44B-b12-1,44B,b12
69,8250DB003528,"Granite Field, stop 3528",53.25657965,-6.232287699,2305.1.60-44B-b12-1.259.I,07:27:03,07:27:03,12, Dundrum Luas,6215.85,60-44B-b12-1,44B,b12
70,8250DB003529,"Woodside Cottages, stop 3529",53.26080634,-6.233042751,2305.1.60-44B-b12-1.259.I,07:28:15,07:28:15,13, Dundrum Luas,6716.2,60-44B-b12-1,44B,b12
71,8250DB003532,"Blackglen Road, stop 3532",53.26479462,-6.240164135,2305.1.60-44B-b12-1.259.I,07:30:17,07:30:17,14, Dundrum Luas,7464.87,60-44B-b12-1,44B,b12
72,8250DB003533,"Blackglen Court, stop 3533",53.26547197,-6.234304558,2305.1.60-44B-b12-1.259.I,07:31:32,07:31:32,15, Dundrum Luas,7871.05,60-44B-b12-1,44B,b12
73,8250DB003491,"Lambs Cross, stop 3491",53.26553204,-6.229264872,2305.1.60-44B-b12-1.259.I,07:32:40,07:32:40,16, Dundrum Luas,8239.4,60-44B-b12-1,44B,b12
74,8250DB006007,"Kilcross Road, stop 6007",53.26976158,-6.229000109,2305.1.60-44B-b12-1.259.I,07:33:46,07:33:46,17, Dundrum Luas,8711.71,60-44B-b12-1,44B,b12
75,8250DB002836,"Central Bank, stop 2836",53.27542441,-6.229620712,2305.1.60-44B-b12-1.259.I,07:35:27,07:35:27,18, Dundrum Luas,9351.52,60-44B-b12-1,44B,b12
76,8250DB002837,"Clonard Road, stop 2837",53.27736363,-6.230680242,2305.1.60-44B-b12-1.259.I,07:36:04,07:36:04,19, Dundrum Luas,9586.99,60-44B-b12-1,44B,b12
77,8250DB002838,"Ballawley Park, stop 2838",53.27975686,-6.232051048,2305.1.60-44B-b12-1.259.I,07:36:58,07:36:58,20, Dundrum Luas,9869.26,60-44B-b12-1,44B,b12
78,8250DB002839,"Balally Road, stop 2839",53.28286971,-6.234067218,2305.1.60-44B-b12-1.259.I,07:38:10,07:38:10,21, Dundrum Luas,10245.4,60-44B-b12-1,44B,b12
79,8250DB002840,"Balally Drive, stop 2840",53.28433401,-6.23705148,2305.1.60-44B-b12-1.259.I,07:39:02,07:39:02,22, Dundrum Luas,10513.49,60-44B-b12-1,44B,b12
80,8250DB002841,"Dundrum Centre, stop 2841",53.28718358,-6.240113997,2305.1.60-44B-b12-1.259.I,07:40:16,07:40:16,23, Dundrum Luas,10894.79,60-44B-b12-1,44B,b12
81,8250DB002865,"Holy Cross Church, stop 2865",53.28970409,-6.244030426,2305.1.60-44B-b12-1.259.I,07:42:00,07:42:00,24, Dundrum Luas,11283.84,60-44B-b12-1,44B,b12
82,8250DB002866,"Main Street, stop 2866",53.29158037,-6.245708558,2305.1.60-44B-b12-1.259.I,07:43:04,07:43:04,25, Dundrum Luas,11523.94,60-44B-b12-1,44B,b12
83,8250DB006041,"Dundrum Luas, stop 6041",53.29266448,-6.246084164,2305.1.60-44B-b12-1.259.I,07:43:44,07:43:44,26, Dundrum Luas,11662.43,60-44B-b12-1,44B,b12
