Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8250DB006041,"Dundrum Luas, stop 6041",53.29266448,-6.246084164,2304.1.60-44B-b12-1.258.O,06:50:00,06:50:00,1, Glencullen,0.0,60-44B-b12-1,44B,b12
1,8250DB007715,"Dundrum North, stop 7715",53.28955593,-6.245566512,2304.1.60-44B-b12-1.258.O,06:50:37,06:50:37,2, Glencullen,409.69,60-44B-b12-1,44B,b12
2,8250DB007716,"Dundrum Town Centre, Stop 7716",53.28707818,-6.243328163,2304.1.60-44B-b12-1.258.O,06:51:05,06:51:05,3, Glencullen,722.97,60-44B-b12-1,44B,b12
3,8250DB007717,"Dundrum South, stop 7717",53.28540516,-6.24141698,2304.1.60-44B-b12-1.258.O,06:51:38,06:51:38,4, Glencullen,948.57,60-44B-b12-1,44B,b12
4,8250DB002829,"Balally Drive, stop 2829",53.28438525,-6.236869391,2304.1.60-44B-b12-1.258.O,06:52:41,06:52:41,5, Glencullen,1371.14,60-44B-b12-1,44B,b12
5,8250DB002830,"Dun Emer Road, stop 2830",53.28235912,-6.233578355,2304.1.60-44B-b12-1.258.O,06:53:08,06:53:08,6, Glencullen,1702.85,60-44B-b12-1,44B,b12
6,8250DB002831,"Balally Hill, stop 2831",53.27905763,-6.231570033,2304.1.60-44B-b12-1.258.O,06:53:40,06:53:40,7, Glencullen,2096.53,60-44B-b12-1,44B,b12
7,8250DB002832,"Clonard Road, stop 2832",53.27725094,-6.23035499,2304.1.60-44B-b12-1.258.O,06:53:57,06:53:57,8, Glencullen,2318.31,60-44B-b12-1,44B,b12
8,8250DB002833,"Greenlands, stop 2833",53.27439192,-6.229093581,2304.1.60-44B-b12-1.258.O,06:54:27,06:54:27,9, Glencullen,2650.17,60-44B-b12-1,44B,b12
9,8250DB006006,"Kilcross Road, stop 6006",53.26986604,-6.228770893,2304.1.60-44B-b12-1.258.O,06:55:13,06:55:13,10, Glencullen,3157.26,60-44B-b12-1,44B,b12
10,8250DB003493,"Lambs Cross, stop 3493",53.26520725,-6.229788008,2304.1.60-44B-b12-1.258.O,06:56:17,06:56:17,11, Glencullen,3711.0,60-44B-b12-1,44B,b12
11,8250DB003494,"Blackglen Road, stop 3494",53.265403,-6.234502292,2304.1.60-44B-b12-1.258.O,06:56:57,06:56:57,12, Glencullen,4025.2,60-44B-b12-1,44B,b12
12,8250DB003495,"Woodside Road, stop 3495",53.2641117,-6.240177189,2304.1.60-44B-b12-1.258.O,06:58:04,06:58:04,13, Glencullen,4550.29,60-44B-b12-1,44B,b12
13,8250DB003496,"Woodside Road, stop 3496",53.26306933,-6.237761501,2304.1.60-44B-b12-1.258.O,06:58:23,06:58:23,14, Glencullen,4753.3,60-44B-b12-1,44B,b12
14,8250DB003497,"Slate Cabin Lane, stop 3497",53.26178493,-6.234786259,2304.1.60-44B-b12-1.258.O,06:58:47,06:58:47,15, Glencullen,4999.37,60-44B-b12-1,44B,b12
15,8250DB003498,"Rockfield, stop 3498",53.2599931,-6.232146913,2304.1.60-44B-b12-1.258.O,06:59:27,06:59:27,16, Glencullen,5274.56,60-44B-b12-1,44B,b12
16,8250DB003499,"Granite Field, stop 3499",53.25457468,-6.231036458,2304.1.60-44B-b12-1.258.O,07:00:58,07:00:58,17, Glencullen,5909.14,60-44B-b12-1,44B,b12
17,8250DB003500,"Barnaculla, stop 3500",53.25297177,-6.229019365,2304.1.60-44B-b12-1.258.O,07:01:21,07:01:21,18, Glencullen,6136.87,60-44B-b12-1,44B,b12
18,8250DB003501,"The Paddocks, stop 3501",53.25217799,-6.224601005,2304.1.60-44B-b12-1.258.O,07:01:53,07:01:53,19, Glencullen,6454.41,60-44B-b12-1,44B,b12
19,8250DB003502,"Ballyedmonduff Road, stop 3502",53.24969315,-6.221916472,2304.1.60-44B-b12-1.258.O,07:02:25,07:02:25,20, Glencullen,6784.85,60-44B-b12-1,44B,b12
20,8250DB003503,"Ballyedmonduff, stop 3503",53.24491871,-6.220601012,2304.1.60-44B-b12-1.258.O,07:03:42,07:03:42,21, Glencullen,7635.89,60-44B-b12-1,44B,b12
21,8250DB003504,"Ballyedmonduff, stop 3504",53.24156243,-6.222163685,2304.1.60-44B-b12-1.258.O,07:04:36,07:04:36,22, Glencullen,8082.05,60-44B-b12-1,44B,b12
22,8250DB003505,"Taylor's Folly, stop 3505",53.2375247,-6.222031404,2304.1.60-44B-b12-1.258.O,07:05:25,07:05:25,23, Glencullen,8536.78,60-44B-b12-1,44B,b12
23,8250DB003506,"Newtown, stop 3506",53.23273805,-6.221705476,2304.1.60-44B-b12-1.258.O,07:06:23,07:06:23,24, Glencullen,9084.27,60-44B-b12-1,44B,b12
24,8250DB003507,"Pinefield House, stop 3507",53.22393373,-6.220183202,2304.1.60-44B-b12-1.258.O,07:08:13,07:08:13,25, Glencullen,10084.35,60-44B-b12-1,44B,b12
25,8250DB003508,"Johnnie Fox's, stop 3508",53.22145765,-6.2198965,2304.1.60-44B-b12-1.258.O,07:08:46,07:08:46,26, Glencullen,10378.04,60-44B-b12-1,44B,b12
26,8250DB003510,"Fiery Lane, stop 3510",53.22101161,-6.225546036,2304.1.60-44B-b12-1.258.O,07:09:22,07:09:22,27, Glencullen,10764.27,60-44B-b12-1,44B,b12
27,8250DB003512,"Walsh's Lane, stop 3512",53.22193105,-6.235407464,2304.1.60-44B-b12-1.258.O,07:10:55,07:10:55,28, Glencullen,11489.26,60-44B-b12-1,44B,b12
28,8250DB003514,"Ballybrack Road, stop 3514",53.22391767,-6.240283212,2304.1.60-44B-b12-1.258.O,07:11:45,07:11:45,29, Glencullen,11883.35,60-44B-b12-1,44B,b12
