Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
6928,8220DB000807,"Phoenix Park, stop 807",53.35155651,-6.297700386,15817.2.60-46A-b12-1.267.O,23:30:00,23:30:00,1, D'Olier St,0.0,60-46A-b12-1,46A,b12
6929,8220DB000808,"North Circular Road, stop 808",53.35399467,-6.295349826,15817.2.60-46A-b12-1.267.O,23:30:50,23:30:50,2, D'Olier St,341.73,60-46A-b12-1,46A,b12
6930,8220DB000809,"Marlborough Road, stop 809",53.35526074,-6.293376346,15817.2.60-46A-b12-1.267.O,23:31:18,23:31:18,3, D'Olier St,533.81,60-46A-b12-1,46A,b12
6931,8220DB000810,"Ellesmere Avenue, stop 810",53.35709986,-6.289997641,15817.2.60-46A-b12-1.267.O,23:32:03,23:32:03,4, D'Olier St,839.36,60-46A-b12-1,46A,b12
6932,8220DB000811,"Annamore Road, stop 811",53.35756716,-6.287484968,15817.2.60-46A-b12-1.267.O,23:32:28,23:32:28,5, D'Olier St,1013.84,60-46A-b12-1,46A,b12
6933,8220DB000812,"Annamore Parade, stop 812",53.35826636,-6.284226744,15817.2.60-46A-b12-1.267.O,23:32:46,23:32:46,6, D'Olier St,1244.98,60-46A-b12-1,46A,b12
6934,8220DB000813,"Charleville Road, stop 813",53.35919005,-6.280959374,15817.2.60-46A-b12-1.267.O,23:33:05,23:33:05,7, D'Olier St,1484.03,60-46A-b12-1,46A,b12
6935,8220DB000814,"St Peter's Church, stop 814",53.36054002,-6.276097049,15817.2.60-46A-b12-1.267.O,23:34:05,23:34:05,8, D'Olier St,1840.83,60-46A-b12-1,46A,b12
6936,8220DB000081,"Phibsborough, stop 81",53.36087575,-6.271966627,15817.2.60-46A-b12-1.267.O,23:34:47,23:34:47,9, D'Olier St,2118.5,60-46A-b12-1,46A,b12
6937,8220DB000817,"Mater Hospital, stop 817",53.35964622,-6.269612438,15817.2.60-46A-b12-1.267.O,23:35:26,23:35:26,10, D'Olier St,2378.85,60-46A-b12-1,46A,b12
6938,8220DB000818,"O'Connell Avenue, stop 818",53.35848112,-6.269223945,15817.2.60-46A-b12-1.267.O,23:35:47,23:35:47,11, D'Olier St,2521.13,60-46A-b12-1,46A,b12
6939,8220DB000819,"Blessington Street, stop 819",53.35630402,-6.265991986,15817.2.60-46A-b12-1.267.O,23:37:23,23:37:23,12, D'Olier St,2872.19,60-46A-b12-1,46A,b12
6940,8220DB000264,"Parnell Square East, stop 264",53.3535353,-6.262258627,15817.2.60-46A-b12-1.267.O,23:38:26,23:38:26,13, D'Olier St,3390.78,60-46A-b12-1,46A,b12
6941,8220DB006059,"The Spire of Dublin, stop 6059",53.35022443,-6.260185175,15817.2.60-46A-b12-1.267.O,23:39:27,23:39:27,14, D'Olier St,3786.3,60-46A-b12-1,46A,b12
6942,8220DB000334,"D'Olier Street, stop 334",53.34658116,-6.258125591,15817.2.60-46A-b12-1.267.O,23:41:02,23:41:02,15, D'Olier St,4221.46,60-46A-b12-1,46A,b12
