Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000334,"D'Olier Street, stop 334",53.34658116,-6.258125591,136.1.60-46A-b12-1.266.O,08:55:00,08:55:00,1, Dun Laoghaire,0.0,60-46A-b12-1,46A,b12
1,8220DB000406,"Nassau Street, stop 406",53.34260615,-6.256124946,136.1.60-46A-b12-1.266.O,09:00:24,09:00:24,2, Dun Laoghaire,672.12,60-46A-b12-1,46A,b12
2,8220DB000747,"Kildare Street, stop 747",53.3399308,-6.255723519,136.1.60-46A-b12-1.266.O,09:03:23,09:03:23,3, Dun Laoghaire,1047.14,60-46A-b12-1,46A,b12
3,8220DB000842,"Stephen's Green East, stop 842",53.33725198,-6.256313389,136.1.60-46A-b12-1.266.O,09:04:40,09:04:40,4, Dun Laoghaire,1402.62,60-46A-b12-1,46A,b12
4,8220DB000845,"Leeson St Lower, stop 845",53.33545345,-6.256251618,136.1.60-46A-b12-1.266.O,09:05:31,09:05:31,5, Dun Laoghaire,1640.49,60-46A-b12-1,46A,b12
5,8220DB000846,"Fitzwilliam Place, stop 846",53.33345373,-6.254110908,136.1.60-46A-b12-1.266.O,09:10:23,09:10:23,6, Dun Laoghaire,1903.39,60-46A-b12-1,46A,b12
6,8220DB000847,"Leeson St Upper, stop 847",53.33160145,-6.25221962,136.1.60-46A-b12-1.266.O,09:14:49,09:14:49,7, Dun Laoghaire,2143.65,60-46A-b12-1,46A,b12
7,8220DB000848,"Sussex Road, stop 848",53.32972799,-6.248887998,136.1.60-46A-b12-1.266.O,09:15:57,09:15:57,8, Dun Laoghaire,2465.8,60-46A-b12-1,46A,b12
8,8220DB002795,"Leeson Village, stop 2795",53.32852998,-6.246264621,136.1.60-46A-b12-1.266.O,09:16:49,09:16:49,9, Dun Laoghaire,2687.24,60-46A-b12-1,46A,b12
9,8220DB000756,"Royal Hospital, stop 756",53.32639976,-6.242598747,136.1.60-46A-b12-1.266.O,09:17:07,09:17:07,10, Dun Laoghaire,3028.15,60-46A-b12-1,46A,b12
10,8220DB000757,"Donnybrook Village, stop 757",53.32408134,-6.23958651,136.1.60-46A-b12-1.266.O,09:17:25,09:17:25,11, Dun Laoghaire,3354.58,60-46A-b12-1,46A,b12
11,8220DB000758,"Victoria Avenue, stop 758",53.32268694,-6.23767738,136.1.60-46A-b12-1.266.O,09:18:08,09:18:08,12, Dun Laoghaire,3554.66,60-46A-b12-1,46A,b12
12,8220DB000759,"Donnybrook Stadium, stop 759",53.32034885,-6.233345517,136.1.60-46A-b12-1.266.O,09:19:06,09:19:06,13, Dun Laoghaire,3951.1,60-46A-b12-1,46A,b12
13,8220DB000760,"Donnybrook Church, stop 760",53.31833019,-6.230561956,136.1.60-46A-b12-1.266.O,09:19:48,09:19:48,14, Dun Laoghaire,4243.35,60-46A-b12-1,46A,b12
14,8220DB000761,"Teresian School, stop 761",53.3161004,-6.227487214,136.1.60-46A-b12-1.266.O,09:20:39,09:20:39,15, Dun Laoghaire,4564.59,60-46A-b12-1,46A,b12
15,8220DB000762,"RTE, stop 762",53.31451706,-6.224370944,136.1.60-46A-b12-1.266.O,09:21:23,09:21:23,16, Dun Laoghaire,4843.9,60-46A-b12-1,46A,b12
16,8220DB000763,"Belfield Court, stop 763",53.31232014,-6.221100319,136.1.60-46A-b12-1.266.O,09:22:17,09:22:17,17, Dun Laoghaire,5171.59,60-46A-b12-1,46A,b12
17,8250DB002007,"Woodbine Road, stop 2007",53.30887504,-6.216111205,136.1.60-46A-b12-1.266.O,09:23:09,09:23:09,18, Dun Laoghaire,5690.94,60-46A-b12-1,46A,b12
18,8250DB002008,"Seafield Road, stop 2008",53.3056004,-6.211115757,136.1.60-46A-b12-1.266.O,09:23:58,09:23:58,19, Dun Laoghaire,6183.81,60-46A-b12-1,46A,b12
19,8250DB002009,"Radisson Hotel, stop 2009",53.30333957,-6.207804139,136.1.60-46A-b12-1.266.O,09:24:38,09:24:38,20, Dun Laoghaire,6517.36,60-46A-b12-1,46A,b12
20,8250DB002010,"Booterstown Avenue, stop 2010",53.29889724,-6.20467441,136.1.60-46A-b12-1.266.O,09:25:42,09:25:42,21, Dun Laoghaire,7052.68,60-46A-b12-1,46A,b12
21,8250DB000435,"Sycamore Crescent, stop 435",53.29598904,-6.203746226,136.1.60-46A-b12-1.266.O,09:26:37,09:26:37,22, Dun Laoghaire,7382.82,60-46A-b12-1,46A,b12
22,8250DB007353,"Priory Grove, stop 7353",53.29349573,-6.201720633,136.1.60-46A-b12-1.266.O,09:27:22,09:27:22,23, Dun Laoghaire,7696.72,60-46A-b12-1,46A,b12
23,8250DB004571,"Stillorgan Park, stop 4571",53.28897905,-6.194875358,136.1.60-46A-b12-1.266.O,09:29:08,09:29:08,24, Dun Laoghaire,8374.42,60-46A-b12-1,46A,b12
24,8250DB002013,"St John of Gods, stop 2013",53.28531453,-6.194459898,136.1.60-46A-b12-1.266.O,09:29:47,09:29:47,25, Dun Laoghaire,8784.17,60-46A-b12-1,46A,b12
25,8250DB002014,"Brewery Road, stop 2014",53.28211826,-6.192914933,136.1.60-46A-b12-1.266.O,09:30:36,09:30:36,26, Dun Laoghaire,9163.43,60-46A-b12-1,46A,b12
26,8250DB004636,"Galloping Green, stop 4636",53.28069152,-6.19011069,136.1.60-46A-b12-1.266.O,09:31:11,09:31:11,27, Dun Laoghaire,9417.3,60-46A-b12-1,46A,b12
27,8250DB002016,"Newtownpark Avenue, stop 2016",53.27820873,-6.184067149,136.1.60-46A-b12-1.266.O,09:32:17,09:32:17,28, Dun Laoghaire,9904.85,60-46A-b12-1,46A,b12
28,8250DB002015,"Knocksinna, stop 2015",53.27553484,-6.179067107,136.1.60-46A-b12-1.266.O,09:33:01,09:33:01,29, Dun Laoghaire,10349.35,60-46A-b12-1,46A,b12
29,8250DB002017,"Foxrock Church, stop 2017",53.27419654,-6.175015407,136.1.60-46A-b12-1.266.O,09:33:32,09:33:32,30, Dun Laoghaire,10664.68,60-46A-b12-1,46A,b12
30,8250DB002018,"Kill Lane, stop 2018",53.27445925,-6.172215151,136.1.60-46A-b12-1.266.O,09:34:05,09:34:05,31, Dun Laoghaire,10911.73,60-46A-b12-1,46A,b12
31,8250DB002019,"Foxrock Avenue, stop 2019",53.27581612,-6.169847953,136.1.60-46A-b12-1.266.O,09:34:35,09:34:35,32, Dun Laoghaire,11129.78,60-46A-b12-1,46A,b12
32,8250DB002020,"Foxrock Grove, stop 2020",53.27705203,-6.166631012,136.1.60-46A-b12-1.266.O,09:35:11,09:35:11,33, Dun Laoghaire,11385.88,60-46A-b12-1,46A,b12
33,8250DB002021,"Deansgrange Village, stop 2021",53.27817755,-6.164423368,136.1.60-46A-b12-1.266.O,09:35:38,09:35:38,34, Dun Laoghaire,11580.12,60-46A-b12-1,46A,b12
34,8250DB002022,"Kill Abbey, stop 2022",53.28010267,-6.161611409,136.1.60-46A-b12-1.266.O,09:36:35,09:36:35,35, Dun Laoghaire,11867.09,60-46A-b12-1,46A,b12
35,8250DB004565,"Kill Avenue, stop 4565",53.2813422,-6.155154305,136.1.60-46A-b12-1.266.O,09:38:04,09:38:04,36, Dun Laoghaire,12317.72,60-46A-b12-1,46A,b12
36,8250DB004566,"IADT Dun Laoghaire, stop 4566",53.28192408,-6.152099718,136.1.60-46A-b12-1.266.O,09:38:46,09:38:46,37, Dun Laoghaire,12531.51,60-46A-b12-1,46A,b12
37,8250DB004567,"Glenageary Road, stop 4567",53.28292892,-6.147346988,136.1.60-46A-b12-1.266.O,09:39:45,09:39:45,38, Dun Laoghaire,12866.82,60-46A-b12-1,46A,b12
38,8250DB002031,"Mounttown Road Lower, stop 2031",53.2861123,-6.145709336,136.1.60-46A-b12-1.266.O,09:41:01,09:41:01,39, Dun Laoghaire,13262.62,60-46A-b12-1,46A,b12
39,8250DB002032,"York Road, stop 2032",53.28952384,-6.144871561,136.1.60-46A-b12-1.266.O,09:42:22,09:42:22,40, Dun Laoghaire,13655.69,60-46A-b12-1,46A,b12
40,8250DB002033,"Knapton Court, stop 2033",53.29147824,-6.143391774,136.1.60-46A-b12-1.266.O,09:43:15,09:43:15,41, Dun Laoghaire,13894.77,60-46A-b12-1,46A,b12
41,8250DB002034,"Vesey Place, stop 2034",53.29273634,-6.142797155,136.1.60-46A-b12-1.266.O,09:43:46,09:43:46,42, Dun Laoghaire,14044.13,60-46A-b12-1,46A,b12
42,8250DB002035,"Crofton Road, stop 2035",53.29577235,-6.142665422,136.1.60-46A-b12-1.266.O,09:45:02,09:45:02,43, Dun Laoghaire,14381.88,60-46A-b12-1,46A,b12
43,8250DB002036,"Crofton  Avenue, stop 2036",53.29579273,-6.13820879,136.1.60-46A-b12-1.266.O,09:46:01,09:46:01,44, Dun Laoghaire,14704.02,60-46A-b12-1,46A,b12
44,8250DB002039,"Dun Laoghaire Stn, stop 2039",53.29488717,-6.134902687,136.1.60-46A-b12-1.266.O,09:46:43,09:46:43,45, Dun Laoghaire,14945.43,60-46A-b12-1,46A,b12
