Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
41136,8250DB002064,"Brewery Road, stop 2064",53.28272564,-6.193849161,2694.1.60-46A-b12-1.260.I,08:10:00,08:10:00,1, Phoenix Park,0.0,60-46A-b12-1,46A,b12
41137,8250DB002065,"Merville Road, stop 2065",53.28479921,-6.19485659,2694.1.60-46A-b12-1.260.I,08:10:29,08:10:29,2, Phoenix Park,238.91,60-46A-b12-1,46A,b12
41138,8250DB004727,"Laurence Park, stop 4727",53.29081171,-6.19778321,2694.1.60-46A-b12-1.260.I,08:13:20,08:13:20,3, Phoenix Park,978.64,60-46A-b12-1,46A,b12
41139,8250DB004728,"Oatlands College, stop 4728",53.29333789,-6.201982289,2694.1.60-46A-b12-1.260.I,08:14:52,08:14:52,4, Phoenix Park,1374.65,60-46A-b12-1,46A,b12
41140,8250DB000461,"Stillorgan Pk Hotel, stop 461",53.2947995,-6.203541111,2694.1.60-46A-b12-1.260.I,08:15:35,08:15:35,5, Phoenix Park,1564.66,60-46A-b12-1,46A,b12
41141,8250DB002068,"Greenfield Road, stop 2068",53.29809576,-6.204573003,2694.1.60-46A-b12-1.260.I,08:17:01,08:17:01,6, Phoenix Park,1937.1,60-46A-b12-1,46A,b12
41142,8250DB002069,"Booterstown Avenue, stop 2069",53.29977469,-6.205642853,2694.1.60-46A-b12-1.260.I,08:17:58,08:17:58,7, Phoenix Park,2137.07,60-46A-b12-1,46A,b12
41143,8250DB002070,"St Thomas Road, stop 2070",53.30306607,-6.208145702,2694.1.60-46A-b12-1.260.I,08:20:52,08:20:52,8, Phoenix Park,2546.21,60-46A-b12-1,46A,b12
41144,8250DB002084,"Seafield Road, stop 2084",53.30552676,-6.21159902,2694.1.60-46A-b12-1.260.I,08:21:55,08:21:55,9, Phoenix Park,2903.14,60-46A-b12-1,46A,b12
41145,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,2694.1.60-46A-b12-1.260.I,08:23:53,08:23:53,10, Phoenix Park,3551.9,60-46A-b12-1,46A,b12
41146,8220DB000769,"Belfield Court, stop 769",53.31190109,-6.221327857,2694.1.60-46A-b12-1.260.I,08:24:40,08:24:40,11, Phoenix Park,3879.46,60-46A-b12-1,46A,b12
41147,8220DB000770,"RTE, stop 770",53.31463619,-6.225731811,2694.1.60-46A-b12-1.260.I,08:26:16,08:26:16,12, Phoenix Park,4322.48,60-46A-b12-1,46A,b12
41148,8220DB000771,"Teresian School, stop 771",53.31588007,-6.227781522,2694.1.60-46A-b12-1.260.I,08:26:55,08:26:55,13, Phoenix Park,4513.29,60-46A-b12-1,46A,b12
41149,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,2694.1.60-46A-b12-1.260.I,08:28:14,08:28:14,14, Phoenix Park,4886.84,60-46A-b12-1,46A,b12
41150,8220DB000773,"Donnybrook Road, stop 773",53.31991635,-6.233273319,2694.1.60-46A-b12-1.260.I,08:29:10,08:29:10,15, Phoenix Park,5090.17,60-46A-b12-1,46A,b12
41151,8220DB000774,"Donnybrook Garda Stn, stop 774",53.32161212,-6.235499996,2694.1.60-46A-b12-1.260.I,08:30:17,08:30:17,16, Phoenix Park,5332.05,60-46A-b12-1,46A,b12
41152,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,2694.1.60-46A-b12-1.260.I,08:31:48,08:31:48,17, Phoenix Park,5655.89,60-46A-b12-1,46A,b12
41153,8220DB000776,"Morehampton Terrace, stop 776",53.32547924,-6.241735821,2694.1.60-46A-b12-1.260.I,08:33:24,08:33:24,18, Phoenix Park,5938.78,60-46A-b12-1,46A,b12
41154,8220DB000777,"Royal Hospital, stop 777",53.32697216,-6.243626144,2694.1.60-46A-b12-1.260.I,08:34:13,08:34:13,19, Phoenix Park,6147.1,60-46A-b12-1,46A,b12
41155,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,2694.1.60-46A-b12-1.260.I,08:35:34,08:35:34,20, Phoenix Park,6487.83,60-46A-b12-1,46A,b12
41156,8220DB000907,"Dartmouth Road, stop 907",53.32971936,-6.250750109,2694.1.60-46A-b12-1.260.I,08:37:28,08:37:28,21, Phoenix Park,6721.11,60-46A-b12-1,46A,b12
41157,8220DB000908,"Grand Parade, stop 908",53.33115429,-6.252373034,2694.1.60-46A-b12-1.260.I,08:39:02,08:39:02,22, Phoenix Park,6914.99,60-46A-b12-1,46A,b12
41158,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,2694.1.60-46A-b12-1.260.I,08:41:05,08:41:05,23, Phoenix Park,7168.42,60-46A-b12-1,46A,b12
41159,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,2694.1.60-46A-b12-1.260.I,08:43:14,08:43:14,24, Phoenix Park,7429.66,60-46A-b12-1,46A,b12
41160,8220DB000792,"Dawson Street, stop 792",53.34044899,-6.258585808,2694.1.60-46A-b12-1.260.I,08:47:56,08:47:56,25, Phoenix Park,8187.02,60-46A-b12-1,46A,b12
41161,8220DB000320,"Westmoreland Street, stop 320",53.34564563,-6.259305233,2694.1.60-46A-b12-1.260.I,08:52:36,08:52:36,27, Phoenix Park,8847.22,60-46A-b12-1,46A,b12
41162,8220DB000278,"O'Connell St Upper, stop 278",53.35156087,-6.261227336,2694.1.60-46A-b12-1.260.I,08:56:54,08:56:54,29, Phoenix Park,9524.25,60-46A-b12-1,46A,b12
41163,8220DB000002,"Parnell Square West, stop 2",53.35224436,-6.263723219,2694.1.60-46A-b12-1.260.I,08:58:25,08:58:25,30, Phoenix Park,9800.38,60-46A-b12-1,46A,b12
41164,8220DB000192,"Mountjoy Street, stop 192",53.35639721,-6.26807647,2694.1.60-46A-b12-1.260.I,09:01:55,09:01:55,31, Phoenix Park,10411.58,60-46A-b12-1,46A,b12
41165,8220DB000795,"Berkeley Road, stop 795",53.35874004,-6.269724278,2694.1.60-46A-b12-1.260.I,09:02:49,09:02:49,32, Phoenix Park,10703.23,60-46A-b12-1,46A,b12
41166,8220DB000796,"Berkeley Road, stop 796",53.36001821,-6.269852786,2694.1.60-46A-b12-1.260.I,09:03:34,09:03:34,33, Phoenix Park,10843.1,60-46A-b12-1,46A,b12
41167,8220DB000797,"Phibsborough PO, stop 797",53.360726,-6.274662165,2694.1.60-46A-b12-1.260.I,09:05:49,09:05:49,34, Phoenix Park,11241.89,60-46A-b12-1,46A,b12
41168,8220DB000798,"Rathdown Road, stop 798",53.35947664,-6.279640701,2694.1.60-46A-b12-1.260.I,09:06:49,09:06:49,35, Phoenix Park,11605.17,60-46A-b12-1,46A,b12
41169,8220DB000799,"Charleville Road, stop 799",53.35886871,-6.281738551,2694.1.60-46A-b12-1.260.I,09:07:15,09:07:15,36, Phoenix Park,11759.47,60-46A-b12-1,46A,b12
41170,8220DB000800,"Annamore Parade, stop 800",53.35806515,-6.284610429,2694.1.60-46A-b12-1.260.I,09:08:39,09:08:39,37, Phoenix Park,11970.47,60-46A-b12-1,46A,b12
41171,8220DB000801,"Annamore Road, stop 801",53.3574705,-6.287639082,2694.1.60-46A-b12-1.260.I,09:10:10,09:10:10,38, Phoenix Park,12181.68,60-46A-b12-1,46A,b12
41172,8220DB000802,"Drumalee, stop 802",53.35649832,-6.291298723,2694.1.60-46A-b12-1.260.I,09:10:36,09:10:36,39, Phoenix Park,12454.59,60-46A-b12-1,46A,b12
41173,8220DB000803,"Oxmantown Road, stop 803",53.35471303,-6.294044214,2694.1.60-46A-b12-1.260.I,09:11:02,09:11:02,40, Phoenix Park,12722.71,60-46A-b12-1,46A,b12
41174,8220DB000804,"Grange Abbey Cresc, stop 804",53.35368499,-6.295692681,2694.1.60-46A-b12-1.260.I,09:11:18,09:11:18,41, Phoenix Park,12882.29,60-46A-b12-1,46A,b12
41175,8220DB007877,"Infirmary Road, stop 7877",53.35164334,-6.297486621,2694.1.60-46A-b12-1.260.I,09:11:48,09:11:48,42, Phoenix Park,13181.72,60-46A-b12-1,46A,b12
41176,8220DB007513,"Phoenix Park, stop 7513",53.35089646,-6.296795356,2694.1.60-46A-b12-1.260.I,09:11:58,09:11:58,43, Phoenix Park,13275.74,60-46A-b12-1,46A,b12
41177,8220DB000807,"Phoenix Park, stop 807",53.35155651,-6.297700386,2694.1.60-46A-b12-1.260.I,09:13:57,09:13:57,46, Phoenix Park,14475.24,60-46A-b12-1,46A,b12
