Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
90,8250DB002039,"Dun Laoghaire Stn, stop 2039",53.29488717,-6.134902687,15760.2.60-46A-b12-1.263.I,08:30:00,08:30:00,1, Phoenix Pk,0.0,60-46A-b12-1,46A,b12
91,8250DB002040,"Dun Laoghaire SC, stop 2040",53.29279119,-6.135369049,15760.2.60-46A-b12-1.263.I,08:31:02,08:31:02,2, Phoenix Pk,298.45,60-46A-b12-1,46A,b12
92,8250DB002041,"St Michael's Hosp, stop 2041",53.2935976,-6.139234377,15760.2.60-46A-b12-1.263.I,08:32:09,08:32:09,3, Phoenix Pk,633.1,60-46A-b12-1,46A,b12
93,8250DB002042,"Smith's Villas, stop 2042",53.29365113,-6.142667454,15760.2.60-46A-b12-1.263.I,08:33:30,08:33:30,4, Phoenix Pk,1045.31,60-46A-b12-1,46A,b12
94,8250DB002043,"Vesey Place, stop 2043",53.29247352,-6.142658545,15760.2.60-46A-b12-1.263.I,08:33:43,08:33:43,5, Phoenix Pk,1176.21,60-46A-b12-1,46A,b12
95,8250DB002044,"Knapton Court, stop 2044",53.29087235,-6.143733068,15760.2.60-46A-b12-1.263.I,08:34:03,08:34:03,6, Phoenix Pk,1366.83,60-46A-b12-1,46A,b12
96,8250DB002045,"Tivoli Terrace Sth, stop 2045",53.28907705,-6.145040923,15760.2.60-46A-b12-1.263.I,08:34:27,08:34:27,7, Phoenix Pk,1585.7,60-46A-b12-1,46A,b12
97,8250DB002046,"Mounttown Rd Lower, stop 2046",53.28586932,-6.145689862,15760.2.60-46A-b12-1.263.I,08:35:29,08:35:29,8, Phoenix Pk,1953.61,60-46A-b12-1,46A,b12
98,8250DB004568,"Kill Avenue, stop 4568",53.28278404,-6.147278267,15760.2.60-46A-b12-1.263.I,08:37:03,08:37:03,9, Phoenix Pk,2328.04,60-46A-b12-1,46A,b12
99,8250DB004569,"IADT Dun Laoghaire, stop 4569",53.2816227,-6.152952584,15760.2.60-46A-b12-1.263.I,08:37:41,08:37:41,10, Phoenix Pk,2724.0,60-46A-b12-1,46A,b12
100,8250DB004570,"Holy Family Church, stop 4570",53.28080047,-6.157322245,15760.2.60-46A-b12-1.263.I,08:38:30,08:38:30,12, Phoenix Pk,3030.08,60-46A-b12-1,46A,b12
101,8250DB002056,"Kill Lane, stop 2056",53.27947093,-6.162028443,15760.2.60-46A-b12-1.263.I,08:39:51,08:39:51,13, Phoenix Pk,3398.12,60-46A-b12-1,46A,b12
102,8250DB002057,"Deansgrange Village, stop 2057",53.27776207,-6.164876063,15760.2.60-46A-b12-1.263.I,08:40:50,08:40:50,14, Phoenix Pk,3665.51,60-46A-b12-1,46A,b12
103,8250DB002058,"Foxrock Avenue, stop 2058",53.27659623,-6.167385313,15760.2.60-46A-b12-1.263.I,08:41:19,08:41:19,15, Phoenix Pk,3876.86,60-46A-b12-1,46A,b12
104,8250DB002059,"Foxrock Park, stop 2059",53.27517397,-6.170760108,15760.2.60-46A-b12-1.263.I,08:41:59,08:41:59,16, Phoenix Pk,4155.21,60-46A-b12-1,46A,b12
105,8250DB002060,"Foxrock Church, stop 2060",53.27395494,-6.175085679,15760.2.60-46A-b12-1.263.I,08:42:54,08:42:54,17, Phoenix Pk,4532.25,60-46A-b12-1,46A,b12
106,8250DB002061,"Knocksinna, stop 2061",53.2757586,-6.18018225,15760.2.60-46A-b12-1.263.I,08:43:36,08:43:36,18, Phoenix Pk,4927.35,60-46A-b12-1,46A,b12
