Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
31344,8220DB000807,"Phoenix Park, stop 807",53.35155651,-6.297700386,2146.1.60-46A-b12-1.265.O,05:15:00,05:15:00,1, UCD,0.0,60-46A-b12-1,46A,b12
31345,8220DB000808,"North Circular Road, stop 808",53.35399467,-6.295349826,2146.1.60-46A-b12-1.265.O,05:15:56,05:15:56,2, UCD,341.73,60-46A-b12-1,46A,b12
31346,8220DB000809,"Marlborough Road, stop 809",53.35526074,-6.293376346,2146.1.60-46A-b12-1.265.O,05:16:27,05:16:27,3, UCD,533.81,60-46A-b12-1,46A,b12
31347,8220DB000810,"Ellesmere Avenue, stop 810",53.35709986,-6.289997641,2146.1.60-46A-b12-1.265.O,05:17:17,05:17:17,4, UCD,839.36,60-46A-b12-1,46A,b12
31348,8220DB000811,"Annamore Road, stop 811",53.35756716,-6.287484968,2146.1.60-46A-b12-1.265.O,05:17:45,05:17:45,5, UCD,1013.84,60-46A-b12-1,46A,b12
31349,8220DB000812,"Annamore Parade, stop 812",53.35826636,-6.284226744,2146.1.60-46A-b12-1.265.O,05:18:18,05:18:18,6, UCD,1244.98,60-46A-b12-1,46A,b12
31350,8220DB000813,"Charleville Road, stop 813",53.35919005,-6.280959374,2146.1.60-46A-b12-1.265.O,05:18:53,05:18:53,7, UCD,1484.03,60-46A-b12-1,46A,b12
31351,8220DB000814,"St Peter's Church, stop 814",53.36054002,-6.276097049,2146.1.60-46A-b12-1.265.O,05:19:50,05:19:50,8, UCD,1840.83,60-46A-b12-1,46A,b12
31352,8220DB000081,"Phibsborough, stop 81",53.36087575,-6.271966627,2146.1.60-46A-b12-1.265.O,05:21:12,05:21:12,9, UCD,2118.5,60-46A-b12-1,46A,b12
31353,8220DB000817,"Mater Hospital, stop 817",53.35964622,-6.269612438,2146.1.60-46A-b12-1.265.O,05:22:28,05:22:28,10, UCD,2378.85,60-46A-b12-1,46A,b12
31354,8220DB000818,"O'Connell Avenue, stop 818",53.35848112,-6.269223945,2146.1.60-46A-b12-1.265.O,05:23:09,05:23:09,11, UCD,2521.13,60-46A-b12-1,46A,b12
31355,8220DB000819,"Blessington Street, stop 819",53.35630402,-6.265991986,2146.1.60-46A-b12-1.265.O,05:24:31,05:24:31,12, UCD,2872.19,60-46A-b12-1,46A,b12
31356,8220DB000264,"Parnell Square East, stop 264",53.3535353,-6.262258627,2146.1.60-46A-b12-1.265.O,05:26:12,05:26:12,13, UCD,3390.78,60-46A-b12-1,46A,b12
