Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
15476,8250DB002039,"Dun Laoghaire Stn, stop 2039",53.29488717,-6.134902687,15889.2.60-46A-b12-1.262.I,23:10:00,23:10:00,1, Westmoreland St,0.0,60-46A-b12-1,46A,b12
15477,8250DB002040,"Dun Laoghaire SC, stop 2040",53.29279119,-6.135369049,15889.2.60-46A-b12-1.262.I,23:11:04,23:11:04,2, Westmoreland St,298.45,60-46A-b12-1,46A,b12
15478,8250DB002041,"St Michael's Hosp, stop 2041",53.2935976,-6.139234377,15889.2.60-46A-b12-1.262.I,23:12:13,23:12:13,3, Westmoreland St,633.1,60-46A-b12-1,46A,b12
15479,8250DB002042,"Smith's Villas, stop 2042",53.29365113,-6.142667454,15889.2.60-46A-b12-1.262.I,23:13:36,23:13:36,4, Westmoreland St,1045.31,60-46A-b12-1,46A,b12
15480,8250DB002043,"Vesey Place, stop 2043",53.29247352,-6.142658545,15889.2.60-46A-b12-1.262.I,23:13:46,23:13:46,5, Westmoreland St,1176.21,60-46A-b12-1,46A,b12
15481,8250DB002044,"Knapton Court, stop 2044",53.29087235,-6.143733068,15889.2.60-46A-b12-1.262.I,23:14:01,23:14:01,6, Westmoreland St,1366.83,60-46A-b12-1,46A,b12
15482,8250DB002045,"Tivoli Terrace Sth, stop 2045",53.28907705,-6.145040923,15889.2.60-46A-b12-1.262.I,23:14:19,23:14:19,7, Westmoreland St,1585.7,60-46A-b12-1,46A,b12
15483,8250DB002046,"Mounttown Rd Lower, stop 2046",53.28586932,-6.145689862,15889.2.60-46A-b12-1.262.I,23:14:59,23:14:59,8, Westmoreland St,1953.61,60-46A-b12-1,46A,b12
15484,8250DB004568,"Kill Avenue, stop 4568",53.28278404,-6.147278267,15889.2.60-46A-b12-1.262.I,23:15:57,23:15:57,9, Westmoreland St,2328.04,60-46A-b12-1,46A,b12
15485,8250DB004569,"IADT Dun Laoghaire, stop 4569",53.2816227,-6.152952584,15889.2.60-46A-b12-1.262.I,23:16:30,23:16:30,10, Westmoreland St,2724.0,60-46A-b12-1,46A,b12
15486,8250DB004570,"Holy Family Church, stop 4570",53.28080047,-6.157322245,15889.2.60-46A-b12-1.262.I,23:17:06,23:17:06,12, Westmoreland St,3030.08,60-46A-b12-1,46A,b12
15487,8250DB002056,"Kill Lane, stop 2056",53.27947093,-6.162028443,15889.2.60-46A-b12-1.262.I,23:18:05,23:18:05,13, Westmoreland St,3398.12,60-46A-b12-1,46A,b12
15488,8250DB002057,"Deansgrange Village, stop 2057",53.27776207,-6.164876063,15889.2.60-46A-b12-1.262.I,23:18:47,23:18:47,14, Westmoreland St,3665.51,60-46A-b12-1,46A,b12
15489,8250DB002058,"Foxrock Avenue, stop 2058",53.27659623,-6.167385313,15889.2.60-46A-b12-1.262.I,23:19:12,23:19:12,15, Westmoreland St,3876.86,60-46A-b12-1,46A,b12
15490,8250DB002059,"Foxrock Park, stop 2059",53.27517397,-6.170760108,15889.2.60-46A-b12-1.262.I,23:19:47,23:19:47,16, Westmoreland St,4155.21,60-46A-b12-1,46A,b12
15491,8250DB002060,"Foxrock Church, stop 2060",53.27395494,-6.175085679,15889.2.60-46A-b12-1.262.I,23:20:35,23:20:35,17, Westmoreland St,4532.25,60-46A-b12-1,46A,b12
15492,8250DB002061,"Knocksinna, stop 2061",53.2757586,-6.18018225,15889.2.60-46A-b12-1.262.I,23:21:04,23:21:04,18, Westmoreland St,4927.35,60-46A-b12-1,46A,b12
15493,8250DB002062,"Newtownpark Avenue, stop 2062",53.27902411,-6.186851925,15889.2.60-46A-b12-1.262.I,23:21:47,23:21:47,19, Westmoreland St,5504.78,60-46A-b12-1,46A,b12
15494,8250DB002063,"Galloping Green, stop 2063",53.28029401,-6.189977519,15889.2.60-46A-b12-1.262.I,23:22:13,23:22:13,20, Westmoreland St,5755.81,60-46A-b12-1,46A,b12
15495,8250DB002064,"Brewery Road, stop 2064",53.28272564,-6.193849161,15889.2.60-46A-b12-1.262.I,23:22:53,23:22:53,21, Westmoreland St,6134.1,60-46A-b12-1,46A,b12
15496,8250DB002065,"Merville Road, stop 2065",53.28479921,-6.19485659,15889.2.60-46A-b12-1.262.I,23:23:09,23:23:09,22, Westmoreland St,6373.01,60-46A-b12-1,46A,b12
15497,8250DB004727,"Laurence Park, stop 4727",53.29081171,-6.19778321,15889.2.60-46A-b12-1.262.I,23:24:19,23:24:19,23, Westmoreland St,7112.74,60-46A-b12-1,46A,b12
15498,8250DB004728,"Oatlands College, stop 4728",53.29333789,-6.201982289,15889.2.60-46A-b12-1.262.I,23:24:57,23:24:57,24, Westmoreland St,7508.75,60-46A-b12-1,46A,b12
15499,8250DB000461,"Stillorgan Pk Hotel, stop 461",53.2947995,-6.203541111,15889.2.60-46A-b12-1.262.I,23:25:15,23:25:15,25, Westmoreland St,7698.75,60-46A-b12-1,46A,b12
15500,8250DB002068,"Greenfield Road, stop 2068",53.29809576,-6.204573003,15889.2.60-46A-b12-1.262.I,23:25:43,23:25:43,26, Westmoreland St,8071.19,60-46A-b12-1,46A,b12
15501,8250DB002069,"Booterstown Avenue, stop 2069",53.29977469,-6.205642853,15889.2.60-46A-b12-1.262.I,23:26:00,23:26:00,27, Westmoreland St,8271.17,60-46A-b12-1,46A,b12
15502,8250DB002070,"St Thomas Road, stop 2070",53.30306607,-6.208145702,15889.2.60-46A-b12-1.262.I,23:26:37,23:26:37,28, Westmoreland St,8680.31,60-46A-b12-1,46A,b12
15503,8250DB002084,"Seafield Road, stop 2084",53.30552676,-6.21159902,15889.2.60-46A-b12-1.262.I,23:27:08,23:27:08,29, Westmoreland St,9037.24,60-46A-b12-1,46A,b12
15504,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,15889.2.60-46A-b12-1.262.I,23:28:04,23:28:04,30, Westmoreland St,9686.0,60-46A-b12-1,46A,b12
15505,8220DB000769,"Belfield Court, stop 769",53.31190109,-6.221327857,15889.2.60-46A-b12-1.262.I,23:28:24,23:28:24,31, Westmoreland St,10013.56,60-46A-b12-1,46A,b12
15506,8220DB000770,"RTE, stop 770",53.31463619,-6.225731811,15889.2.60-46A-b12-1.262.I,23:28:59,23:28:59,32, Westmoreland St,10456.58,60-46A-b12-1,46A,b12
15507,8220DB000771,"Teresian School, stop 771",53.31588007,-6.227781522,15889.2.60-46A-b12-1.262.I,23:29:13,23:29:13,33, Westmoreland St,10647.38,60-46A-b12-1,46A,b12
15508,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,15889.2.60-46A-b12-1.262.I,23:29:43,23:29:43,34, Westmoreland St,11020.94,60-46A-b12-1,46A,b12
15509,8220DB000773,"Donnybrook Road, stop 773",53.31991635,-6.233273319,15889.2.60-46A-b12-1.262.I,23:30:04,23:30:04,35, Westmoreland St,11224.26,60-46A-b12-1,46A,b12
15510,8220DB000774,"Donnybrook Garda Stn, stop 774",53.32161212,-6.235499996,15889.2.60-46A-b12-1.262.I,23:30:29,23:30:29,36, Westmoreland St,11466.14,60-46A-b12-1,46A,b12
15511,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,15889.2.60-46A-b12-1.262.I,23:31:02,23:31:02,37, Westmoreland St,11789.99,60-46A-b12-1,46A,b12
15512,8220DB000776,"Morehampton Terrace, stop 776",53.32547924,-6.241735821,15889.2.60-46A-b12-1.262.I,23:31:30,23:31:30,38, Westmoreland St,12072.87,60-46A-b12-1,46A,b12
15513,8220DB000777,"Royal Hospital, stop 777",53.32697216,-6.243626144,15889.2.60-46A-b12-1.262.I,23:31:52,23:31:52,39, Westmoreland St,12281.2,60-46A-b12-1,46A,b12
15514,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,15889.2.60-46A-b12-1.262.I,23:32:28,23:32:28,40, Westmoreland St,12621.92,60-46A-b12-1,46A,b12
15515,8220DB000907,"Dartmouth Road, stop 907",53.32971936,-6.250750109,15889.2.60-46A-b12-1.262.I,23:32:57,23:32:57,41, Westmoreland St,12855.21,60-46A-b12-1,46A,b12
15516,8220DB000908,"Grand Parade, stop 908",53.33115429,-6.252373034,15889.2.60-46A-b12-1.262.I,23:33:21,23:33:21,42, Westmoreland St,13049.09,60-46A-b12-1,46A,b12
15517,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,15889.2.60-46A-b12-1.262.I,23:33:52,23:33:52,43, Westmoreland St,13302.52,60-46A-b12-1,46A,b12
15518,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,15889.2.60-46A-b12-1.262.I,23:34:24,23:34:24,44, Westmoreland St,13563.76,60-46A-b12-1,46A,b12
15519,8220DB000792,"Dawson Street, stop 792",53.34044899,-6.258585808,15889.2.60-46A-b12-1.262.I,23:36:15,23:36:15,45, Westmoreland St,14321.11,60-46A-b12-1,46A,b12
15520,8220DB000320,"Westmoreland Street, stop 320",53.34564563,-6.259305233,15889.2.60-46A-b12-1.262.I,23:38:39,23:38:39,47, Westmoreland St,14981.31,60-46A-b12-1,46A,b12
