Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8250DB003085,"Blackrock Station, stop 3085",53.30248014,-6.178370832,389.1.60-46E-b12-1.269.I,08:05:00,08:05:00,1, Mountjoy Sq,0.0,60-46E-b12-1,46E,b12
1,8250DB003034,"Temple Road, stop 3034",53.29962882,-6.174711251,389.1.60-46E-b12-1.269.I,08:06:38,08:06:38,2, Mountjoy Sq,456.12,60-46E-b12-1,46E,b12
2,8250DB003114,"Temple Hill, stop 3114",53.29580501,-6.169773491,389.1.60-46E-b12-1.269.I,08:08:36,08:08:36,3, Mountjoy Sq,1005.53,60-46E-b12-1,46E,b12
3,8250DB004353,"National School, stop 4353",53.29240781,-6.170383781,389.1.60-46E-b12-1.269.I,08:10:30,08:10:30,4, Mountjoy Sq,1429.85,60-46E-b12-1,46E,b12
4,8250DB004355,"Newtownpark Church, stop 4355",53.29118893,-6.17178595,389.1.60-46E-b12-1.269.I,08:11:15,08:11:15,5, Mountjoy Sq,1594.08,60-46E-b12-1,46E,b12
5,8250DB004354,"Marian Park, stop 4354",53.28747599,-6.175844374,389.1.60-46E-b12-1.269.I,08:13:43,08:13:43,6, Mountjoy Sq,2101.62,60-46E-b12-1,46E,b12
6,8250DB003196,"Newtown Park, stop 3196",53.28738031,-6.177228403,389.1.60-46E-b12-1.269.I,08:14:32,08:14:32,7, Mountjoy Sq,2206.54,60-46E-b12-1,46E,b12
7,8250DB003345,"Stillorgan Park, stop 3345",53.28940206,-6.185437424,389.1.60-46E-b12-1.269.I,08:20:00,08:20:00,8, Mountjoy Sq,2887.82,60-46E-b12-1,46E,b12
8,8250DB004727,"Laurence Park, stop 4727",53.29081171,-6.19778321,389.1.60-46E-b12-1.269.I,08:24:03,08:24:03,9, Mountjoy Sq,3863.25,60-46E-b12-1,46E,b12
9,8250DB004728,"Oatlands College, stop 4728",53.29333789,-6.201982289,389.1.60-46E-b12-1.269.I,08:25:42,08:25:42,10, Mountjoy Sq,4259.26,60-46E-b12-1,46E,b12
10,8250DB000461,"Stillorgan Pk Hotel, stop 461",53.2947995,-6.203541111,389.1.60-46E-b12-1.269.I,08:26:28,08:26:28,11, Mountjoy Sq,4449.26,60-46E-b12-1,46E,b12
11,8250DB002068,"Greenfield Road, stop 2068",53.29809576,-6.204573003,389.1.60-46E-b12-1.269.I,08:28:08,08:28:08,12, Mountjoy Sq,4821.71,60-46E-b12-1,46E,b12
12,8250DB002069,"Booterstown Avenue, stop 2069",53.29977469,-6.205642853,389.1.60-46E-b12-1.269.I,08:29:26,08:29:26,13, Mountjoy Sq,5021.68,60-46E-b12-1,46E,b12
13,8250DB002070,"St Thomas Road, stop 2070",53.30306607,-6.208145702,389.1.60-46E-b12-1.269.I,08:32:19,08:32:19,14, Mountjoy Sq,5430.82,60-46E-b12-1,46E,b12
14,8250DB002084,"Seafield Road, stop 2084",53.30552676,-6.21159902,389.1.60-46E-b12-1.269.I,08:33:20,08:33:20,15, Mountjoy Sq,5787.75,60-46E-b12-1,46E,b12
15,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,389.1.60-46E-b12-1.269.I,08:35:14,08:35:14,16, Mountjoy Sq,6436.51,60-46E-b12-1,46E,b12
16,8220DB000769,"Belfield Court, stop 769",53.31190109,-6.221327857,389.1.60-46E-b12-1.269.I,08:35:56,08:35:56,17, Mountjoy Sq,6764.07,60-46E-b12-1,46E,b12
17,8220DB000770,"RTE, stop 770",53.31463619,-6.225731811,389.1.60-46E-b12-1.269.I,08:37:23,08:37:23,18, Mountjoy Sq,7207.09,60-46E-b12-1,46E,b12
18,8220DB000771,"Teresian School, stop 771",53.31588007,-6.227781522,389.1.60-46E-b12-1.269.I,08:37:58,08:37:58,19, Mountjoy Sq,7397.89,60-46E-b12-1,46E,b12
19,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,389.1.60-46E-b12-1.269.I,08:39:10,08:39:10,20, Mountjoy Sq,7771.45,60-46E-b12-1,46E,b12
20,8220DB000773,"Donnybrook Road, stop 773",53.31991635,-6.233273319,389.1.60-46E-b12-1.269.I,08:40:04,08:40:04,21, Mountjoy Sq,7974.77,60-46E-b12-1,46E,b12
21,8220DB000774,"Donnybrook Garda Stn, stop 774",53.32161212,-6.235499996,389.1.60-46E-b12-1.269.I,08:41:09,08:41:09,22, Mountjoy Sq,8216.66,60-46E-b12-1,46E,b12
22,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,389.1.60-46E-b12-1.269.I,08:42:36,08:42:36,23, Mountjoy Sq,8540.5,60-46E-b12-1,46E,b12
23,8220DB000776,"Morehampton Terrace, stop 776",53.32547924,-6.241735821,389.1.60-46E-b12-1.269.I,08:44:11,08:44:11,24, Mountjoy Sq,8823.38,60-46E-b12-1,46E,b12
24,8220DB000777,"Royal Hospital, stop 777",53.32697216,-6.243626144,389.1.60-46E-b12-1.269.I,08:45:10,08:45:10,25, Mountjoy Sq,9031.71,60-46E-b12-1,46E,b12
25,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,389.1.60-46E-b12-1.269.I,08:46:48,08:46:48,26, Mountjoy Sq,9372.43,60-46E-b12-1,46E,b12
26,8220DB000907,"Dartmouth Road, stop 907",53.32971936,-6.250750109,389.1.60-46E-b12-1.269.I,08:48:56,08:48:56,27, Mountjoy Sq,9605.72,60-46E-b12-1,46E,b12
27,8220DB000908,"Grand Parade, stop 908",53.33115429,-6.252373034,389.1.60-46E-b12-1.269.I,08:50:41,08:50:41,28, Mountjoy Sq,9799.6,60-46E-b12-1,46E,b12
28,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,389.1.60-46E-b12-1.269.I,08:52:59,08:52:59,29, Mountjoy Sq,10053.03,60-46E-b12-1,46E,b12
29,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,389.1.60-46E-b12-1.269.I,08:55:22,08:55:22,30, Mountjoy Sq,10314.27,60-46E-b12-1,46E,b12
30,8220DB000792,"Dawson Street, stop 792",53.34044899,-6.258585808,389.1.60-46E-b12-1.269.I,09:00:34,09:00:34,31, Mountjoy Sq,11071.63,60-46E-b12-1,46E,b12
31,8220DB000320,"Westmoreland Street, stop 320",53.34564563,-6.259305233,389.1.60-46E-b12-1.269.I,09:05:07,09:05:07,33, Mountjoy Sq,11731.83,60-46E-b12-1,46E,b12
32,8220DB000278,"O'Connell St Upper, stop 278",53.35156087,-6.261227336,389.1.60-46E-b12-1.269.I,09:08:30,09:08:30,35, Mountjoy Sq,12408.85,60-46E-b12-1,46E,b12
33,8220DB000002,"Parnell Square West, stop 2",53.35224436,-6.263723219,389.1.60-46E-b12-1.269.I,09:09:21,09:09:21,36, Mountjoy Sq,12684.99,60-46E-b12-1,46E,b12
34,8220DB004726,"Parnell Square Nth, stop 4726",53.35426284,-6.264076827,389.1.60-46E-b12-1.269.I,09:10:20,09:10:20,37, Mountjoy Sq,12995.7,60-46E-b12-1,46E,b12
35,8220DB007555,"Mountjoy Square, stop 7555",53.3571703,-6.258204537,389.1.60-46E-b12-1.269.I,09:13:23,09:13:23,38, Mountjoy Sq,13509.96,60-46E-b12-1,46E,b12
36,8220DB004962,"Mountjoy Square, stop 4962",53.35703972,-6.258495314,389.1.60-46E-b12-1.269.I,09:13:29,09:13:29,39, Mountjoy Sq,13534.32,60-46E-b12-1,46E,b12
