Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
96,8220DB007564,"Poolbeg St, stop 7564",53.34683414,-6.254525457,15196.2.60-47-b12-1.33.O,10:30:00,10:30:00,1, Belarmine,0.0,60-47-b12-1,47,b12
97,8220DB000340,"Townsend Street, stop 340",53.34597512,-6.256017478,15196.2.60-47-b12-1.33.O,10:31:45,10:31:45,2, Belarmine,343.56,60-47-b12-1,47,b12
98,8220DB000350,"Prince's St South, stop 350",53.34563194,-6.24976825,15196.2.60-47-b12-1.33.O,10:34:01,10:34:01,3, Belarmine,760.09,60-47-b12-1,47,b12
99,8220DB000351,"Erne Street, stop 351",53.34341826,-6.245308174,15196.2.60-47-b12-1.33.O,10:35:42,10:35:42,4, Belarmine,1184.62,60-47-b12-1,47,b12
100,8220DB000352,"Pearse Square, stop 352",53.34298915,-6.24241214,15196.2.60-47-b12-1.33.O,10:36:28,10:36:28,5, Belarmine,1385.68,60-47-b12-1,47,b12
101,8220DB000353,"Grand Canal Quay, stop 353",53.34264501,-6.239798018,15196.2.60-47-b12-1.33.O,10:37:10,10:37:10,6, Belarmine,1561.96,60-47-b12-1,47,b12
102,8220DB000354,"Ringsend Road, stop 354",53.34223583,-6.23643569,15196.2.60-47-b12-1.33.O,10:37:48,10:37:48,7, Belarmine,1790.01,60-47-b12-1,47,b12
103,8220DB000355,"Ringsend Garage, stop 355",53.34181735,-6.233058791,15196.2.60-47-b12-1.33.O,10:38:27,10:38:27,8, Belarmine,2020.13,60-47-b12-1,47,b12
104,8220DB000356,"Ringsend, stop 356",53.34190302,-6.226717443,15196.2.60-47-b12-1.33.O,10:39:39,10:39:39,9, Belarmine,2446.7,60-47-b12-1,47,b12
105,8220DB000357,"Irishtown Road, stop 357",53.33917104,-6.223121475,15196.2.60-47-b12-1.33.O,10:41:08,10:41:08,10, Belarmine,2837.97,60-47-b12-1,47,b12
106,8220DB000390,"Tritonville Road, stop 390",53.33762991,-6.222239479,15196.2.60-47-b12-1.33.O,10:41:51,10:41:51,11, Belarmine,3020.5,60-47-b12-1,47,b12
107,8220DB000372,"Star of the Sea, stop 372",53.33548815,-6.219655671,15196.2.60-47-b12-1.33.O,10:42:34,10:42:34,12, Belarmine,3362.01,60-47-b12-1,47,b12
108,8220DB000373,"Farney Park, stop 373",53.33427533,-6.217889273,15196.2.60-47-b12-1.33.O,10:43:09,10:43:09,13, Belarmine,3540.11,60-47-b12-1,47,b12
109,8220DB000374,"Sandymount, stop 374",53.33322844,-6.216401342,15196.2.60-47-b12-1.33.O,10:43:39,10:43:39,14, Belarmine,3692.79,60-47-b12-1,47,b12
110,8220DB007738,"Gilford Road, stop 7738",53.32919931,-6.21443745,15196.2.60-47-b12-1.33.O,10:45:03,10:45:03,15, Belarmine,4191.61,60-47-b12-1,47,b12
111,8220DB007739,"Park Avenue, stop 7739",53.32662939,-6.214484728,15196.2.60-47-b12-1.33.O,10:45:54,10:45:54,16, Belarmine,4491.29,60-47-b12-1,47,b12
112,8220DB002087,"Ailesbury Road, stop 2087",53.32060947,-6.212829685,15196.2.60-47-b12-1.33.O,10:48:12,10:48:12,17, Belarmine,5296.35,60-47-b12-1,47,b12
113,8220DB007053,"Nutley Lane, stop 7053",53.31837371,-6.213583567,15196.2.60-47-b12-1.33.O,10:49:43,10:49:43,18, Belarmine,5823.12,60-47-b12-1,47,b12
114,8220DB002088,"St Vincent's Hosp, stop 2088",53.31729669,-6.216090175,15196.2.60-47-b12-1.33.O,10:50:18,10:50:18,19, Belarmine,6032.01,60-47-b12-1,47,b12
115,8220DB002089,"RTE, stop 2089",53.31530199,-6.219745554,15196.2.60-47-b12-1.33.O,10:51:02,10:51:02,20, Belarmine,6360.88,60-47-b12-1,47,b12
116,8220DB000763,"Belfield Court, stop 763",53.31232014,-6.221100319,15196.2.60-47-b12-1.33.O,10:52:16,10:52:16,21, Belarmine,6821.13,60-47-b12-1,47,b12
117,8250DB002007,"Woodbine Road, stop 2007",53.30887504,-6.216111205,15196.2.60-47-b12-1.33.O,10:53:18,10:53:18,22, Belarmine,7340.48,60-47-b12-1,47,b12
118,8250DB002008,"Seafield Road, stop 2008",53.3056004,-6.211115757,15196.2.60-47-b12-1.33.O,10:54:15,10:54:15,23, Belarmine,7833.35,60-47-b12-1,47,b12
119,8250DB002009,"Radisson Hotel, stop 2009",53.30333957,-6.207804139,15196.2.60-47-b12-1.33.O,10:55:04,10:55:04,24, Belarmine,8166.91,60-47-b12-1,47,b12
120,8250DB002010,"Booterstown Avenue, stop 2010",53.29889724,-6.20467441,15196.2.60-47-b12-1.33.O,10:56:22,10:56:22,25, Belarmine,8702.22,60-47-b12-1,47,b12
