Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
88,8230DB004342,"The Square, stop 4342",53.28610564,-6.373062114,10022.3.60-49-b12-1.38.I,07:45:00,07:45:00,1, Pearse St,0.0,60-49-b12-1,49,b12
89,8230DB004348,"Tallaght Luas, stop 4348",53.28667204,-6.375050431,10022.3.60-49-b12-1.38.I,07:46:31,07:46:31,2, Pearse St,404.95,60-49-b12-1,49,b12
90,8230DB007122,"Tallaght Stadium, stop 7122",53.28261623,-6.374889382,10022.3.60-49-b12-1.38.I,07:48:43,07:48:43,3, Pearse St,1105.23,60-49-b12-1,49,b12
91,8230DB007121,"Whitestown Ind Est, stop 7121",53.27840566,-6.37392445,10022.3.60-49-b12-1.38.I,07:49:57,07:49:57,4, Pearse St,1576.98,60-49-b12-1,49,b12
92,8230DB007183,"Firhouse Road West, stop 7183",53.27706403,-6.372430853,10022.3.60-49-b12-1.38.I,07:50:32,07:50:32,5, Pearse St,1808.23,60-49-b12-1,49,b12
93,8230DB004880,"St Martin De Porres, stop 4880",53.2769457,-6.366407202,10022.3.60-49-b12-1.38.I,07:51:35,07:51:35,6, Pearse St,2345.67,60-49-b12-1,49,b12
94,8230DB002539,"Kiltipper Road, stop 2539",53.2765355,-6.356181079,10022.3.60-49-b12-1.38.I,07:53:26,07:53:26,7, Pearse St,3358.16,60-49-b12-1,49,b12
95,8230DB002540,"Old Bawn Centre, stop 2540",53.2755316,-6.35377543,10022.3.60-49-b12-1.38.I,07:53:57,07:53:57,8, Pearse St,3556.15,60-49-b12-1,49,b12
96,8230DB002542,"Firhouse College, stop 2542",53.27679303,-6.35009807,10022.3.60-49-b12-1.38.I,07:54:40,07:54:40,9, Pearse St,3871.62,60-49-b12-1,49,b12
97,8230DB003004,"Ballycullen Avenue, stop 3004",53.28214637,-6.340773498,10022.3.60-49-b12-1.38.I,07:56:46,07:56:46,10, Pearse St,4790.6,60-49-b12-1,49,b12
98,8230DB004756,"Scoil Treasa, stop 4756",53.28037355,-6.339972374,10022.3.60-49-b12-1.38.I,07:57:17,07:57:17,11, Pearse St,5015.46,60-49-b12-1,49,b12
99,8230DB003005,"Carriglea Avenue, stop 3005",53.27855073,-6.342037492,10022.3.60-49-b12-1.38.I,07:57:50,07:57:50,12, Pearse St,5261.27,60-49-b12-1,49,b12
100,8230DB004757,"Ballycullen Drive, stop 4757",53.27832517,-6.336812641,10022.3.60-49-b12-1.38.I,07:59:21,07:59:21,13, Pearse St,5935.62,60-49-b12-1,49,b12
101,8230DB004758,"Carrig Wood, stop 4758",53.27912349,-6.332192795,10022.3.60-49-b12-1.38.I,08:00:07,08:00:07,14, Pearse St,6262.63,60-49-b12-1,49,b12
102,8230DB006343,"Glenlyon Park, stop 6343",53.27960019,-6.331574375,10022.3.60-49-b12-1.38.I,08:00:24,08:00:24,15, Pearse St,6390.63,60-49-b12-1,49,b12
103,8230DB004759,"Glenvara Park, stop 4759",53.28244259,-6.330443817,10022.3.60-49-b12-1.38.I,08:01:10,08:01:10,16, Pearse St,6714.72,60-49-b12-1,49,b12
104,8230DB004760,"Sally Park Close, stop 4760",53.28535587,-6.330525211,10022.3.60-49-b12-1.38.I,08:01:42,08:01:42,17, Pearse St,7046.11,60-49-b12-1,49,b12
105,8230DB002547,"Knocklyon Avenue, stop 2547",53.28910477,-6.323539151,10022.3.60-49-b12-1.38.I,08:02:55,08:02:55,18, Pearse St,7775.92,60-49-b12-1,49,b12
106,8230DB002548,"Green Acre Court, stop 2548",53.28950276,-6.317973605,10022.3.60-49-b12-1.38.I,08:03:38,08:03:38,19, Pearse St,8152.79,60-49-b12-1,49,b12
107,8230DB000946,"Woodbrook Park, stop 946",53.2932465,-6.310040874,10022.3.60-49-b12-1.38.I,08:04:54,08:04:54,20, Pearse St,8834.89,60-49-b12-1,49,b12
108,8230DB001155,"Ashfield College, stop 1155",53.29677344,-6.307126166,10022.3.60-49-b12-1.38.I,08:05:55,08:05:55,21, Pearse St,9364.49,60-49-b12-1,49,b12
109,8230DB001157,"Riverside Cottages, stop 1157",53.29874481,-6.302277184,10022.3.60-49-b12-1.38.I,08:06:49,08:06:49,22, Pearse St,9767.63,60-49-b12-1,49,b12
110,8230DB001158,"Springfield Road, stop 1158",53.30070251,-6.299003699,10022.3.60-49-b12-1.38.I,08:07:23,08:07:23,23, Pearse St,10080.67,60-49-b12-1,49,b12
111,8220DB001159,"Bushy Park House, stop 1159",53.30239022,-6.296340842,10022.3.60-49-b12-1.38.I,08:07:50,08:07:50,24, Pearse St,10337.68,60-49-b12-1,49,b12
112,8220DB001160,"Terenure College, stop 1160",53.30439353,-6.293125002,10022.3.60-49-b12-1.38.I,08:08:13,08:08:13,25, Pearse St,10646.92,60-49-b12-1,49,b12
