Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000342,"College Street, stop 342",53.34556412,-6.256800261,10021.3.60-49-b12-1.37.O,06:45:00,06:45:00,1, The Square,0.0,60-49-b12-1,49,b12
1,8220DB004521,"College Green, stop 4521",53.34430106,-6.260171051,10021.3.60-49-b12-1.37.O,06:46:06,06:46:06,2, The Square,288.35,60-49-b12-1,49,b12
2,8220DB001934,"Dame Street, stop 1934",53.34411836,-6.265525325,10021.3.60-49-b12-1.37.O,06:47:27,06:47:27,3, The Square,643.33,60-49-b12-1,49,b12
3,8220DB002385,"Patrick Street, stop 2385",53.34231512,-6.271951368,10021.3.60-49-b12-1.37.O,06:49:29,06:49:29,4, The Square,1172.46,60-49-b12-1,49,b12
4,8220DB002386,"New Street South, stop 2386",53.33790737,-6.272324817,10021.3.60-49-b12-1.37.O,06:51:06,06:51:06,5, The Square,1668.85,60-49-b12-1,49,b12
5,8220DB002387,"Long Lane, stop 2387",53.33658442,-6.272828791,10021.3.60-49-b12-1.37.O,06:51:22,06:51:22,6, The Square,1818.74,60-49-b12-1,49,b12
6,8220DB002388,"St. Kevin's Parade, stop 2388",53.3344588,-6.274386231,10021.3.60-49-b12-1.37.O,06:51:50,06:51:50,7, The Square,2077.6,60-49-b12-1,49,b12
7,8220DB001290,"Clanbrassil St Upper, stop 1290",53.33073105,-6.275167319,10021.3.60-49-b12-1.37.O,06:53:00,06:53:00,8, The Square,2504.22,60-49-b12-1,49,b12
8,8220DB001291,"Harold's Cross Road, stop 1291",53.32844661,-6.276310441,10021.3.60-49-b12-1.37.O,06:54:25,06:54:25,9, The Square,2767.92,60-49-b12-1,49,b12
9,8220DB001292,"Harold's Cross Park, stop 1292",53.32562461,-6.278195704,10021.3.60-49-b12-1.37.O,06:55:05,06:55:05,10, The Square,3111.73,60-49-b12-1,49,b12
10,8220DB001293,"Parkview Avenue, stop 1293",53.32286036,-6.27910263,10021.3.60-49-b12-1.37.O,06:55:43,06:55:43,11, The Square,3423.7,60-49-b12-1,49,b12
11,8220DB001294,"Lady of the Rosary, stop 1294",53.32060003,-6.278803306,10021.3.60-49-b12-1.37.O,06:56:13,06:56:13,12, The Square,3684.82,60-49-b12-1,49,b12
12,8220DB001295,"Kenilworth Park, stop 1295",53.31791489,-6.279586817,10021.3.60-49-b12-1.37.O,06:56:49,06:56:49,13, The Square,3990.71,60-49-b12-1,49,b12
13,8220DB001296,"Mount Tallant Avenue, stop 1296",53.31556275,-6.281647623,10021.3.60-49-b12-1.37.O,06:57:23,06:57:23,14, The Square,4286.12,60-49-b12-1,49,b12
14,8220DB001297,"Whitton Road, stop 1297",53.31240961,-6.282389614,10021.3.60-49-b12-1.37.O,06:58:06,06:58:06,15, The Square,4651.28,60-49-b12-1,49,b12
15,8220DB001298,"Terenure, stop 1298",53.31074699,-6.283026651,10021.3.60-49-b12-1.37.O,06:58:29,06:58:29,16, The Square,4840.89,60-49-b12-1,49,b12
16,8220DB001121,"Templeogue Road, stop 1121",53.3090016,-6.285407748,10021.3.60-49-b12-1.37.O,06:59:13,06:59:13,17, The Square,5105.9,60-49-b12-1,49,b12
17,8220DB001122,"Rathdown Park, stop 1122",53.30721963,-6.288375353,10021.3.60-49-b12-1.37.O,07:00:01,07:00:01,18, The Square,5384.84,60-49-b12-1,49,b12
18,8220DB001123,"Lakelands Park, stop 1123",53.30557702,-6.29103703,10021.3.60-49-b12-1.37.O,07:00:21,07:00:21,19, The Square,5638.47,60-49-b12-1,49,b12
19,8220DB001124,"Terenure College, stop 1124",53.30417282,-6.293403898,10021.3.60-49-b12-1.37.O,07:00:38,07:00:38,20, The Square,5860.89,60-49-b12-1,49,b12
20,8230DB001125,"Bushy Park House, stop 1125",53.30108536,-6.29811825,10021.3.60-49-b12-1.37.O,07:01:13,07:01:13,21, The Square,6326.41,60-49-b12-1,49,b12
21,8230DB001127,"Riverside Cottages, stop 1127",53.29845626,-6.302843743,10021.3.60-49-b12-1.37.O,07:02:22,07:02:22,22, The Square,6757.73,60-49-b12-1,49,b12
22,8230DB001130,"Templeogue Bridge, stop 1130",53.29634173,-6.308373431,10021.3.60-49-b12-1.37.O,07:03:24,07:03:24,23, The Square,7210.16,60-49-b12-1,49,b12
23,8230DB001140,"Woodbrook Park, stop 1140",53.29328461,-6.309559329,10021.3.60-49-b12-1.37.O,07:04:20,07:04:20,24, The Square,7611.37,60-49-b12-1,49,b12
24,8230DB002515,"Cherryfield Way, stop 2515",53.29134436,-6.312816063,10021.3.60-49-b12-1.37.O,07:05:02,07:05:02,25, The Square,7914.89,60-49-b12-1,49,b12
25,8230DB002516,"Cremore, stop 2516",53.29022327,-6.315530273,10021.3.60-49-b12-1.37.O,07:05:31,07:05:31,26, The Square,8135.98,60-49-b12-1,49,b12
26,8230DB002517,"Green Acre Court, stop 2517",53.28921498,-6.318599903,10021.3.60-49-b12-1.37.O,07:05:48,07:05:48,27, The Square,8366.58,60-49-b12-1,49,b12
27,8230DB002518,"Knocklyon Avenue, stop 2518",53.28853245,-6.324386536,10021.3.60-49-b12-1.37.O,07:06:18,07:06:18,28, The Square,8777.62,60-49-b12-1,49,b12
28,8230DB004749,"Ballycullen Road, stop 4749",53.28542669,-6.330447458,10021.3.60-49-b12-1.37.O,07:07:25,07:07:25,29, The Square,9418.24,60-49-b12-1,49,b12
29,8230DB004750,"Glenvara Park, stop 4750",53.28248499,-6.330262195,10021.3.60-49-b12-1.37.O,07:07:58,07:07:58,30, The Square,9748.88,60-49-b12-1,49,b12
30,8230DB004751,"Ballycullen Drive, stop 4751",53.27901758,-6.332331884,10021.3.60-49-b12-1.37.O,07:09:04,07:09:04,31, The Square,10212.16,60-49-b12-1,49,b12
31,8230DB004754,"Ballycullen Drive, stop 4754",53.27820817,-6.336802188,10021.3.60-49-b12-1.37.O,07:09:52,07:09:52,32, The Square,10546.65,60-49-b12-1,49,b12
32,8230DB004755,"Ballycullen Avenue, stop 4755",53.27849035,-6.342219782,10021.3.60-49-b12-1.37.O,07:11:25,07:11:25,33, The Square,11198.92,60-49-b12-1,49,b12
33,8230DB003003,"Mount Carmel Church, stop 3003",53.28032236,-6.340169314,10021.3.60-49-b12-1.37.O,07:11:59,07:11:59,34, The Square,11444.0,60-49-b12-1,49,b12
34,8230DB002522,"Firhouse Centre, stop 2522",53.28142223,-6.342346246,10021.3.60-49-b12-1.37.O,07:12:58,07:12:58,35, The Square,11846.16,60-49-b12-1,49,b12
35,8230DB002524,"Ballycullen Drive, stop 2524",53.27837374,-6.346768066,10021.3.60-49-b12-1.37.O,07:14:05,07:14:05,36, The Square,12312.93,60-49-b12-1,49,b12
36,8230DB002523,"Firhouse College, stop 2523",53.27710694,-6.34875138,10021.3.60-49-b12-1.37.O,07:14:32,07:14:32,37, The Square,12503.98,60-49-b12-1,49,b12
37,8230DB002532,"Old Bawn Centre, stop 2532",53.27560359,-6.354432442,10021.3.60-49-b12-1.37.O,07:15:39,07:15:39,38, The Square,12971.02,60-49-b12-1,49,b12
38,8230DB004877,"Firhouse Road West, stop 4877",53.27657338,-6.359583555,10021.3.60-49-b12-1.37.O,07:16:28,07:16:28,39, The Square,13372.73,60-49-b12-1,49,b12
39,8230DB004878,"St Martin De Porres, stop 4878",53.27678379,-6.366398381,10021.3.60-49-b12-1.37.O,07:17:23,07:17:23,40, The Square,13826.58,60-49-b12-1,49,b12
40,8230DB007180,"Heatherview Close, stop 7180",53.27696951,-6.372749348,10021.3.60-49-b12-1.37.O,07:18:14,07:18:14,41, The Square,14249.33,60-49-b12-1,49,b12
41,8230DB007123,"Tallaght Stadium, stop 7123",53.2832953,-6.375253551,10021.3.60-49-b12-1.37.O,07:19:49,07:19:49,42, The Square,15039.17,60-49-b12-1,49,b12
42,8230DB004347,"Tallaght Luas, stop 4347",53.28622205,-6.375007513,10021.3.60-49-b12-1.37.O,07:22:44,07:22:44,43, The Square,15710.9,60-49-b12-1,49,b12
43,8230DB007181,"The Square, stop 7181",53.28605461,-6.373274033,10021.3.60-49-b12-1.37.O,07:24:02,07:24:02,44, The Square,16025.41,60-49-b12-1,49,b12
