Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB004664,"Clondalkin Town C, stop 4664",53.3222848,-6.39246159,3292.1.60-51D-b12-1.41.I,07:30:00,07:30:00,1, Waterloo Rd,0.0,60-51D-b12-1,51D,b12
1,8230DB002160,"Convent Road, stop 2160",53.31957314,-6.394664957,3292.1.60-51D-b12-1.41.I,07:31:02,07:31:02,2, Waterloo Rd,382.12,60-51D-b12-1,51D,b12
2,8230DB004665,"St Joseph's NS, stop 4665",53.31723876,-6.395518057,3292.1.60-51D-b12-1.41.I,07:31:46,07:31:46,3, Waterloo Rd,648.98,60-51D-b12-1,51D,b12
3,8230DB004666,"Fonthill Road, stop 4666",53.31682346,-6.398055201,3292.1.60-51D-b12-1.41.I,07:32:32,07:32:32,4, Waterloo Rd,935.28,60-51D-b12-1,51D,b12
4,8230DB004667,"St John's Estate, stop 4667",53.31747882,-6.401347763,3292.1.60-51D-b12-1.41.I,07:33:09,07:33:09,5, Waterloo Rd,1167.91,60-51D-b12-1,51D,b12
5,8230DB004668,"Cherrywood Avenue, stop 4668",53.32033853,-6.406164323,3292.1.60-51D-b12-1.41.I,07:34:26,07:34:26,6, Waterloo Rd,1634.86,60-51D-b12-1,51D,b12
6,8230DB003376,"Nangor Crescent, stop 3376",53.32157234,-6.407694491,3292.1.60-51D-b12-1.41.I,07:35:12,07:35:12,7, Waterloo Rd,1899.3,60-51D-b12-1,51D,b12
7,8230DB003377,"Cherrywood Drive, stop 3377",53.32097233,-6.410553862,3292.1.60-51D-b12-1.41.I,07:35:43,07:35:43,8, Waterloo Rd,2102.03,60-51D-b12-1,51D,b12
8,8230DB003378,"Old Church Avenue, stop 3378",53.31969828,-6.414774073,3292.1.60-51D-b12-1.41.I,07:36:44,07:36:44,9, Waterloo Rd,2424.22,60-51D-b12-1,51D,b12
9,8230DB003379,"Cherrywood Park, stop 3379",53.31906508,-6.4192105,3292.1.60-51D-b12-1.41.I,07:37:41,07:37:41,10, Waterloo Rd,2734.43,60-51D-b12-1,51D,b12
10,8230DB004669,"Mill Church Way, stop 4669",53.31989958,-6.421821476,3292.1.60-51D-b12-1.41.I,07:38:28,07:38:28,11, Waterloo Rd,2988.38,60-51D-b12-1,51D,b12
11,8230DB002146,"Old Castle Drive, stop 2146",53.32408231,-6.42615564,3292.1.60-51D-b12-1.41.I,07:40:14,07:40:14,12, Waterloo Rd,3553.0,60-51D-b12-1,51D,b12
12,8230DB002147,"Kilmahuddrick Avenue, stop 2147",53.32684674,-6.425183145,3292.1.60-51D-b12-1.41.I,07:41:06,07:41:06,13, Waterloo Rd,3870.14,60-51D-b12-1,51D,b12
13,8230DB002148,"Kilcronan Estate, stop 2148",53.32879327,-6.424210639,3292.1.60-51D-b12-1.41.I,07:41:50,07:41:50,14, Waterloo Rd,4095.87,60-51D-b12-1,51D,b12
14,8230DB002149,"Deansrath Grove, stop 2149",53.32956826,-6.421644753,3292.1.60-51D-b12-1.41.I,07:42:36,07:42:36,15, Waterloo Rd,4342.71,60-51D-b12-1,51D,b12
15,8230DB002150,"Melrose, stop 2150",53.32873006,-6.416721259,3292.1.60-51D-b12-1.41.I,07:43:39,07:43:39,16, Waterloo Rd,4688.17,60-51D-b12-1,51D,b12
16,8230DB002151,"Lindisfarne Drive, stop 2151",53.32861452,-6.414113203,3292.1.60-51D-b12-1.41.I,07:44:12,07:44:12,17, Waterloo Rd,4865.47,60-51D-b12-1,51D,b12
17,8230DB002152,"Bawnogue Road, stop 2152",53.32751095,-6.411556881,3292.1.60-51D-b12-1.41.I,07:45:08,07:45:08,18, Waterloo Rd,5171.18,60-51D-b12-1,51D,b12
18,8230DB002153,"Newlife Church, stop 2153",53.32498739,-6.412386224,3292.1.60-51D-b12-1.41.I,07:46:01,07:46:01,19, Waterloo Rd,5462.9,60-51D-b12-1,51D,b12
19,8230DB002154,"Lealand Drive, stop 2154",53.32342343,-6.410357676,3292.1.60-51D-b12-1.41.I,07:46:41,07:46:41,20, Waterloo Rd,5691.68,60-51D-b12-1,51D,b12
20,8230DB006245,"Alpine Heights, stop 6245",53.32285801,-6.408397189,3292.1.60-51D-b12-1.41.I,07:47:18,07:47:18,21, Waterloo Rd,5892.12,60-51D-b12-1,51D,b12
21,8230DB006013,"Nangor Rd Roundabout, stop 6013",53.32406207,-6.405680267,3292.1.60-51D-b12-1.41.I,07:48:03,07:48:03,22, Waterloo Rd,6136.99,60-51D-b12-1,51D,b12
22,8230DB006247,"Dunawley Avenue, stop 6247",53.32548462,-6.405191867,3292.1.60-51D-b12-1.41.I,07:48:34,07:48:34,23, Waterloo Rd,6310.91,60-51D-b12-1,51D,b12
23,8230DB002681,"Fonthill Road, stop 2681",53.34174508,-6.407979172,3292.1.60-51D-b12-1.41.I,07:54:08,07:54:08,24, Waterloo Rd,8139.89,60-51D-b12-1,51D,b12
24,8230DB004691,"Rowlagh Crescent, stop 4691",53.34350862,-6.40744789,3292.1.60-51D-b12-1.41.I,07:54:40,07:54:40,25, Waterloo Rd,8338.39,60-51D-b12-1,51D,b12
25,8230DB004796,"Glenfield, stop 4796",53.34736324,-6.406012492,3292.1.60-51D-b12-1.41.I,07:55:50,07:55:50,26, Waterloo Rd,8777.47,60-51D-b12-1,51D,b12
26,8230DB004690,"Fonthill Retail Park, stop 4690",53.34950944,-6.405196397,3292.1.60-51D-b12-1.41.I,07:56:33,07:56:33,27, Waterloo Rd,9042.76,60-51D-b12-1,51D,b12
27,8230DB004411,"Shancastle Park, stop 4411",53.35096772,-6.404691318,3292.1.60-51D-b12-1.41.I,07:56:58,07:56:58,28, Waterloo Rd,9208.53,60-51D-b12-1,51D,b12
28,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,3292.1.60-51D-b12-1.41.I,08:00:44,08:00:44,29, Waterloo Rd,10738.26,60-51D-b12-1,51D,b12
29,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,3292.1.60-51D-b12-1.41.I,08:04:33,08:04:33,30, Waterloo Rd,12157.68,60-51D-b12-1,51D,b12
30,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,3292.1.60-51D-b12-1.41.I,08:05:34,08:05:34,31, Waterloo Rd,12463.08,60-51D-b12-1,51D,b12
31,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,3292.1.60-51D-b12-1.41.I,08:13:05,08:13:05,32, Waterloo Rd,16364.71,60-51D-b12-1,51D,b12
32,8220DB002722,"South Circular Road, stop 2722",53.3434371,-6.311390663,3292.1.60-51D-b12-1.41.I,08:13:36,08:13:36,33, Waterloo Rd,16633.26,60-51D-b12-1,51D,b12
33,8220DB004413,"Heuston Station, stop 4413",53.34615649,-6.292793782,3292.1.60-51D-b12-1.41.I,08:16:09,08:16:09,34, Waterloo Rd,17923.1,60-51D-b12-1,51D,b12
34,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,3292.1.60-51D-b12-1.41.I,08:19:43,08:19:43,35, Waterloo Rd,18554.83,60-51D-b12-1,51D,b12
35,8220DB007453,"Arran Quay, stop 7453",53.34633589,-6.278382504,3292.1.60-51D-b12-1.41.I,08:22:08,08:22:08,36, Waterloo Rd,18980.28,60-51D-b12-1,51D,b12
36,8220DB001478,"Four Courts, stop 1478",53.3456082,-6.272809481,3292.1.60-51D-b12-1.41.I,08:24:14,08:24:14,37, Waterloo Rd,19362.85,60-51D-b12-1,51D,b12
37,8220DB001479,"Ormond Quay, stop 1479",53.34598809,-6.268633628,3292.1.60-51D-b12-1.41.I,08:25:53,08:25:53,38, Waterloo Rd,19646.0,60-51D-b12-1,51D,b12
38,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,3292.1.60-51D-b12-1.41.I,08:29:26,08:29:26,39, Waterloo Rd,20126.45,60-51D-b12-1,51D,b12
39,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,3292.1.60-51D-b12-1.41.I,08:32:53,08:32:53,40, Waterloo Rd,20596.89,60-51D-b12-1,51D,b12
40,8220DB002809,"Pearse Station, stop 2809",53.34288455,-6.2499709,3292.1.60-51D-b12-1.41.I,08:38:44,08:38:44,41, Waterloo Rd,21533.5,60-51D-b12-1,51D,b12
41,8220DB002810,"Merrion Square West, stop 2810",53.34079491,-6.250897489,3292.1.60-51D-b12-1.41.I,08:40:18,08:40:18,42, Waterloo Rd,21773.52,60-51D-b12-1,51D,b12
