Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
100,8220DB007392,"Aston Quay, stop 7392",53.34640871,-6.261091564,4897.1.60-51D-b12-1.40.O,17:15:00,17:15:00,1, Woodford Hill,0.0,60-51D-b12-1,51D,b12
101,8220DB001443,"Civic Offices, stop 1443",53.34512939,-6.269539559,4897.1.60-51D-b12-1.40.O,17:18:25,17:18:25,2, Woodford Hill,580.52,60-51D-b12-1,51D,b12
102,8220DB001444,"Merchant's Quay, stop 1444",53.34507559,-6.274513197,4897.1.60-51D-b12-1.40.O,17:20:24,17:20:24,3, Woodford Hill,910.37,60-51D-b12-1,51D,b12
103,8220DB001445,"Usher's Quay, stop 1445",53.34598795,-6.279808388,4897.1.60-51D-b12-1.40.O,17:22:36,17:22:36,4, Woodford Hill,1275.95,60-51D-b12-1,51D,b12
104,8220DB004407,"Victoria Quay, stop 4407",53.3464875,-6.285165429,4897.1.60-51D-b12-1.40.O,17:24:47,17:24:47,5, Woodford Hill,1638.54,60-51D-b12-1,51D,b12
105,8220DB002637,"Heuston Station, stop 2637",53.34584559,-6.294308178,4897.1.60-51D-b12-1.40.O,17:28:42,17:28:42,6, Woodford Hill,2292.94,60-51D-b12-1,51D,b12
106,8220DB002638,"St Johns Road West, stop 2638",53.34565875,-6.296959098,4897.1.60-51D-b12-1.40.O,17:29:07,17:29:07,7, Woodford Hill,2470.36,60-51D-b12-1,51D,b12
107,8220DB002721,"South Circular Road, stop 2721",53.34327186,-6.310511085,4897.1.60-51D-b12-1.40.O,17:31:20,17:31:20,8, Woodford Hill,3427.5,60-51D-b12-1,51D,b12
108,8220DB007012,"Memorial Gardens, stop 7012",53.34295414,-6.315374679,4897.1.60-51D-b12-1.40.O,17:32:06,17:32:06,9, Woodford Hill,3751.93,60-51D-b12-1,51D,b12
109,8230DB002201,"Palmerstown Drive, stop 2201",53.35327375,-6.364571165,4897.1.60-51D-b12-1.40.O,17:40:50,17:40:50,10, Woodford Hill,7479.73,60-51D-b12-1,51D,b12
110,8230DB004401,"Kennelsfort Road, stop 4401",53.35475553,-6.371710305,4897.1.60-51D-b12-1.40.O,17:41:51,17:41:51,11, Woodford Hill,7981.85,60-51D-b12-1,51D,b12
111,8230DB002213,"Liffey Valley SC, stop 2213",53.35577765,-6.392072623,4897.1.60-51D-b12-1.40.O,17:44:42,17:44:42,12, Woodford Hill,9396.56,60-51D-b12-1,51D,b12
112,8230DB004688,"Shancastle Park, stop 4688",53.35040934,-6.404607022,4897.1.60-51D-b12-1.40.O,17:48:19,17:48:19,13, Woodford Hill,10726.07,60-51D-b12-1,51D,b12
113,8230DB004689,"Fonthill Retail Park, stop 4689",53.3476992,-6.405594414,4897.1.60-51D-b12-1.40.O,17:49:11,17:49:11,14, Woodford Hill,11048.51,60-51D-b12-1,51D,b12
114,8230DB004410,"St Mark's Grove, stop 4410",53.34524896,-6.406526926,4897.1.60-51D-b12-1.40.O,17:49:56,17:49:56,15, Woodford Hill,11328.88,60-51D-b12-1,51D,b12
115,8230DB002678,"Rowlagh, stop 2678",53.34350401,-6.407102633,4897.1.60-51D-b12-1.40.O,17:50:29,17:50:29,16, Woodford Hill,11527.36,60-51D-b12-1,51D,b12
116,8230DB002679,"Rowlagh Crescent, stop 2679",53.34155623,-6.40797119,4897.1.60-51D-b12-1.40.O,17:51:05,17:51:05,17, Woodford Hill,11751.05,60-51D-b12-1,51D,b12
117,8230DB002680,"Foxdene Gardens, stop 2680",53.33876117,-6.407985208,4897.1.60-51D-b12-1.40.O,17:51:56,17:51:56,18, Woodford Hill,12062.36,60-51D-b12-1,51D,b12
118,8230DB004677,"Bawnogue Road, stop 4677",53.32301377,-6.409967595,4897.1.60-51D-b12-1.40.O,17:57:13,17:57:13,19, Woodford Hill,14178.22,60-51D-b12-1,51D,b12
119,8230DB002136,"Bawnogue Church, stop 2136",53.3249265,-6.412538606,4897.1.60-51D-b12-1.40.O,17:57:53,17:57:53,20, Woodford Hill,14453.98,60-51D-b12-1,51D,b12
120,8230DB002137,"Lindisfarne, stop 2137",53.326398,-6.41234886,4897.1.60-51D-b12-1.40.O,17:58:19,17:58:19,21, Woodford Hill,14615.19,60-51D-b12-1,51D,b12
121,8230DB007201,"Lindisfarne Park, stop 7201",53.32810146,-6.411354784,4897.1.60-51D-b12-1.40.O,17:58:49,17:58:49,22, Woodford Hill,14816.74,60-51D-b12-1,51D,b12
122,8230DB002138,"Lindisfarne Drive, stop 2138",53.32855823,-6.41393513,4897.1.60-51D-b12-1.40.O,17:59:23,17:59:23,23, Woodford Hill,15043.54,60-51D-b12-1,51D,b12
123,8230DB002139,"Melrose, stop 2139",53.32871727,-6.417112082,4897.1.60-51D-b12-1.40.O,17:59:55,17:59:55,24, Woodford Hill,15257.76,60-51D-b12-1,51D,b12
124,8230DB002140,"Deansrath Grove, stop 2140",53.32954985,-6.422291023,4897.1.60-51D-b12-1.40.O,18:00:50,18:00:50,25, Woodford Hill,15623.52,60-51D-b12-1,51D,b12
125,8230DB002141,"St Cuthberts Road, stop 2141",53.32840757,-6.424269894,4897.1.60-51D-b12-1.40.O,18:01:23,18:01:23,26, Woodford Hill,15843.3,60-51D-b12-1,51D,b12
126,8230DB002142,"Kilmahuddrick Estate, stop 2142",53.32720193,-6.424854792,4897.1.60-51D-b12-1.40.O,18:01:44,18:01:44,27, Woodford Hill,15984.64,60-51D-b12-1,51D,b12
127,8230DB002143,"Grange View, stop 2143",53.32505934,-6.425954546,4897.1.60-51D-b12-1.40.O,18:02:22,18:02:22,28, Woodford Hill,16235.59,60-51D-b12-1,51D,b12
128,8230DB002145,"St Ronan's, stop 2145",53.32312702,-6.424599583,4897.1.60-51D-b12-1.40.O,18:03:01,18:03:01,29, Woodford Hill,16495.33,60-51D-b12-1,51D,b12
129,8230DB004670,"St Cuthberts Court, stop 4670",53.3212285,-6.42240289,4897.1.60-51D-b12-1.40.O,18:03:59,18:03:59,30, Woodford Hill,16761.8,60-51D-b12-1,51D,b12
130,8230DB003420,"Cherrywood Park, stop 3420",53.31900693,-6.420248342,4897.1.60-51D-b12-1.40.O,18:05:14,18:05:14,31, Woodford Hill,17100.16,60-51D-b12-1,51D,b12
131,8230DB003421,"Old Church Avenue, stop 3421",53.31975517,-6.414997119,4897.1.60-51D-b12-1.40.O,18:06:34,18:06:34,32, Woodford Hill,17469.16,60-51D-b12-1,51D,b12
132,8230DB003422,"Cherrywood Drive, stop 3422",53.32081764,-6.411760466,4897.1.60-51D-b12-1.40.O,18:07:30,18:07:30,33, Woodford Hill,17720.2,60-51D-b12-1,51D,b12
133,8230DB004671,"Fonthill Road, stop 4671",53.32015445,-6.405840953,4897.1.60-51D-b12-1.40.O,18:09:27,18:09:27,34, Woodford Hill,18342.06,60-51D-b12-1,51D,b12
134,8230DB004672,"St John's Estate, stop 4672",53.31754767,-6.401120046,4897.1.60-51D-b12-1.40.O,18:10:53,18:10:53,35, Woodford Hill,18797.56,60-51D-b12-1,51D,b12
135,8230DB003465,"Boot Road, stop 3465",53.31676667,-6.395835952,4897.1.60-51D-b12-1.40.O,18:12:12,18:12:12,36, Woodford Hill,19223.74,60-51D-b12-1,51D,b12
136,8230DB004673,"Boot Road, stop 4673",53.31809714,-6.395185661,4897.1.60-51D-b12-1.40.O,18:12:41,18:12:41,37, Woodford Hill,19376.17,60-51D-b12-1,51D,b12
137,8230DB002172,"Moyle Park College, stop 2172",53.31972687,-6.394734238,4897.1.60-51D-b12-1.40.O,18:13:15,18:13:15,38, Woodford Hill,19561.59,60-51D-b12-1,51D,b12
138,8230DB004409,"Clondalkin Village, stop 4409",53.32234719,-6.393089718,4897.1.60-51D-b12-1.40.O,18:15:10,18:15:10,39, Woodford Hill,20169.13,60-51D-b12-1,51D,b12
139,8230DB004550,"Watery Lane, stop 4550",53.32491658,-6.390336008,4897.1.60-51D-b12-1.40.O,18:16:28,18:16:28,40, Woodford Hill,20589.02,60-51D-b12-1,51D,b12
140,8230DB004551,"Woodford Walk, stop 4551",53.32649703,-6.38292027,4897.1.60-51D-b12-1.40.O,18:17:46,18:17:46,41, Woodford Hill,21227.01,60-51D-b12-1,51D,b12
141,8230DB001965,"Woodford Grove, stop 1965",53.32386831,-6.37929675,4897.1.60-51D-b12-1.40.O,18:18:32,18:18:32,42, Woodford Hill,21612.08,60-51D-b12-1,51D,b12
142,8230DB001966,"Woodford Hill, stop 1966",53.32054306,-6.377996756,4897.1.60-51D-b12-1.40.O,18:19:31,18:19:31,43, Woodford Hill,22095.73,60-51D-b12-1,51D,b12
