Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000395,"Ringsend Road, stop 395",53.34194005,-6.235276454,12518.3.60-52-b12-1.42.O,06:05:00,06:05:00,1, Leixlip Intel,0.0,60-52-b12-1,52,b12
1,8220DB000396,"Grand Canal Quay, stop 396",53.34244252,-6.239475948,12518.3.60-52-b12-1.42.O,06:05:28,06:05:28,2, Leixlip Intel,292.56,60-52-b12-1,52,b12
2,8220DB000397,"Pearse Square, stop 397",53.34278556,-6.242015007,12518.3.60-52-b12-1.42.O,06:05:49,06:05:49,3, Leixlip Intel,466.34,60-52-b12-1,52,b12
3,8220DB000398,"Erne Street, stop 398",53.34329494,-6.245478447,12518.3.60-52-b12-1.42.O,06:06:31,06:06:31,4, Leixlip Intel,702.09,60-52-b12-1,52,b12
4,8220DB000399,"Pearse Station, stop 399",53.34386682,-6.248308601,12518.3.60-52-b12-1.42.O,06:07:05,06:07:05,5, Leixlip Intel,902.06,60-52-b12-1,52,b12
5,8220DB007859,"Shaw Street, stop 7859",53.34477987,-6.25295724,12518.3.60-52-b12-1.42.O,06:07:45,06:07:45,6, Leixlip Intel,1225.66,60-52-b12-1,52,b12
6,8220DB007732,"Tara Street, Stop no 7732",53.34722107,-6.255170542,12518.3.60-52-b12-1.42.O,06:09:13,06:09:13,7, Leixlip Intel,1596.39,60-52-b12-1,52,b12
7,8220DB007392,"Aston Quay, stop 7392",53.34640871,-6.261091564,12518.3.60-52-b12-1.42.O,06:11:00,06:11:00,8, Leixlip Intel,2046.13,60-52-b12-1,52,b12
8,8220DB000312,"Wellington Quay, stop 312",53.34547647,-6.266206155,12518.3.60-52-b12-1.42.O,06:11:56,06:11:56,9, Leixlip Intel,2401.38,60-52-b12-1,52,b12
9,8220DB007857,"Merchant's Quay, stop 7857",53.34504365,-6.274169038,12518.3.60-52-b12-1.42.O,06:13:09,06:13:09,10, Leixlip Intel,2934.42,60-52-b12-1,52,b12
10,8220DB007855,"Usher's Quay, stop 7855",53.34592009,-6.279465664,12518.3.60-52-b12-1.42.O,06:14:00,06:14:00,11, Leixlip Intel,3298.17,60-52-b12-1,52,b12
11,8220DB004407,"Victoria Quay, stop 4407",53.3464875,-6.285165429,12518.3.60-52-b12-1.42.O,06:14:41,06:14:41,12, Leixlip Intel,3684.72,60-52-b12-1,52,b12
12,8220DB002637,"Heuston Station, stop 2637",53.34584559,-6.294308178,12518.3.60-52-b12-1.42.O,06:15:50,06:15:50,13, Leixlip Intel,4339.12,60-52-b12-1,52,b12
13,8220DB002721,"South Circular Road, stop 2721",53.34327186,-6.310511085,12518.3.60-52-b12-1.42.O,06:18:02,06:18:02,14, Leixlip Intel,5473.69,60-52-b12-1,52,b12
14,8220DB007012,"Memorial Gardens, stop 7012",53.34295414,-6.315374679,12518.3.60-52-b12-1.42.O,06:18:25,06:18:25,15, Leixlip Intel,5798.11,60-52-b12-1,52,b12
15,8230DB002201,"Palmerstown Drive, stop 2201",53.35327375,-6.364571165,12518.3.60-52-b12-1.42.O,06:22:44,06:22:44,16, Leixlip Intel,9525.91,60-52-b12-1,52,b12
16,8230DB007239,"The Oval, stop 7239",53.35406141,-6.368927567,12518.3.60-52-b12-1.42.O,06:23:11,06:23:11,17, Leixlip Intel,9827.65,60-52-b12-1,52,b12
17,8230DB004401,"Kennelsfort Road, stop 4401",53.35475553,-6.371710305,12518.3.60-52-b12-1.42.O,06:23:28,06:23:28,18, Leixlip Intel,10028.03,60-52-b12-1,52,b12
