Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
62,8260DB003999,"Cooldrinagh Terrace, stop 3999",53.36183677,-6.483482274,12519.3.60-52-b12-1.43.I,07:41:19,07:41:19,13, Ringsend Road,5236.93,60-52-b12-1,52,b12
63,8260DB004000,"Springfield Hotel, stop 4000",53.36053966,-6.478314833,12519.3.60-52-b12-1.43.I,07:41:54,07:41:54,14, Ringsend Road,5609.12,60-52-b12-1,52,b12
64,8230DB004001,"Liffey Valley Golf, stop 4001",53.35892285,-6.472062381,12519.3.60-52-b12-1.43.I,07:42:38,07:42:38,15, Ringsend Road,6070.31,60-52-b12-1,52,b12
65,8230DB007193,"Tandy's Lane, stop 7193",53.3539992,-6.458913783,12519.3.60-52-b12-1.43.I,07:44:09,07:44:09,17, Ringsend Road,9666.19,60-52-b12-1,52,b12
66,8230DB007049,"Vesey Park, stop 7049",53.35130539,-6.449397323,12519.3.60-52-b12-1.43.I,07:45:44,07:45:44,19, Ringsend Road,10378.61,60-52-b12-1,52,b12
67,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,12519.3.60-52-b12-1.43.I,07:49:01,07:49:01,21, Ringsend Road,13212.44,60-52-b12-1,52,b12
68,8230DB005056,"Hermitage Clinic, stop 5056",53.35752149,-6.402793928,12519.3.60-52-b12-1.43.I,07:49:41,07:49:41,22, Ringsend Road,13771.11,60-52-b12-1,52,b12
69,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,12519.3.60-52-b12-1.43.I,07:50:57,07:50:57,23, Ringsend Road,14590.36,60-52-b12-1,52,b12
70,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,12519.3.60-52-b12-1.43.I,07:53:31,07:53:31,24, Ringsend Road,16009.77,60-52-b12-1,52,b12
71,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,12519.3.60-52-b12-1.43.I,07:54:10,07:54:10,25, Ringsend Road,16315.17,60-52-b12-1,52,b12
72,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,12519.3.60-52-b12-1.43.I,07:58:38,07:58:38,26, Ringsend Road,20216.81,60-52-b12-1,52,b12
73,8220DB002722,"South Circular Road, stop 2722",53.3434371,-6.311390663,12519.3.60-52-b12-1.43.I,07:58:59,07:58:59,27, Ringsend Road,20485.35,60-52-b12-1,52,b12
74,8220DB004413,"Heuston Station, stop 4413",53.34615649,-6.292793782,12519.3.60-52-b12-1.43.I,08:01:27,08:01:27,28, Ringsend Road,21775.2,60-52-b12-1,52,b12
75,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,12519.3.60-52-b12-1.43.I,08:02:37,08:02:37,29, Ringsend Road,22406.92,60-52-b12-1,52,b12
76,8220DB007854,"Arran Quay, stop 7854",53.34636761,-6.278711665,12519.3.60-52-b12-1.43.I,08:04:14,08:04:14,30, Ringsend Road,22809.65,60-52-b12-1,52,b12
77,8220DB007856,"Four Courts, stop 7856",53.34562262,-6.273184391,12519.3.60-52-b12-1.43.I,08:05:39,08:05:39,31, Ringsend Road,23189.08,60-52-b12-1,52,b12
78,8220DB007883,"Ormond Quay, stop 7883",53.346058,-6.268495617,12519.3.60-52-b12-1.43.I,08:06:56,08:06:56,32, Ringsend Road,23508.31,60-52-b12-1,52,b12
79,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,12519.3.60-52-b12-1.43.I,08:08:48,08:08:48,33, Ringsend Road,23978.52,60-52-b12-1,52,b12
80,8220DB000340,"Townsend Street, stop 340",53.34597512,-6.256017478,12519.3.60-52-b12-1.43.I,08:13:20,08:13:20,34, Ringsend Road,24469.23,60-52-b12-1,52,b12
81,8220DB007861,"Prince's St South, stop 7861",53.34561679,-6.249348317,12519.3.60-52-b12-1.43.I,08:14:36,08:14:36,35, Ringsend Road,24913.33,60-52-b12-1,52,b12
82,8220DB000351,"Erne Street, stop 351",53.34341826,-6.245308174,12519.3.60-52-b12-1.43.I,08:15:42,08:15:42,36, Ringsend Road,25279.9,60-52-b12-1,52,b12
83,8220DB000352,"Pearse Square, stop 352",53.34298915,-6.24241214,12519.3.60-52-b12-1.43.I,08:16:12,08:16:12,37, Ringsend Road,25480.96,60-52-b12-1,52,b12
84,8220DB000353,"Grand Canal Quay, stop 353",53.34264501,-6.239798018,12519.3.60-52-b12-1.43.I,08:16:39,08:16:39,38, Ringsend Road,25657.24,60-52-b12-1,52,b12
85,8220DB000354,"Ringsend Road, stop 354",53.34223583,-6.23643569,12519.3.60-52-b12-1.43.I,08:17:13,08:17:13,39, Ringsend Road,25885.29,60-52-b12-1,52,b12
86,8260DB003999,"Cooldrinagh Terrace, stop 3999",53.36183677,-6.483482274,12519.3.60-52-d12-1.43.I,07:41:19,07:41:19,13, Ringsend Road,5236.93,60-52-d12-1,52,d12
87,8260DB004000,"Springfield Hotel, stop 4000",53.36053966,-6.478314833,12519.3.60-52-d12-1.43.I,07:41:54,07:41:54,14, Ringsend Road,5609.12,60-52-d12-1,52,d12
88,8230DB004001,"Liffey Valley Golf, stop 4001",53.35892285,-6.472062381,12519.3.60-52-d12-1.43.I,07:42:38,07:42:38,15, Ringsend Road,6070.31,60-52-d12-1,52,d12
89,8230DB007193,"Tandy's Lane, stop 7193",53.3539992,-6.458913783,12519.3.60-52-d12-1.43.I,07:44:09,07:44:09,17, Ringsend Road,9666.19,60-52-d12-1,52,d12
90,8230DB007049,"Vesey Park, stop 7049",53.35130539,-6.449397323,12519.3.60-52-d12-1.43.I,07:45:44,07:45:44,19, Ringsend Road,10378.61,60-52-d12-1,52,d12
91,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,12519.3.60-52-d12-1.43.I,07:49:01,07:49:01,21, Ringsend Road,13212.44,60-52-d12-1,52,d12
92,8230DB005056,"Hermitage Clinic, stop 5056",53.35752149,-6.402793928,12519.3.60-52-d12-1.43.I,07:49:41,07:49:41,22, Ringsend Road,13771.11,60-52-d12-1,52,d12
93,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,12519.3.60-52-d12-1.43.I,07:50:57,07:50:57,23, Ringsend Road,14590.36,60-52-d12-1,52,d12
94,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,12519.3.60-52-d12-1.43.I,07:53:31,07:53:31,24, Ringsend Road,16009.77,60-52-d12-1,52,d12
95,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,12519.3.60-52-d12-1.43.I,07:54:10,07:54:10,25, Ringsend Road,16315.17,60-52-d12-1,52,d12
96,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,12519.3.60-52-d12-1.43.I,07:58:38,07:58:38,26, Ringsend Road,20216.81,60-52-d12-1,52,d12
97,8220DB002722,"South Circular Road, stop 2722",53.3434371,-6.311390663,12519.3.60-52-d12-1.43.I,07:58:59,07:58:59,27, Ringsend Road,20485.35,60-52-d12-1,52,d12
98,8220DB004413,"Heuston Station, stop 4413",53.34615649,-6.292793782,12519.3.60-52-d12-1.43.I,08:01:27,08:01:27,28, Ringsend Road,21775.2,60-52-d12-1,52,d12
99,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,12519.3.60-52-d12-1.43.I,08:02:37,08:02:37,29, Ringsend Road,22406.92,60-52-d12-1,52,d12
100,8220DB007854,"Arran Quay, stop 7854",53.34636761,-6.278711665,12519.3.60-52-d12-1.43.I,08:04:14,08:04:14,30, Ringsend Road,22809.65,60-52-d12-1,52,d12
101,8220DB007856,"Four Courts, stop 7856",53.34562262,-6.273184391,12519.3.60-52-d12-1.43.I,08:05:39,08:05:39,31, Ringsend Road,23189.08,60-52-d12-1,52,d12
102,8220DB007883,"Ormond Quay, stop 7883",53.346058,-6.268495617,12519.3.60-52-d12-1.43.I,08:06:56,08:06:56,32, Ringsend Road,23508.31,60-52-d12-1,52,d12
103,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,12519.3.60-52-d12-1.43.I,08:08:48,08:08:48,33, Ringsend Road,23978.52,60-52-d12-1,52,d12
104,8220DB000340,"Townsend Street, stop 340",53.34597512,-6.256017478,12519.3.60-52-d12-1.43.I,08:13:20,08:13:20,34, Ringsend Road,24469.23,60-52-d12-1,52,d12
105,8220DB007861,"Prince's St South, stop 7861",53.34561679,-6.249348317,12519.3.60-52-d12-1.43.I,08:14:36,08:14:36,35, Ringsend Road,24913.33,60-52-d12-1,52,d12
106,8220DB000351,"Erne Street, stop 351",53.34341826,-6.245308174,12519.3.60-52-d12-1.43.I,08:15:42,08:15:42,36, Ringsend Road,25279.9,60-52-d12-1,52,d12
107,8220DB000352,"Pearse Square, stop 352",53.34298915,-6.24241214,12519.3.60-52-d12-1.43.I,08:16:12,08:16:12,37, Ringsend Road,25480.96,60-52-d12-1,52,d12
108,8220DB000353,"Grand Canal Quay, stop 353",53.34264501,-6.239798018,12519.3.60-52-d12-1.43.I,08:16:39,08:16:39,38, Ringsend Road,25657.24,60-52-d12-1,52,d12
109,8220DB000354,"Ringsend Road, stop 354",53.34223583,-6.23643569,12519.3.60-52-d12-1.43.I,08:17:13,08:17:13,39, Ringsend Road,25885.29,60-52-d12-1,52,d12
172,8260DB003999,"Cooldrinagh Terrace, stop 3999",53.36183677,-6.483482274,12521.3.60-52-b12-1.43.I,10:43:56,10:43:56,13, Ringsend Road,5236.93,60-52-b12-1,52,b12
173,8260DB004000,"Springfield Hotel, stop 4000",53.36053966,-6.478314833,12521.3.60-52-b12-1.43.I,10:44:32,10:44:32,14, Ringsend Road,5609.12,60-52-b12-1,52,b12
174,8230DB004001,"Liffey Valley Golf, stop 4001",53.35892285,-6.472062381,12521.3.60-52-b12-1.43.I,10:45:17,10:45:17,15, Ringsend Road,6070.31,60-52-b12-1,52,b12
175,8230DB007193,"Tandy's Lane, stop 7193",53.3539992,-6.458913783,12521.3.60-52-b12-1.43.I,10:46:48,10:46:48,17, Ringsend Road,9666.19,60-52-b12-1,52,b12
176,8230DB007049,"Vesey Park, stop 7049",53.35130539,-6.449397323,12521.3.60-52-b12-1.43.I,10:48:27,10:48:27,19, Ringsend Road,10378.61,60-52-b12-1,52,b12
177,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,12521.3.60-52-b12-1.43.I,10:51:42,10:51:42,21, Ringsend Road,13212.44,60-52-b12-1,52,b12
178,8230DB005056,"Hermitage Clinic, stop 5056",53.35752149,-6.402793928,12521.3.60-52-b12-1.43.I,10:52:20,10:52:20,22, Ringsend Road,13771.11,60-52-b12-1,52,b12
179,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,12521.3.60-52-b12-1.43.I,10:53:57,10:53:57,23, Ringsend Road,14590.36,60-52-b12-1,52,b12
180,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,12521.3.60-52-b12-1.43.I,10:55:56,10:55:56,24, Ringsend Road,16009.77,60-52-b12-1,52,b12
181,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,12521.3.60-52-b12-1.43.I,10:56:41,10:56:41,25, Ringsend Road,16315.17,60-52-b12-1,52,b12
182,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,12521.3.60-52-b12-1.43.I,11:00:57,11:00:57,26, Ringsend Road,20216.81,60-52-b12-1,52,b12
183,8220DB002722,"South Circular Road, stop 2722",53.3434371,-6.311390663,12521.3.60-52-b12-1.43.I,11:01:46,11:01:46,27, Ringsend Road,20485.35,60-52-b12-1,52,b12
184,8220DB004413,"Heuston Station, stop 4413",53.34615649,-6.292793782,12521.3.60-52-b12-1.43.I,11:04:49,11:04:49,28, Ringsend Road,21775.2,60-52-b12-1,52,b12
185,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,12521.3.60-52-b12-1.43.I,11:06:25,11:06:25,29, Ringsend Road,22406.92,60-52-b12-1,52,b12
186,8220DB007854,"Arran Quay, stop 7854",53.34636761,-6.278711665,12521.3.60-52-b12-1.43.I,11:08:07,11:08:07,30, Ringsend Road,22809.65,60-52-b12-1,52,b12
187,8220DB007856,"Four Courts, stop 7856",53.34562262,-6.273184391,12521.3.60-52-b12-1.43.I,11:09:54,11:09:54,31, Ringsend Road,23189.08,60-52-b12-1,52,b12
188,8220DB007883,"Ormond Quay, stop 7883",53.346058,-6.268495617,12521.3.60-52-b12-1.43.I,11:11:56,11:11:56,32, Ringsend Road,23508.31,60-52-b12-1,52,b12
189,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,12521.3.60-52-b12-1.43.I,11:14:54,11:14:54,33, Ringsend Road,23978.52,60-52-b12-1,52,b12
190,8220DB000340,"Townsend Street, stop 340",53.34597512,-6.256017478,12521.3.60-52-b12-1.43.I,11:19:30,11:19:30,34, Ringsend Road,24469.23,60-52-b12-1,52,b12
191,8220DB007861,"Prince's St South, stop 7861",53.34561679,-6.249348317,12521.3.60-52-b12-1.43.I,11:21:33,11:21:33,35, Ringsend Road,24913.33,60-52-b12-1,52,b12
192,8220DB000351,"Erne Street, stop 351",53.34341826,-6.245308174,12521.3.60-52-b12-1.43.I,11:23:21,11:23:21,36, Ringsend Road,25279.9,60-52-b12-1,52,b12
193,8220DB000352,"Pearse Square, stop 352",53.34298915,-6.24241214,12521.3.60-52-b12-1.43.I,11:24:20,11:24:20,37, Ringsend Road,25480.96,60-52-b12-1,52,b12
194,8220DB000353,"Grand Canal Quay, stop 353",53.34264501,-6.239798018,12521.3.60-52-b12-1.43.I,11:25:14,11:25:14,38, Ringsend Road,25657.24,60-52-b12-1,52,b12
195,8220DB000354,"Ringsend Road, stop 354",53.34223583,-6.23643569,12521.3.60-52-b12-1.43.I,11:25:50,11:25:50,39, Ringsend Road,25885.29,60-52-b12-1,52,b12
196,8260DB003999,"Cooldrinagh Terrace, stop 3999",53.36183677,-6.483482274,12521.3.60-52-d12-1.43.I,10:43:56,10:43:56,13, Ringsend Road,5236.93,60-52-d12-1,52,d12
197,8260DB004000,"Springfield Hotel, stop 4000",53.36053966,-6.478314833,12521.3.60-52-d12-1.43.I,10:44:32,10:44:32,14, Ringsend Road,5609.12,60-52-d12-1,52,d12
198,8230DB004001,"Liffey Valley Golf, stop 4001",53.35892285,-6.472062381,12521.3.60-52-d12-1.43.I,10:45:17,10:45:17,15, Ringsend Road,6070.31,60-52-d12-1,52,d12
199,8230DB007193,"Tandy's Lane, stop 7193",53.3539992,-6.458913783,12521.3.60-52-d12-1.43.I,10:46:48,10:46:48,17, Ringsend Road,9666.19,60-52-d12-1,52,d12
200,8230DB007049,"Vesey Park, stop 7049",53.35130539,-6.449397323,12521.3.60-52-d12-1.43.I,10:48:27,10:48:27,19, Ringsend Road,10378.61,60-52-d12-1,52,d12
201,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,12521.3.60-52-d12-1.43.I,10:51:42,10:51:42,21, Ringsend Road,13212.44,60-52-d12-1,52,d12
202,8230DB005056,"Hermitage Clinic, stop 5056",53.35752149,-6.402793928,12521.3.60-52-d12-1.43.I,10:52:20,10:52:20,22, Ringsend Road,13771.11,60-52-d12-1,52,d12
203,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,12521.3.60-52-d12-1.43.I,10:53:57,10:53:57,23, Ringsend Road,14590.36,60-52-d12-1,52,d12
204,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,12521.3.60-52-d12-1.43.I,10:55:56,10:55:56,24, Ringsend Road,16009.77,60-52-d12-1,52,d12
205,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,12521.3.60-52-d12-1.43.I,10:56:41,10:56:41,25, Ringsend Road,16315.17,60-52-d12-1,52,d12
206,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,12521.3.60-52-d12-1.43.I,11:00:57,11:00:57,26, Ringsend Road,20216.81,60-52-d12-1,52,d12
207,8220DB002722,"South Circular Road, stop 2722",53.3434371,-6.311390663,12521.3.60-52-d12-1.43.I,11:01:46,11:01:46,27, Ringsend Road,20485.35,60-52-d12-1,52,d12
208,8220DB004413,"Heuston Station, stop 4413",53.34615649,-6.292793782,12521.3.60-52-d12-1.43.I,11:04:49,11:04:49,28, Ringsend Road,21775.2,60-52-d12-1,52,d12
209,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,12521.3.60-52-d12-1.43.I,11:06:25,11:06:25,29, Ringsend Road,22406.92,60-52-d12-1,52,d12
210,8220DB007854,"Arran Quay, stop 7854",53.34636761,-6.278711665,12521.3.60-52-d12-1.43.I,11:08:07,11:08:07,30, Ringsend Road,22809.65,60-52-d12-1,52,d12
211,8220DB007856,"Four Courts, stop 7856",53.34562262,-6.273184391,12521.3.60-52-d12-1.43.I,11:09:54,11:09:54,31, Ringsend Road,23189.08,60-52-d12-1,52,d12
212,8220DB007883,"Ormond Quay, stop 7883",53.346058,-6.268495617,12521.3.60-52-d12-1.43.I,11:11:56,11:11:56,32, Ringsend Road,23508.31,60-52-d12-1,52,d12
213,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,12521.3.60-52-d12-1.43.I,11:14:54,11:14:54,33, Ringsend Road,23978.52,60-52-d12-1,52,d12
214,8220DB000340,"Townsend Street, stop 340",53.34597512,-6.256017478,12521.3.60-52-d12-1.43.I,11:19:30,11:19:30,34, Ringsend Road,24469.23,60-52-d12-1,52,d12
215,8220DB007861,"Prince's St South, stop 7861",53.34561679,-6.249348317,12521.3.60-52-d12-1.43.I,11:21:33,11:21:33,35, Ringsend Road,24913.33,60-52-d12-1,52,d12
216,8220DB000351,"Erne Street, stop 351",53.34341826,-6.245308174,12521.3.60-52-d12-1.43.I,11:23:21,11:23:21,36, Ringsend Road,25279.9,60-52-d12-1,52,d12
217,8220DB000352,"Pearse Square, stop 352",53.34298915,-6.24241214,12521.3.60-52-d12-1.43.I,11:24:20,11:24:20,37, Ringsend Road,25480.96,60-52-d12-1,52,d12
218,8220DB000353,"Grand Canal Quay, stop 353",53.34264501,-6.239798018,12521.3.60-52-d12-1.43.I,11:25:14,11:25:14,38, Ringsend Road,25657.24,60-52-d12-1,52,d12
219,8220DB000354,"Ringsend Road, stop 354",53.34223583,-6.23643569,12521.3.60-52-d12-1.43.I,11:25:50,11:25:50,39, Ringsend Road,25885.29,60-52-d12-1,52,d12
282,8260DB003999,"Cooldrinagh Terrace, stop 3999",53.36183677,-6.483482274,12523.3.60-52-b12-1.43.I,13:46:53,13:46:53,13, Ringsend Road,5236.93,60-52-b12-1,52,b12
283,8260DB004000,"Springfield Hotel, stop 4000",53.36053966,-6.478314833,12523.3.60-52-b12-1.43.I,13:47:30,13:47:30,14, Ringsend Road,5609.12,60-52-b12-1,52,b12
284,8230DB004001,"Liffey Valley Golf, stop 4001",53.35892285,-6.472062381,12523.3.60-52-b12-1.43.I,13:48:16,13:48:16,15, Ringsend Road,6070.31,60-52-b12-1,52,b12
285,8230DB007193,"Tandy's Lane, stop 7193",53.3539992,-6.458913783,12523.3.60-52-b12-1.43.I,13:49:57,13:49:57,17, Ringsend Road,9666.19,60-52-b12-1,52,b12
286,8230DB007049,"Vesey Park, stop 7049",53.35130539,-6.449397323,12523.3.60-52-b12-1.43.I,13:51:48,13:51:48,19, Ringsend Road,10378.61,60-52-b12-1,52,b12
287,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,12523.3.60-52-b12-1.43.I,13:55:38,13:55:38,21, Ringsend Road,13212.44,60-52-b12-1,52,b12
288,8230DB005056,"Hermitage Clinic, stop 5056",53.35752149,-6.402793928,12523.3.60-52-b12-1.43.I,13:56:23,13:56:23,22, Ringsend Road,13771.11,60-52-b12-1,52,b12
289,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,12523.3.60-52-b12-1.43.I,13:58:09,13:58:09,23, Ringsend Road,14590.36,60-52-b12-1,52,b12
290,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,12523.3.60-52-b12-1.43.I,14:00:12,14:00:12,24, Ringsend Road,16009.77,60-52-b12-1,52,b12
291,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,12523.3.60-52-b12-1.43.I,14:00:57,14:00:57,25, Ringsend Road,16315.17,60-52-b12-1,52,b12
292,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,12523.3.60-52-b12-1.43.I,14:05:48,14:05:48,26, Ringsend Road,20216.81,60-52-b12-1,52,b12
