Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
32,8220DB004380,"Mabbot Street, stop 4380",53.35084589,-6.253505305,14123.2.60-53-b12-1.275.O,11:00:00,11:00:00,1, Dublin Ferryport,0.0,60-53-b12-1,53,b12
33,8220DB000496,"Busáras, stop 496",53.34949688,-6.252223579,14123.2.60-53-b12-1.275.O,11:01:02,11:01:02,2, Dublin Ferryport,302.5,60-53-b12-1,53,b12
34,8220DB000497,"Connolly, stop 497",53.35052608,-6.250694343,14123.2.60-53-b12-1.275.O,11:01:29,11:01:29,4, Dublin Ferryport,483.65,60-53-b12-1,53,b12
35,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,14123.2.60-53-b12-1.275.O,11:02:20,11:02:20,5, Dublin Ferryport,861.06,60-53-b12-1,53,b12
36,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,14123.2.60-53-b12-1.275.O,11:02:59,11:02:59,6, Dublin Ferryport,1145.74,60-53-b12-1,53,b12
37,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,14123.2.60-53-b12-1.275.O,11:03:42,11:03:42,7, Dublin Ferryport,1444.78,60-53-b12-1,53,b12
38,8220DB000518,"Waterloo Avenue, stop 518",53.35890416,-6.240990944,14123.2.60-53-b12-1.275.O,11:04:09,11:04:09,8, Dublin Ferryport,1621.88,60-53-b12-1,53,b12
39,8220DB002255,"East Wall Road, stop 2255",53.3602301,-6.23826189,14123.2.60-53-b12-1.275.O,11:04:51,11:04:51,9, Dublin Ferryport,1918.73,60-53-b12-1,53,b12
40,8220DB002256,"West Road, stop 2256",53.35834894,-6.235650152,14123.2.60-53-b12-1.275.O,11:05:34,11:05:34,10, Dublin Ferryport,2218.85,60-53-b12-1,53,b12
41,8220DB002717,"Seaview Avenue, stop 2717",53.35724331,-6.237468647,14123.2.60-53-b12-1.275.O,11:05:59,11:05:59,11, Dublin Ferryport,2392.75,60-53-b12-1,53,b12
42,8220DB002257,"Strangford Rd East, stop 2257",53.35638242,-6.238210284,14123.2.60-53-b12-1.275.O,11:06:14,11:06:14,12, Dublin Ferryport,2500.96,60-53-b12-1,53,b12
43,8220DB002258,"St Mary's Road, stop 2258",53.35465375,-6.238011177,14123.2.60-53-b12-1.275.O,11:06:47,11:06:47,13, Dublin Ferryport,2731.39,60-53-b12-1,53,b12
44,8220DB002259,"Church Road, stop 2259",53.35353813,-6.236720191,14123.2.60-53-b12-1.275.O,11:07:13,11:07:13,14, Dublin Ferryport,2911.89,60-53-b12-1,53,b12
45,8220DB002260,"Kilane Road, stop 2260",53.35177851,-6.23503526,14123.2.60-53-b12-1.275.O,11:08:01,11:08:01,15, Dublin Ferryport,3245.94,60-53-b12-1,53,b12
46,8220DB002261,"Church Court, stop 2261",53.35263855,-6.232415894,14123.2.60-53-b12-1.275.O,11:08:33,11:08:33,16, Dublin Ferryport,3469.51,60-53-b12-1,53,b12
47,8220DB004469,"East Road, stop 4469",53.35420697,-6.23029286,14123.2.60-53-b12-1.275.O,11:09:09,11:09:09,17, Dublin Ferryport,3725.1,60-53-b12-1,53,b12
48,8220DB002262,"Merchants Road, stop 2262",53.3535229,-6.226595602,14123.2.60-53-b12-1.275.O,11:10:00,11:10:00,18, Dublin Ferryport,4075.89,60-53-b12-1,53,b12
49,8220DB002264,"Alexandra Road, stop 2264",53.3511016,-6.220927776,14123.2.60-53-b12-1.275.O,11:11:31,11:11:31,19, Dublin Ferryport,4727.25,60-53-b12-1,53,b12
50,8220DB007336,"Link Road, stop 7336",53.35294899,-6.21703514,14123.2.60-53-b12-1.275.O,11:12:25,11:12:25,20, Dublin Ferryport,5216.52,60-53-b12-1,53,b12
51,8220DB007601,"Bond Drive, stop 7601",53.3518748,-6.210124773,14123.2.60-53-b12-1.275.O,11:14:08,11:14:08,21, Dublin Ferryport,5858.74,60-53-b12-1,53,b12
52,8220DB002270,"Ferry Terminal, stop 2270",53.34570612,-6.195618655,14123.2.60-53-b12-1.275.O,11:17:39,11:17:39,22, Dublin Ferryport,7655.15,60-53-b12-1,53,b12
