Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB002270,"Ferry Terminal, stop 2270",53.34570612,-6.195618655,14122.2.60-53-b12-1.273.I,10:30:00,10:30:00,1, Talbot Street,0.0,60-53-b12-1,53,b12
1,8220DB002274,"Alexandra Road, stop 2274",53.3501863,-6.203631144,14122.2.60-53-b12-1.273.I,10:33:00,10:33:00,2, Talbot Street,1299.36,60-53-b12-1,53,b12
2,8220DB007336,"Link Road, stop 7336",53.35294899,-6.21703514,14122.2.60-53-b12-1.273.I,10:35:38,10:35:38,3, Talbot Street,2437.9,60-53-b12-1,53,b12
3,8220DB002508,"East Wall Road, stop 2508",53.3528641,-6.225811747,14122.2.60-53-b12-1.273.I,10:37:14,10:37:14,4, Talbot Street,3159.29,60-53-b12-1,53,b12
4,8220DB002278,"East Road, stop 2278",53.3543714,-6.229865406,14122.2.60-53-b12-1.273.I,10:38:29,10:38:29,5, Talbot Street,3567.78,60-53-b12-1,53,b12
5,8220DB002279,"Caledon Road, stop 2279",53.35294137,-6.231622199,14122.2.60-53-b12-1.273.I,10:38:56,10:38:56,6, Talbot Street,3765.53,60-53-b12-1,53,b12
6,8220DB002720,"Church Road, stop 2720",53.3520557,-6.233116005,14122.2.60-53-b12-1.273.I,10:39:21,10:39:21,7, Talbot Street,3911.93,60-53-b12-1,53,b12
7,8220DB002280,"Oxford Terrace, stop 2280",53.35231172,-6.237056239,14122.2.60-53-b12-1.273.I,10:40:10,10:40:10,8, Talbot Street,4205.12,60-53-b12-1,53,b12
8,8220DB002281,"St Mary's Road North, stop 2281",53.35366411,-6.236730013,14122.2.60-53-b12-1.273.I,10:40:43,10:40:43,9, Talbot Street,4402.5,60-53-b12-1,53,b12
9,8220DB002282,"St Mary's Road, stop 2282",53.35484117,-6.238529251,14122.2.60-53-b12-1.273.I,10:41:38,10:41:38,10, Talbot Street,4731.72,60-53-b12-1,53,b12
10,8220DB004468,"West Road, stop 4468",53.3567842,-6.238028448,14122.2.60-53-b12-1.273.I,10:42:18,10:42:18,11, Talbot Street,4966.67,60-53-b12-1,53,b12
11,8220DB002283,"Portside Court, stop 2283",53.35832621,-6.235936552,14122.2.60-53-b12-1.273.I,10:42:55,10:42:55,12, Talbot Street,5187.42,60-53-b12-1,53,b12
12,8220DB000616,"Nth Strand Fire Stn, stop 616",53.35984471,-6.239554896,14122.2.60-53-b12-1.273.I,10:44:11,10:44:11,13, Talbot Street,5632.46,60-53-b12-1,53,b12
13,8220DB000618,"Newcomen Bridge, stop 618",53.35610118,-6.244742068,14122.2.60-53-b12-1.273.I,10:45:41,10:45:41,15, Talbot Street,6172.47,60-53-b12-1,53,b12
14,8220DB000619,"Amiens Street, stop 619",53.35404463,-6.247305334,14122.2.60-53-b12-1.273.I,10:46:16,10:46:16,16, Talbot Street,6458.68,60-53-b12-1,53,b12
15,8220DB004380,"Mabbot Street, stop 4380",53.35084589,-6.253505305,14122.2.60-53-b12-1.273.I,10:47:51,10:47:51,18, Talbot Street,7041.96,60-53-b12-1,53,b12
