Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000342,"College Street, stop 342",53.34556412,-6.256800261,10326.3.60-54A-b12-1.44.O,08:15:00,08:15:00,1, Kiltipper,0.0,60-54A-b12-1,54A,b12
1,8220DB001279,"College Green, stop 1279",53.34426049,-6.261704666,10326.3.60-54A-b12-1.44.O,08:16:49,08:16:49,2, Kiltipper,389.41,60-54A-b12-1,54A,b12
2,8220DB001934,"Dame Street, stop 1934",53.34411836,-6.265525325,10326.3.60-54A-b12-1.44.O,08:18:00,08:18:00,3, Kiltipper,643.3,60-54A-b12-1,54A,b12
3,8220DB002385,"Patrick Street, stop 2385",53.34231512,-6.271951368,10326.3.60-54A-b12-1.44.O,08:20:31,08:20:31,4, Kiltipper,1172.43,60-54A-b12-1,54A,b12
4,8220DB002386,"New Street South, stop 2386",53.33790737,-6.272324817,10326.3.60-54A-b12-1.44.O,08:22:04,08:22:04,5, Kiltipper,1668.81,60-54A-b12-1,54A,b12
5,8220DB002387,"Long Lane, stop 2387",53.33658442,-6.272828791,10326.3.60-54A-b12-1.44.O,08:22:21,08:22:21,6, Kiltipper,1818.71,60-54A-b12-1,54A,b12
6,8220DB002388,"St. Kevin's Parade, stop 2388",53.3344588,-6.274386231,10326.3.60-54A-b12-1.44.O,08:22:52,08:22:52,7, Kiltipper,2077.57,60-54A-b12-1,54A,b12
7,8220DB001290,"Clanbrassil St Upper, stop 1290",53.33073105,-6.275167319,10326.3.60-54A-b12-1.44.O,08:23:53,08:23:53,8, Kiltipper,2504.19,60-54A-b12-1,54A,b12
8,8220DB001291,"Harold's Cross Road, stop 1291",53.32844661,-6.276310441,10326.3.60-54A-b12-1.44.O,08:25:30,08:25:30,9, Kiltipper,2767.88,60-54A-b12-1,54A,b12
9,8220DB002389,"St Clare's Avenue, stop 2389",53.32492903,-6.279199521,10326.3.60-54A-b12-1.44.O,08:26:32,08:26:32,10, Kiltipper,3205.12,60-54A-b12-1,54A,b12
10,8220DB002390,"Mount Argus Park, stop 2390",53.32152863,-6.283989835,10326.3.60-54A-b12-1.44.O,08:27:46,08:27:46,11, Kiltipper,3719.33,60-54A-b12-1,54A,b12
11,8220DB002391,"Mount Argus Church, stop 2391",53.32019751,-6.286429956,10326.3.60-54A-b12-1.44.O,08:28:18,08:28:18,12, Kiltipper,3941.13,60-54A-b12-1,54A,b12
12,8220DB002392,"Kimmage Grove, stop 2392",53.31874912,-6.291351302,10326.3.60-54A-b12-1.44.O,08:29:14,08:29:14,13, Kiltipper,4326.43,60-54A-b12-1,54A,b12
13,8220DB002393,"Corrib Road, stop 2393",53.31520361,-6.295455305,10326.3.60-54A-b12-1.44.O,08:30:14,08:30:14,14, Kiltipper,4806.25,60-54A-b12-1,54A,b12
14,8220DB002394,"Poddle Park, stop 2394",53.31325906,-6.297754017,10326.3.60-54A-b12-1.44.O,08:30:47,08:30:47,15, Kiltipper,5071.11,60-54A-b12-1,54A,b12
15,8220DB002395,"Fortfield Road, stop 2395",53.31150181,-6.300585351,10326.3.60-54A-b12-1.44.O,08:31:19,08:31:19,16, Kiltipper,5340.59,60-54A-b12-1,54A,b12
16,8220DB002396,"Wainsfort, stop 2396",53.30881907,-6.302177579,10326.3.60-54A-b12-1.44.O,08:32:07,08:32:07,17, Kiltipper,5730.72,60-54A-b12-1,54A,b12
17,8220DB002397,"College Drive, stop 2397",53.30658916,-6.300855508,10326.3.60-54A-b12-1.44.O,08:32:39,08:32:39,18, Kiltipper,5993.24,60-54A-b12-1,54A,b12
18,8220DB002398,"Fortfield, stop 2398",53.30534396,-6.299884582,10326.3.60-54A-b12-1.44.O,08:32:57,08:32:57,19, Kiltipper,6146.44,60-54A-b12-1,54A,b12
19,8230DB002399,"Fortfield Park, stop 2399",53.30352318,-6.299521781,10326.3.60-54A-b12-1.44.O,08:33:23,08:33:23,20, Kiltipper,6363.46,60-54A-b12-1,54A,b12
20,8230DB002400,"Fortfield Drive, stop 2400",53.30200796,-6.303573141,10326.3.60-54A-b12-1.44.O,08:34:02,08:34:02,21, Kiltipper,6682.27,60-54A-b12-1,54A,b12
21,8230DB002401,"Templeville Road, stop 2401",53.30182196,-6.306296283,10326.3.60-54A-b12-1.44.O,08:34:31,08:34:31,22, Kiltipper,6893.34,60-54A-b12-1,54A,b12
22,8230DB002402,"Templeogue College, stop 2402",53.30325779,-6.311206025,10326.3.60-54A-b12-1.44.O,08:35:23,08:35:23,23, Kiltipper,7267.47,60-54A-b12-1,54A,b12
23,8230DB002403,"Glendown Avenue, stop 2403",53.30507018,-6.316701487,10326.3.60-54A-b12-1.44.O,08:36:21,08:36:21,24, Kiltipper,7684.05,60-54A-b12-1,54A,b12
24,8230DB001096,"Wellington Road, stop 1096",53.30604427,-6.321404967,10326.3.60-54A-b12-1.44.O,08:37:13,08:37:13,25, Kiltipper,8061.41,60-54A-b12-1,54A,b12
25,8230DB001097,"Wellington Cottages, stop 1097",53.30306175,-6.322152158,10326.3.60-54A-b12-1.44.O,08:38:00,08:38:00,26, Kiltipper,8406.26,60-54A-b12-1,54A,b12
26,8230DB001099,"Osprey Road, stop 1099",53.30127238,-6.323377622,10326.3.60-54A-b12-1.44.O,08:38:30,08:38:30,27, Kiltipper,8621.58,60-54A-b12-1,54A,b12
27,8230DB006132,"Rossmore Drive, stop 6132",53.29563615,-6.323328362,10326.3.60-54A-b12-1.44.O,08:40:00,08:40:00,28, Kiltipper,9376.78,60-54A-b12-1,54A,b12
28,8230DB002551,"Tallaght Road, stop 2551",53.29306798,-6.321583811,10326.3.60-54A-b12-1.44.O,08:40:58,08:40:58,29, Kiltipper,9898.24,60-54A-b12-1,54A,b12
29,8230DB002553,"Basketball Arena, stop 2553",53.28968909,-6.333806232,10326.3.60-54A-b12-1.44.O,08:42:36,08:42:36,30, Kiltipper,10852.77,60-54A-b12-1,54A,b12
30,8230DB002554,"Glenview Park, stop 2554",53.28904029,-6.339486368,10326.3.60-54A-b12-1.44.O,08:43:25,08:43:25,31, Kiltipper,11335.86,60-54A-b12-1,54A,b12
