Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
90,8230DB005161,"Marlfield, stop 5161",53.27089098,-6.371900711,10327.3.60-54A-b12-1.45.I,09:30:00,09:30:00,1, Pearse St,0.0,60-54A-b12-1,54A,b12
91,8230DB005162,"Cushlawn Avenue, stop 5162",53.27624637,-6.373766498,10327.3.60-54A-b12-1.45.I,09:31:30,09:31:30,2, Pearse St,628.69,60-54A-b12-1,54A,b12
92,8230DB002571,"Killinarden Estate, stop 2571",53.28061184,-6.384143392,10327.3.60-54A-b12-1.45.I,09:33:57,09:33:57,3, Pearse St,2534.12,60-54A-b12-1,54A,b12
93,8230DB002359,"Maplewood Avenue, stop 2359",53.28359003,-6.384375966,10327.3.60-54A-b12-1.45.I,09:35:55,09:35:55,4, Pearse St,2936.36,60-54A-b12-1,54A,b12
94,8230DB002360,"Alderwood, stop 2360",53.28469482,-6.37968488,10327.3.60-54A-b12-1.45.I,09:37:43,09:37:43,5, Pearse St,3301.47,60-54A-b12-1,54A,b12
95,8230DB004348,"Tallaght Luas, stop 4348",53.28667204,-6.375050431,10327.3.60-54A-b12-1.45.I,09:39:46,09:39:46,6, Pearse St,3720.27,60-54A-b12-1,54A,b12
96,8230DB004646,"Tallaght Hospital, stop 4646",53.28943871,-6.37427044,10327.3.60-54A-b12-1.45.I,09:41:15,09:41:15,7, Pearse St,4137.35,60-54A-b12-1,54A,b12
97,8230DB004647,"South Dublin CC, stop 4647",53.29005747,-6.371531949,10327.3.60-54A-b12-1.45.I,09:41:57,09:41:57,8, Pearse St,4332.74,60-54A-b12-1,54A,b12
98,8230DB004435,"Tallaght Village, stop 4435",53.28884292,-6.363568377,10327.3.60-54A-b12-1.45.I,09:44:32,09:44:32,9, Pearse St,5068.25,60-54A-b12-1,54A,b12
99,8230DB002594,"Lifegate Church, stop 2594",53.28828766,-6.356524889,10327.3.60-54A-b12-1.45.I,09:46:29,09:46:29,10, Pearse St,5600.16,60-54A-b12-1,54A,b12
100,8230DB002595,"Bancroft Road, stop 2595",53.288987,-6.348593231,10327.3.60-54A-b12-1.45.I,09:47:29,09:47:29,11, Pearse St,6137.59,60-54A-b12-1,54A,b12
101,8230DB002596,"Glenview Lawn, stop 2596",53.28980635,-6.340926653,10327.3.60-54A-b12-1.45.I,09:49:07,09:49:07,12, Pearse St,6654.71,60-54A-b12-1,54A,b12
102,8230DB002597,"Basketball Arena, stop 2597",53.28944973,-6.335330532,10327.3.60-54A-b12-1.45.I,09:50:06,09:50:06,13, Pearse St,7128.24,60-54A-b12-1,54A,b12
103,8230DB002599,"Spawell Centre, stop 2599",53.29344189,-6.32132913,10327.3.60-54A-b12-1.45.I,09:51:59,09:51:59,14, Pearse St,8225.43,60-54A-b12-1,54A,b12
104,8230DB004577,"Wellington Lane, stop 4577",53.29544456,-6.323125839,10327.3.60-54A-b12-1.45.I,09:52:48,09:52:48,15, Pearse St,8596.11,60-54A-b12-1,54A,b12
105,8230DB004578,"St Jude's GAA Club, stop 4578",53.29756285,-6.326118406,10327.3.60-54A-b12-1.45.I,09:53:29,09:53:29,16, Pearse St,8907.32,60-54A-b12-1,54A,b12
106,8230DB001100,"Osprey Road, stop 1100",53.30120305,-6.323560387,10327.3.60-54A-b12-1.45.I,09:54:51,09:54:51,17, Pearse St,9360.9,60-54A-b12-1,54A,b12
107,8230DB000100,"Wellington Cottages, stop 100",53.3030739,-6.322376751,10327.3.60-54A-b12-1.45.I,09:55:24,09:55:24,18, Pearse St,9585.69,60-54A-b12-1,54A,b12
108,8230DB001111,"Limekiln Drive, stop 1111",53.30528143,-6.322125143,10327.3.60-54A-b12-1.45.I,09:56:01,09:56:01,19, Pearse St,9838.01,60-54A-b12-1,54A,b12
109,8230DB002404,"Templeville Road, stop 2404",53.30497167,-6.316090144,10327.3.60-54A-b12-1.45.I,09:57:21,09:57:21,20, Pearse St,10383.25,60-54A-b12-1,54A,b12
110,8230DB002405,"Templeogue College, stop 2405",53.30340258,-6.311275335,10327.3.60-54A-b12-1.45.I,09:58:14,09:58:14,21, Pearse St,10745.88,60-54A-b12-1,54A,b12
111,8230DB002406,"Fortfield Park, stop 2406",53.30198973,-6.304819222,10327.3.60-54A-b12-1.45.I,09:59:30,09:59:30,22, Pearse St,11263.55,60-54A-b12-1,54A,b12
112,8230DB002408,"Fortfield Road, stop 2408",53.30399094,-6.299548208,10327.3.60-54A-b12-1.45.I,10:00:39,10:00:39,23, Pearse St,11726.92,60-54A-b12-1,54A,b12
113,8220DB002409,"Fortfield, stop 2409",53.30539122,-6.300047765,10327.3.60-54A-b12-1.45.I,10:01:03,10:01:03,24, Pearse St,11887.24,60-54A-b12-1,54A,b12
114,8220DB002410,"College Drive, stop 2410",53.30685437,-6.301175109,10327.3.60-54A-b12-1.45.I,10:01:30,10:01:30,25, Pearse St,12066.42,60-54A-b12-1,54A,b12
115,8220DB002411,"Wainsfort Park, stop 2411",53.30917325,-6.302433647,10327.3.60-54A-b12-1.45.I,10:02:11,10:02:11,26, Pearse St,12337.99,60-54A-b12-1,54A,b12
116,8220DB002412,"Lavarna, stop 2412",53.31093522,-6.301823462,10327.3.60-54A-b12-1.45.I,10:03:14,10:03:14,27, Pearse St,12580.4,60-54A-b12-1,54A,b12
117,8220DB002438,"Kimmage Road Lower, stop 2438",53.31248952,-6.299255424,10327.3.60-54A-b12-1.45.I,10:04:16,10:04:16,28, Pearse St,12823.36,60-54A-b12-1,54A,b12
118,8220DB002439,"Ravensdale Park, stop 2439",53.31354587,-6.297697579,10327.3.60-54A-b12-1.45.I,10:04:49,10:04:49,29, Pearse St,12982.37,60-54A-b12-1,54A,b12
119,8220DB002440,"Aideen Avenue, stop 2440",53.31640087,-6.294326915,10327.3.60-54A-b12-1.45.I,10:07:13,10:07:13,30, Pearse St,13371.05,60-54A-b12-1,54A,b12
120,8220DB002441,"Kimmage Grove, stop 2441",53.31906116,-6.291173722,10327.3.60-54A-b12-1.45.I,10:09:28,10:09:28,31, Pearse St,13734.53,60-54A-b12-1,54A,b12
121,8220DB002442,"Mount Argus Church, stop 2442",53.32045241,-6.28602946,10327.3.60-54A-b12-1.45.I,10:10:27,10:10:27,32, Pearse St,14122.0,60-54A-b12-1,54A,b12
122,8220DB002443,"Brookfield, stop 2443",53.32189218,-6.283644996,10327.3.60-54A-b12-1.45.I,10:11:02,10:11:02,33, Pearse St,14353.39,60-54A-b12-1,54A,b12
123,8220DB002444,"Mount Argus Road, stop 2444",53.32429774,-6.279675293,10327.3.60-54A-b12-1.45.I,10:12:02,10:12:02,34, Pearse St,14742.97,60-54A-b12-1,54A,b12
124,8220DB001344,"St Claire's NS, stop 1344",53.32717106,-6.277607963,10327.3.60-54A-b12-1.45.I,10:12:56,10:12:56,35, Pearse St,15090.45,60-54A-b12-1,54A,b12
125,8220DB001345,"Le Vere Terrace, stop 1345",53.32879608,-6.276236296,10327.3.60-54A-b12-1.45.I,10:14:10,10:14:10,36, Pearse St,15292.36,60-54A-b12-1,54A,b12
126,8220DB001347,"Clanbrassil St Upper, stop 1347",53.33118301,-6.275344273,10327.3.60-54A-b12-1.45.I,10:15:57,10:15:57,37, Pearse St,15570.37,60-54A-b12-1,54A,b12
127,8220DB002634,"Clanbrassil Street, stop 2634",53.33289127,-6.275380456,10327.3.60-54A-b12-1.45.I,10:16:28,10:16:28,38, Pearse St,15760.48,60-54A-b12-1,54A,b12
128,8220DB002635,"Lombard Street West, stop 2635",53.33425081,-6.274920178,10327.3.60-54A-b12-1.45.I,10:16:51,10:16:51,39, Pearse St,15914.06,60-54A-b12-1,54A,b12
129,8220DB002636,"New Street South, stop 2636",53.33658044,-6.273174332,10327.3.60-54A-b12-1.45.I,10:18:00,10:18:00,40, Pearse St,16198.16,60-54A-b12-1,54A,b12
130,8220DB002383,"Patrick's Cathedral, stop 2383",53.33945807,-6.272652583,10327.3.60-54A-b12-1.45.I,10:19:12,10:19:12,41, Pearse St,16524.56,60-54A-b12-1,54A,b12
131,8220DB002003,"Exchange St Upper, stop 2003",53.34404127,-6.268261942,10327.3.60-54A-b12-1.45.I,10:22:53,10:22:53,42, Pearse St,17199.98,60-54A-b12-1,54A,b12
132,8220DB001358,"Dame Street, stop 1358",53.34430471,-6.262889389,10327.3.60-54A-b12-1.45.I,10:24:20,10:24:20,43, Pearse St,17557.58,60-54A-b12-1,54A,b12
133,8220DB000342,"College Street, stop 342",53.34556412,-6.256800261,10327.3.60-54A-b12-1.45.I,10:28:58,10:28:58,44, Pearse St,18688.89,60-54A-b12-1,54A,b12
