Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000395,"Ringsend Road, stop 395",53.34194005,-6.235276454,15160.2.60-56A-b12-1.47.O,11:00:00,11:00:00,1, The Square,0.0,60-56A-b12-1,56A,b12
1,8220DB000396,"Grand Canal Quay, stop 396",53.34244252,-6.239475948,15160.2.60-56A-b12-1.47.O,11:00:50,11:00:50,2, The Square,292.56,60-56A-b12-1,56A,b12
2,8220DB000397,"Pearse Square, stop 397",53.34278556,-6.242015007,15160.2.60-56A-b12-1.47.O,11:01:22,11:01:22,3, The Square,466.34,60-56A-b12-1,56A,b12
3,8220DB000398,"Erne Street, stop 398",53.34329494,-6.245478447,15160.2.60-56A-b12-1.47.O,11:02:05,11:02:05,4, The Square,702.09,60-56A-b12-1,56A,b12
4,8220DB000399,"Pearse Station, stop 399",53.34386682,-6.248308601,15160.2.60-56A-b12-1.47.O,11:02:40,11:02:40,5, The Square,902.06,60-56A-b12-1,56A,b12
5,8220DB000400,"Shaw Street, stop 400",53.34484912,-6.253389973,15160.2.60-56A-b12-1.47.O,11:03:44,11:03:44,6, The Square,1255.93,60-56A-b12-1,56A,b12
6,8220DB004522,"College Green, stop 4522",53.34426249,-6.26060818,15160.2.60-56A-b12-1.47.O,11:06:47,11:06:47,7, The Square,1813.1,60-56A-b12-1,56A,b12
7,8220DB001934,"Dame Street, stop 1934",53.34411836,-6.265525325,15160.2.60-56A-b12-1.47.O,11:08:23,11:08:23,8, The Square,2139.94,60-56A-b12-1,56A,b12
8,8220DB002310,"Werburgh Street, stop 2310",53.3424457,-6.269798428,15160.2.60-56A-b12-1.47.O,11:10:38,11:10:38,9, The Square,2571.72,60-56A-b12-1,56A,b12
9,8220DB002311,"Kevin Street, stop 2311",53.33828528,-6.270492467,15160.2.60-56A-b12-1.47.O,11:12:43,11:12:43,10, The Square,3135.7,60-56A-b12-1,56A,b12
10,8220DB002312,"St Luke's Avenue, stop 2312",53.33887885,-6.275484235,15160.2.60-56A-b12-1.47.O,11:13:59,11:13:59,11, The Square,3516.64,60-56A-b12-1,56A,b12
11,8220DB002313,"Ardee Court, stop 2313",53.33874233,-6.278478182,15160.2.60-56A-b12-1.47.O,11:14:38,11:14:38,12, The Square,3714.47,60-56A-b12-1,56A,b12
