Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007591,"Abbey Street Lower, stop 7591",53.34889015,-6.256829774,1100.1.60-6-b12-1.8.O,06:10:00,06:10:00,1, Howth Station,0.0,60-6-b12-1,6,b12
1,8220DB000496,"Busáras, stop 496",53.34949688,-6.252223579,1100.1.60-6-b12-1.8.O,06:10:52,06:10:52,2, Howth Station,317.87,60-6-b12-1,6,b12
2,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,1100.1.60-6-b12-1.8.O,06:12:22,06:12:22,3, Howth Station,876.5,60-6-b12-1,6,b12
3,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,1100.1.60-6-b12-1.8.O,06:13:10,06:13:10,4, Howth Station,1161.18,60-6-b12-1,6,b12
4,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,1100.1.60-6-b12-1.8.O,06:13:51,06:13:51,5, Howth Station,1460.21,60-6-b12-1,6,b12
5,8220DB000518,"Waterloo Avenue, stop 518",53.35890416,-6.240990944,1100.1.60-6-b12-1.8.O,06:14:16,06:14:16,6, Howth Station,1637.32,60-6-b12-1,6,b12
6,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,1100.1.60-6-b12-1.8.O,06:14:40,06:14:40,7, Howth Station,1826.36,60-6-b12-1,6,b12
7,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,1100.1.60-6-b12-1.8.O,06:15:04,06:15:04,8, Howth Station,2002.88,60-6-b12-1,6,b12
8,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,1100.1.60-6-b12-1.8.O,06:15:39,06:15:39,9, Howth Station,2254.85,60-6-b12-1,6,b12
9,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,1100.1.60-6-b12-1.8.O,06:16:28,06:16:28,10, Howth Station,2523.65,60-6-b12-1,6,b12
10,8220DB000525,"Howth Road, stop 525",53.36496087,-6.226330911,1100.1.60-6-b12-1.8.O,06:17:38,06:17:38,11, Howth Station,2909.86,60-6-b12-1,6,b12
11,8220DB000526,"Copeland Grove, stop 526",53.36686957,-6.221112279,1100.1.60-6-b12-1.8.O,06:18:29,06:18:29,12, Howth Station,3314.33,60-6-b12-1,6,b12
12,8220DB000527,"Ashbrook, stop 527",53.36801988,-6.212678881,1100.1.60-6-b12-1.8.O,06:19:44,06:19:44,13, Howth Station,3901.18,60-6-b12-1,6,b12
13,8220DB000528,"Castle Grove, stop 528",53.36926408,-6.209936745,1100.1.60-6-b12-1.8.O,06:20:11,06:20:11,14, Howth Station,4133.35,60-6-b12-1,6,b12
14,8220DB000529,"Collins Avenue, stop 529",53.37057741,-6.207612345,1100.1.60-6-b12-1.8.O,06:20:37,06:20:37,15, Howth Station,4345.03,60-6-b12-1,6,b12
15,8220DB000530,"Killester, stop 530",53.37122453,-6.20402333,1100.1.60-6-b12-1.8.O,06:21:07,06:21:07,16, Howth Station,4598.64,60-6-b12-1,6,b12
16,8220DB000531,"The Demesne, stop 531",53.37325091,-6.201307885,1100.1.60-6-b12-1.8.O,06:21:45,06:21:45,17, Howth Station,4911.83,60-6-b12-1,6,b12
17,8220DB000709,"St Brigid's Church, stop 709",53.37503806,-6.197039132,1100.1.60-6-b12-1.8.O,06:22:28,06:22:28,18, Howth Station,5258.88,60-6-b12-1,6,b12
18,8220DB000532,"The Meadows, stop 532",53.37580208,-6.193474686,1100.1.60-6-b12-1.8.O,06:23:09,06:23:09,19, Howth Station,5509.78,60-6-b12-1,6,b12
19,8220DB000533,"Ennafort Park, stop 533",53.37758328,-6.18705614,1100.1.60-6-b12-1.8.O,06:23:57,06:23:57,20, Howth Station,5984.79,60-6-b12-1,6,b12
20,8220DB000534,"Cill Eanna, stop 534",53.37875024,-6.18164029,1100.1.60-6-b12-1.8.O,06:24:45,06:24:45,21, Howth Station,6371.86,60-6-b12-1,6,b12
21,8220DB000654,"Watermill Road, stop 654",53.37921008,-6.177020981,1100.1.60-6-b12-1.8.O,06:25:29,06:25:29,22, Howth Station,6733.78,60-6-b12-1,6,b12
22,8220DB007727,"St Anne's Pitches, stop 7727",53.37682075,-6.170073548,1100.1.60-6-b12-1.8.O,06:26:33,06:26:33,23, Howth Station,7268.17,60-6-b12-1,6,b12
23,8220DB007729,"Causeway Road, Stop no 7729",53.37464926,-6.165627546,1100.1.60-6-b12-1.8.O,06:27:23,06:27:23,24, Howth Station,7649.12,60-6-b12-1,6,b12
24,8220DB007731,"Fox's Lane, stop 7731",53.37979273,-6.155274873,1100.1.60-6-b12-1.8.O,06:29:33,06:29:33,25, Howth Station,8629.56,60-6-b12-1,6,b12
25,8220DB000542,"Strand View, stop 542",53.38366192,-6.14626795,1100.1.60-6-b12-1.8.O,06:30:50,06:30:50,26, Howth Station,9367.7,60-6-b12-1,6,b12
26,8240DB000543,"Kilbarrack Road, stop 543",53.3850577,-6.142388693,1100.1.60-6-b12-1.8.O,06:31:22,06:31:22,27, Howth Station,9666.78,60-6-b12-1,6,b12
27,8240DB000544,"Bayside, stop 544",53.38616389,-6.137815203,1100.1.60-6-b12-1.8.O,06:31:54,06:31:54,28, Howth Station,9992.98,60-6-b12-1,6,b12
28,8240DB000545,"Kilbarrack Cemetery, stop 545",53.38711198,-6.133488944,1100.1.60-6-b12-1.8.O,06:32:25,06:32:25,29, Howth Station,10299.44,60-6-b12-1,6,b12
29,8240DB000546,"Sutton Park, stop 546",53.38802025,-6.128352347,1100.1.60-6-b12-1.8.O,06:32:58,06:32:58,30, Howth Station,10653.85,60-6-b12-1,6,b12
30,8240DB000547,"Binn Eadair View, stop 547",53.3886222,-6.123183898,1100.1.60-6-b12-1.8.O,06:33:34,06:33:34,31, Howth Station,11003.13,60-6-b12-1,6,b12
31,8240DB000548,"St Fintans High Sch, stop 548",53.38887433,-6.118075839,1100.1.60-6-b12-1.8.O,06:34:09,06:34:09,32, Howth Station,11342.77,60-6-b12-1,6,b12
32,8240DB000549,"Sutton,stop 549",53.38908807,-6.114533094,1100.1.60-6-b12-1.8.O,06:34:33,06:34:33,33, Howth Station,11580.27,60-6-b12-1,6,b12
33,8240DB000677,"Sutton Cross, stop 677",53.38921242,-6.109325336,1100.1.60-6-b12-1.8.O,06:35:20,06:35:20,34, Howth Station,11932.34,60-6-b12-1,6,b12
34,8240DB000678,"St Fintan's Church, stop 678",53.38762665,-6.105682005,1100.1.60-6-b12-1.8.O,06:35:59,06:35:59,35, Howth Station,12231.41,60-6-b12-1,6,b12
35,8240DB000679,"Santa Sabina, stop 679",53.38646023,-6.10298249,1100.1.60-6-b12-1.8.O,06:36:52,06:36:52,36, Howth Station,12451.92,60-6-b12-1,6,b12
36,8240DB000680,"Strand Road, stop 680",53.38393401,-6.100689445,1100.1.60-6-b12-1.8.O,06:38:19,06:38:19,37, Howth Station,12808.48,60-6-b12-1,6,b12
37,8240DB000681,"The Moorings, stop 681",53.38122597,-6.102223063,1100.1.60-6-b12-1.8.O,06:39:02,06:39:02,38, Howth Station,13128.17,60-6-b12-1,6,b12
38,8240DB000682,"La Vista Avenue, stop 682",53.37952465,-6.102629436,1100.1.60-6-b12-1.8.O,06:39:28,06:39:28,39, Howth Station,13321.36,60-6-b12-1,6,b12
39,8240DB000683,"Carrickbrack Lawn, stop 683",53.37767207,-6.100306786,1100.1.60-6-b12-1.8.O,06:40:09,06:40:09,40, Howth Station,13634.88,60-6-b12-1,6,b12
40,8240DB000684,"St Fintan's Grove, stop 684",53.37657787,-6.097634882,1100.1.60-6-b12-1.8.O,06:40:37,06:40:37,41, Howth Station,13848.64,60-6-b12-1,6,b12
41,8240DB000685,"Sutton Park School, stop 685",53.37540985,-6.094846163,1100.1.60-6-b12-1.8.O,06:41:20,06:41:20,42, Howth Station,14075.39,60-6-b12-1,6,b12
42,8240DB000686,"Sutton Castle, stop 686",53.37385585,-6.094344392,1100.1.60-6-b12-1.8.O,06:41:54,06:41:54,43, Howth Station,14256.37,60-6-b12-1,6,b12
43,8240DB000688,"Shielmartin Road, stop 688",53.37291277,-6.09776819,1100.1.60-6-b12-1.8.O,06:42:53,06:42:53,44, Howth Station,14568.65,60-6-b12-1,6,b12
44,8240DB000689,"Slieverue Lodge, stop 689",53.37489931,-6.099468266,1100.1.60-6-b12-1.8.O,06:43:34,06:43:34,45, Howth Station,14829.87,60-6-b12-1,6,b12
45,8240DB000690,"Sutton Dinghy Club, stop 690",53.37649372,-6.101381348,1100.1.60-6-b12-1.8.O,06:44:08,06:44:08,46, Howth Station,15049.63,60-6-b12-1,6,b12
46,8240DB000691,"The Moorings, stop 691",53.38142405,-6.102244318,1100.1.60-6-b12-1.8.O,06:45:29,06:45:29,47, Howth Station,15618.08,60-6-b12-1,6,b12
47,8240DB000692,"Strand Road, stop 692",53.38396311,-6.100823452,1100.1.60-6-b12-1.8.O,06:46:11,06:46:11,48, Howth Station,15915.33,60-6-b12-1,6,b12
48,8240DB000695,"Offington, stop 695",53.38288089,-6.098902272,1100.1.60-6-b12-1.8.O,06:46:44,06:46:44,49, Howth Station,16144.82,60-6-b12-1,6,b12
49,8240DB000696,"St Fintan's NS, stop 696",53.38051647,-6.094362607,1100.1.60-6-b12-1.8.O,06:47:41,06:47:41,50, Howth Station,16547.76,60-6-b12-1,6,b12
50,8240DB000697,"Howth Cemetery, stop 697",53.37791626,-6.090826073,1100.1.60-6-b12-1.8.O,06:48:21,06:48:21,51, Howth Station,16923.36,60-6-b12-1,6,b12
51,8240DB000698,"Howth Golf Club, stop 698",53.37504392,-6.089947528,1100.1.60-6-b12-1.8.O,06:48:56,06:48:56,52, Howth Station,17247.13,60-6-b12-1,6,b12
52,8240DB000699,"St Fintan's Road, stop 699",53.37214743,-6.088123321,1100.1.60-6-b12-1.8.O,06:49:30,06:49:30,53, Howth Station,17603.67,60-6-b12-1,6,b12
53,8240DB000700,"Shearwater, stop 700",53.36919518,-6.083386337,1100.1.60-6-b12-1.8.O,06:50:15,06:50:15,54, Howth Station,18067.29,60-6-b12-1,6,b12
54,8240DB000701,"Ceanchor Road, stop 701",53.36695058,-6.079068979,1100.1.60-6-b12-1.8.O,06:50:51,06:50:51,55, Howth Station,18451.06,60-6-b12-1,6,b12
55,8240DB000702,"Old Carrickbrack Rd, stop 702",53.36649333,-6.077466582,1100.1.60-6-b12-1.8.O,06:51:03,06:51:03,56, Howth Station,18568.96,60-6-b12-1,6,b12
56,8240DB000703,"Carrickbrack Road, stop 703",53.36613274,-6.074056576,1100.1.60-6-b12-1.8.O,06:51:29,06:51:29,57, Howth Station,18804.57,60-6-b12-1,6,b12
57,8240DB000704,"Stella Maris Convent, stop 704",53.36671893,-6.066396101,1100.1.60-6-b12-1.8.O,06:52:28,06:52:28,58, Howth Station,19320.44,60-6-b12-1,6,b12
58,8240DB000707,"Howth Summit, stop 707",53.37248953,-6.058649902,1100.1.60-6-b12-1.8.O,06:54:36,06:54:36,59, Howth Station,20374.78,60-6-b12-1,6,b12
59,8240DB000568,"Kitestown Road, stop 568",53.37393526,-6.055803553,1100.1.60-6-b12-1.8.O,06:55:00,06:55:00,60, Howth Station,20654.75,60-6-b12-1,6,b12
60,8240DB000569,"Thormanby Hill, stop 569",53.37553679,-6.054798685,1100.1.60-6-b12-1.8.O,06:55:19,06:55:19,61, Howth Station,20871.65,60-6-b12-1,6,b12
61,8240DB000570,"Thormanby Woods, stop 570",53.37733328,-6.055829117,1100.1.60-6-b12-1.8.O,06:55:36,06:55:36,62, Howth Station,21088.76,60-6-b12-1,6,b12
62,8240DB000571,"Mariners Cove, stop 571",53.37856416,-6.056900422,1100.1.60-6-b12-1.8.O,06:55:49,06:55:49,63, Howth Station,21242.72,60-6-b12-1,6,b12
63,8240DB000572,"Upper Cliff Road, stop 572",53.38042057,-6.057747895,1100.1.60-6-b12-1.8.O,06:56:08,06:56:08,64, Howth Station,21457.2,60-6-b12-1,6,b12
64,8240DB000573,"Thormanby Lawns, stop 573",53.38222344,-6.059725359,1100.1.60-6-b12-1.8.O,06:56:31,06:56:31,65, Howth Station,21699.67,60-6-b12-1,6,b12
65,8240DB000574,"Howth Church, stop 574",53.3846161,-6.064262028,1100.1.60-6-b12-1.8.O,06:57:12,06:57:12,66, Howth Station,22125.92,60-6-b12-1,6,b12
66,8240DB000575,"Main Street Howth, stop 575",53.3859831,-6.065417787,1100.1.60-6-b12-1.8.O,06:57:35,06:57:35,67, Howth Station,22298.67,60-6-b12-1,6,b12
67,8240DB000576,"Howth Abbey, stop 576",53.38776007,-6.06635958,1100.1.60-6-b12-1.8.O,06:58:28,06:58:28,68, Howth Station,22701.03,60-6-b12-1,6,b12
68,8240DB000577,"Howth Harbour, stop 577",53.38816314,-6.070160244,1100.1.60-6-b12-1.8.O,06:58:59,06:58:59,69, Howth Station,22958.72,60-6-b12-1,6,b12
69,8240DB000579,"Howth Station, stop 579",53.38866124,-6.074287463,1100.1.60-6-b12-1.8.O,07:00:17,07:00:17,70, Howth Station,23248.64,60-6-b12-1,6,b12
