Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB007887,"Red Cow Luas, stop 7887",53.3170445,-6.370579684,12314.3.60-60-b12-1.49.I,06:00:00,06:00:00,1, John Rogerson Qy,0.0,60-60-b12-1,60,b12
1,8230DB007782,"Monastery Gate, stop 7782",53.31811367,-6.375161977,12314.3.60-60-b12-1.49.I,06:01:02,06:01:02,2, John Rogerson Qy,563.84,60-60-b12-1,60,b12
2,8230DB001968,"Monastery Road, stop 1968",53.31951373,-6.382283708,12314.3.60-60-b12-1.49.I,06:02:06,06:02:06,3, John Rogerson Qy,1071.43,60-60-b12-1,60,b12
3,8230DB001969,"Monastery Walk, stop 1969",53.31981048,-6.384283876,12314.3.60-60-b12-1.49.I,06:02:24,06:02:24,4, John Rogerson Qy,1207.75,60-60-b12-1,60,b12
4,8230DB001970,"Floraville Avenue, stop 1970",53.32074248,-6.389397339,12314.3.60-60-b12-1.49.I,06:03:01,06:03:01,5, John Rogerson Qy,1563.88,60-60-b12-1,60,b12
5,8230DB001971,"Laurel Park, stop 1971",53.32112631,-6.391199195,12314.3.60-60-b12-1.49.I,06:03:13,06:03:13,6, John Rogerson Qy,1691.63,60-60-b12-1,60,b12
6,8230DB002114,"Ninth Lock Road, stop 2114",53.32421455,-6.395601595,12314.3.60-60-b12-1.49.I,06:05:00,06:05:00,7, John Rogerson Qy,2372.6,60-60-b12-1,60,b12
7,8230DB002115,"Oakfield, stop 2115",53.3256299,-6.39524824,12314.3.60-60-b12-1.49.I,06:05:20,06:05:20,8, John Rogerson Qy,2532.17,60-60-b12-1,60,b12
8,8230DB002116,"Michael Collins Pk, stop 2116",53.32825043,-6.396290895,12314.3.60-60-b12-1.49.I,06:05:57,06:05:57,9, John Rogerson Qy,2850.19,60-60-b12-1,60,b12
9,8230DB002117,"Station Road, stop 2117",53.32984572,-6.39795765,12314.3.60-60-b12-1.49.I,06:06:19,06:06:19,10, John Rogerson Qy,3061.93,60-60-b12-1,60,b12
10,8220DB007876,"Palmerstown Way, stop 7876",53.33552627,-6.392624329,12314.3.60-60-b12-1.49.I,06:07:39,06:07:39,11, John Rogerson Qy,3816.35,60-60-b12-1,60,b12
11,8220DB007869,"Park West Ave, stop 7869",53.33658009,-6.381487671,12314.3.60-60-b12-1.49.I,06:09:14,06:09:14,12, John Rogerson Qy,4807.48,60-60-b12-1,60,b12
12,8220DB006025,"Barnville Walk, stop 6025",53.33586394,-6.379052159,12314.3.60-60-b12-1.49.I,06:10:05,06:10:05,13, John Rogerson Qy,5057.54,60-60-b12-1,60,b12
13,8220DB006024,"Cedar Brook Place, stop 6024",53.33737273,-6.378964904,12314.3.60-60-b12-1.49.I,06:10:34,06:10:34,14, John Rogerson Qy,5241.27,60-60-b12-1,60,b12
14,8220DB006021,"Cherry Orchard Ave, stop 6021",53.33820125,-6.377101422,12314.3.60-60-b12-1.49.I,06:11:11,06:11:11,15, John Rogerson Qy,5475.3,60-60-b12-1,60,b12
15,8220DB002906,"Blackditch Road, stop 2906",53.33891414,-6.373350105,12314.3.60-60-b12-1.49.I,06:12:03,06:12:03,16, John Rogerson Qy,5808.62,60-60-b12-1,60,b12
16,8220DB002907,"Orchard Lawns, stop 2907",53.34025527,-6.372172738,12314.3.60-60-b12-1.49.I,06:12:30,06:12:30,17, John Rogerson Qy,5978.56,60-60-b12-1,60,b12
17,8220DB007871,"Spiddal Road, stop 7871",53.34083457,-6.36983793,12314.3.60-60-b12-1.49.I,06:13:09,06:13:09,18, John Rogerson Qy,6227.88,60-60-b12-1,60,b12
18,8220DB007872,"Claddagh Green, stop 7872",53.34078838,-6.366460688,12314.3.60-60-b12-1.49.I,06:14:21,06:14:21,19, John Rogerson Qy,6514.63,60-60-b12-1,60,b12
19,8220DB002689,"Blackditch Drive, stop 2689",53.343106,-6.363743832,12314.3.60-60-b12-1.49.I,06:16:04,06:16:04,20, John Rogerson Qy,6924.46,60-60-b12-1,60,b12
20,8220DB002696,"Ballyfermot, stop 2696",53.34268762,-6.358803755,12314.3.60-60-b12-1.49.I,06:16:55,06:16:55,21, John Rogerson Qy,7255.7,60-60-b12-1,60,b12
21,8220DB007873,"Kylemore College, stop 7873",53.34548517,-6.352448199,12314.3.60-60-b12-1.49.I,06:18:19,06:18:19,22, John Rogerson Qy,7858.09,60-60-b12-1,60,b12
22,8220DB005007,"Convent Lawns, stop 5007",53.34418831,-6.349659608,12314.3.60-60-b12-1.49.I,06:18:58,06:18:58,23, John Rogerson Qy,8140.74,60-60-b12-1,60,b12
23,8220DB002700,"Kylemore Road, stop 2700",53.34129665,-6.348539807,12314.3.60-60-b12-1.49.I,06:19:48,06:19:48,24, John Rogerson Qy,8500.79,60-60-b12-1,60,b12
24,8220DB002701,"Ballyfermot Crescent, stop 2701",53.3401698,-6.348298019,12314.3.60-60-b12-1.49.I,06:20:05,06:20:05,25, John Rogerson Qy,8627.11,60-60-b12-1,60,b12
25,8220DB002702,"Kylemore Avenue, stop 2702",53.3381033,-6.347702124,12314.3.60-60-b12-1.49.I,06:20:38,06:20:38,26, John Rogerson Qy,8859.16,60-60-b12-1,60,b12
26,8220DB002703,"Thomond Road, stop 2703",53.33828471,-6.346523787,12314.3.60-60-b12-1.49.I,06:21:24,06:21:24,27, John Rogerson Qy,9056.71,60-60-b12-1,60,b12
27,8220DB002704,"Decies Road, stop 2704",53.33923908,-6.345345548,12314.3.60-60-b12-1.49.I,06:22:04,06:22:04,28, John Rogerson Qy,9226.4,60-60-b12-1,60,b12
