Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
96,8220DB007512,"John Rogersons Quay, stop 7512",53.34586017,-6.237187282,12315.3.60-60-b12-1.48.O,07:30:00,07:30:00,1, Red Cow Luas,0.0,60-60-b12-1,60,b12
97,8220DB007397,"Guild Street, stop 7397",53.34769403,-6.243300061,12315.3.60-60-b12-1.48.O,07:32:59,07:32:59,2, Red Cow Luas,575.07,60-60-b12-1,60,b12
98,8220DB006252,"CHQ, stop 6252",53.34796481,-6.247044075,12315.3.60-60-b12-1.48.O,07:34:08,07:34:08,3, Red Cow Luas,824.98,60-60-b12-1,60,b12
99,8220DB001502,"Tara Street Station, stop 1502",53.34742107,-6.254095927,12315.3.60-60-b12-1.48.O,07:36:41,07:36:41,4, Red Cow Luas,1363.21,60-60-b12-1,60,b12
100,8220DB007889,"Burgh Quay, stop 7889",53.34707565,-6.258135471,12315.3.60-60-b12-1.48.O,07:37:49,07:37:49,5, Red Cow Luas,1640.27,60-60-b12-1,60,b12
101,8220DB007891,"Wellington Quay, stop 7891",53.34542803,-6.266583613,12315.3.60-60-b12-1.48.O,07:40:17,07:40:17,6, Red Cow Luas,2228.89,60-60-b12-1,60,b12
102,8220DB001443,"Civic Offices, stop 1443",53.34512939,-6.269539559,12315.3.60-60-b12-1.48.O,07:41:06,07:41:06,7, Red Cow Luas,2429.19,60-60-b12-1,60,b12
103,8220DB001444,"Merchant's Quay, stop 1444",53.34507559,-6.274513197,12315.3.60-60-b12-1.48.O,07:42:12,07:42:12,8, Red Cow Luas,2759.04,60-60-b12-1,60,b12
104,8220DB007855,"Usher's Quay, stop 7855",53.34592009,-6.279465664,12315.3.60-60-b12-1.48.O,07:43:20,07:43:20,9, Red Cow Luas,3100.66,60-60-b12-1,60,b12
105,8220DB004407,"Victoria Quay, stop 4407",53.3464875,-6.285165429,12315.3.60-60-b12-1.48.O,07:44:37,07:44:37,10, Red Cow Luas,3487.21,60-60-b12-1,60,b12
106,8220DB002637,"Heuston Station, stop 2637",53.34584559,-6.294308178,12315.3.60-60-b12-1.48.O,07:46:47,07:46:47,11, Red Cow Luas,4141.61,60-60-b12-1,60,b12
107,8220DB002640,"Inchicore Road, stop 2640",53.34204453,-6.308892572,12315.3.60-60-b12-1.48.O,07:49:26,07:49:26,12, Red Cow Luas,5304.6,60-60-b12-1,60,b12
108,8220DB002641,"Camac Court, stop 2641",53.34196601,-6.315413635,12315.3.60-60-b12-1.48.O,07:50:21,07:50:21,13, Red Cow Luas,5747.75,60-60-b12-1,60,b12
109,8220DB002643,"Sarsfield Road, stop 2643",53.3415404,-6.320927062,12315.3.60-60-b12-1.48.O,07:51:10,07:51:10,14, Red Cow Luas,6138.51,60-60-b12-1,60,b12
110,8220DB002644,"Sarsfield Medical, stop 2644",53.34199059,-6.327382266,12315.3.60-60-b12-1.48.O,07:52:03,07:52:03,15, Red Cow Luas,6582.38,60-60-b12-1,60,b12
111,8220DB002645,"Lally Road, stop 2645",53.34169653,-6.33077287,12315.3.60-60-b12-1.48.O,07:52:48,07:52:48,16, Red Cow Luas,6857.71,60-60-b12-1,60,b12
112,8220DB002646,"Decies Road, stop 2646",53.34149449,-6.33367926,12315.3.60-60-b12-1.48.O,07:53:15,07:53:15,17, Red Cow Luas,7084.3,60-60-b12-1,60,b12
113,8220DB002647,"Markievicz Park, stop 2647",53.34064707,-6.338007398,12315.3.60-60-b12-1.48.O,07:54:01,07:54:01,18, Red Cow Luas,7386.6,60-60-b12-1,60,b12
114,8220DB002648,"Ramillies Road, stop 2648",53.33972302,-6.342653701,12315.3.60-60-b12-1.48.O,07:54:51,07:54:51,19, Red Cow Luas,7712.13,60-60-b12-1,60,b12
115,8220DB002649,"Thomond Road, stop 2649",53.33911058,-6.345801041,12315.3.60-60-b12-1.48.O,07:55:25,07:55:25,20, Red Cow Luas,7931.9,60-60-b12-1,60,b12
116,8220DB002650,"Landen Road, stop 2650",53.33776556,-6.346679023,12315.3.60-60-b12-1.48.O,07:56:15,07:56:15,21, Red Cow Luas,8143.28,60-60-b12-1,60,b12
117,8220DB002652,"Kylemore Avenue, stop 2652",53.33884595,-6.348108909,12315.3.60-60-b12-1.48.O,07:56:40,07:56:40,22, Red Cow Luas,8351.19,60-60-b12-1,60,b12
118,8220DB002653,"Ballyfermot Crescent, stop 2653",53.34023477,-6.348445685,12315.3.60-60-b12-1.48.O,07:56:57,07:56:57,23, Red Cow Luas,8507.43,60-60-b12-1,60,b12
119,8220DB002654,"Ballyfermot Road, stop 2654",53.34129873,-6.348689907,12315.3.60-60-b12-1.48.O,07:57:13,07:57:13,24, Red Cow Luas,8626.84,60-60-b12-1,60,b12
120,8220DB004414,"Convent Lawns, stop 4414",53.34433702,-6.350014322,12315.3.60-60-b12-1.48.O,07:58:17,07:58:17,25, Red Cow Luas,9006.56,60-60-b12-1,60,b12
121,8220DB007874,"Kylemore College, stop 7874",53.34544737,-6.352314481,12315.3.60-60-b12-1.48.O,07:59:02,07:59:02,26, Red Cow Luas,9259.29,60-60-b12-1,60,b12
122,8220DB002656,"Ballyfermot, stop 2656",53.34262349,-6.358716107,12315.3.60-60-b12-1.48.O,08:00:48,08:00:48,27, Red Cow Luas,9858.17,60-60-b12-1,60,b12
123,8220DB002668,"Ballyfermot Comm Cen, stop 2668",53.34298283,-6.363282972,12315.3.60-60-b12-1.48.O,08:01:45,08:01:45,28, Red Cow Luas,10164.31,60-60-b12-1,60,b12
124,8220DB002670,"Spiddal Park, stop 2670",53.34038994,-6.36755719,12315.3.60-60-b12-1.48.O,08:03:32,08:03:32,29, Red Cow Luas,10710.12,60-60-b12-1,60,b12
125,8220DB002910,"Spiddal Road, stop 2910",53.34106599,-6.371646266,12315.3.60-60-b12-1.48.O,08:04:12,08:04:12,30, Red Cow Luas,10991.63,60-60-b12-1,60,b12
126,8220DB002911,"Cherry Orchard Park, stop 2911",53.33874407,-6.373401629,12315.3.60-60-b12-1.48.O,08:04:56,08:04:56,31, Red Cow Luas,11305.71,60-60-b12-1,60,b12
127,8220DB006020,"Barnville Green, stop 6020",53.33806916,-6.376640917,12315.3.60-60-b12-1.48.O,08:05:41,08:05:41,32, Red Cow Luas,11590.01,60-60-b12-1,60,b12
128,8220DB006023,"Cedar Brook Place, stop 6023",53.33729944,-6.378862568,12315.3.60-60-b12-1.48.O,08:06:18,08:06:18,33, Red Cow Luas,11822.98,60-60-b12-1,60,b12
129,8220DB006026,"Barnville Walk, stop 6026",53.33559198,-6.379542983,12315.3.60-60-b12-1.48.O,08:06:59,08:06:59,34, Red Cow Luas,12089.54,60-60-b12-1,60,b12
130,8220DB007870,"Park West Ave, stop 7870",53.33621668,-6.381201109,12315.3.60-60-b12-1.48.O,08:07:37,08:07:37,35, Red Cow Luas,12250.13,60-60-b12-1,60,b12
131,8220DB007885,"Palmerstown Way, stop 7885",53.33659183,-6.388995368,12315.3.60-60-b12-1.48.O,08:08:51,08:08:51,36, Red Cow Luas,12966.39,60-60-b12-1,60,b12
132,8230DB002130,"Station Road, stop 2130",53.32972369,-6.397571863,12315.3.60-60-b12-1.48.O,08:10:55,08:10:55,37, Red Cow Luas,14018.8,60-60-b12-1,60,b12
133,8230DB007875,"Ninth Lock Road, stop 7875",53.32718282,-6.395099877,12315.3.60-60-b12-1.48.O,08:11:47,08:11:47,38, Red Cow Luas,14349.73,60-60-b12-1,60,b12
134,8230DB002158,"Oakfield, stop 2158",53.32548495,-6.395163606,12315.3.60-60-b12-1.48.O,08:12:19,08:12:19,39, Red Cow Luas,14539.93,60-60-b12-1,60,b12
135,8230DB002159,"Clondalkin Garda Stn, stop 2159",53.32322072,-6.393882529,12315.3.60-60-b12-1.48.O,08:13:00,08:13:00,40, Red Cow Luas,14878.53,60-60-b12-1,60,b12
136,8230DB004409,"Clondalkin Village, stop 4409",53.32234719,-6.393089718,12315.3.60-60-b12-1.48.O,08:13:13,08:13:13,41, Red Cow Luas,14988.91,60-60-b12-1,60,b12
137,8230DB001972,"Monastery Road, stop 1972",53.3210323,-6.390227029,12315.3.60-60-b12-1.48.O,08:13:50,08:13:50,42, Red Cow Luas,15306.24,60-60-b12-1,60,b12
138,8230DB001973,"Monastery Rise, stop 1973",53.32007192,-6.385669974,12315.3.60-60-b12-1.48.O,08:14:28,08:14:28,43, Red Cow Luas,15626.84,60-60-b12-1,60,b12
139,8230DB001974,"Monastery Heath, stop 1974",53.31958949,-6.381905585,12315.3.60-60-b12-1.48.O,08:14:56,08:14:56,44, Red Cow Luas,15883.41,60-60-b12-1,60,b12
