Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
6342,8220DB000302,"Eden Quay, stop 302",53.3480381,-6.25633882,251.1.60-61-b12-1.155.O,09:00:00,09:00:00,1, Rockbrook,0.0,60-61-b12-1,61,b12
6343,8220DB000340,"Townsend Street, stop 340",53.34597512,-6.256017478,251.1.60-61-b12-1.155.O,09:02:10,09:02:10,2, Rockbrook,359.93,60-61-b12-1,61,b12
6344,8220DB000350,"Prince's St South, stop 350",53.34563194,-6.24976825,251.1.60-61-b12-1.155.O,09:04:47,09:04:47,3, Rockbrook,776.46,60-61-b12-1,61,b12
6345,8220DB002809,"Pearse Station, stop 2809",53.34288455,-6.2499709,251.1.60-61-b12-1.155.O,09:07:11,09:07:11,4, Rockbrook,1168.81,60-61-b12-1,61,b12
6346,8220DB002810,"Merrion Square West, stop 2810",53.34079491,-6.250897489,251.1.60-61-b12-1.155.O,09:08:44,09:08:44,5, Rockbrook,1408.83,60-61-b12-1,61,b12
6347,8220DB002811,"Merrion Street, stop 2811",53.3393595,-6.252307819,251.1.60-61-b12-1.155.O,09:09:53,09:09:53,6, Rockbrook,1594.8,60-61-b12-1,61,b12
6348,8220DB001013,"Earlsfort Terrace, stop 1013",53.33418076,-6.258345677,251.1.60-61-b12-1.155.O,09:17:38,09:17:38,7, Rockbrook,2414.56,60-61-b12-1,61,b12
6349,8220DB001015,"Adelaide Road, stop 1015",53.33273035,-6.259966355,251.1.60-61-b12-1.155.O,09:18:59,09:18:59,8, Rockbrook,2660.1,60-61-b12-1,61,b12
6350,8220DB002812,"Charlemont Street, stop 2812",53.33192755,-6.262236257,251.1.60-61-b12-1.155.O,09:20:41,09:20:41,9, Rockbrook,2968.15,60-61-b12-1,61,b12
6351,8220DB002813,"Ranelagh Road, stop 2813",53.32871177,-6.258673582,251.1.60-61-b12-1.155.O,09:21:59,09:21:59,10, Rockbrook,3402.19,60-61-b12-1,61,b12
6352,8220DB002814,"Ranelagh Luas, stop 2814",53.32603377,-6.255629952,251.1.60-61-b12-1.155.O,09:23:28,09:23:28,11, Rockbrook,3789.17,60-61-b12-1,61,b12
6353,8220DB000852,"Ranelagh, stop 852",53.32442927,-6.252858085,251.1.60-61-b12-1.155.O,09:24:28,09:24:28,12, Rockbrook,4049.72,60-61-b12-1,61,b12
6354,8220DB000853,"Sandford Road, stop 853",53.32259277,-6.248369577,251.1.60-61-b12-1.155.O,09:25:34,09:25:34,13, Rockbrook,4413.06,60-61-b12-1,61,b12
6355,8220DB000854,"Larch Grove, stop 854",53.32163167,-6.246577563,251.1.60-61-b12-1.155.O,09:26:03,09:26:03,14, Rockbrook,4572.68,60-61-b12-1,61,b12
6356,8220DB000855,"Sandford Road, stop 855",53.3193023,-6.242815366,251.1.60-61-b12-1.155.O,09:26:52,09:26:52,15, Rockbrook,4931.28,60-61-b12-1,61,b12
6357,8220DB002815,"Milltown Road, stop 2815",53.315851,-6.245268593,251.1.60-61-b12-1.155.O,09:27:58,09:27:58,16, Rockbrook,5417.41,60-61-b12-1,61,b12
6358,8220DB002816,"Glenmalure Square, stop 2816",53.31426575,-6.246264168,251.1.60-61-b12-1.155.O,09:28:30,09:28:30,17, Rockbrook,5605.74,60-61-b12-1,61,b12
6359,8220DB002817,"Alexandra College, stop 2817",53.31115237,-6.247862555,251.1.60-61-b12-1.155.O,09:29:34,09:29:34,18, Rockbrook,5971.8,60-61-b12-1,61,b12
6360,8250DB002818,"Dundrum Road, stop 2818",53.30794932,-6.246418047,251.1.60-61-b12-1.155.O,09:30:30,09:30:30,19, Rockbrook,6369.96,60-61-b12-1,61,b12
6361,8250DB002819,"Millmount Terrace, stop 2819",53.30548511,-6.245708734,251.1.60-61-b12-1.155.O,09:31:09,09:31:09,20, Rockbrook,6649.02,60-61-b12-1,61,b12
6362,8250DB002820,"Dundrum Business Pk, stop 2820",53.30325754,-6.245199862,251.1.60-61-b12-1.155.O,09:31:49,09:31:49,21, Rockbrook,6899.47,60-61-b12-1,61,b12
6363,8250DB002822,"Dundrum Hospital, stop 2822",53.30108989,-6.245708864,251.1.60-61-b12-1.155.O,09:32:29,09:32:29,22, Rockbrook,7143.64,60-61-b12-1,61,b12
6364,8250DB002823,"Sommerville, stop 2823",53.29752202,-6.246350202,251.1.60-61-b12-1.155.O,09:33:14,09:33:14,23, Rockbrook,7549.78,60-61-b12-1,61,b12
6365,8250DB005032,"Rosemount Estate, stop 5032",53.29546909,-6.246104263,251.1.60-61-b12-1.155.O,09:33:38,09:33:38,24, Rockbrook,7777.62,60-61-b12-1,61,b12
6366,8250DB002867,"Notre Dame School, stop 2867",53.29399753,-6.249944971,251.1.60-61-b12-1.155.O,09:35:18,09:35:18,25, Rockbrook,8307.1,60-61-b12-1,61,b12
6367,8250DB001035,"Beaumont Avenue, stop 1035",53.29510374,-6.256125578,251.1.60-61-b12-1.155.O,09:36:39,09:36:39,26, Rockbrook,8735.2,60-61-b12-1,61,b12
6368,8250DB001314,"Nutgrove Avenue, stop 1314",53.29422671,-6.258231541,251.1.60-61-b12-1.155.O,09:37:26,09:37:26,27, Rockbrook,8983.33,60-61-b12-1,61,b12
6369,8250DB001316,"Good Shepherd Ch, stop 1316",53.29302074,-6.261820909,251.1.60-61-b12-1.155.O,09:38:10,09:38:10,28, Rockbrook,9257.52,60-61-b12-1,61,b12
6370,8250DB001315,"Whitebarn Road, stop 1315",53.29216616,-6.26424076,251.1.60-61-b12-1.155.O,09:38:40,09:38:40,29, Rockbrook,9443.62,60-61-b12-1,61,b12
6371,8250DB001317,"Loreto Park, stop 1317",53.29193477,-6.269965473,251.1.60-61-b12-1.155.O,09:39:45,09:39:45,30, Rockbrook,9839.64,60-61-b12-1,61,b12
6372,8250DB001318,"Loreto Avenue, stop 1318",53.29253504,-6.272311383,251.1.60-61-b12-1.155.O,09:40:11,09:40:11,31, Rockbrook,10008.1,60-61-b12-1,61,b12
6373,8250DB001319,"Nutgrove Court, stop 1319",53.2937102,-6.275879308,251.1.60-61-b12-1.155.O,09:40:55,09:40:55,32, Rockbrook,10279.01,60-61-b12-1,61,b12
6374,8250DB001281,"Ely House, stop 1281",53.29421219,-6.278274354,251.1.60-61-b12-1.155.O,09:41:22,09:41:22,33, Rockbrook,10449.71,60-61-b12-1,61,b12
6375,8230DB001329,"St Mary's School, stop 1329",53.29496692,-6.281994472,251.1.60-61-b12-1.155.O,09:42:04,09:42:04,34, Rockbrook,10712.52,60-61-b12-1,61,b12
6376,8230DB001330,"Willbrook Road, stop 1330",53.29619102,-6.283985656,251.1.60-61-b12-1.155.O,09:42:35,09:42:35,35, Rockbrook,10895.7,60-61-b12-1,61,b12
6377,8230DB002919,"Willbrook Road, stop 2919",53.29592427,-6.285436564,251.1.60-61-b12-1.155.O,09:43:03,09:43:03,36, Rockbrook,11070.06,60-61-b12-1,61,b12
6378,8230DB002920,"Otterbrook, stop 2920",53.29381368,-6.287426291,251.1.60-61-b12-1.155.O,09:43:48,09:43:48,37, Rockbrook,11356.54,60-61-b12-1,61,b12
6379,8230DB002921,"Willbrook Park, stop 2921",53.29127273,-6.289493016,251.1.60-61-b12-1.155.O,09:44:38,09:44:38,38, Rockbrook,11673.81,60-61-b12-1,61,b12
6380,8230DB002922,"Fonthill Park, stop 2922",53.28913014,-6.290508608,251.1.60-61-b12-1.155.O,09:45:17,09:45:17,39, Rockbrook,11922.1,60-61-b12-1,61,b12
6381,8230DB002923,"Glendoher Road, stop 2923",53.28718968,-6.291831012,251.1.60-61-b12-1.155.O,09:45:54,09:45:54,40, Rockbrook,12154.25,60-61-b12-1,61,b12
6382,8230DB002924,"Everton Hall, stop 2924",53.28582821,-6.294045133,251.1.60-61-b12-1.155.O,09:46:28,09:46:28,41, Rockbrook,12365.01,60-61-b12-1,61,b12
6383,8230DB002925,"Ballyboden Road, stop 2925",53.28334382,-6.296303789,251.1.60-61-b12-1.155.O,09:46:54,09:46:54,42, Rockbrook,12683.24,60-61-b12-1,61,b12
6384,8230DB002948,"Ballyboden Crescent, stop 2948",53.28195272,-6.295819227,251.1.60-61-b12-1.155.O,09:47:31,09:47:31,43, Rockbrook,12927.55,60-61-b12-1,61,b12
6385,8230DB002949,"Moyville Lawns, stop 2949",53.2816733,-6.293250826,251.1.60-61-b12-1.155.O,09:47:58,09:47:58,44, Rockbrook,13103.59,60-61-b12-1,61,b12
6386,8230DB002950,"Pearse Brothers Park, stop 2950",53.28179341,-6.288461914,251.1.60-61-b12-1.155.O,09:48:44,09:48:44,45, Rockbrook,13422.31,60-61-b12-1,61,b12
6387,8230DB002954,"Whitechurch Green, stop 2954",53.2780415,-6.286317462,251.1.60-61-b12-1.155.O,09:50:46,09:50:46,46, Rockbrook,14252.26,60-61-b12-1,61,b12
6388,8230DB002955,"Ballyboden Church, stop 2955",53.27787197,-6.289533367,251.1.60-61-b12-1.155.O,09:51:45,09:51:45,47, Rockbrook,14469.7,60-61-b12-1,61,b12
6389,8230DB007067,"Whitechurch Way, stop 7067",53.27783383,-6.288755104,251.1.60-61-b12-1.155.O,09:51:54,09:51:54,48, Rockbrook,14521.54,60-61-b12-1,61,b12
6390,8230DB002956,"Glenmore Park, stop 2956",53.27812019,-6.286164354,251.1.60-61-b12-1.155.O,09:52:19,09:52:19,49, Rockbrook,14697.2,60-61-b12-1,61,b12
