Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
94,8220DB000302,"Eden Quay, stop 302",53.3480381,-6.25633882,10007.3.60-61-b12-1.154.O,09:30:00,09:30:00,1, Whitechurch,0.0,60-61-b12-1,61,b12
95,8220DB000340,"Townsend Street, stop 340",53.34597512,-6.256017478,10007.3.60-61-b12-1.154.O,09:31:36,09:31:36,2, Whitechurch,359.93,60-61-b12-1,61,b12
96,8220DB000350,"Prince's St South, stop 350",53.34563194,-6.24976825,10007.3.60-61-b12-1.154.O,09:33:31,09:33:31,3, Whitechurch,776.46,60-61-b12-1,61,b12
97,8220DB002809,"Pearse Station, stop 2809",53.34288455,-6.2499709,10007.3.60-61-b12-1.154.O,09:35:17,09:35:17,4, Whitechurch,1168.81,60-61-b12-1,61,b12
98,8220DB002810,"Merrion Square West, stop 2810",53.34079491,-6.250897489,10007.3.60-61-b12-1.154.O,09:36:24,09:36:24,5, Whitechurch,1408.83,60-61-b12-1,61,b12
99,8220DB002811,"Merrion Street, stop 2811",53.3393595,-6.252307819,10007.3.60-61-b12-1.154.O,09:36:58,09:36:58,6, Whitechurch,1594.8,60-61-b12-1,61,b12
100,8220DB001013,"Earlsfort Terrace, stop 1013",53.33418076,-6.258345677,10007.3.60-61-b12-1.154.O,09:40:47,09:40:47,7, Whitechurch,2414.56,60-61-b12-1,61,b12
101,8220DB001015,"Adelaide Road, stop 1015",53.33273035,-6.259966355,10007.3.60-61-b12-1.154.O,09:41:51,09:41:51,8, Whitechurch,2660.1,60-61-b12-1,61,b12
102,8220DB002812,"Charlemont Street, stop 2812",53.33192755,-6.262236257,10007.3.60-61-b12-1.154.O,09:43:13,09:43:13,9, Whitechurch,2968.15,60-61-b12-1,61,b12
103,8220DB002813,"Ranelagh Road, stop 2813",53.32871177,-6.258673582,10007.3.60-61-b12-1.154.O,09:44:32,09:44:32,10, Whitechurch,3402.19,60-61-b12-1,61,b12
