Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
7214,8220DB007564,"Poolbeg St, stop 7564",53.34683414,-6.254525457,4206.1.60-65-b12-1.277.O,05:30:00,05:30:00,1, Ballyknockan,0.0,60-65-b12-1,65,b12
7215,8220DB004521,"College Green, stop 4521",53.34430106,-6.260171051,4206.1.60-65-b12-1.277.O,05:32:06,05:32:06,2, Ballyknockan,589.01,60-65-b12-1,65,b12
7216,8220DB001283,"S Great George's St, stop 1283",53.34180872,-6.26492823,4206.1.60-65-b12-1.277.O,05:33:36,05:33:36,3, Ballyknockan,1136.75,60-65-b12-1,65,b12
7217,8220DB004456,"Whitefriars St, stop 4456",53.3399144,-6.265695957,4206.1.60-65-b12-1.277.O,05:34:00,05:34:00,4, Ballyknockan,1360.53,60-65-b12-1,65,b12
7218,8220DB001284,"Redmond's Hill, stop 1284",53.33812835,-6.265873557,4206.1.60-65-b12-1.277.O,05:34:22,05:34:22,5, Ballyknockan,1563.46,60-65-b12-1,65,b12
7219,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,4206.1.60-65-b12-1.277.O,05:35:15,05:35:15,6, Ballyknockan,1984.54,60-65-b12-1,65,b12
7220,8220DB001016,"South Richmond St, stop 1016",53.33115931,-6.26441458,4206.1.60-65-b12-1.277.O,05:36:26,05:36:26,7, Ballyknockan,2346.38,60-65-b12-1,65,b12
7221,8220DB001017,"Rathmines Rd Lower, stop 1017",53.32936933,-6.264322097,4206.1.60-65-b12-1.277.O,05:37:04,05:37:04,8, Ballyknockan,2547.98,60-65-b12-1,65,b12
7222,8220DB001018,"St Mary's College, stop 1018",53.32758546,-6.264649745,4206.1.60-65-b12-1.277.O,05:37:43,05:37:43,9, Ballyknockan,2747.53,60-65-b12-1,65,b12
7223,8220DB001019,"Military Road, stop 1019",53.3265476,-6.264977118,4206.1.60-65-b12-1.277.O,05:37:59,05:37:59,10, Ballyknockan,2863.85,60-65-b12-1,65,b12
7224,8220DB001020,"Rathmines, stop 1020",53.32513838,-6.265109364,4206.1.60-65-b12-1.277.O,05:38:19,05:38:19,11, Ballyknockan,3021.43,60-65-b12-1,65,b12
