Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007564,"Poolbeg St, stop 7564",53.34683414,-6.254525457,10472.3.60-65-b12-1.276.O,05:40:00,05:40:00,1, Ballymore,0.0,60-65-b12-1,65,b12
1,8220DB004521,"College Green, stop 4521",53.34430106,-6.260171051,10472.3.60-65-b12-1.276.O,05:42:42,05:42:42,2, Ballymore,589.01,60-65-b12-1,65,b12
2,8220DB001283,"S Great George's St, stop 1283",53.34180872,-6.26492823,10472.3.60-65-b12-1.276.O,05:44:37,05:44:37,3, Ballymore,1136.75,60-65-b12-1,65,b12
3,8220DB004456,"Whitefriars St, stop 4456",53.3399144,-6.265695957,10472.3.60-65-b12-1.276.O,05:45:11,05:45:11,4, Ballymore,1360.53,60-65-b12-1,65,b12
4,8220DB001284,"Redmond's Hill, stop 1284",53.33812835,-6.265873557,10472.3.60-65-b12-1.276.O,05:45:42,05:45:42,5, Ballymore,1563.46,60-65-b12-1,65,b12
5,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,10472.3.60-65-b12-1.276.O,05:46:58,05:46:58,6, Ballymore,1984.54,60-65-b12-1,65,b12
6,8220DB001016,"South Richmond St, stop 1016",53.33115931,-6.26441458,10472.3.60-65-b12-1.276.O,05:48:18,05:48:18,7, Ballymore,2346.38,60-65-b12-1,65,b12
7,8220DB001017,"Rathmines Rd Lower, stop 1017",53.32936933,-6.264322097,10472.3.60-65-b12-1.276.O,05:49:01,05:49:01,8, Ballymore,2547.98,60-65-b12-1,65,b12
8,8220DB001018,"St Mary's College, stop 1018",53.32758546,-6.264649745,10472.3.60-65-b12-1.276.O,05:49:44,05:49:44,9, Ballymore,2747.53,60-65-b12-1,65,b12
9,8220DB001019,"Military Road, stop 1019",53.3265476,-6.264977118,10472.3.60-65-b12-1.276.O,05:50:04,05:50:04,10, Ballymore,2863.85,60-65-b12-1,65,b12
10,8220DB001020,"Rathmines, stop 1020",53.32513838,-6.265109364,10472.3.60-65-b12-1.276.O,05:50:28,05:50:28,11, Ballymore,3021.43,60-65-b12-1,65,b12
11,8220DB001076,"Swan Centre, stop 1076",53.32313059,-6.265491063,10472.3.60-65-b12-1.276.O,05:51:02,05:51:02,12, Ballymore,3246.03,60-65-b12-1,65,b12
12,8220DB001077,"Rathmines Garda Stn, stop 1077",53.32157299,-6.266544985,10472.3.60-65-b12-1.276.O,05:51:33,05:51:33,13, Ballymore,3441.9,60-65-b12-1,65,b12
