Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
222,8220DB007564,"Poolbeg St, stop 7564",53.34683414,-6.254525457,10474.3.60-65-b12-1.278.O,09:30:00,09:30:00,1, Blessington,0.0,60-65-b12-1,65,b12
223,8220DB004521,"College Green, stop 4521",53.34430106,-6.260171051,10474.3.60-65-b12-1.278.O,09:33:40,09:33:40,2, Blessington,589.01,60-65-b12-1,65,b12
224,8220DB001283,"S Great George's St, stop 1283",53.34180872,-6.26492823,10474.3.60-65-b12-1.278.O,09:36:17,09:36:17,3, Blessington,1136.75,60-65-b12-1,65,b12
225,8220DB004456,"Whitefriars St, stop 4456",53.3399144,-6.265695957,10474.3.60-65-b12-1.278.O,09:37:21,09:37:21,4, Blessington,1360.53,60-65-b12-1,65,b12
226,8220DB001284,"Redmond's Hill, stop 1284",53.33812835,-6.265873557,10474.3.60-65-b12-1.278.O,09:38:19,09:38:19,5, Blessington,1563.46,60-65-b12-1,65,b12
227,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,10474.3.60-65-b12-1.278.O,09:39:37,09:39:37,6, Blessington,1984.54,60-65-b12-1,65,b12
228,8220DB001016,"South Richmond St, stop 1016",53.33115931,-6.26441458,10474.3.60-65-b12-1.278.O,09:41:04,09:41:04,7, Blessington,2346.38,60-65-b12-1,65,b12
229,8220DB001017,"Rathmines Rd Lower, stop 1017",53.32936933,-6.264322097,10474.3.60-65-b12-1.278.O,09:41:51,09:41:51,8, Blessington,2547.98,60-65-b12-1,65,b12
230,8220DB001018,"St Mary's College, stop 1018",53.32758546,-6.264649745,10474.3.60-65-b12-1.278.O,09:42:38,09:42:38,9, Blessington,2747.53,60-65-b12-1,65,b12
231,8220DB001019,"Military Road, stop 1019",53.3265476,-6.264977118,10474.3.60-65-b12-1.278.O,09:43:04,09:43:04,10, Blessington,2863.85,60-65-b12-1,65,b12
232,8220DB001020,"Rathmines, stop 1020",53.32513838,-6.265109364,10474.3.60-65-b12-1.278.O,09:43:37,09:43:37,11, Blessington,3021.43,60-65-b12-1,65,b12
233,8220DB001076,"Swan Centre, stop 1076",53.32313059,-6.265491063,10474.3.60-65-b12-1.278.O,09:44:22,09:44:22,12, Blessington,3246.03,60-65-b12-1,65,b12
234,8220DB001077,"Rathmines Garda Stn, stop 1077",53.32157299,-6.266544985,10474.3.60-65-b12-1.278.O,09:45:05,09:45:05,13, Blessington,3441.9,60-65-b12-1,65,b12
235,8220DB001078,"Rathgar Place, stop 1078",53.31941276,-6.26880907,10474.3.60-65-b12-1.278.O,09:45:42,09:45:42,14, Blessington,3742.85,60-65-b12-1,65,b12
236,8220DB001079,"Frankfort Avenue, stop 1079",53.31665462,-6.270751874,10474.3.60-65-b12-1.278.O,09:46:25,09:46:25,15, Blessington,4075.39,60-65-b12-1,65,b12
237,8220DB001080,"Auburn Villas, stop 1080",53.3149092,-6.271873063,10474.3.60-65-b12-1.278.O,09:46:58,09:46:58,16, Blessington,4282.56,60-65-b12-1,65,b12
238,8220DB001081,"Rathgar Village, stop 1081",53.3126497,-6.273495173,10474.3.60-65-b12-1.278.O,09:47:45,09:47:45,17, Blessington,4556.53,60-65-b12-1,65,b12
239,8220DB001082,"Terenure Road East, stop 1082",53.31167595,-6.275770632,10474.3.60-65-b12-1.278.O,09:48:17,09:48:17,18, Blessington,4746.7,60-65-b12-1,65,b12
240,8220DB001083,"Brighton Road, stop 1083",53.31114556,-6.278253253,10474.3.60-65-b12-1.278.O,09:48:46,09:48:46,19, Blessington,4924.1,60-65-b12-1,65,b12
241,8220DB001085,"St Joseph's BNS, stop 1085",53.31009949,-6.282377314,10474.3.60-65-b12-1.278.O,09:49:36,09:49:36,20, Blessington,5222.1,60-65-b12-1,65,b12
242,8220DB001121,"Templeogue Road, stop 1121",53.3090016,-6.285407748,10474.3.60-65-b12-1.278.O,09:50:20,09:50:20,21, Blessington,5464.55,60-65-b12-1,65,b12
243,8220DB001122,"Rathdown Park, stop 1122",53.30721963,-6.288375353,10474.3.60-65-b12-1.278.O,09:51:10,09:51:10,22, Blessington,5743.5,60-65-b12-1,65,b12
244,8220DB001123,"Lakelands Park, stop 1123",53.30557702,-6.29103703,10474.3.60-65-b12-1.278.O,09:51:35,09:51:35,23, Blessington,5997.13,60-65-b12-1,65,b12
245,8220DB001124,"Terenure College, stop 1124",53.30417282,-6.293403898,10474.3.60-65-b12-1.278.O,09:51:57,09:51:57,24, Blessington,6219.55,60-65-b12-1,65,b12
246,8230DB001125,"Bushy Park House, stop 1125",53.30108536,-6.29811825,10474.3.60-65-b12-1.278.O,09:53:32,09:53:32,25, Blessington,6685.07,60-65-b12-1,65,b12
247,8230DB001127,"Riverside Cottages, stop 1127",53.29845626,-6.302843743,10474.3.60-65-b12-1.278.O,09:55:25,09:55:25,26, Blessington,7116.39,60-65-b12-1,65,b12
248,8230DB001130,"Templeogue Bridge, stop 1130",53.29634173,-6.308373431,10474.3.60-65-b12-1.278.O,09:57:18,09:57:18,27, Blessington,7568.82,60-65-b12-1,65,b12
249,8230DB002550,"Cheeverstown House, stop 2550",53.29479059,-6.314990504,10474.3.60-65-b12-1.278.O,09:58:00,09:58:00,28, Blessington,8046.91,60-65-b12-1,65,b12
250,8230DB002551,"Tallaght Road, stop 2551",53.29306798,-6.321583811,10474.3.60-65-b12-1.278.O,09:58:49,09:58:49,29, Blessington,8531.71,60-65-b12-1,65,b12
251,8230DB002553,"Basketball Arena, stop 2553",53.28968909,-6.333806232,10474.3.60-65-b12-1.278.O,10:00:26,10:00:26,30, Blessington,9486.24,60-65-b12-1,65,b12
252,8230DB002554,"Glenview Park, stop 2554",53.28904029,-6.339486368,10474.3.60-65-b12-1.278.O,10:01:15,10:01:15,31, Blessington,9969.33,60-65-b12-1,65,b12
253,8230DB002555,"Blessington Road, stop 2555",53.28878993,-6.349290813,10474.3.60-65-b12-1.278.O,10:02:47,10:02:47,32, Blessington,10681.53,60-65-b12-1,65,b12
254,8230DB002556,"Tallaght Youth C, stop 2556",53.28816601,-6.355524602,10474.3.60-65-b12-1.278.O,10:03:59,10:03:59,33, Blessington,11102.73,60-65-b12-1,65,b12
255,8230DB002557,"Tallaght Village, stop 2557",53.28850642,-6.363281249,10474.3.60-65-b12-1.278.O,10:05:34,10:05:34,34, Blessington,11659.07,60-65-b12-1,65,b12
256,8230DB004436,"IT Tallaght, stop 4436",53.28916826,-6.36697587,10474.3.60-65-b12-1.278.O,10:06:35,10:06:35,35, Blessington,11968.32,60-65-b12-1,65,b12
257,8230DB005008,"Belgard Square North, stop 5008",53.29045019,-6.369356994,10474.3.60-65-b12-1.278.O,10:07:34,10:07:34,36, Blessington,12281.01,60-65-b12-1,65,b12
