Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007564,"Poolbeg St, stop 7564",53.34683414,-6.254525457,10484.3.60-65B-b12-1.282.O,05:50:00,05:50:00,1, Citywest,0.0,60-65B-b12-1,65B,b12
1,8220DB004521,"College Green, stop 4521",53.34430106,-6.260171051,10484.3.60-65B-b12-1.282.O,05:52:22,05:52:22,2, Citywest,589.01,60-65B-b12-1,65B,b12
2,8220DB001283,"S Great George's St, stop 1283",53.34180872,-6.26492823,10484.3.60-65B-b12-1.282.O,05:54:03,05:54:03,3, Citywest,1136.75,60-65B-b12-1,65B,b12
3,8220DB004456,"Whitefriars St, stop 4456",53.3399144,-6.265695957,10484.3.60-65B-b12-1.282.O,05:54:41,05:54:41,4, Citywest,1360.53,60-65B-b12-1,65B,b12
4,8220DB001284,"Redmond's Hill, stop 1284",53.33812835,-6.265873557,10484.3.60-65B-b12-1.282.O,05:55:16,05:55:16,5, Citywest,1563.46,60-65B-b12-1,65B,b12
5,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,10484.3.60-65B-b12-1.282.O,05:56:27,05:56:27,6, Citywest,1984.54,60-65B-b12-1,65B,b12
6,8220DB001016,"South Richmond St, stop 1016",53.33115931,-6.26441458,10484.3.60-65B-b12-1.282.O,05:57:28,05:57:28,7, Citywest,2346.38,60-65B-b12-1,65B,b12
7,8220DB001017,"Rathmines Rd Lower, stop 1017",53.32936933,-6.264322097,10484.3.60-65B-b12-1.282.O,05:57:50,05:57:50,8, Citywest,2547.98,60-65B-b12-1,65B,b12
8,8220DB001018,"St Mary's College, stop 1018",53.32758546,-6.264649745,10484.3.60-65B-b12-1.282.O,05:58:13,05:58:13,9, Citywest,2747.53,60-65B-b12-1,65B,b12
9,8220DB001019,"Military Road, stop 1019",53.3265476,-6.264977118,10484.3.60-65B-b12-1.282.O,05:58:26,05:58:26,10, Citywest,2863.85,60-65B-b12-1,65B,b12
10,8220DB001020,"Rathmines, stop 1020",53.32513838,-6.265109364,10484.3.60-65B-b12-1.282.O,05:58:42,05:58:42,11, Citywest,3021.43,60-65B-b12-1,65B,b12
11,8220DB001076,"Swan Centre, stop 1076",53.32313059,-6.265491063,10484.3.60-65B-b12-1.282.O,05:59:04,05:59:04,12, Citywest,3246.03,60-65B-b12-1,65B,b12
